animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,7,20,200,-0.005415162454873739,0,0.0254,0
28,1,CA1-CA3,7,21,210,-0.005415162454873731,0,0.0254,0
28,1,CA1-CA3,7,22,220,0.0044682752457549805,0,0.0254,0
28,1,CA1-CA3,7,23,230,-0.07114308553157493,0,0.0254,0
28,1,CA1-CA3,7,24,240,-0.07114308553157472,0,0.0254,0
28,1,CA1-CA3,7,25,250,-0.07114308553157474,0,0.0254,0
28,1,CA1-CA3,8,1,10,0.0,1,0.0158,0
28,1,CA1-CA3,8,2,20,-0.8863636363636362,0,0.0158,0
28,1,CA1-CA3,8,3,30,-0.7596153846153846,0,0.0158,0
28,1,CA1-CA3,8,4,40,-0.6636363636363637,0,0.0158,0
28,1,CA1-CA3,8,5,50,-0.7927170868347339,0,0.0158,0
28,1,CA1-CA3,8,6,60,-0.7955801104972376,0,0.0158,0
28,1,CA1-CA3,8,7,70,-0.5116279069767443,0,0.0158,0
28,1,CA1-CA3,8,8,80,-0.3812375249500999,0,0.0158,0
28,1,CA1-CA3,8,9,90,-0.4363636363636364,0,0.0158,0
28,1,CA1-CA3,8,10,100,-0.528158295281583,0,0.0158,0
28,1,CA1-CA3,8,11,110,-0.6139476961394769,0,0.0158,0
28,1,CA1-CA3,8,12,120,-0.6712619300106044,0,0.0158,0
28,1,CA1-CA3,8,13,130,-0.6712619300106044,0,0.0158,0
28,1,CA1-CA3,8,14,140,-0.6797520661157025,0,0.0158,0
28,1,CA1-CA3,8,15,150,-0.5828111011638316,0,0.0158,0
28,1,CA1-CA3,8,16,160,-0.5604589585172111,0,0.0158,0
28,1,CA1-CA3,8,17,170,-0.49957591178965227,0,0.0158,0
28,1,CA1-CA3,8,18,180,-0.5058626465661642,0,0.0158,0
28,1,CA1-CA3,8,19,190,-0.5058626465661642,0,0.0158,0
28,1,CA1-CA3,8,20,200,-0.5441928414901388,0,0.0158,0
28,1,CA1-CA3,8,21,210,-0.5441928414901388,0,0.0158,0
28,1,CA1-CA3,8,22,220,-0.39907346128391796,0,0.0158,0
28,1,CA1-CA3,8,23,230,-0.40885416666666663,0,0.0158,0
28,1,CA1-CA3,8,24,240,-0.4227590591226956,0,0.0158,0
28,1,CA1-CA3,8,25,250,-0.34660421545667447,0,0.0158,0
28,1,CA1-CA3,9,1,10,-0.8611111111111113,0,0.034,0
28,1,CA1-CA3,9,2,20,-0.8482758620689654,0,0.034,0
28,1,CA1-CA3,9,3,30,-0.9157088122605365,0,0.034,0
28,1,CA1-CA3,9,4,40,-0.9157088122605364,0,0.034,0
28,1,CA1-CA3,9,5,50,-0.8181818181818183,0,0.034,0
28,1,CA1-CA3,9,6,60,-0.2048192771084337,0,0.034,0
28,1,CA1-CA3,9,7,70,-0.05973025048169556,0,0.034,0
28,1,CA1-CA3,9,8,80,-0.05162523900573616,0,0.034,0
28,1,CA1-CA3,9,9,90,-0.07389162561576354,0,0.034,0
28,1,CA1-CA3,9,10,100,-0.15174129353233837,0,0.034,0
28,1,CA1-CA3,9,11,110,-0.1782831988261189,0,0.034,0
28,1,CA1-CA3,9,12,120,-0.17311906501095686,0,0.034,0
28,1,CA1-CA3,9,13,130,-0.28035600762873497,0,0.034,0
28,1,CA1-CA3,9,14,140,-0.314769975786925,0,0.034,0
28,1,CA1-CA3,9,15,150,-0.1927512355848435,0,0.034,0
28,1,CA1-CA3,9,16,160,-0.21933085501858743,0,0.034,0
28,1,CA1-CA3,9,17,170,-0.29933269780743577,0,0.034,0
28,1,CA1-CA3,9,18,180,-0.27826855123674915,0,0.034,0
28,1,CA1-CA3,9,19,190,-0.31325301204819284,0,0.034,0
28,1,CA1-CA3,9,20,200,-0.31325301204819284,0,0.034,0
28,1,CA1-CA3,9,21,210,-0.31709265175718854,0,0.034,0
28,1,CA1-CA3,9,22,220,-0.3170926517571885,0,0.034,0
28,1,CA1-CA3,9,23,230,-0.31709265175718854,0,0.034,0
28,1,CA1-CA3,9,24,240,-0.31709265175718854,0,0.034,0
28,1,CA1-CA3,9,25,250,-0.30924970226280274,0,0.034,0
28,1,CA1-CA3,10,1,10,0.0,1,0.0303,0
28,1,CA1-CA3,10,2,20,-1.0,0,0.0303,0
28,1,CA1-CA3,10,3,30,-0.33749999999999997,0,0.0303,0
28,1,CA1-CA3,10,4,40,-0.33749999999999997,0,0.0303,0
28,1,CA1-CA3,10,5,50,-0.4,0,0.0303,0
28,1,CA1-CA3,10,6,60,-0.429951690821256,0,0.0303,0
28,1,CA1-CA3,10,7,70,-0.6000000000000001,0,0.0303,0
