animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
61,V1-RSC,8,80,0.01125311447358136,10,0.008645481120893422
61,V1-RSC,9,90,0.010942427274845044,10,0.008344681637609269
61,V1-RSC,10,100,0.011402000785736447,10,0.008620278679918783
61,V1-RSC,11,110,0.011036099205404094,10,0.008581300770397189
61,V1-RSC,12,120,0.01013059019301927,10,0.008140520837921023
61,V1-RSC,13,130,0.009158157914210487,10,0.0075701759971921094
61,V1-RSC,14,140,0.00788805527331094,10,0.006841539026721458
61,V1-RSC,15,150,0.006735098500153196,10,0.006119258954296781
61,V1-RSC,16,160,0.005705492313923753,10,0.0055182792562622745
61,V1-RSC,17,170,0.005234010606088398,10,0.005233085717628785
61,V1-RSC,18,180,0.005020485975836005,10,0.004972534024459576
61,V1-RSC,19,190,0.004583784804398995,10,0.004716920222883562
61,V1-RSC,20,200,0.004350388036746958,10,0.004593713016204896
61,V1-RSC,21,210,0.0033783573190657975,10,0.004076440327732007
61,V1-RSC,22,220,0.0032521275608004053,10,0.003907204667411487
61,V1-RSC,23,230,0.0029154031161773364,10,0.00365105954286206
61,V1-RSC,24,240,0.00256590570418095,10,0.0034994811740000527
61,V1-RSC,25,250,0.002496281121848847,10,0.0033964836175749643
63,CA1-RSC,1,10,-0.04562139154573761,9,-0.021626085459089357
63,CA1-RSC,2,20,0.0030234850674528396,9,0.00036365349758910395
63,CA1-RSC,3,30,-0.0004995125451717178,9,0.013242574678075407
63,CA1-RSC,4,40,-0.006425506387723644,9,0.021382140566658128
63,CA1-RSC,5,50,-0.00455632344545227,9,0.03211369946641814
63,CA1-RSC,6,60,-0.015188892529862962,9,0.031111205038829297
63,CA1-RSC,7,70,-0.006918193444123798,9,0.03134960398608771
63,CA1-RSC,8,80,-0.013530539529564024,9,0.022277598127375994
63,CA1-RSC,9,90,-0.006381545318126732,9,0.01746959569484974
63,CA1-RSC,10,100,-0.009511745896215644,9,0.013080350112605577
63,CA1-RSC,11,110,-0.014504895601531669,9,0.010495896919018238
63,CA1-RSC,12,120,-0.026961714730609994,9,0.00629723609678998
63,CA1-RSC,13,130,-0.03456197454420372,9,0.0038383039443965713
63,CA1-RSC,14,140,-0.0320754046180304,9,0.003535614262778063
63,CA1-RSC,15,150,-0.02521123539401946,9,0.0043130080249829394
63,CA1-RSC,16,160,-0.017460449917208423,9,0.004354335406847517
63,CA1-RSC,17,170,-0.019487870157512792,9,0.003934620569874233
63,CA1-RSC,18,180,-0.010150815017321043,9,0.005641326336598054
63,CA1-RSC,19,190,-0.0035097461052602482,9,0.008215745099595113
63,CA1-RSC,20,200,0.00013090793946713634,9,0.010100053887821115
63,CA1-RSC,21,210,-0.0009768439854219097,9,0.009897552647134818
63,CA1-RSC,22,220,0.0016076666552426917,9,0.00955194664472892
63,CA1-RSC,23,230,0.009223420895167466,9,0.009691079639420922
63,CA1-RSC,24,240,0.01060457874621935,9,0.008893331379576815
63,CA1-RSC,25,250,0.004667341599214015,9,0.007060371213995604
66,CA1-DG,1,10,-0.023921327741689355,10,-0.020196506764883382
66,CA1-DG,2,20,-0.01833218888902758,10,0.005420617041253857
66,CA1-DG,3,30,-0.027642651600676454,10,0.006920966578764557
66,CA1-DG,4,40,-0.03447934047861913,10,0.005855368627137098
66,CA1-DG,5,50,-0.029981585440802556,10,0.009081883620213088
66,CA1-DG,6,60,-0.02860159048783955,10,0.010184767594663633
66,CA1-DG,7,70,-0.02501043653285152,10,0.01162183411683379
66,CA1-DG,8,80,-0.02289778612623032,10,0.01238923355045688
66,CA1-DG,9,90,-0.015563333405611857,10,0.0159199587072827
66,CA1-DG,10,100,-0.006558689895188083,10,0.019139972338584957
66,CA1-DG,11,110,0.0024289335695803042,10,0.022893326212879185
66,CA1-DG,12,120,0.007782734910606545,10,0.02514133310981545
66,CA1-DG,13,130,0.007975317431254856,10,0.02494663519861191
66,CA1-DG,14,140,0.009474504627286084,10,0.025167813342984856
66,CA1-DG,15,150,0.009344217131524732,10,0.025554442925960614
66,CA1-DG,16,160,0.010961576516916285,10,0.026878621199575542
66,CA1-DG,17,170,0.009781432435507664,10,0.02726241559616213
66,CA1-DG,18,180,0.010542180271701325,10,0.028020892217524882
66,CA1-DG,19,190,0.009484917437401994,10,0.028081602960078174
66,CA1-DG,20,200,0.01002477082888087,10,0.02792261037870714
66,CA1-DG,21,210,0.008374932861982856,10,0.027155408028061455
66,CA1-DG,22,220,0.006191057818192797,10,0.025821071337873373
66,CA1-DG,23,230,0.005642251084844266,10,0.02530649263165295
66,CA1-DG,24,240,0.005009437501707611,10,0.024793152419542493
66,CA1-DG,25,250,0.005809604240459676,10,0.02464976608153471
66,CA1-RSC,1,10,-0.08360221814250962,9,-0.049696233187575614
66,CA1-RSC,2,20,-0.02586385677906321,9,-0.006422511424311577
66,CA1-RSC,3,30,-0.01902736934218748,9,0.006565711680166827
66,CA1-RSC,4,40,-0.007969926624752554,9,0.018576887031244334
66,CA1-RSC,5,50,0.008888896944471881,9,0.029909171196262827
66,CA1-RSC,6,60,0.020115924554867763,9,0.03611217070537722
66,CA1-RSC,7,70,0.01949925570187836,9,0.035250341529272734
66,CA1-RSC,8,80,0.024133905461064493,9,0.03634868666751673
66,CA1-RSC,9,90,0.020385751287211824,9,0.03239466220273066
66,CA1-RSC,10,100,0.025940360930545532,9,0.0326950302300739
66,CA1-RSC,11,110,0.027304328733552097,9,0.0314677560011716
66,CA1-RSC,12,120,0.028614788054023968,9,0.02970920870368381
66,CA1-RSC,13,130,0.029638939295740598,9,0.027855058310145918
66,CA1-RSC,14,140,0.03189784569534626,9,0.02767954655962295
66,CA1-RSC,15,150,0.03262512538197314,9,0.027539297253119
66,CA1-RSC,16,160,0.03242697201480525,9,0.027484047688107142
66,CA1-RSC,17,170,0.02883163852225279,9,0.025969495940802615
66,CA1-RSC,18,180,0.02549072208855348,9,0.024853207933238936
66,CA1-RSC,19,190,0.02526154302898527,9,0.025509390650334373
66,CA1-RSC,20,200,0.0249093028043888,9,0.025568456056712277
66,CA1-RSC,21,210,0.0233042696503772,9,0.02453856544500985
66,CA1-RSC,22,220,0.022457722294032048,9,0.024163523674606103
66,CA1-RSC,23,230,0.017352763832613034,9,0.021073332902489812
66,CA1-RSC,24,240,0.011727884127022326,9,0.016998785393614706
66,CA1-RSC,25,250,0.0060513743489792465,9,0.012422429760940188
66,CA1-SUB,1,10,-0.10422400279623137,10,-0.06364435282093273
66,CA1-SUB,2,20,-0.10164062313430222,10,-0.0793306217978124
66,CA1-SUB,3,30,-0.0983445320241486,10,-0.08923969036296198
66,CA1-SUB,4,40,-0.092557820481025,10,-0.08953789155694858
66,CA1-SUB,5,50,-0.0874885169672029,10,-0.0855957506416998
66,CA1-SUB,6,60,-0.08498008227348922,10,-0.08119052093627321
66,CA1-SUB,7,70,-0.07101749122675083,10,-0.07027714222238388
66,CA1-SUB,8,80,-0.06039675446534014,10,-0.06029515087321676
66,CA1-SUB,9,90,-0.05011046913005882,10,-0.0503956171169823
66,CA1-SUB,10,100,-0.03644113559969904,10,-0.037985718151649556
66,CA1-SUB,11,110,-0.02284777053544552,10,-0.025557783962972206
66,CA1-SUB,12,120,-0.01598862896399319,10,-0.01655570449211064
66,CA1-SUB,13,130,-0.012623252603920308,10,-0.01049716672198088
66,CA1-SUB,14,140,-0.010967850893783045,10,-0.008578946163685033
66,CA1-SUB,15,150,-0.010774905228165954,10,-0.008621738572125939
66,CA1-SUB,16,160,-0.014927241536948826,10,-0.013281242302586453
66,CA1-SUB,17,170,-0.01852945393357674,10,-0.01775421387820506
66,CA1-SUB,18,180,-0.01819842732292854,10,-0.02008943667005879
66,CA1-SUB,19,190,-0.019279728487672877,10,-0.022261657021836162
66,CA1-SUB,20,200,-0.01788704655558184,10,-0.0224337148598541
66,CA1-SUB,21,210,-0.01637744442314431,10,-0.021855099628847102
66,CA1-SUB,22,220,-0.015426616579341662,10,-0.021380795904175538
66,CA1-SUB,23,230,-0.014888288050962987,10,-0.02060634750375477
66,CA1-SUB,24,240,-0.01431263031337299,10,-0.019665177045095
66,CA1-SUB,25,250,-0.012855495904634629,10,-0.017987295538613002
66,CA1-V1,1,10,0.004165412773542931,10,0.012453002022698507
