animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
73,1,CA1-RSC,session,900,-0.0199,-0.0645,0,0.0,0.6907,2,0.3117,0.2909
73,1,CA1-RSC,naive,900,0.07,0.0567,0,0.0,-0.1939,2,0.4957,0.384
73,1,CA1-RSC,intermediate,900,0.1336,-0.1507,1,0.009,0.18,0,0.3504,0.3508
73,1,CA1-RSC,expert,900,0.0638,0.2223,0,0.0,-0.0209,4,0.3365,0.4129
73,1,CA1-DG,session,900,0.1479,0.179,1,0.0111,-0.3159,0,0.3286,0.2399
73,1,CA1-DG,naive,900,0.1072,0.0323,1,0.0075,0.0517,0,0.4315,0.4693
73,1,CA1-DG,intermediate,900,0.1082,-0.145,2,0.0092,-0.1252,0,0.3916,0.3623
73,1,CA1-DG,expert,900,0.1958,0.132,2,0.0265,-0.1508,0,0.3706,0.3476
73,1,CA1-V1,session,900,0.1121,-0.0181,0,0.0,-0.341,0,0.3339,0.2857
73,1,CA1-V1,naive,900,0.0985,0.1592,0,0.0,-0.0421,0,0.434,0.3496
73,1,CA1-V1,intermediate,900,0.0903,0.2033,0,0.0,0.2276,5,0.3753,0.3118
73,1,CA1-V1,expert,900,0.0251,0.0146,0,0.0,-0.2163,8,0.3189,0.2702
73,1,CA1-SUB,session,900,0.0132,-0.0913,0,0.0,-0.1318,-1,0.3059,0.2719
73,1,CA1-SUB,naive,900,0.0167,0.0286,0,0.0,-0.0047,-7,0.4849,0.2654
73,1,CA1-SUB,intermediate,900,0.0843,0.0695,1,0.0061,-0.1885,-8,0.3512,0.2454
73,1,CA1-SUB,expert,900,0.0345,-0.1044,1,0.0049,0.4144,6,0.3545,0.3095
73,1,RSC-SUB,session,900,0.0806,0.2401,1,0.0033,0.4384,5,0.3197,0.2467
73,1,RSC-SUB,naive,900,0.067,0.0332,0,0.0,-0.3531,-4,0.4075,0.3113
73,1,RSC-SUB,intermediate,900,-0.0194,0.0284,0,0.0,-0.0896,1,0.3567,0.2981
73,1,RSC-SUB,expert,900,-0.058,0.0388,1,0.0053,0.4336,7,0.3505,0.2542
73,1,V1-RSC,session,900,0.1936,-0.0413,2,0.0225,-0.0349,0,0.2893,0.3358
73,1,V1-RSC,naive,900,0.0074,-0.0539,0,0.0,0.1135,0,0.3456,0.4065
73,1,V1-RSC,intermediate,900,0.1289,0.0975,3,0.0302,0.0133,0,0.3469,0.394
73,1,V1-RSC,expert,900,0.207,0.1291,1,0.0219,-0.1875,-3,0.4152,0.3442
75,1,CA1-RSC,session,900,0.0467,0.1864,1,0.0032,0.1902,8,0.338,0.3662
75,1,CA1-RSC,naive,900,0.0702,-0.2232,1,0.0048,0.0272,-3,0.4971,0.4593
75,1,CA1-RSC,intermediate,900,0.1108,0.0856,0,0.0,0.0023,0,0.4902,0.4171
75,1,CA1-RSC,expert,900,0.0302,0.0257,0,0.0,-0.4858,0,0.4913,0.3911
75,1,CA1-DG,session,900,0.2675,0.2564,1,0.0371,-0.3593,0,0.3552,0.5312
75,1,CA1-DG,naive,900,0.2333,0.211,2,0.0333,0.9431,0,0.4119,0.5343
75,1,CA1-DG,intermediate,900,0.1985,0.1778,2,0.0314,-0.387,0,0.4452,0.6208
75,1,CA1-DG,expert,900,0.1894,0.0416,1,0.0183,0.5475,0,0.4004,0.5474
75,1,CA1-V1,session,900,0.0406,0.056,0,0.0,0.0381,-8,0.3869,0.2868
75,1,CA1-V1,naive,900,0.1073,0.0419,0,0.0,0.3504,4,0.4593,0.2848
75,1,CA1-V1,intermediate,900,0.0858,0.1005,0,0.0,0.1502,0,0.4059,0.2464
75,1,CA1-V1,expert,900,0.0349,-0.0321,1,0.0065,0.2805,0,0.3473,0.2914
75,1,CA1-SUB,session,900,0.0155,-0.0201,0,0.0,-0.0393,0,0.3395,0.2487
75,1,CA1-SUB,naive,900,0.107,0.0666,1,0.0058,-0.2673,0,0.4,0.2336
75,1,CA1-SUB,intermediate,900,0.0911,0.0096,1,0.0042,-0.1086,6,0.3981,0.2517
75,1,CA1-SUB,expert,900,0.0785,0.0809,1,0.0075,0.9146,8,0.4653,0.2856
75,1,RSC-SUB,session,900,0.2318,0.1664,3,0.0467,0.2241,0,0.3825,0.2451
75,1,RSC-SUB,naive,900,0.207,-0.137,1,0.0219,0.5468,0,0.4426,0.2193
75,1,RSC-SUB,intermediate,900,0.2936,0.2439,3,0.0735,0.0171,0,0.4183,0.2456
75,1,RSC-SUB,expert,900,0.1799,0.208,3,0.0475,0.0723,0,0.4153,0.2737
75,1,V1-RSC,session,900,0.4555,0.3893,3,0.2073,-0.3412,0,0.3168,0.4619
75,1,V1-RSC,naive,900,0.4196,0.4504,3,0.1757,-0.1314,0,0.2762,0.4651
75,1,V1-RSC,intermediate,900,0.5049,0.4704,3,0.2459,-0.0307,0,0.2717,0.4624
75,1,V1-RSC,expert,900,0.5757,0.5596,3,0.3569,0.1493,0,0.3108,0.4242
77,1,CA1-RSC,session,900,0.0193,-0.2013,0,0.0,-0.2463,-2,0.2153,0.2627
77,1,CA1-RSC,naive,900,0.0067,0.0398,1,0.0056,-0.8002,-4,0.2416,0.367
77,1,CA1-RSC,intermediate,900,0.0905,0.0782,1,0.0041,0.6755,8,0.2802,0.3219
77,1,CA1-RSC,expert,900,0.101,0.0523,0,0.0,-0.1521,-7,0.2345,0.2979
77,1,CA1-DG,session,900,0.0588,0.2688,0,0.0,0.3025,8,0.1791,0.2482
77,1,CA1-DG,naive,900,0.053,-0.5507,0,0.0,-0.197,-5,0.1995,0.3349
77,1,CA1-DG,intermediate,900,0.05,0.0446,0,0.0,-0.1275,8,0.2646,0.3053
77,1,CA1-DG,expert,900,0.0856,0.0474,0,0.0,0.1753,8,0.3214,0.2637
77,1,CA1-V1,session,900,0.0579,0.098,1,0.0029,-0.0986,3,0.3711,0.3483
77,1,CA1-V1,naive,900,-0.0599,-0.1033,0,0.0,0.215,4,0.4335,0.3163
77,1,CA1-V1,intermediate,900,0.0673,0.1698,0,0.0,-0.6686,-3,0.246,0.2149
77,1,CA1-V1,expert,900,0.0091,0.0163,1,0.0056,-0.3688,-4,0.3482,0.2655
77,1,CA1-SUB,session,900,0.0278,-0.0378,0,0.0,-0.2767,-8,0.3207,0.4568
77,1,CA1-SUB,naive,900,0.0584,-0.3757,0,0.0,0.0184,5,0.2921,0.5209
77,1,CA1-SUB,intermediate,900,0.0016,0.041,0,0.0,0.245,-7,0.3194,0.4155
77,1,CA1-SUB,expert,900,-0.0385,-0.0212,0,0.0,-0.0204,4,0.2467,0.4957
77,1,RSC-SUB,session,900,0.0991,0.0743,2,0.0139,0.0114,2,0.2826,0.3768
77,1,RSC-SUB,naive,900,0.0373,0.0717,2,0.0325,-0.2723,-5,0.3303,0.3607
77,1,RSC-SUB,intermediate,900,0.0778,0.0408,0,0.0,-0.2466,-2,0.3125,0.3873
77,1,RSC-SUB,expert,900,0.1086,0.1705,2,0.0399,0.0547,6,0.2999,0.4746
77,1,V1-RSC,session,900,0.3296,0.0633,2,0.078,0.0899,0,0.3154,0.2865
77,1,V1-RSC,naive,900,0.3745,0.309,2,0.0999,0.307,0,0.3273,0.3523
77,1,V1-RSC,intermediate,900,0.3775,0.2807,2,0.11,0.0008,0,0.3113,0.3091
77,1,V1-RSC,expert,900,0.1642,0.1743,1,0.0456,-0.0827,-3,0.3974,0.3332
98,0,CA1-RSC,session,900,0.0651,0.0304,0,0.0,0.3426,7,0.2214,0.3195
98,0,CA1-CA3,session,900,0.5191,0.5412,3,0.2279,0.5189,0,0.4262,0.4241
100,0,CA1-RSC,session,900,0.0238,0.2327,1,0.0027,-0.1089,-3,0.2534,0.2782
100,0,CA1-DG,session,900,0.447,0.3083,2,0.1209,-0.2656,0,0.2763,0.417
100,0,CA1-V1,session,900,0.1182,0.0243,1,0.007,-0.0984,0,0.2732,0.2535
100,0,CA1-SUB,session,900,0.018,0.0615,1,0.0086,-0.0516,0,0.2354,0.2603
100,0,RSC-SUB,session,900,0.0792,-0.1186,0,0.0,-0.364,0,0.2801,0.232
100,0,V1-RSC,session,900,0.2823,0.298,3,0.0687,-0.2447,0,0.3204,0.2747
