pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-CA3,13,130,7,-0.04012187340936214,-0.07413174820102957,-0.034009874791667435,-0.3548405463592576,0.7348484247228284
CA1-CA3,14,140,7,-0.034139791830061314,-0.07517287091244583,-0.0410330790823845,-0.48185593727629783,0.6469802142996292
CA1-CA3,15,150,7,-0.039048246306782865,-0.08589680075972093,-0.046848554452938077,-0.5879704150541272,0.5779954085501228
CA1-CA3,16,160,7,-0.04417987905052812,-0.08382528565730517,-0.03964540660677707,-0.5760549027247921,0.5855212712313813
CA1-CA3,17,170,7,-0.04499276606350531,-0.08569436420838368,-0.04070159814487838,-0.5612369008022604,0.5949602511242055
CA1-CA3,18,180,7,-0.04684813863965538,-0.08749403299646877,-0.04064589435681339,-0.5700282251933237,0.5893496021941538
CA1-CA3,19,190,7,-0.045814371045443406,-0.08872553457996647,-0.04291116353452308,-0.608364345947021,0.565249322316024
CA1-CA3,20,200,7,-0.04253441670903484,-0.08975770900770401,-0.04722329229866916,-0.6751492471737258,0.5247307655536286
CA1-CA3,21,210,7,-0.03887671556842879,-0.0882184591033317,-0.049341743534902914,-0.6991817431493617,0.5106193978251732
CA1-CA3,22,220,7,-0.037352781331348554,-0.08933719875130319,-0.051984417419954666,-0.7455087601296032,0.48413466710910036
CA1-CA3,23,230,7,-0.038874439276438896,-0.08824987376699278,-0.049375434490553906,-0.708426588549197,0.5052583773010203
CA1-CA3,24,240,7,-0.03858211855610016,-0.08001446035519073,-0.04143234179909057,-0.6109037835243363,0.5636742157845072
CA1-CA3,25,250,7,-0.037263319650900684,-0.06984782091092848,-0.03258450126002781,-0.4845517563721105,0.6451747569999875
CA1-DG,1,10,8,0.02566130756607795,-0.05232543016893265,-0.0779867377350106,-0.5492902630957749,0.5998825301762576
CA1-DG,2,20,8,-0.02038065884100647,-0.050423888720548,-0.030043229879541524,-0.2465343064891675,0.8123421544892583
CA1-DG,3,30,8,-0.08815372447162875,-0.037782356444192464,0.0503713680274363,0.5876225546855868,0.5752430347678099
CA1-DG,4,40,8,-0.11692751685248096,-0.04865927990358515,0.0682682369488958,0.7762027767916259,0.46304415390016196
