animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
52,1,CA1-CA3,30.5,0.3315,0.3941,-5.5,8000,0.4121,9,0.3546,0.0094,0,0.3416,0.3444,0.3162,0.3428,55.29,53.43,0.25,0.3913,70.0,74.12
52,1,CA1-CA3,45.5,0.5,0.7402,9.5,8000,-0.0035,3,0.0893,0.0277,0,0.2582,0.2893,0.1896,0.1734,63.83,60.02,0.1538,0.2308,53.41,65.24
52,1,CA1-CA3,60.5,0.6685,0.7918,24.5,6000,0.2235,2,0.0409,0.0158,0,0.2735,0.288,0.1604,0.1709,66.04,68.27,0.3636,0.1852,78.28,85.41
52,1,CA1-CA3,75.5,0.8371,0.609,39.5,6000,-0.0031,6,0.2638,-0.0055,0,0.2654,0.2746,0.197,0.1933,82.75,77.99,0.2,0.3333,86.14,86.19
52,1,CA1-DG,15.5,0.1629,0.1583,-20.5,8000,0.3576,2,0.0789,-0.0056,0,0.3632,0.1872,0.2315,0.1923,nan,nan,,,79.57,79.66
52,1,CA1-DG,30.5,0.3315,0.3941,-5.5,8000,0.0839,1,0.0118,0.0134,0,0.341,0.1347,0.209,0.1605,75.75,79.57,0.3043,0.3846,74.09,81.81
52,1,CA1-DG,45.5,0.5,0.7402,9.5,8000,0.2693,14,0.8165,0.0047,0,0.2587,0.1061,0.2083,0.1439,87.05,81.34,0.2,0.125,82.62,80.8
52,1,CA1-DG,60.5,0.6685,0.7918,24.5,6000,0.3524,12,0.2993,-0.0307,0,0.2719,0.1167,0.1752,0.1397,86.42,76.96,0.3043,0.2857,83.62,82.59
52,1,CA1-DG,75.5,0.8371,0.609,39.5,6000,0.6052,10,0.874,0.0183,0,0.2662,0.1426,0.2102,0.1559,88.41,83.83,0.25,0.3846,82.12,76.28
52,1,CA1-V1,15.5,0.1629,0.1583,-20.5,8000,0.2597,1,0.0349,-0.0231,0,0.3619,0.2967,0.1658,0.145,nan,nan,,,80.57,81.14
