pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
CA3-DG,2,1,10,5,-0.0476673932732373,-1.6142958762831776,0.1817632602159423
CA3-DG,2,2,20,5,-0.071961732022434,-2.701765804921829,0.053995476079550256
CA3-DG,2,3,30,5,-0.08593277014260091,-4.388197906899949,0.01179918258097377
CA3-DG,2,4,40,5,-0.07692701402329039,-4.651681652231313,0.009649319682440084
CA3-DG,2,5,50,5,-0.06838427334680286,-3.5255839811666867,0.02432720022478184
CA3-DG,2,6,60,5,-0.06167650692091856,-3.056462097569692,0.0377888217467325
CA3-DG,2,7,70,5,-0.05032421501328518,-2.6529761045365388,0.05680503142396514
CA3-DG,2,8,80,5,-0.03919744560822136,-2.001823094475053,0.11587508825845079
CA3-DG,2,9,90,5,-0.027584892270420887,-1.5047201860229225,0.20684324718929326
CA3-DG,2,10,100,5,-0.01863877355180176,-1.1817872174012314,0.3027479911527632
CA3-DG,2,11,110,5,-0.010852846748776773,-0.695708865445763,0.5249150309181854
CA3-DG,2,12,120,5,-0.00649602723722693,-0.35580961854098,0.73995494014875
CA3-DG,2,13,130,5,-0.0049754436622579225,-0.2477369571366754,0.8165353317490961
CA3-DG,2,14,140,5,-0.005867905396943496,-0.30024791075865204,0.7789455636089326
CA3-DG,2,15,150,5,-0.009105894821778067,-0.5282988019846534,0.6252441655320404
CA3-DG,2,16,160,5,-0.01312851736487378,-0.8967044403198244,0.42056667721629826
CA3-DG,2,17,170,5,-0.01632583858840098,-1.276532719545508,0.270842765456054
CA3-DG,2,18,180,5,-0.017699192495728204,-1.3797905013620815,0.239760503004237
CA3-DG,2,19,190,5,-0.0180407885750754,-1.3654011274263662,0.24387268073441035
CA3-DG,2,20,200,5,-0.017950846714988738,-1.3903242306542418,0.23679370679952455
CA3-DG,2,21,210,5,-0.017344232626134843,-1.3074749618872437,0.2611385454622818
CA3-DG,2,22,220,5,-0.015414868893276732,-1.140526192688803,0.3177185129300215
CA3-DG,2,23,230,5,-0.01230335110648384,-0.9126758807579136,0.4130455207754353
CA3-DG,2,24,240,5,-0.009123191138551727,-0.7058056087829098,0.5192458572305041
CA3-DG,2,25,250,5,-0.0056812249319057595,-0.44198031647636493,0.6813479127447344
CA3-DG,3,1,10,5,-0.021672523735911487,-0.5550670165676584,0.6084246207245161
CA3-DG,3,2,20,5,0.009461748670657877,0.22161090893970445,0.8354707454624146
CA3-DG,3,3,30,5,0.014874835818225924,0.35018939570912117,0.7438589181264985
CA3-DG,3,4,40,5,0.006245103960695539,0.16411704624350523,0.8775980536613435
CA3-DG,3,5,50,5,-0.012199640993513967,-0.39780502382142136,0.7110905251372166
CA3-DG,3,6,60,5,-0.02453867323218189,-0.9358986773317008,0.40231032425465074
CA3-DG,3,7,70,5,-0.02715918838247964,-1.1591054692285938,0.31089447227215045
CA3-DG,3,8,80,5,-0.0213776511655442,-1.0335752853006706,0.35972712353516656
CA3-DG,3,9,90,5,-0.017324547111206352,-0.8954288688965307,0.42117222602414767
CA3-DG,3,10,100,5,-0.01311647532976962,-0.6265851058500397,0.5649147132024233
CA3-DG,3,11,110,5,-0.009514976808322865,-0.4465781032391767,0.6782907891237826
CA3-DG,3,12,120,5,-0.004923740003196053,-0.22826053867343074,0.8306378159761212
CA3-DG,3,13,130,5,-0.0023835485556194026,-0.10714119783319087,0.9198356960673821
CA3-DG,3,14,140,5,-0.0016176675703165721,-0.07752166678124443,0.9419314282180605
CA3-DG,3,15,150,5,7.230777110002473e-05,0.003888281949331939,0.997083797723263
CA3-DG,3,16,160,5,0.0005803234863326651,0.034309079718916335,0.9742744985213065
CA3-DG,3,17,170,5,-0.0009659650535674413,-0.0647609563845557,0.9514716745193832
CA3-DG,3,18,180,5,-0.0034542445061577624,-0.2714916273643219,0.7994486766744371
CA3-DG,3,19,190,5,-0.0059789856790778174,-0.5419086746063312,0.6166570424369486
CA3-DG,3,20,200,5,-0.00799546658928172,-0.8157088033203073,0.46045277273815555
CA3-DG,3,21,210,5,-0.008889445786616976,-1.0061819150955496,0.37125511203566197
CA3-DG,3,22,220,5,-0.008734840205118074,-1.0672463986078933,0.3459918314889347
CA3-DG,3,23,230,5,-0.007603008343599188,-0.9293911861430291,0.4052946160880757
CA3-DG,3,24,240,5,-0.006743178863738026,-0.8272017093089362,0.4546151483215264
CA3-DG,3,25,250,5,-0.006299007122532496,-0.7874327519033442,0.475065997429034
CA3-DG,4,1,10,5,-0.07858979229054287,-7.2726205631003795,0.0018990547701131374
CA3-DG,4,2,20,5,-0.05984188691870122,-2.4100585289276877,0.07355013382084118
CA3-DG,4,3,30,5,-0.05592741804449797,-1.8886735365745269,0.13195248497851406
CA3-DG,4,4,40,5,-0.0547797032200914,-1.8768492743244565,0.13376746215749966
CA3-DG,4,5,50,5,-0.04487732675321965,-1.8719752370855822,0.13452343532360553
CA3-DG,4,6,60,5,-0.03929023406035157,-1.869746473207077,0.13487065542442156
CA3-DG,4,7,70,5,-0.03199699203259298,-1.7644441604096717,0.1524242656895624
CA3-DG,4,8,80,5,-0.024215762878536683,-1.7518601561505396,0.15467980483989252
CA3-DG,4,9,90,5,-0.014401133619174755,-1.3479933613205672,0.24894038414241385
CA3-DG,4,10,100,5,-0.006263657175798516,-0.6763985041971498,0.5358815349665034
CA3-DG,4,11,110,5,-0.004227297212476722,-0.557469372094441,0.6069290815281834
CA3-DG,4,12,120,5,-0.00012496218795192797,-0.0153870307934202,0.9884602960952533
CA3-DG,4,13,130,5,-0.0004525965473072775,-0.04492289778609225,0.9663219843802741
CA3-DG,4,14,140,5,0.0001302730299506262,0.012169175883621363,0.9908733996574572
CA3-DG,4,15,150,5,-0.0004160686591458358,-0.035003180710738456,0.9737543133577964
CA3-DG,4,16,160,5,-0.005170301152631494,-0.44794675875359286,0.6773821930659014
CA3-DG,4,17,170,5,-0.005635579263982996,-0.435999131890611,0.6853359605034037
