animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-DG,all,naive,80,-0.011991,10
28,CA1-DG,all,naive,90,-0.00021199999999999943,10
28,CA1-DG,all,naive,100,0.013439000000000001,10
28,CA1-DG,all,naive,110,0.024633,10
28,CA1-DG,all,naive,120,0.036445,10
28,CA1-DG,all,naive,130,0.042466,10
28,CA1-DG,all,naive,140,0.038065,10
28,CA1-DG,all,naive,150,0.028505999999999997,10
28,CA1-DG,all,naive,160,0.017432,10
28,CA1-DG,all,naive,170,0.00045099999999999985,10
28,CA1-DG,all,naive,180,-0.011985,10
28,CA1-DG,all,naive,190,-0.017192000000000002,10
28,CA1-DG,all,naive,200,-0.018238,10
28,CA1-DG,all,naive,210,-0.01598,10
28,CA1-DG,all,naive,220,-0.004829999999999999,10
28,CA1-DG,all,naive,230,0.005796,10
28,CA1-DG,all,naive,240,0.01795,10
28,CA1-DG,all,naive,250,0.025880000000000004,10
28,CA1-V1,all,expert,-250,0.047403,10
28,CA1-V1,all,expert,-240,0.049134,10
28,CA1-V1,all,expert,-230,0.052499,10
28,CA1-V1,all,expert,-220,0.051215,10
28,CA1-V1,all,expert,-210,0.052439,10
28,CA1-V1,all,expert,-200,0.054884,10
28,CA1-V1,all,expert,-190,0.055124000000000006,10
28,CA1-V1,all,expert,-180,0.05373,10
28,CA1-V1,all,expert,-170,0.055012000000000005,10
28,CA1-V1,all,expert,-160,0.055174,10
28,CA1-V1,all,expert,-150,0.055564999999999996,10
28,CA1-V1,all,expert,-140,0.055864000000000004,10
28,CA1-V1,all,expert,-130,0.05387499999999999,10
28,CA1-V1,all,expert,-120,0.058394,10
28,CA1-V1,all,expert,-110,0.058072,10
28,CA1-V1,all,expert,-100,0.058189000000000005,10
28,CA1-V1,all,expert,-90,0.053886,10
28,CA1-V1,all,expert,-80,0.053055,10
28,CA1-V1,all,expert,-70,0.056116,10
28,CA1-V1,all,expert,-60,0.055847999999999995,10
28,CA1-V1,all,expert,-50,0.054217,10
28,CA1-V1,all,expert,-40,0.057955999999999994,10
28,CA1-V1,all,expert,-30,0.058287,10
28,CA1-V1,all,expert,-20,0.058811999999999996,10
28,CA1-V1,all,expert,-10,0.059285,10
28,CA1-V1,all,expert,0,0.060854,10
28,CA1-V1,all,expert,10,0.058701,10
28,CA1-V1,all,expert,20,0.05693,10
28,CA1-V1,all,expert,30,0.054412,10
28,CA1-V1,all,expert,40,0.056772,10
28,CA1-V1,all,expert,50,0.053315999999999995,10
28,CA1-V1,all,expert,60,0.054844000000000004,10
28,CA1-V1,all,expert,70,0.051734,10
28,CA1-V1,all,expert,80,0.05358,10
28,CA1-V1,all,expert,90,0.05187699999999999,10
28,CA1-V1,all,expert,100,0.053205999999999996,10
28,CA1-V1,all,expert,110,0.05453399999999999,10
28,CA1-V1,all,expert,120,0.052980000000000006,10
28,CA1-V1,all,expert,130,0.052117000000000004,10
28,CA1-V1,all,expert,140,0.051328,10
28,CA1-V1,all,expert,150,0.05343,10
28,CA1-V1,all,expert,160,0.054705000000000004,10
28,CA1-V1,all,expert,170,0.058055,10
28,CA1-V1,all,expert,180,0.053846000000000005,10
28,CA1-V1,all,expert,190,0.051939,10
28,CA1-V1,all,expert,200,0.051065000000000006,10
28,CA1-V1,all,expert,210,0.052312000000000004,10
28,CA1-V1,all,expert,220,0.052109,10
28,CA1-V1,all,expert,230,0.049878,10
28,CA1-V1,all,expert,240,0.050170000000000006,10
28,CA1-V1,all,expert,250,0.049984,10
28,CA1-V1,all,intermediate,-250,0.046050999999999995,10
28,CA1-V1,all,intermediate,-240,0.045924,10
28,CA1-V1,all,intermediate,-230,0.044924000000000006,10
28,CA1-V1,all,intermediate,-220,0.04516,10
28,CA1-V1,all,intermediate,-210,0.046355999999999994,10
28,CA1-V1,all,intermediate,-200,0.046397,10
28,CA1-V1,all,intermediate,-190,0.046532000000000004,10
28,CA1-V1,all,intermediate,-180,0.046005000000000004,10
28,CA1-V1,all,intermediate,-170,0.048555,10
28,CA1-V1,all,intermediate,-160,0.050817999999999995,10
28,CA1-V1,all,intermediate,-150,0.050378,10
28,CA1-V1,all,intermediate,-140,0.048981000000000004,10
28,CA1-V1,all,intermediate,-130,0.049368,10
28,CA1-V1,all,intermediate,-120,0.047884,10
28,CA1-V1,all,intermediate,-110,0.051198,10
28,CA1-V1,all,intermediate,-100,0.050648000000000006,10
28,CA1-V1,all,intermediate,-90,0.050595,10
28,CA1-V1,all,intermediate,-80,0.04981,10
28,CA1-V1,all,intermediate,-70,0.045930000000000006,10
28,CA1-V1,all,intermediate,-60,0.047670000000000004,10
28,CA1-V1,all,intermediate,-50,0.051077000000000004,10
28,CA1-V1,all,intermediate,-40,0.050066,10
28,CA1-V1,all,intermediate,-30,0.046826,10
28,CA1-V1,all,intermediate,-20,0.048507,10
28,CA1-V1,all,intermediate,-10,0.053989999999999996,10
28,CA1-V1,all,intermediate,0,0.058894,10
28,CA1-V1,all,intermediate,10,0.053611,10
28,CA1-V1,all,intermediate,20,0.049101,10
28,CA1-V1,all,intermediate,30,0.049967,10
28,CA1-V1,all,intermediate,40,0.047383999999999996,10
28,CA1-V1,all,intermediate,50,0.044662999999999994,10
28,CA1-V1,all,intermediate,60,0.047001,10
28,CA1-V1,all,intermediate,70,0.047920000000000004,10
