animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
71,0,V1-RSC,20,-0.2499999999999999,-210.0,0.0263,0.0015,1,14
71,0,V1-RSC,21,0.14207317073170733,-220.0,0.0305,-0.0034,1,14
71,0,V1-RSC,22,0.11126373626373619,-200.0,0.0318,-0.013,0,14
71,0,V1-RSC,23,-0.0430062630480167,-50.0,0.0196,-0.0052,0,14
71,0,V1-RSC,24,-0.09220580743759564,-40.0,0.0159,-0.0053,0,14
71,0,V1-RSC,25,-0.10347490347490348,90.0,0.0204,0.006,0,14
71,0,V1-RSC,26,0.20686835650040883,190.0,0.026,-0.0097,1,14
71,0,V1-RSC,27,-0.10199999999999998,60.0,0.0286,-0.0234,1,14
71,0,V1-RSC,28,-0.007590132827324526,190.0,0.0264,-0.0107,0,14
71,0,V1-RSC,29,-0.2182741116751269,-240.0,0.0217,-0.0074,0,14
71,0,V1-RSC,30,-0.12324929971988806,-40.0,0.0159,0.0075,0,14
73,1,CA1-DG,1,-0.09957279000985865,-170.0,0.0347,0.0101,0,5
73,1,CA1-DG,2,-0.2301255230125523,-170.0,0.0332,-0.0106,1,5
73,1,CA1-DG,3,0.1433551198257081,-140.0,0.0353,0.0052,0,5
73,1,CA1-DG,4,0.3267023718439173,130.0,0.042,0.0081,0,5
73,1,CA1-DG,5,-0.09090909090909097,-50.0,0.0233,0.0111,1,5
73,1,CA1-DG,6,0.016109045848822723,-220.0,0.0279,0.0008,1,5
73,1,CA1-DG,7,0.24324324324324323,130.0,0.028,0.0188,1,5
73,1,CA1-DG,8,0.16313213703099508,-40.0,0.0214,-0.0132,1,5
73,1,CA1-DG,9,-0.024989758295780453,30.0,0.0358,-0.0077,0,5
73,1,CA1-DG,10,-0.08118701007838755,30.0,0.0367,0.0148,0,5
73,1,CA1-DG,11,-0.07581227436823106,110.0,0.0205,0.0039,0,5
73,1,CA1-DG,12,0.1111937523242842,220.0,0.0274,-0.0005,0,5
73,1,CA1-DG,13,0.21443998765813024,-30.0,0.0268,0.0091,0,5
73,1,CA1-DG,14,-0.10219822599305818,-80.0,0.0286,0.0098,0,5
73,1,CA1-DG,15,0.08698190309398719,-40.0,0.0232,0.0034,0,5
73,1,CA1-DG,16,-0.06429026098026726,-80.0,0.0171,-0.0053,0,5
73,1,CA1-DG,17,-0.5910780669144982,-40.0,0.0127,0.006,0,5
73,1,CA1-DG,18,-0.0008643042350906792,-50.0,0.0319,0.0093,0,5
73,1,CA1-DG,19,0.023746701846965704,-80.0,0.0214,0.0129,0,5
73,1,CA1-DG,20,-0.21897233201581018,-60.0,0.0222,-0.0037,0,5
73,1,CA1-DG,21,0.100418410041841,30.0,0.021,-0.0119,0,5
73,1,CA1-DG,22,0.5500910746812387,230.0,0.0251,-0.0027,0,5
73,1,CA1-RSC,1,-0.17826265953067108,-20.0,0.0384,0.0244,0,0
73,1,CA1-RSC,2,-0.3114577729962345,-160.0,0.0185,0.0137,0,0
73,1,CA1-RSC,3,-0.1373035566583953,-20.0,0.0286,0.0224,0,0
73,1,CA1-RSC,4,-0.023031601499732168,0.0,0.0194,0.0194,0,0
73,1,CA1-RSC,5,-0.05094079853143643,70.0,0.0216,-0.0068,0,0
73,1,CA1-RSC,6,-0.058899259736079825,170.0,0.025,-0.0024,0,0
73,1,CA1-RSC,7,-0.039070749736008444,-170.0,0.0208,0.0088,0,0
73,1,CA1-RSC,8,0.24394404640054587,130.0,0.0239,-0.0057,0,0
73,1,CA1-RSC,9,0.1768202080237742,70.0,0.0225,-0.016,0,0
73,1,CA1-RSC,10,0.24828421477593854,10.0,0.0272,-0.0087,0,0
73,1,CA1-RSC,11,0.09259259259259264,-110.0,0.0225,0.0047,0,0
73,1,CA1-RSC,12,-0.06085526315789479,90.0,0.0216,0.0044,0,0
73,1,CA1-RSC,13,-0.06480558325024936,160.0,0.0177,0.0006,0,0
73,1,CA1-RSC,14,0.3135646687697161,90.0,0.0194,0.0121,0,0
73,1,CA1-RSC,15,-0.4707903780068729,-110.0,0.0237,0.0034,0,0
73,1,CA1-RSC,16,0.09649122807017546,-20.0,0.0283,0.0057,0,0
73,1,CA1-RSC,17,0.26081730769230765,70.0,0.022,-0.0111,0,0
73,1,CA1-RSC,18,0.2896596017983301,100.0,0.0161,-0.0044,0,0
73,1,CA1-RSC,19,0.024808299503834074,90.0,0.0308,0.0008,0,0
73,1,CA1-RSC,20,-0.015384615384615394,-250.0,0.0282,0.001,0,0
73,1,CA1-RSC,21,0.028732394366197147,120.0,0.0162,-0.0021,0,0
73,1,CA1-RSC,22,-0.009749303621170002,-50.0,0.0203,0.0057,0,0
73,1,CA1-SUB,1,0.111804008908686,-80.0,0.0733,0.0604,1,6
73,1,CA1-SUB,2,0.27991490870413055,200.0,0.0484,0.0306,0,6
73,1,CA1-SUB,3,0.04530201342281871,0.0,0.0458,0.0458,0,6
73,1,CA1-SUB,4,0.04370629370629375,60.0,0.0312,-0.0169,0,6
73,1,CA1-SUB,5,0.19213583556747102,240.0,0.0324,0.0149,0,6
