animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
66,V1-RSC,expert,0.15233,0.0,-0.045819292588911306,70.0,150.0,0.5558327315696185,6000,0.1838
66,V1-RSC,intermediate,0.17644,0.0,-0.18650062838781095,70.0,130.0,0.4870210836545001,6000,0.1838
66,V1-RSC,naive,0.22491,20.0,-0.03631228525341855,110.0,140.0,0.6196700902583255,6000,0.1838
68,CA1-CA3,expert,0.39222,0.0,-0.05173553933327283,20.0,140.0,0.6809698638519198,6000,0.4036
68,CA1-CA3,intermediate,0.39971,0.0,-0.031584839531459165,20.0,140.0,0.7155687873708438,6000,0.4036
68,CA1-CA3,naive,0.42262,0.0,-0.023536500858666484,20.0,130.0,0.7047465808527755,6000,0.4036
68,CA1-DG,expert,0.29184,0.0,-0.02072383300841834,20.0,130.0,0.6613555372807017,6000,0.2983
68,CA1-DG,intermediate,0.30283,0.0,-0.05837856010758366,20.0,140.0,0.6568371693689529,6000,0.2983
68,CA1-DG,naive,0.30374,0.0,-0.05595808127448547,20.0,140.0,0.6753473365378284,6000,0.2983
68,CA1-RSC,expert,0.06323,0.0,0.19298949969116724,20.0,60.0,0.6715166851178238,6000,0.0688
68,CA1-RSC,intermediate,0.05529,-220.0,0.027878672019371734,10.0,390.0,0.982275275818412,6000,0.0688
68,CA1-RSC,naive,0.05411,0.0,-0.01145739040475881,20.0,110.0,0.880059138791351,6000,0.0688
68,CA3-DG,expert,0.28058,0.0,0.04073395787842504,40.0,140.0,0.7374010977261387,6000,0.2573
68,CA3-DG,intermediate,0.27783,0.0,-0.0010526859381020858,30.0,130.0,0.6616276140085664,6000,0.2573
68,CA3-DG,naive,0.21974,0.0,0.04439356267588159,40.0,130.0,0.7187585328115045,6000,0.2573
73,CA1-DG,expert,0.0963,0.0,0.18524382235735418,10.0,140.0,0.6997923156801662,6000,0.1124
73,CA1-DG,intermediate,0.08539,-10.0,-0.05372024445489122,40.0,130.0,0.7971659444899872,6000,0.1124
73,CA1-DG,naive,0.03304,0.0,-0.3479814219364059,0.0,130.0,0.891041162227603,6000,0.1124
73,CA1-RSC,expert,0.0689,0.0,-0.08436407063038474,10.0,240.0,0.5484760522496371,6000,0.1021
73,CA1-RSC,intermediate,0.05047,0.0,0.34084434749133835,60.0,140.0,0.8613037447988905,6000,0.1021
73,CA1-RSC,naive,0.06227,0.0,0.17945451714718402,10.0,190.0,0.5720250521920668,6000,0.1021
73,CA1-SUB,expert,0.12694,0.0,-0.009742896673932263,30.0,240.0,0.6262013549708524,6000,0.1399
73,CA1-SUB,intermediate,0.16963,0.0,0.02813730895310575,350.0,180.0,0.6973412721806285,6000,0.1399
73,CA1-SUB,naive,0.07026,-160.0,-0.1862947809892511,30.0,160.0,0.7392541986905778,6000,0.1399
73,CA1-V1,expert,0.1335,-140.0,-0.07023493912020752,500.0,,,6000,0.1163
73,CA1-V1,intermediate,0.11977,0.0,-0.020673562517311825,180.0,70.0,0.7501043667028472,6000,0.1163
