pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-CA3,9,90,6,0.23621189221099834,-0.03074142046138019,-0.26695331267237854,-1.37251043480563,0.22827102627954501
CA1-CA3,10,100,6,0.22060930910083199,-0.04505591890190296,-0.26566522800273495,-1.424973554245648,0.21347949301343008
CA1-CA3,11,110,6,0.18581775509429563,-0.06314795086884442,-0.24896570596313997,-1.417183000184099,0.21561711879501919
CA1-CA3,12,120,6,0.12785558607383193,-0.06873508217729649,-0.1965906682511284,-1.337025889715322,0.23881598493314996
CA1-CA3,13,130,6,0.12413717288186332,-0.05782696632952466,-0.181964139211388,-1.1879427957057718,0.28820414032666924
CA1-CA3,14,140,6,0.12955397709489838,-0.05065228115674319,-0.18020625825164152,-1.158420525032816,0.2990114327373012
CA1-CA3,15,150,6,0.13209591710733448,-0.04265693432252834,-0.17475285142986277,-1.1140177231322674,0.3159371967077259
CA1-CA3,16,160,6,0.13822137060742187,-0.03754172329139458,-0.17576309389881647,-1.113486085428091,0.31614480434084663
CA1-CA3,17,170,6,0.14398907716278148,-0.032430693280970396,-0.17641977044375187,-1.1216095561413013,0.3129854181940561
CA1-CA3,18,180,6,0.1439585647030073,-0.03284835349261054,-0.17680691819561786,-1.1325690319216457,0.30876657205187813
CA1-CA3,19,190,6,0.14395856470300733,-0.0335985359970757,-0.17755710070008301,-1.1431072798325141,0.3047567653346926
CA1-CA3,20,200,6,0.14395856470300736,-0.03284050378574487,-0.17679906848875218,-1.1437658574259046,0.30450769617621026
CA1-CA3,21,210,6,0.1439585647030073,-0.03232721404596959,-0.1762857787489769,-1.1442152129376122,0.3043378556402069
CA1-CA3,22,220,6,0.1439585647030073,-0.032655512637933266,-0.17661407734094056,-1.1439274873608885,0.3044465961987498
CA1-CA3,23,230,6,0.14331245317410465,-0.03752896844673312,-0.1808414216208378,-1.177430179316438,0.2920121777145262
CA1-CA3,24,240,6,0.1377921589905574,-0.04475875645183828,-0.18255091544239568,-1.20071542686599,0.2836369548631755
CA1-CA3,25,250,6,0.12632828540374966,-0.05218775440812182,-0.17851603981187147,-1.1826748424320161,0.2901068278954972
CA1-DG,1,10,8,-0.16060778200964096,-0.09442543723191675,0.06618234477772421,0.6656906395273374,0.5269283852547404
CA1-DG,2,20,8,-0.13204918781776756,-0.10202287009176204,0.030026317726005558,0.2456096737057102,0.8130299954445782
CA1-DG,3,30,8,-0.09924924489031221,-0.10876354187158233,-0.009514296981270112,-0.07342287143958581,0.9435236292372255
CA1-DG,4,40,8,-0.10184289242237364,-0.1226847489052591,-0.020841856482885487,-0.1598117358337225,0.8775430520654774
CA1-DG,5,50,8,-0.10527392529090224,-0.12305454439276643,-0.01778061910186418,-0.1353014116585324,0.8961820760720407
CA1-DG,6,60,8,-0.10527392529090226,-0.12305454439276645,-0.01778061910186421,-0.13530141165853266,0.8961820760720405
CA1-DG,7,70,8,-0.10527392529090224,-0.12305454439276645,-0.01778061910186418,-0.1353014116585324,0.8961820760720407
CA1-DG,8,80,8,-0.10527392529090224,-0.12305454439276643,-0.017780619101864223,-0.13530141165853274,0.8961820760720405
CA1-DG,9,90,8,-0.08599375143876536,-0.12080803224504481,-0.03481428080627948,-0.2968231815470003,0.7752155347882883
CA1-DG,10,100,8,-0.046610172391738036,-0.08214712078529145,-0.0355369483935534,-0.39803779995572397,0.7024625428452571
CA1-DG,11,110,8,-0.042480730103488934,-0.02987750602859458,0.01260322407489435,0.22163350371254437,0.830926068764862
CA1-DG,12,120,8,-0.03773058577255578,0.018069624071009052,0.05580020984356484,1.2264879552932602,0.259666004121345
CA1-DG,13,130,8,-0.043016009909309955,0.02604232517937465,0.0690583350886846,1.619312337285864,0.14941218483667076
CA1-DG,14,140,8,-0.04972490296643381,0.01676513294326687,0.06649003590970066,1.3448316931504176,0.22061964534284928
CA1-DG,15,150,8,-0.05548642961360226,-0.004136325282755673,0.051350104330846594,0.9446626803092257,0.37628706721791516
CA1-DG,16,160,8,-0.06032706109564924,-0.018271507908939832,0.04205555318670941,0.7578327990827645,0.4732864830109248
CA1-DG,17,170,8,-0.062327434588588825,-0.028238742912100566,0.03408869167648826,0.6018971233885301,0.5662189899224259
CA1-DG,18,180,8,-0.068099443919195,-0.028367082105988452,0.03973236181320654,0.6627293774896144,0.5287139843323698
CA1-DG,19,190,8,-0.07154856006191912,-0.028441474845341614,0.04310708521657751,0.7179958819654759,0.4960177996136568
CA1-DG,20,200,8,-0.0720185006719907,-0.028441474845341614,0.04357702582664909,0.7255103110246145,0.4916758649920445
CA1-DG,21,210,8,-0.07207014983732676,-0.02711354023934519,0.044956609597981555,0.7333546256368486,0.4871700836781965
CA1-DG,22,220,8,-0.07207014983732678,-0.027113540239345226,0.04495660959798155,0.7333546256368488,0.48717008367819636
CA1-DG,23,230,8,-0.06569902226464155,-0.02372900299552781,0.04197001926911375,0.6989618399758839,0.5071276209172381
CA1-DG,24,240,8,-0.06081088233237012,-0.01090494259515105,0.04990593973721907,0.868523717885971,0.4138910708235094
CA1-DG,25,250,8,-0.06027922177859003,-0.0006176068667214218,0.059661614911868596,1.2866084700657932,0.23914408185667516
CA1-V1,1,10,10,-0.008062188802640011,-0.003957713885879717,0.004104474916760298,0.09554202118501916,0.9259778327683682
CA1-V1,2,20,10,-0.01428227605424377,0.005670839821587085,0.019953115875830853,0.670321105362083,0.5194811022631727
CA1-V1,3,30,10,-0.02668157334747448,0.0035864682681282277,0.030268041615602703,0.7224798799857864,0.4883467368026645
CA1-V1,4,40,10,-0.03501144839275851,-0.00011083944835154746,0.034900608944406955,0.86381115349344,0.41012158678689237
CA1-V1,5,50,10,-0.03722241948132511,-0.0015165899842337735,0.03570582949709135,1.1616967802192917,0.2752397968844646
CA1-V1,6,60,10,-0.03023557538431243,-0.004432417653002721,0.025803157731309707,1.0525031890893233,0.3200053424523397
CA1-V1,7,70,10,-0.015113509943222404,-0.0027350819522798404,0.012378427990942567,0.5199473558996791,0.6156460791030954
CA1-V1,8,80,10,-0.011184333804104996,-0.0022750129501301663,0.008909320853974832,0.3519410172587621,0.7329824226414924
CA1-V1,9,90,10,-0.012851388567936894,-0.003848496070583783,0.009002892497353112,0.35291723323338664,0.7322749921791579
CA1-V1,10,100,10,-0.01198822665770934,-0.00489425868707854,0.007093967970630798,0.26591198232365815,0.7962982366560141
