animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-V1,naive,10,-1,-10,5990,0.0694,0.0355,0,68.15,57.56,21.02,22.14,87.71,86.89,83.45,73.17,0.3282,0.4589,73.56,71.43,28.67
28,1,CA1-V1,naive,10,2,20,5980,0.1123,0.06,0,75.29,77.07,30.05,26.28,87.71,86.89,83.45,73.17,0.3165,0.4721,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-2,-20,5980,0.0941,0.054,0,77.11,81.89,21.67,28.12,87.71,86.89,83.45,73.17,0.3256,0.4501,73.56,71.43,28.67
28,1,CA1-V1,naive,10,3,30,5970,0.1195,0.0677,0,81.07,83.43,33.91,32.71,87.71,86.89,83.45,73.17,0.33,0.4493,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-3,-30,5970,0.0556,0.0627,0,73.12,69.72,32.48,38.88,87.71,86.89,83.45,73.17,0.2797,0.4758,73.56,71.43,28.67
28,1,CA1-V1,naive,10,4,40,5960,0.0957,0.0702,0,89.67,84.09,36.31,34.81,87.71,86.89,83.45,73.17,0.3009,0.4584,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-4,-40,5960,0.0922,0.0762,0,68.93,70.19,38.61,37.54,87.71,86.89,83.45,73.17,0.3353,0.4643,73.56,71.43,28.67
28,1,CA1-V1,naive,10,5,50,5950,0.0685,0.0417,0,59.02,71.0,30.77,32.38,87.71,86.89,83.45,73.17,0.3431,0.4584,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-5,-50,5950,0.1261,0.0659,0,66.36,64.71,33.23,27.46,87.71,86.89,83.45,73.17,0.3462,0.4544,73.56,71.43,28.67
28,1,CA1-V1,naive,10,7,70,5930,0.0475,0.0443,0,80.32,83.51,32.23,29.96,87.71,86.89,83.45,73.17,0.3602,0.4695,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-7,-70,5930,0.1045,0.0562,0,70.71,82.57,29.36,31.01,87.71,86.89,83.45,73.17,0.4159,0.4502,73.56,71.43,28.67
28,1,CA1-V1,naive,10,10,100,5900,0.069,0.0386,0,75.24,90.0,30.87,28.12,87.71,86.89,83.45,73.17,0.3344,0.4748,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-10,-100,5900,0.1231,0.0532,0,59.67,81.55,29.75,31.53,87.71,86.89,83.45,73.17,0.3714,0.4507,73.56,71.43,28.67
28,1,CA1-V1,naive,10,15,150,5850,0.0654,0.043,0,84.49,82.67,63.56,30.46,87.71,86.89,83.45,73.17,0.7432,0.4789,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-15,-150,5850,0.1093,0.041,0,75.2,87.67,35.67,36.83,87.71,86.89,83.45,73.17,0.3541,0.4425,73.56,71.43,28.67
28,1,CA1-V1,naive,10,20,200,5800,0.044,0.044,0,88.83,81.19,79.51,39.39,87.71,86.89,83.45,73.17,0.7981,0.4669,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-20,-200,5800,0.054,0.0511,0,83.57,89.6,54.37,37.86,87.71,86.89,83.45,73.17,0.4694,0.4985,73.56,71.43,28.67
28,1,CA1-V1,naive,10,25,250,5750,0.087,0.0647,0,82.69,82.7,78.7,35.31,87.71,86.89,83.45,73.17,0.7297,0.4813,73.56,71.43,28.67
28,1,CA1-V1,naive,10,-25,-250,5750,0.0742,0.0384,0,80.08,66.91,34.79,30.87,87.71,86.89,83.45,73.17,0.3949,0.4685,73.56,71.43,28.67
28,1,CA3-DG,naive,10,0,0,6000,0.501,0.2198,2,0.0,0.0,0.0,0.0,64.22,80.95,0.0,15.47,0.6676,0.5034,70.43,59.24,27.16
28,1,CA3-DG,naive,10,1,10,5990,0.2192,0.1011,2,69.13,74.24,18.34,29.26,64.22,80.95,0.0,15.47,0.6657,0.4997,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-1,-10,5990,0.3209,0.1443,2,66.57,66.14,19.74,35.38,64.22,80.95,0.0,15.47,0.6865,0.556,70.43,59.24,27.16
28,1,CA3-DG,naive,10,2,20,5980,0.2122,0.1033,2,62.45,87.9,26.25,55.74,64.22,80.95,0.0,15.47,0.64,0.5374,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-2,-20,5980,0.2464,0.1166,2,89.61,81.21,25.89,61.83,64.22,80.95,0.0,15.47,0.6981,0.5281,70.43,59.24,27.16
28,1,CA3-DG,naive,10,3,30,5970,0.1782,0.0916,2,53.23,80.07,25.36,74.34,64.22,80.95,0.0,15.47,0.6006,0.52,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-3,-30,5970,0.2025,0.105,2,80.52,74.05,42.66,85.88,64.22,80.95,0.0,15.47,0.6373,0.5151,70.43,59.24,27.16
28,1,CA3-DG,naive,10,4,40,5960,0.1214,0.0668,2,82.64,81.6,29.25,82.52,64.22,80.95,0.0,15.47,0.6096,0.4768,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-4,-40,5960,0.1697,0.0917,2,58.23,64.16,23.23,75.28,64.22,80.95,0.0,15.47,0.6307,0.4559,70.43,59.24,27.16
28,1,CA3-DG,naive,10,5,50,5950,0.1139,0.0655,2,84.63,81.0,24.21,56.2,64.22,80.95,0.0,15.47,0.6233,0.4153,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-5,-50,5950,0.2308,0.1092,2,88.64,78.08,28.51,52.81,64.22,80.95,0.0,15.47,0.6347,0.4649,70.43,59.24,27.16
28,1,CA3-DG,naive,10,7,70,5930,0.1938,0.0953,2,80.42,87.4,19.18,34.13,64.22,80.95,0.0,15.47,0.66,0.5017,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-7,-70,5930,0.2357,0.111,2,65.4,89.8,16.76,29.05,64.22,80.95,0.0,15.47,0.6327,0.5062,70.43,59.24,27.16
28,1,CA3-DG,naive,10,10,100,5900,0.1204,0.0597,2,75.08,75.53,41.65,78.15,64.22,80.95,0.0,15.47,0.5955,0.4567,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-10,-100,5900,0.174,0.084,2,42.2,88.45,38.49,79.66,64.22,80.95,0.0,15.47,0.6181,0.4974,70.43,59.24,27.16
28,1,CA3-DG,naive,10,15,150,5850,0.1545,0.0744,2,74.95,75.1,21.56,47.87,64.22,80.95,0.0,15.47,0.6703,0.5371,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-15,-150,5850,0.194,0.0941,2,40.97,84.15,15.43,31.99,64.22,80.95,0.0,15.47,0.6136,0.4418,70.43,59.24,27.16
