animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-DG,108.0,0.7868,0.8565,39.0,6000,0.3954,3,0.1212,0.0426,0,0.3269,0.3679,0.2927,0.2569,50.45,25.99,0.3333,0.6,45.93,81.1
28,1,CA1-DG,113.0,0.8235,0.7989,44.0,8000,0.2101,3,0.05,0.0479,1,0.245,0.3579,0.2668,0.2351,43.61,25.53,0.3333,0.6,58.12,52.34
28,1,CA1-DG,118.0,0.8603,0.7434,49.0,8000,0.1717,2,0.0535,0.0271,1,0.2579,0.3444,0.2525,0.2429,29.32,30.61,0.7143,0.6,69.67,46.93
28,1,CA1-DG,123.0,0.8971,0.7314,54.0,6000,0.0961,5,0.2439,0.0222,0,0.3404,0.4431,0.3439,0.3612,41.68,38.64,0.5,0.6,61.37,49.97
28,1,CA1-DG,128.0,0.9338,0.6867,59.0,6000,0.4987,5,0.2255,0.0094,0,0.317,0.3727,0.2683,0.2458,38.96,35.84,1.0,0.6,57.93,31.59
28,1,CA1-V1,8.0,0.0515,0.0162,-61.0,6000,0.1702,0,0.0,-0.0269,2,0.4005,0.4094,0.2278,0.2465,nan,nan,,,87.64,87.29
28,1,CA1-V1,13.0,0.0882,0.0162,-56.0,6000,0.2735,0,0.0,-0.0029,-2,0.3295,0.4263,0.2172,0.2859,79.52,89.05,0.5,0.2593,77.93,79.36
28,1,CA1-V1,18.0,0.125,0.0833,-51.0,6000,0.2541,1,0.0334,-0.0254,-2,0.345,0.3722,0.2038,0.2191,83.96,84.73,0.7143,0.36,88.22,82.32
28,1,CA1-V1,23.0,0.1618,0.1389,-46.0,6000,0.1813,0,0.0,-0.0038,0,0.3477,0.3676,0.2319,0.2189,69.07,68.01,0.5,0.3077,81.81,72.39
28,1,CA1-V1,28.0,0.1985,0.2667,-41.0,6000,0.2718,1,0.0384,-0.0001,-4,0.2995,0.3516,0.2372,0.2267,58.79,88.1,0.5,0.4167,77.13,78.53
28,1,CA1-V1,33.0,0.2353,0.27,-36.0,6000,0.2738,1,0.039,-0.0162,-6,0.2729,0.3735,0.2045,0.2285,63.01,83.83,0.7143,0.3077,83.78,87.66
28,1,CA1-V1,38.0,0.2721,0.3182,-31.0,6000,0.2482,1,0.0318,0.001,10,0.2588,0.3278,0.2012,0.2257,55.82,80.59,0.7143,0.4783,89.12,74.87
28,1,CA1-V1,43.0,0.3088,0.3746,-26.0,6000,0.2299,0,0.0,-0.0056,-6,0.2416,0.3442,0.1858,0.2195,55.12,60.05,0.5,0.5455,89.95,72.51
28,1,CA1-V1,48.0,0.3456,0.3465,-21.0,6000,0.2359,0,0.0,-0.0006,5,0.192,0.304,0.1802,0.2036,40.81,54.64,0.3333,0.4167,81.36,77.97
28,1,CA1-V1,53.0,0.3824,0.3593,-16.0,6000,0.2269,1,0.0264,-0.0307,-5,0.2449,0.321,0.1697,0.1973,50.17,62.6,0.3333,0.4783,76.01,75.99
28,1,CA1-V1,58.0,0.4191,0.3158,-11.0,6000,0.1631,0,0.0,-0.0207,-8,0.208,0.3241,0.1412,0.1808,60.54,64.23,0.2,0.4783,69.97,78.98
28,1,CA1-V1,63.0,0.4559,0.3796,-6.0,6000,0.1685,0,0.0,-0.0292,-2,0.2318,0.3015,0.1586,0.1788,84.25,85.53,0.5,0.36,89.09,79.44
28,1,CA1-V1,68.0,0.4926,0.476,-1.0,6000,0.1426,0,0.0,-0.0012,-9,0.1677,0.282,0.1337,0.1647,61.44,66.97,0.7143,0.4783,79.6,83.44
