animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-DG,all,intermediate,30,0.021502,10
28,CA1-DG,all,intermediate,40,0.0071849999999999995,10
28,CA1-DG,all,intermediate,50,-0.006955,10
28,CA1-DG,all,intermediate,60,-0.018751999999999998,10
28,CA1-DG,all,intermediate,70,-0.025342999999999997,10
28,CA1-DG,all,intermediate,80,-0.021363,10
28,CA1-DG,all,intermediate,90,-0.013972000000000002,10
28,CA1-DG,all,intermediate,100,-0.004251,10
28,CA1-DG,all,intermediate,110,0.009044,10
28,CA1-DG,all,intermediate,120,0.024647,10
28,CA1-DG,all,intermediate,130,0.038594,10
28,CA1-DG,all,intermediate,140,0.041919,10
28,CA1-DG,all,intermediate,150,0.040511,10
28,CA1-DG,all,intermediate,160,0.029443000000000004,10
28,CA1-DG,all,intermediate,170,0.019068,10
28,CA1-DG,all,intermediate,180,0.004901000000000001,10
28,CA1-DG,all,intermediate,190,-0.005130000000000001,10
28,CA1-DG,all,intermediate,200,-0.008425,10
28,CA1-DG,all,intermediate,210,-0.011146,10
28,CA1-DG,all,intermediate,220,-0.015422000000000002,10
28,CA1-DG,all,intermediate,230,-0.010825,10
28,CA1-DG,all,intermediate,240,-0.00028200000000000024,10
28,CA1-DG,all,intermediate,250,0.010589,10
28,CA1-DG,all,naive,-250,0.029594,10
28,CA1-DG,all,naive,-240,0.019200000000000002,10
28,CA1-DG,all,naive,-230,0.006333,10
28,CA1-DG,all,naive,-220,-0.009008,10
28,CA1-DG,all,naive,-210,-0.015051,10
28,CA1-DG,all,naive,-200,-0.020215,10
28,CA1-DG,all,naive,-190,-0.017974999999999998,10
28,CA1-DG,all,naive,-180,-0.010241,10
28,CA1-DG,all,naive,-170,0.0006929999999999998,10
28,CA1-DG,all,naive,-160,0.014502000000000001,10
28,CA1-DG,all,naive,-150,0.029271000000000002,10
28,CA1-DG,all,naive,-140,0.039506,10
28,CA1-DG,all,naive,-130,0.048307,10
28,CA1-DG,all,naive,-120,0.043436,10
28,CA1-DG,all,naive,-110,0.030021000000000003,10
28,CA1-DG,all,naive,-100,0.016408,10
28,CA1-DG,all,naive,-90,0.00010399999999999923,10
28,CA1-DG,all,naive,-80,-0.016052,10
28,CA1-DG,all,naive,-70,-0.022457,10
28,CA1-DG,all,naive,-60,-0.023301,10
28,CA1-DG,all,naive,-50,-0.020239,10
28,CA1-DG,all,naive,-40,-0.007721999999999998,10
28,CA1-DG,all,naive,-30,0.008436,10
28,CA1-DG,all,naive,-20,0.026221,10
28,CA1-DG,all,naive,-10,0.042539,10
28,CA1-DG,all,naive,0,0.05381899999999999,10
28,CA1-DG,all,naive,10,0.04615,10
28,CA1-DG,all,naive,20,0.033897,10
28,CA1-DG,all,naive,30,0.016044999999999997,10
28,CA1-DG,all,naive,40,0.0032369999999999994,10
28,CA1-DG,all,naive,50,-0.012224,10
28,CA1-DG,all,naive,60,-0.021764,10
28,CA1-DG,all,naive,70,-0.025248,10
28,CA1-DG,all,naive,80,-0.021514000000000002,10
28,CA1-DG,all,naive,90,-0.012357,10
28,CA1-DG,all,naive,100,0.0006279999999999999,10
28,CA1-DG,all,naive,110,0.015417,10
28,CA1-DG,all,naive,120,0.030567,10
28,CA1-DG,all,naive,130,0.040574,10
28,CA1-DG,all,naive,140,0.041939,10
28,CA1-DG,all,naive,150,0.035,10
28,CA1-DG,all,naive,160,0.023016000000000002,10
28,CA1-DG,all,naive,170,0.01031,10
28,CA1-DG,all,naive,180,-0.003327000000000001,10
28,CA1-DG,all,naive,190,-0.011073,10
28,CA1-DG,all,naive,200,-0.018511,10
28,CA1-DG,all,naive,210,-0.018645000000000002,10
28,CA1-DG,all,naive,220,-0.013000000000000001,10
28,CA1-DG,all,naive,230,-0.0039369999999999995,10
28,CA1-DG,all,naive,240,0.009537,10
28,CA1-DG,all,naive,250,0.018359,10
28,CA1-V1,all,expert,-250,0.042235,10
28,CA1-V1,all,expert,-240,0.044588,10
28,CA1-V1,all,expert,-230,0.04632,10
28,CA1-V1,all,expert,-220,0.045141,10
28,CA1-V1,all,expert,-210,0.044735000000000004,10
28,CA1-V1,all,expert,-200,0.046173,10
28,CA1-V1,all,expert,-190,0.046116000000000004,10
28,CA1-V1,all,expert,-180,0.047074,10
28,CA1-V1,all,expert,-170,0.047377999999999997,10
28,CA1-V1,all,expert,-160,0.048420000000000005,10
28,CA1-V1,all,expert,-150,0.049186999999999995,10
28,CA1-V1,all,expert,-140,0.049936,10
28,CA1-V1,all,expert,-130,0.047036,10
28,CA1-V1,all,expert,-120,0.050844,10
28,CA1-V1,all,expert,-110,0.050512999999999995,10
28,CA1-V1,all,expert,-100,0.050021,10
28,CA1-V1,all,expert,-90,0.046241,10
28,CA1-V1,all,expert,-80,0.04475,10
28,CA1-V1,all,expert,-70,0.047998,10
28,CA1-V1,all,expert,-60,0.050148000000000005,10
28,CA1-V1,all,expert,-50,0.048142,10
28,CA1-V1,all,expert,-40,0.050433000000000006,10
28,CA1-V1,all,expert,-30,0.050624,10
28,CA1-V1,all,expert,-20,0.052627,10
28,CA1-V1,all,expert,-10,0.052198999999999995,10
28,CA1-V1,all,expert,0,0.05272400000000001,10
28,CA1-V1,all,expert,10,0.049753,10
28,CA1-V1,all,expert,20,0.048208,10
28,CA1-V1,all,expert,30,0.045979,10
28,CA1-V1,all,expert,40,0.049212,10
28,CA1-V1,all,expert,50,0.046262,10
28,CA1-V1,all,expert,60,0.047514,10
28,CA1-V1,all,expert,70,0.044293,10
28,CA1-V1,all,expert,80,0.044867000000000004,10
28,CA1-V1,all,expert,90,0.044902000000000004,10
28,CA1-V1,all,expert,100,0.046395000000000006,10
28,CA1-V1,all,expert,110,0.047129,10
28,CA1-V1,all,expert,120,0.045696,10
28,CA1-V1,all,expert,130,0.046188999999999994,10
28,CA1-V1,all,expert,140,0.045682,10
28,CA1-V1,all,expert,150,0.04584,10
28,CA1-V1,all,expert,160,0.047892000000000004,10
28,CA1-V1,all,expert,170,0.051003,10
28,CA1-V1,all,expert,180,0.045479,10
28,CA1-V1,all,expert,190,0.043558,10
28,CA1-V1,all,expert,200,0.044220999999999996,10
28,CA1-V1,all,expert,210,0.04477,10
28,CA1-V1,all,expert,220,0.04563,10
28,CA1-V1,all,expert,230,0.044268999999999996,10
28,CA1-V1,all,expert,240,0.045059,10
28,CA1-V1,all,expert,250,0.043334,10
28,CA1-V1,all,intermediate,-250,0.041000999999999996,10
