animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
52,1,V1-RSC,1,1,5,8000,0.13,3,0.0264,0.0222,4,0.3119,0.151
52,1,V1-RSC,2,6,10,8000,0.4259,2,0.2098,0.0241,0,0.3077,0.0953
52,1,V1-RSC,3,11,15,8000,0.3291,3,0.1467,0.0081,5,0.3203,0.191
52,1,V1-RSC,4,16,20,8000,0.162,2,0.0244,0.036,0,0.35,0.085
52,1,V1-RSC,5,21,25,8000,0.0036,0,0.0,0.0445,4,0.3118,0.0781
52,1,V1-RSC,6,26,30,8000,0.4443,2,0.1733,-0.0047,4,0.3062,0.0616
61,1,CA1-RSC,1,1,5,8000,0.0088,0,0.0,0.1081,2,0.4564,0.3708
61,1,CA1-RSC,2,6,10,8000,0.1237,0,0.0,0.0371,3,0.4217,0.3506
61,1,CA1-RSC,3,11,15,8000,-0.0202,0,0.0,-0.0326,-5,0.4117,0.3252
61,1,CA1-RSC,4,16,20,8000,0.0954,0,0.0,0.0367,0,0.3895,0.2993
61,1,CA1-RSC,5,21,25,8000,0.1706,7,0.1281,0.0249,3,0.3834,0.2754
61,1,CA1-RSC,6,26,30,8000,0.022,1,0.0112,0.0215,0,0.3272,0.2627
61,1,CA1-CA3,1,1,5,8000,0.1321,0,0.0,-0.0522,-1,0.4565,0.5927
61,1,CA1-CA3,2,6,10,8000,0.1578,8,0.3843,-0.211,-5,0.421,0.4004
61,1,CA1-CA3,3,11,15,8000,-0.0878,13,0.3048,-0.0233,-1,0.4155,0.3823
61,1,CA1-CA3,4,16,20,8000,0.1079,0,0.0,0.007,4,0.3885,0.344
61,1,CA1-CA3,5,21,25,8000,0.1698,3,0.0522,0.0068,-2,0.3829,0.3225
61,1,CA1-CA3,6,26,30,8000,0.1147,0,0.0,0.0621,4,0.3319,0.2339
61,1,CA1-DG,1,1,5,8000,0.1623,0,0.0,-0.0411,0,0.4641,0.2156
61,1,CA1-DG,2,6,10,8000,0.1587,0,0.0,-0.0174,0,0.4236,0.2309
61,1,CA1-DG,3,11,15,8000,0.1773,1,0.016,-0.0093,0,0.4148,0.2673
61,1,CA1-DG,4,16,20,8000,0.2001,1,0.0204,-0.0219,0,0.4039,0.1879
61,1,CA1-DG,5,21,25,8000,0.2574,3,0.0601,-0.0202,0,0.395,0.6325
61,1,CA1-DG,6,26,30,8000,0.1653,0,0.0,-0.0154,0,0.3393,0.4409
61,1,CA1-V1,1,1,5,8000,0.1164,0,0.0,-0.0022,0,0.4594,0.4267
61,1,CA1-V1,2,6,10,8000,0.2671,1,0.037,0.0128,0,0.4234,0.405
61,1,CA1-V1,3,11,15,8000,0.1446,0,0.0,-0.0096,0,0.4139,0.3602
61,1,CA1-V1,4,16,20,8000,0.1915,1,0.0187,-0.0232,0,0.3871,0.3376
61,1,CA1-V1,5,21,25,8000,0.3289,6,0.1588,-0.0498,0,0.3828,0.3746
61,1,CA1-V1,6,26,30,8000,0.1734,8,0.3676,-0.0067,0,0.3282,0.3341
61,1,CA3-DG,1,1,5,8000,0.3225,3,0.129,-0.0273,0,0.5234,0.2086
61,1,CA3-DG,2,6,10,8000,0.0924,2,0.1394,-0.0234,0,0.3857,0.2323
61,1,CA3-DG,3,11,15,8000,0.4423,5,0.6152,-0.0115,0,0.3527,0.2662
61,1,CA3-DG,4,16,20,8000,0.5067,2,0.2427,-0.0409,0,0.9926,0.9584
61,1,CA3-DG,5,21,25,8000,0.4415,3,0.201,0.0055,0,0.3167,0.6358
61,1,CA3-DG,6,26,30,8000,0.1983,1,0.0464,-0.111,0,0.2084,0.439
61,1,V1-RSC,1,1,5,8000,0.0926,0,0.0,0.0216,0,0.4228,0.3706
61,1,V1-RSC,2,6,10,8000,0.149,1,0.0492,0.0392,0,0.402,0.3466
61,1,V1-RSC,3,11,15,8000,0.2308,1,0.0393,0.0189,0,0.3596,0.3179
61,1,V1-RSC,4,16,20,8000,0.4067,4,0.2473,-0.0054,0,0.3354,0.2963
61,1,V1-RSC,5,21,25,8000,-0.0045,1,0.0577,-0.0125,0,0.3733,0.2751
61,1,V1-RSC,6,26,30,8000,0.0837,4,0.1173,0.0224,0,0.3331,0.2607
63,1,CA1-RSC,1,1,5,8000,0.0206,0,0.0,0.043,1,0.0998,0.3414
63,1,CA1-RSC,2,6,10,8000,0.0732,0,0.0,0.0184,-3,0.1345,0.3334
63,1,CA1-RSC,3,11,15,8000,0.0765,0,0.0,0.0062,0,0.1247,0.3134
63,1,CA1-RSC,4,16,20,8000,0.0515,0,0.0,0.0161,5,0.1131,0.3195
63,1,CA1-RSC,5,21,25,8000,0.0578,0,0.0,0.0615,1,0.1389,0.3257
63,1,CA1-RSC,6,26,30,8000,0.0811,0,0.0,0.0176,3,0.1838,0.2848
66,1,CA1-RSC,1,1,5,8000,0.154,4,0.0558,0.1209,2,0.3908,0.3407
66,1,CA1-RSC,2,6,10,8000,0.1033,0,0.0,0.0264,0,0.7985,0.2218
66,1,CA1-RSC,3,11,15,8000,0.1635,2,0.0266,0.052,0,0.2184,0.1109
66,1,CA1-RSC,4,16,20,8000,0.0461,0,0.0,-0.0075,-3,0.2078,0.1197
66,1,CA1-RSC,5,21,25,8000,0.0718,0,0.0,0.0085,0,0.7079,0.1235
66,1,CA1-RSC,6,26,30,8000,0.0421,0,0.0,0.0022,0,0.2633,0.1919
66,1,CA1-DG,1,1,5,8000,0.2577,3,0.0654,0.0132,0,0.3994,0.2015
66,1,CA1-DG,2,6,10,8000,0.1722,1,0.015,-0.0232,0,0.7491,0.1427
66,1,CA1-DG,3,11,15,8000,0.2544,1,0.0335,-0.0163,0,0.2647,0.1724
66,1,CA1-DG,4,16,20,8000,0.2712,1,0.0382,-0.0291,0,0.2091,0.134
66,1,CA1-DG,5,21,25,8000,0.2984,2,0.0635,-0.0483,0,0.6662,0.1205
66,1,CA1-DG,6,26,30,8000,0.224,2,0.0422,-0.0427,0,0.2987,0.1073
66,1,CA1-V1,1,1,5,8000,0.2226,3,0.0559,0.0107,0,0.3936,0.0833
66,1,CA1-V1,2,6,10,8000,0.1107,0,0.0,-0.0006,0,0.709,0.0778
66,1,CA1-V1,3,11,15,8000,0.1113,1,0.0103,0.0203,1,0.2721,0.0616
66,1,CA1-V1,4,16,20,8000,0.1096,0,0.0,-0.015,0,0.174,0.0367
66,1,CA1-V1,5,21,25,8000,0.0762,0,0.0,0.058,3,0.6879,0.0564
66,1,CA1-V1,6,26,30,8000,0.0736,0,0.0,-0.0421,-1,0.2975,0.0576
66,1,CA1-SUB,1,1,5,8000,0.2094,7,0.1007,-0.0378,0,0.3843,0.0585
66,1,CA1-SUB,2,6,10,8000,0.1306,1,0.0086,-0.038,0,0.7763,0.0747
66,1,CA1-SUB,3,11,15,8000,0.1806,6,0.078,-0.0586,0,0.2244,0.0487
66,1,CA1-SUB,4,16,20,8000,0.1549,1,0.0121,-0.055,0,0.2297,0.0453
66,1,CA1-SUB,5,21,25,8000,0.1708,1,0.0148,-0.0587,0,0.7311,0.0372
66,1,CA1-SUB,6,26,30,8000,0.1217,0,0.0,-0.0026,0,0.2745,0.0494
66,1,RSC-SUB,1,1,5,8000,0.0176,6,0.1102,-0.0275,-3,0.3512,0.0594
66,1,RSC-SUB,2,6,10,8000,0.1285,2,0.0163,0.005,-2,0.2342,0.0753
66,1,RSC-SUB,3,11,15,8000,0.0436,2,0.0137,0.0014,0,0.1165,0.049
66,1,RSC-SUB,4,16,20,8000,0.0616,0,0.0,-0.0053,0,0.1444,0.0457
66,1,RSC-SUB,5,21,25,8000,0.0826,0,0.0,0.0173,-1,0.1289,0.0369
66,1,RSC-SUB,6,26,30,8000,-0.0368,2,0.0186,0.0695,2,0.2078,0.049
66,1,V1-RSC,1,1,5,8000,0.0895,8,0.128,0.0002,1,0.0969,0.342
66,1,V1-RSC,2,6,10,8000,0.0847,0,0.0,0.0575,2,0.0796,0.2233
66,1,V1-RSC,3,11,15,8000,0.0619,0,0.0,0.0022,1,0.0654,0.1103
66,1,V1-RSC,4,16,20,8000,0.0755,0,0.0,-0.0108,-1,0.0651,0.1197
66,1,V1-RSC,5,21,25,8000,0.0839,0,0.0,-0.0146,1,0.0734,0.1243
66,1,V1-RSC,6,26,30,8000,0.0486,2,0.0198,-0.0941,-2,0.0928,0.1912
68,1,CA1-RSC,1,1,5,8000,0.0366,0,0.0,0.051,2,0.9191,0.0866
68,1,CA1-RSC,2,6,10,8000,0.0304,0,0.0,-0.0193,-2,0.1794,0.1192
68,1,CA1-RSC,3,11,15,8000,0.0073,0,0.0,-0.0257,-5,0.2117,0.1249
68,1,CA1-RSC,4,16,20,8000,-0.0003,0,0.0,-0.06,-2,0.1287,0.0998
68,1,CA1-RSC,5,21,25,8000,0.027,0,0.0,-0.0811,-2,0.1164,0.0857
68,1,CA1-RSC,6,26,30,8000,0.0254,0,0.0,-0.0593,-3,0.1476,0.0728
68,1,CA1-CA3,1,1,5,8000,0.9836,3,1.8017,0.0122,0,0.7756,0.6664
68,1,CA1-CA3,2,6,10,8000,0.4127,3,0.1106,-0.0104,0,0.1721,0.651
68,1,CA1-CA3,3,11,15,8000,0.3591,2,0.0767,-0.0331,0,0.1533,0.106
68,1,CA1-CA3,4,16,20,8000,0.3853,2,0.0867,-0.016,0,0.1614,0.0825
68,1,CA1-CA3,5,21,25,8000,0.3967,2,0.092,-0.0252,0,0.1861,0.044
68,1,CA1-CA3,6,26,30,8000,0.4086,2,0.0997,-0.0201,0,0.2035,0.1201
