animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
73,1,CA1-DG,naive,900,0.0697,0.0015,0,0.0,-0.0458,0,0.5048,0.4659
73,1,CA1-DG,intermediate,900,0.1009,0.0179,2,0.0066,-0.0262,-3,0.3915,0.3735
73,1,CA1-DG,expert,900,0.0224,0.0757,0,0.0,-0.4359,-2,0.3921,0.2858
73,1,CA1-V1,session,900,0.124,0.0689,1,0.0077,-0.0773,0,0.3043,0.2616
73,1,CA1-V1,naive,900,0.0095,-0.0059,0,0.0,-0.0418,4,0.3961,0.3661
73,1,CA1-V1,intermediate,900,0.1276,0.0405,2,0.0147,-0.6408,-2,0.3605,0.3284
73,1,CA1-V1,expert,900,0.0334,0.057,0,0.0,-0.6665,-1,0.3264,0.3243
73,1,CA1-SUB,session,900,0.0492,-0.1486,1,0.0021,-0.5129,0,0.3184,0.2694
73,1,CA1-SUB,naive,900,0.0427,0.0304,2,0.0024,0.6664,3,0.5241,0.2863
73,1,CA1-SUB,intermediate,900,0.03,0.078,0,0.0,0.7349,0,0.3737,0.2948
73,1,CA1-SUB,expert,900,0.0314,-0.0616,1,0.0014,0.1883,3,0.3588,0.3096
73,1,RSC-SUB,session,900,0.0409,-0.1256,0,0.0,-0.43,-3,0.3012,0.3135
73,1,RSC-SUB,naive,900,-0.0364,-0.0549,0,0.0,-0.7369,-4,0.4734,0.3426
73,1,RSC-SUB,intermediate,900,-0.0299,0.0134,0,0.0,0.2181,1,0.3774,0.294
73,1,RSC-SUB,expert,900,0.0504,0.0331,1,0.0017,0.624,4,0.3456,0.2885
73,1,V1-RSC,session,900,-0.0169,-0.0176,0,0.0,0.3541,1,0.275,0.3059
73,1,V1-RSC,naive,900,0.023,-0.0014,0,0.0,0.3161,-3,0.3394,0.4423
73,1,V1-RSC,intermediate,900,0.1752,0.0357,1,0.0156,0.1282,0,0.361,0.4038
73,1,V1-RSC,expert,900,0.1802,0.0825,1,0.0165,-0.3633,0,0.4075,0.3617
75,1,CA1-RSC,session,900,0.1156,0.1829,1,0.0067,-0.1217,4,0.3257,0.3653
75,1,CA1-RSC,naive,900,0.0626,-0.1498,1,0.002,-0.2658,0,0.4923,0.456
75,1,CA1-RSC,intermediate,900,0.0927,-0.05,0,0.0,0.74,0,0.5009,0.4171
75,1,CA1-RSC,expert,900,0.0137,0.0007,0,0.0,-0.4797,-1,0.518,0.3909
75,1,CA1-DG,session,900,0.2177,0.1426,1,0.0243,-0.5847,0,0.3086,0.5352
75,1,CA1-DG,naive,900,0.1476,0.0809,3,0.0151,-0.3938,0,0.408,0.552
75,1,CA1-DG,intermediate,900,0.2493,0.2422,1,0.0321,-0.4787,0,0.4257,0.5981
75,1,CA1-DG,expert,900,0.1846,0.0581,2,0.0227,0.093,0,0.4285,0.5653
75,1,CA1-V1,session,900,0.1174,0.1012,1,0.0069,0.6256,3,0.3256,0.2521
75,1,CA1-V1,naive,900,0.1211,0.0215,1,0.0074,-0.0911,4,0.5259,0.2362
75,1,CA1-V1,intermediate,900,0.1553,0.0755,2,0.0169,-0.1975,0,0.4043,0.2441
75,1,CA1-V1,expert,900,0.1021,0.0245,0,0.0,0.7362,0,0.3695,0.2964
75,1,CA1-SUB,session,900,-0.0011,0.0127,0,0.0,0.9795,0,0.319,0.2445
75,1,CA1-SUB,naive,900,0.1084,0.0003,2,0.01,-0.2911,0,0.4264,0.2224
75,1,CA1-SUB,intermediate,900,-0.0028,0.0433,0,0.0,-0.7743,-1,0.3934,0.2456
75,1,CA1-SUB,expert,900,0.0449,0.0425,1,0.0071,0.2401,1,0.4401,0.287
75,1,RSC-SUB,session,900,0.2131,0.2281,3,0.045,-0.0953,0,0.4011,0.2472
75,1,RSC-SUB,naive,900,0.152,0.2648,1,0.0117,0.5358,1,0.4435,0.2138
75,1,RSC-SUB,intermediate,900,0.2642,0.2325,3,0.0548,-0.3228,0,0.4348,0.259
75,1,RSC-SUB,expert,900,0.1983,0.1541,3,0.0447,-0.3446,0,0.4108,0.2867
75,1,V1-RSC,session,900,0.4133,0.3426,3,0.1449,-0.4715,0,0.3102,0.4527
75,1,V1-RSC,naive,900,0.321,0.3655,3,0.0992,0.2218,-1,0.2449,0.4779
75,1,V1-RSC,intermediate,900,0.4473,0.4176,3,0.1805,-0.0453,0,0.2461,0.4671
75,1,V1-RSC,expert,900,0.5035,0.4571,3,0.2464,-0.0518,0,0.3158,0.4416
77,1,CA1-RSC,session,900,-0.0086,0.0317,0,0.0,0.2853,3,0.1816,0.2588
77,1,CA1-RSC,naive,900,0.0196,0.084,0,0.0,-0.606,-4,0.2132,0.3617
77,1,CA1-RSC,intermediate,900,0.0549,0.0241,0,0.0,1.0,0,0.3153,0.3283
77,1,CA1-RSC,expert,900,0.0886,0.0966,1,0.0039,-0.2672,0,0.2634,0.2907
77,1,CA1-DG,session,900,0.1039,0.3101,1,0.0054,-0.4641,-2,0.2479,0.2562
77,1,CA1-DG,naive,900,0.0185,-0.3687,1,0.0037,0.3487,1,0.2106,0.2637
77,1,CA1-DG,intermediate,900,0.0037,-0.0408,1,0.0037,-0.5263,-1,0.2904,0.3177
77,1,CA1-DG,expert,900,-0.0019,-0.0341,0,0.0,-1.0,-4,0.2718,0.1795
77,1,CA1-V1,session,900,-0.0045,-0.1425,0,0.0,0.2315,3,0.3064,0.3667
77,1,CA1-V1,naive,900,-0.0611,0.0732,0,0.0,0.0052,-4,0.3686,0.3362
77,1,CA1-V1,intermediate,900,0.0597,0.1838,1,0.0018,-1.0,-3,0.2365,0.2671
77,1,CA1-V1,expert,900,-0.0175,0.0395,1,0.004,-0.0768,1,0.3615,0.2362
77,1,CA1-SUB,session,900,-0.0356,-0.4119,0,0.0,-0.2779,2,0.3437,0.4605
77,1,CA1-SUB,naive,900,0.0675,-0.3963,0,0.0,0.754,2,0.3033,0.401
77,1,CA1-SUB,intermediate,900,0.0332,0.0471,0,0.0,0.8306,0,0.3138,0.3945
77,1,CA1-SUB,expert,900,-0.0607,-0.0142,0,0.0,0.026,-4,0.3429,0.465
77,1,RSC-SUB,session,900,0.0503,0.0654,2,0.0138,-0.0349,2,0.2871,0.3501
77,1,RSC-SUB,naive,900,0.0474,0.0515,3,0.0271,-0.4301,0,0.3369,0.3777
77,1,RSC-SUB,intermediate,900,0.0223,-0.0048,0,0.0,0.1484,-2,0.3064,0.3844
77,1,RSC-SUB,expert,900,0.1819,0.1759,2,0.0263,0.0587,2,0.2856,0.512
77,1,V1-RSC,session,900,0.3085,0.0371,2,0.0767,0.5407,0,0.3708,0.2717
77,1,V1-RSC,naive,900,0.3404,0.2704,1,0.0616,0.2419,0,0.3292,0.3654
77,1,V1-RSC,intermediate,900,0.3723,0.2911,2,0.1041,-0.2038,-2,0.3028,0.3152
77,1,V1-RSC,expert,900,0.1826,0.209,1,0.0426,-0.0991,-3,0.353,0.3307
98,0,CA1-RSC,session,900,0.06,0.0005,0,0.0,0.4076,3,0.2261,0.3274
100,0,CA1-RSC,session,900,0.1004,0.1728,1,0.0051,0.0589,0,0.2515,0.2473
100,0,CA1-DG,session,900,0.3724,0.1461,2,0.0827,-0.0097,0,0.2455,0.4152
100,0,CA1-V1,session,900,0.2147,0.1725,2,0.026,-0.4466,0,0.2874,0.2645
100,0,CA1-SUB,session,900,0.0923,0.1963,0,0.0,1.0,0,0.2561,0.2349
100,0,RSC-SUB,session,900,0.1111,0.0291,1,0.0062,0.0153,0,0.2859,0.2268
100,0,V1-RSC,session,900,0.2569,0.3863,2,0.0495,0.2901,0,0.3179,0.2806
