animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
34,CA1,naive,27,2,0.3715384615384616,-0.035564534793519856,0.5876923076923077,0.006639958222175059,0.4256410256410256,-0.08350871221362198
34,CA3,expert,13,1,0.39010989010989006,0.0029709319992107536,0.40659340659340654,-0.17255592156899635,0.18131868131868134,-0.43046663052612255
34,CA3,intermediate,13,1,0.4505494505494505,-0.5393499391074696,0.8241758241758241,-0.1512916426727271,0.6538461538461539,-0.18761247717075652
34,CA3,naive,13,1,0.5384615384615385,-0.02282202017951665,0.6272727272727273,0.09405510171827212,0.6783216783216784,0.21212121212121202
34,V1,expert,118,1,0.6122000929131262,0.3280934257097361,0.551692574765249,0.11044619766902825,0.5946300293259416,0.2996230358896271
34,V1,intermediate,118,1,0.5754394641010655,0.36219371684800483,0.43865049310463544,0.10037847168487725,0.5157877384645356,0.27436161045162133
34,V1,naive,118,1,0.5693176879617557,0.355531049243753,0.26638343149155536,-0.2749957980058331,0.509931743231843,0.27875605269533665
36,CA1,expert,39,2,0.34613560929350395,-0.12925838098022305,0.49909909909909916,-0.13229881347404623,0.5552631578947368,-0.04387126205620831
36,CA1,intermediate,39,2,0.5256357071648441,-0.1672638190744112,0.5561877667140824,-0.27411895710997114,0.4388663967611336,-0.33538474181718375
36,CA1,naive,39,2,0.3815126050420168,-0.0674850319534465,0.4349885408708938,-0.35069581178703085,0.38291316526610647,-0.0691591468191515
36,CA3,expert,12,1,-0.06293706293706294,-0.12244325559787869,0.027972027972027972,0.017359126870735295,0.14685314685314685,0.13261299671054766
36,CA3,intermediate,12,1,0.3846153846153847,0.3915129520762671,0.7622377622377624,0.7877793237175033,0.7132867132867133,0.7620979987873983
36,CA3,naive,12,1,0.5734265734265735,0.5649810037654105,0.7552447552447553,0.7513925757865797,0.8531468531468532,0.8535830667976555
36,V1,expert,29,1,0.43004926108374375,0.40487749504064274,0.3502463054187191,0.2950861333852818,0.36453201970443344,0.3284592098145953
36,V1,intermediate,29,1,0.33645320197044326,0.261460307060349,0.2852216748768472,0.16278489167194776,0.22906403940886697,0.13601139861539047
36,V1,naive,29,1,0.3600985221674876,0.3302226688155506,0.24384236453201966,0.061874628713846094,0.20985221674876844,0.12799612571239513
41,CA1,expert,22,2,0.18345864661654135,-0.13291801502858214,0.4616541353383458,-0.22222450426394263,0.3488721804511278,0.013701967438663129
41,CA1,intermediate,22,2,0.2421052631578947,-0.10135263056947576,0.5473684210526315,-0.17533894426932628,0.3701298701298701,-0.23851540790354328
41,CA1,naive,22,2,0.3649350649350649,-0.2345179977002942,0.5140350877192983,-0.2357803501470826,0.5363636363636364,0.020498105172383735
