animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
66,1,CA1-V1,intermediate,21262,0.0925,0,0.0,-0.0,0,0.295,0.0467,0.3989,0.2841,nan,nan
66,1,CA1-V1,expert,21455,0.0444,0,0.0,-0.0055,-3,0.2983,0.0531,0.3656,0.2152,nan,nan
66,1,CA1-SUB,naive,27751,0.1202,1,0.0073,-0.0351,0,0.3465,0.0671,0.4379,0.2528,0.5964,0.4282
66,1,CA1-SUB,intermediate,21262,0.1757,1,0.0157,-0.0414,0,0.2945,0.0331,0.3917,0.3718,0.5562,0.6816
66,1,CA1-SUB,expert,21455,0.1336,1,0.009,-0.0095,0,0.309,0.0483,0.3731,0.2921,0.5311,0.5754
66,1,RSC-SUB,naive,27751,0.0527,0,0.0,0.0109,2,0.2763,0.0677,0.2852,0.1798,nan,nan
66,1,RSC-SUB,intermediate,21262,0.0572,0,0.0,0.0449,3,0.1263,0.0331,0.1833,0.1136,nan,nan
66,1,RSC-SUB,expert,21455,0.0529,0,0.0,0.0344,3,0.1413,0.0484,0.2448,0.2435,nan,nan
66,1,V1-RSC,naive,27751,0.1033,1,0.0054,0.0428,2,0.1145,0.2463,0.2662,0.3458,0.5287,0.5959
66,1,V1-RSC,intermediate,21262,0.0718,1,0.0035,-0.0381,-8,0.051,0.1174,0.2741,0.2755,0.4504,0.4933
66,1,V1-RSC,expert,21455,0.1073,2,0.0093,-0.0801,-6,0.0726,0.1077,0.2828,0.282,0.4239,0.3846
68,1,CA1-RSC,naive,24389,0.0247,0,0.0,0.0094,-8,0.1992,0.0861,0.1864,0.0896,nan,nan
68,1,CA1-RSC,intermediate,25086,0.0421,0,0.0,0.061,6,0.1148,0.0761,0.2574,0.1682,nan,nan
68,1,CA1-RSC,expert,21477,0.0569,0,0.0,-0.0203,-3,0.1427,0.0968,0.2441,0.2495,nan,nan
68,1,CA1-CA3,naive,24389,0.3989,3,0.1097,-0.007,0,0.258,0.6556,0.5117,0.9028,0.4436,0.9324
68,1,CA1-CA3,intermediate,25086,0.3716,2,0.0825,-0.0219,0,0.1259,0.0649,0.6585,0.6898,0.606,0.7124
68,1,CA1-CA3,expert,21477,0.3729,2,0.0818,-0.0253,0,0.1264,0.0877,0.6181,0.6409,0.5514,0.6565
68,1,CA1-DG,naive,24389,0.2607,2,0.0467,-0.0539,0,0.2302,0.194,0.5153,0.5138,0.564,0.5294
