animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA1-DG,3,1,0.247,1,0.0565
28,1,CA1-DG,3,2,0.146,1,0.0291
28,1,CA1-DG,3,3,0.0424,0,0.0292
28,1,CA1-DG,3,4,0.0625,0,0.0006
28,1,CA1-DG,3,5,0.0238,0,0.0093
28,1,CA1-DG,3,6,0.0054,0,0.0105
28,1,CA1-DG,3,7,-0.0181,0,0.0053
28,1,CA1-DG,3,8,-0.0483,0,0.0151
28,1,CA1-DG,3,9,-0.0257,0,-0.0345
28,1,CA1-DG,3,10,-0.0129,0,-0.0457
28,1,CA1-DG,3,11,-0.0263,0,0.0256
28,1,CA1-DG,3,12,-0.0609,0,0.0601
28,1,CA1-DG,4,1,0.2462,1,0.021
28,1,CA1-DG,4,2,0.1251,0,0.0468
28,1,CA1-DG,4,3,0.1028,0,-0.053
28,1,CA1-DG,4,4,0.0564,0,-0.0173
28,1,CA1-DG,4,5,0.0602,0,0.0215
28,1,CA1-DG,4,6,0.039,0,0.0234
28,1,CA1-DG,4,7,0.0388,0,-0.0309
28,1,CA1-DG,4,8,0.0266,0,-0.0386
28,1,CA1-DG,4,9,0.0374,0,-0.011
28,1,CA1-DG,4,10,0.022,0,-0.0209
28,1,CA1-DG,4,11,-0.0223,0,-0.0204
28,1,CA1-DG,4,12,0.0844,0,-0.0948
28,1,CA1-DG,4,13,-0.0023,0,-0.1171
28,1,CA1-DG,5,1,0.232,1,0.0391
28,1,CA1-DG,5,2,0.155,1,0.0384
28,1,CA1-DG,5,3,0.0321,0,0.0062
28,1,CA1-DG,5,4,0.0214,0,0.03
28,1,CA1-DG,5,5,0.0078,0,0.028
28,1,CA1-DG,5,6,0.0026,0,0.0375
28,1,CA1-DG,5,7,-0.0656,0,0.0337
28,1,CA1-DG,5,8,-0.0151,0,0.0217
28,1,CA1-DG,5,9,-0.0105,0,0.0037
28,1,CA1-DG,5,10,-0.0079,0,0.0186
28,1,CA1-DG,5,11,-0.007,0,0.053
28,1,CA1-DG,5,12,-0.0124,0,-0.0124
28,1,CA1-DG,6,1,0.2138,1,0.0289
28,1,CA1-DG,6,2,0.1235,1,0.0043
28,1,CA1-DG,6,3,0.0202,0,-0.0314
28,1,CA1-DG,6,4,0.0277,0,0.0027
28,1,CA1-DG,6,5,-0.0135,0,0.0362
28,1,CA1-DG,6,6,0.0312,0,0.0238
28,1,CA1-DG,6,7,0.0507,0,0.0158
28,1,CA1-DG,6,8,0.024,0,-0.002
28,1,CA1-DG,6,9,0.0781,0,-0.0052
28,1,CA1-DG,6,10,-0.0057,0,-0.0278
28,1,CA1-DG,6,11,0.035,0,-0.0001
28,1,CA1-DG,6,12,-0.0253,0,-0.0178
28,1,CA1-DG,6,13,0.0384,0,-0.093
28,1,CA1-V1,1,1,0.1114,0,-0.0018
28,1,CA1-V1,1,2,-0.0017,0,-0.0109
28,1,CA1-V1,1,3,0.0251,0,-0.0002
28,1,CA1-V1,1,4,-0.0092,0,0.0108
28,1,CA1-V1,1,5,0.0708,0,0.0077
28,1,CA1-V1,1,6,-0.0293,0,0.0171
28,1,CA1-V1,1,7,0.05,0,0.0052
28,1,CA1-V1,1,8,0.0107,0,0.0149
28,1,CA1-V1,1,9,0.0152,0,0.0168
28,1,CA1-V1,1,10,0.0105,0,0.0072
28,1,CA1-V1,1,11,0.0316,0,0.0063
28,1,CA1-V1,1,12,-0.0058,0,0.015
28,1,CA1-V1,1,13,-0.0183,0,0.0111
28,1,CA1-V1,1,14,-0.0572,0,-0.0131
28,1,CA1-V1,1,15,-0.0099,0,0.0294
28,1,CA1-V1,1,16,-0.0077,0,0.0183
28,1,CA1-V1,1,17,-0.0357,0,0.0112
28,1,CA1-V1,1,18,0.0027,0,0.0437
28,1,CA1-V1,1,19,-0.0038,0,0.0037
28,1,CA1-V1,1,20,0.0315,0,0.0219
28,1,CA1-V1,1,21,0.0265,0,0.0524
28,1,CA1-V1,1,22,0.0081,0,0.0558
28,1,CA1-V1,1,23,0.0267,0,0.0236
28,1,CA1-V1,2,1,0.1971,0,-0.0163
28,1,CA1-V1,2,2,0.0923,0,0.0114
28,1,CA1-V1,2,3,0.0273,0,-0.0229
28,1,CA1-V1,2,4,0.0429,0,0.0091
28,1,CA1-V1,2,5,0.0497,0,-0.0003
28,1,CA1-V1,2,6,-0.0016,0,-0.0103
28,1,CA1-V1,2,7,0.0072,0,-0.014
28,1,CA1-V1,2,8,-0.0592,0,-0.0088
28,1,CA1-V1,2,9,-0.0081,0,0.0008
28,1,CA1-V1,2,10,0.0094,0,-0.0063
28,1,CA1-V1,2,11,0.001,0,0.0064
28,1,CA1-V1,2,12,-0.0097,0,0.0012
28,1,CA1-V1,2,13,-0.0178,0,-0.0026
28,1,CA1-V1,2,14,0.0142,0,0.015
28,1,CA1-V1,2,15,0.0131,0,0.0106
28,1,CA1-V1,2,16,0.0266,0,0.0187
28,1,CA1-V1,2,17,-0.0009,0,0.0269
28,1,CA1-V1,2,18,0.0227,0,0.0124
28,1,CA1-V1,2,19,-0.0057,0,0.0232
28,1,CA1-V1,2,20,0.0053,0,-0.0071
28,1,CA1-V1,2,21,-0.0332,0,0.0092
28,1,CA1-V1,2,22,0.0092,0,-0.0648
28,1,CA1-V1,2,23,-0.0271,0,-0.0138
28,1,CA1-V1,3,1,0.1773,0,-0.0151
28,1,CA1-V1,3,2,0.022,0,0.029
28,1,CA1-V1,3,3,0.0256,0,-0.014
28,1,CA1-V1,3,4,0.0341,0,0.0084
28,1,CA1-V1,3,5,0.0083,0,-0.012
