animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
66,1,V1-RSC,naive,27751,0.1312,1,0.0087,0.0484,3,0.1357,0.2275,0.2765,0.3111,0.4727,0.5292
66,1,V1-RSC,intermediate,21262,0.0484,0,0.0,0.0115,5,0.1223,0.1089,0.2995,0.2406,nan,nan
66,1,V1-RSC,expert,21455,0.1593,1,0.0128,-0.0551,0,0.106,0.0999,0.367,0.2679,0.6242,0.4121
68,1,CA1-RSC,naive,24389,0.0899,1,0.0041,0.0749,3,0.2115,0.1077,0.225,0.2136,0.4842,0.4268
68,1,CA1-RSC,intermediate,25086,0.0953,1,0.0046,0.0788,5,0.0752,0.1137,0.2555,0.3128,0.5505,0.5545
68,1,CA1-RSC,expert,21477,0.0821,0,0.0,0.0647,3,0.1011,0.1552,0.1966,0.2917,nan,nan
68,1,CA1-CA3,naive,24389,0.4267,4,0.1471,-0.0181,0,0.2363,0.601,0.4648,0.8802,0.3965,0.8836
68,1,CA1-CA3,intermediate,25086,0.3999,3,0.1107,-0.0147,0,0.1147,0.0592,0.592,0.6125,0.5529,0.5714
68,1,CA1-CA3,expert,21477,0.4032,3,0.1072,-0.0157,0,0.1363,0.0762,0.594,0.5798,0.522,0.5564
68,1,CA1-DG,naive,24389,0.2499,2,0.0485,-0.0505,0,0.2112,0.1853,0.5058,0.5237,0.5704,0.5607
68,1,CA1-DG,intermediate,25086,0.2647,3,0.0581,-0.0832,0,0.0739,0.2045,0.5256,0.5209,0.5175,0.4684
68,1,CA1-DG,expert,21477,0.2757,2,0.0576,-0.0765,0,0.1004,0.1695,0.475,0.485,0.5332,0.5418
68,1,CA3-DG,naive,24389,0.3042,3,0.1016,-0.0272,0,0.6069,0.2223,0.8823,0.4115,0.9118,0.4314
68,1,CA3-DG,intermediate,25086,0.3573,3,0.1139,0.0104,0,0.0608,0.2237,0.4946,0.4603,0.4949,0.4718
68,1,CA3-DG,expert,21477,0.3485,3,0.1172,-0.0039,0,0.0781,0.2316,0.4706,0.4785,0.4822,0.4613
73,1,CA1-RSC,naive,43845,0.1316,1,0.0087,0.1095,0,0.3234,0.5843,0.4575,0.5891,0.5558,0.6322
73,1,CA1-RSC,intermediate,26911,0.1115,1,0.0063,0.031,0,0.277,0.4778,0.4341,0.5095,0.577,0.6392
73,1,CA1-RSC,expert,23979,0.0606,11,0.1378,0.049,6,0.2751,0.4591,0.2954,0.493,0.2876,0.5005
73,1,CA1-DG,naive,43845,0.1862,2,0.0216,-0.0009,0,0.3218,0.3902,0.5151,0.518,0.6081,0.5353
73,1,CA1-DG,intermediate,26911,0.1795,2,0.0199,-0.0009,0,0.2772,0.2759,0.5456,0.5158,0.5648,0.5673
73,1,CA1-DG,expert,23979,0.2172,8,0.0862,-0.0577,0,0.2755,0.2676,0.3352,0.2879,0.3241,0.2743
73,1,CA1-V1,naive,43845,0.2111,2,0.0252,0.0005,0,0.3244,0.3685,0.5384,0.8188,0.5175,0.7973
73,1,CA1-V1,intermediate,26911,0.1068,1,0.0057,0.0113,0,0.2861,0.1216,0.4968,0.3493,0.6702,0.5538
73,1,CA1-V1,expert,23979,0.0851,0,0.0,-0.0243,0,0.277,0.1451,0.4006,0.2386,nan,nan
73,1,CA1-SUB,naive,43845,0.1591,3,0.0164,-0.0235,0,0.3236,0.2236,0.4574,0.3637,0.4594,0.3524
73,1,CA1-SUB,intermediate,26911,0.1152,5,0.0184,0.0201,0,0.2774,0.1493,0.4017,0.2443,0.4524,0.258
73,1,CA1-SUB,expert,23979,-0.0591,5,0.0405,0.0145,0,0.2756,0.1387,0.3375,0.2302,0.3206,0.2436
73,1,RSC-SUB,naive,43845,0.1585,2,0.0156,0.0168,0,0.584,0.2239,0.5781,0.4007,0.6084,0.453
73,1,RSC-SUB,intermediate,26911,0.104,2,0.0097,0.0087,0,0.4777,0.15,0.4627,0.3251,0.4782,0.4104
73,1,RSC-SUB,expert,23979,0.2309,10,0.1681,-0.0005,7,0.4585,0.1398,0.4369,0.1984,0.4479,0.198
73,1,V1-RSC,naive,43845,0.1411,2,0.0137,0.0571,0,0.3697,0.5823,0.4603,0.5501,0.5109,0.5821
73,1,V1-RSC,intermediate,26911,0.1944,2,0.0284,0.0304,5,0.1219,0.4743,0.3063,0.4696,0.3536,0.5111
73,1,V1-RSC,expert,23979,0.1843,1,0.0173,0.0272,0,0.1457,0.4554,0.3062,0.4582,0.5976,0.5661
75,1,CA1-RSC,naive,25623,0.4556,8,0.3569,0.125,3,0.2403,0.6408,0.3606,0.6196,0.3173,0.6313
75,1,CA1-RSC,intermediate,27132,0.6253,8,0.5688,0.0652,4,0.2534,0.5663,0.4142,0.5395,0.3224,0.5478
75,1,CA1-RSC,expert,25685,0.2973,6,0.1332,0.0446,0,0.251,0.541,0.3547,0.5211,0.329,0.5297
75,1,CA1-DG,naive,25623,0.805,10,1.1623,-0.0539,0,0.2229,0.5342,0.3037,0.4983,0.2597,0.5379
75,1,CA1-DG,intermediate,27132,0.4039,6,0.2241,-0.0295,0,0.253,0.5501,0.4281,0.5657,0.3706,0.5567
75,1,CA1-DG,expert,25685,0.2036,7,0.171,-0.0028,0,0.2507,0.587,0.3418,0.5916,0.324,0.5861
75,1,CA1-V1,naive,25623,0.7744,8,0.7265,0.0035,0,0.2374,0.348,0.3443,0.3202,0.2665,0.349
75,1,CA1-V1,intermediate,27132,-0.4998,4,0.0736,0.0191,0,0.2534,0.2889,0.4178,0.36,0.4146,0.3728
75,1,CA1-V1,expert,25685,-0.0867,4,0.0517,0.004,0,0.2507,0.2906,0.3309,0.3259,0.3684,0.3385
75,1,CA1-SUB,naive,25623,0.8038,8,1.1433,-0.0397,0,0.2365,0.2078,0.3615,0.2847,0.2952,0.2478
75,1,CA1-SUB,intermediate,27132,0.3784,7,0.3957,-0.0474,0,0.2532,0.2193,0.3588,0.233,0.3056,0.236
75,1,CA1-SUB,expert,25685,0.145,9,0.0969,-0.0001,0,0.2511,0.2106,0.3176,0.2734,0.2677,0.2761
75,1,RSC-SUB,naive,25623,0.6604,11,0.7872,-0.0093,0,0.637,0.2044,0.6091,0.2543,0.6282,0.2064
75,1,RSC-SUB,intermediate,27132,-0.2553,12,2.0365,-0.0296,0,0.5622,0.2205,0.5291,0.2584,0.561,0.24
75,1,RSC-SUB,expert,25685,0.3459,11,0.199,-0.0155,0,0.5384,0.2039,0.5127,0.2284,0.5183,0.2261
75,1,V1-RSC,naive,25623,0.6956,7,0.9155,-0.0003,0,0.3402,0.6318,0.3014,0.5911,0.3086,0.5962
75,1,V1-RSC,intermediate,27132,-0.5129,4,0.5611,0.0192,0,0.274,0.5595,0.2837,0.5335,0.2955,0.5344
75,1,V1-RSC,expert,25685,0.3816,2,0.1337,0.0074,0,0.2856,0.5247,0.2681,0.4721,0.3876,0.5342
77,1,CA1-RSC,naive,34692,0.1226,1,0.0076,-0.0192,0,0.1678,0.5582,0.434,0.5047,0.6195,0.5555
77,1,CA1-RSC,intermediate,26400,0.068,0,0.0,0.0179,6,0.0697,0.4177,0.1851,0.4039,nan,nan
77,1,CA1-RSC,expert,25884,0.2908,4,0.0908,0.0409,5,0.0527,0.3999,0.3674,0.4381,0.313,0.4215
77,1,CA1-DG,naive,34692,-0.0421,3,0.0753,-0.0631,0,0.2417,0.6526,0.1819,0.1814,0.1677,0.164
77,1,CA1-DG,intermediate,26400,0.0899,1,0.0041,0.0778,0,0.1535,0.0921,0.3736,0.4316,0.573,0.7096
77,1,CA1-DG,expert,25884,0.118,3,0.039,0.0362,0,0.1209,0.117,0.3351,0.3674,0.3403,0.3286
77,1,CA1-V1,naive,34692,-0.1637,5,0.1037,0.0699,0,0.1692,0.1742,0.1125,0.2473,0.1142,0.2485
77,1,CA1-V1,intermediate,26400,0.0418,0,0.0,0.0041,0,0.0689,0.0843,0.2581,0.2528,nan,nan
77,1,CA1-V1,expert,25884,-0.0972,5,0.0457,0.021,0,0.0521,0.0742,0.17,0.1397,0.1346,0.086
77,1,CA1-SUB,naive,34692,-0.216,2,0.0399,0.0208,-4,0.1493,0.2219,0.2744,0.32,0.2748,0.3192
77,1,CA1-SUB,intermediate,26400,0.0105,0,0.0,0.114,7,0.104,0.0975,0.1419,0.1788,nan,nan
77,1,CA1-SUB,expert,25884,-0.0017,1,0.0212,0.037,2,0.0823,0.2039,0.43,0.4056,0.43,0.4056
77,1,RSC-SUB,naive,34692,0.0605,1,0.0018,-0.0311,-3,0.541,0.2213,0.5216,0.4294,0.5831,0.5732
77,1,RSC-SUB,intermediate,26400,0.1024,2,0.0088,0.0519,0,0.4353,0.0966,0.4538,0.332,0.503,0.5013
77,1,RSC-SUB,expert,25884,0.1065,2,0.0094,-0.044,0,0.4036,0.2057,0.4383,0.2107,0.4632,0.2606
77,1,V1-RSC,naive,34692,0.2425,2,0.0525,0.0107,1,0.1261,0.5608,0.4126,0.487,0.5047,0.4918
77,1,V1-RSC,intermediate,26400,0.2888,2,0.0679,0.018,8,0.0674,0.4204,0.343,0.3973,0.4413,0.4234
77,1,V1-RSC,expert,25884,0.1128,1,0.0235,0.0183,0,0.0557,0.3945,0.1279,0.4202,0.4067,0.5712
