animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-DG,5,naive,2,20,0.2996317375292937,0,FF,1
75,CA1-DG,5,naive,3,30,0.3238697731831508,0,FF,1
75,CA1-DG,5,naive,4,40,0.2866126565067136,0,FF,1
75,CA1-DG,5,naive,5,50,0.2662286722886841,0,FF,1
75,CA1-DG,5,naive,6,60,0.21014750311000535,0,FF,1
75,CA1-DG,5,naive,7,70,0.16550041984885447,0,FF,1
75,CA1-DG,5,naive,8,80,0.17836394471908498,0,FF,1
75,CA1-DG,5,naive,9,90,0.13196705611951742,0,FF,1
75,CA1-DG,5,naive,10,100,0.0825019616634907,0,FF,1
75,CA1-DG,5,naive,11,110,0.05382338431179084,0,FF,1
75,CA1-DG,5,naive,12,120,0.04077349053233291,0,FF,1
75,CA1-DG,5,naive,13,130,0.03617392716495474,0,FF,1
75,CA1-DG,5,naive,14,140,0.06545082994351381,0,FF,1
75,CA1-DG,5,naive,15,150,0.08798190824897695,0,FF,1
75,CA1-DG,5,naive,16,160,0.11970490643580194,0,FF,1
75,CA1-DG,5,naive,17,170,0.14241367171248437,0,FF,1
75,CA1-DG,5,naive,18,180,0.1363908212408322,0,FF,1
75,CA1-DG,5,naive,19,190,0.13580591620519006,0,FF,1
75,CA1-DG,5,naive,20,200,0.13789125125485074,0,FF,1
75,CA1-DG,5,naive,21,210,0.13635568002800616,0,FF,1
75,CA1-DG,5,naive,22,220,0.1202160428710071,0,FF,1
75,CA1-DG,5,naive,23,230,0.09747618526223578,0,FF,1
75,CA1-DG,5,naive,24,240,0.08081514141305518,0,FF,1
75,CA1-DG,5,naive,25,250,0.08168493881107507,0,FF,1
75,CA1-DG,6,expert,1,10,0.21343445287107254,0,FF,1
75,CA1-DG,6,expert,2,20,0.5051124744376279,0,FF,1
75,CA1-DG,6,expert,3,30,0.5418594867480017,0,FF,1
75,CA1-DG,6,expert,4,40,0.5418594867480016,0,FF,1
75,CA1-DG,6,expert,5,50,0.5418594867480016,0,FF,1
75,CA1-DG,6,expert,6,60,0.5418594867480017,0,FF,1
75,CA1-DG,6,expert,7,70,0.41752078901566425,0,FF,1
75,CA1-DG,6,expert,8,80,0.41752078901566425,0,FF,1
75,CA1-DG,6,expert,9,90,0.33345461160633066,0,FF,1
75,CA1-DG,6,expert,10,100,0.15981012658227836,0,FF,1
75,CA1-DG,6,expert,11,110,0.053752135628860456,0,FF,1
75,CA1-DG,6,expert,12,120,0.049701789264413564,0,FF,1
75,CA1-DG,6,expert,13,130,0.05353641984617708,0,FF,1
75,CA1-DG,6,expert,14,140,0.05353641984617704,0,FF,1
75,CA1-DG,6,expert,15,150,0.10008603383997712,0,FF,1
75,CA1-DG,6,expert,16,160,0.188780456278679,0,FF,1
