animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
61,CA1-CA3,intermediate,0.24553,0.0,0.22340400700252866,20.0,170.0,0.20347819003787723,6000,0.2076
61,CA1-CA3,naive,0.10279,0.0,0.2313633622489215,40.0,120.0,0.6953983850569121,6000,0.2076
61,CA1-DG,expert,0.25314,0.0,-0.10169594063199484,10.0,140.0,0.38630797187327176,6000,0.25
61,CA1-DG,intermediate,0.24456,0.0,-0.12982078039927408,10.0,140.0,0.35042525351651943,6000,0.25
61,CA1-DG,naive,0.25236,0.0,-0.055846054555273035,20.0,130.0,0.5151371057219846,6000,0.25
61,CA1-RSC,expert,0.15519,0.0,-0.028078424727652693,0.0,140.0,0.40047683484760616,6000,0.2311
61,CA1-RSC,intermediate,0.16742,0.0,0.05631383029493183,0.0,160.0,0.34064030581770394,6000,0.2311
61,CA1-RSC,naive,0.18275,0.0,-0.15567579647059102,30.0,140.0,0.66703146374829,6000,0.2311
61,CA1-V1,expert,0.13222,0.0,0.015138697743715363,0.0,240.0,0.3181061866585993,6000,0.1932
61,CA1-V1,intermediate,0.12315,0.0,-0.5057980351103237,0.0,40.0,0.31693057247259443,6000,0.1932
61,CA1-V1,naive,0.1257,0.0,0.1354351252921672,10.0,100.0,0.5089101034208432,6000,0.1932
61,CA3-DG,expert,0.39536,0.0,0.16852478556073472,20.0,160.0,0.32188385269121816,6000,0.3615
61,CA3-DG,intermediate,0.3873,0.0,0.0524055302973838,20.0,150.0,0.33302349599793446,6000,0.3615
61,CA3-DG,naive,0.30488,0.0,-0.06685239753549425,20.0,140.0,0.39556546838100237,6000,0.3615
61,V1-RSC,expert,0.37481,0.0,-0.016690815565874824,500.0,,,6000,0.4097
61,V1-RSC,intermediate,0.35043,0.0,-0.0203209679336066,500.0,,,6000,0.4097
61,V1-RSC,naive,0.48149,0.0,0.11119032806977376,500.0,,,6000,0.4097
63,CA1-RSC,expert,0.09676,10.0,0.036811675797405956,40.0,140.0,0.7278834229020257,6000,0.1281
63,CA1-RSC,intermediate,0.10133,0.0,0.13751749706805902,20.0,130.0,0.5416954505082404,6000,0.1281
63,CA1-RSC,naive,0.08864,0.0,0.08092440537477172,30.0,140.0,0.827504512635379,6000,0.1281
66,CA1-DG,expert,0.30882,0.0,-0.04900337599957373,20.0,130.0,0.6176737257949615,6000,0.3164
66,CA1-DG,intermediate,0.33938,0.0,-0.06693379894445346,30.0,140.0,0.6121751429076551,6000,0.3164
66,CA1-DG,naive,0.2632,0.0,-0.09759938071235669,20.0,150.0,0.6044072948328267,6000,0.3164
66,CA1-RSC,expert,0.16178,0.0,-0.07522903593611725,0.0,90.0,0.2797008282853257,6000,0.1841
66,CA1-RSC,intermediate,0.18129,0.0,0.035017072883551124,0.0,130.0,0.35661095482376304,6000,0.1841
66,CA1-RSC,naive,0.20281,0.0,-0.019551104624830153,80.0,110.0,0.6662886445441547,6000,0.1841
66,CA1-SUB,expert,0.13964,0.0,-0.15752399892202323,0.0,100.0,0.39279576052706966,6000,0.1461
66,CA1-SUB,intermediate,0.12501,0.0,-0.0917105145450258,0.0,130.0,0.3837293016558675,6000,0.1461
66,CA1-SUB,naive,0.17457,0.0,-0.22118186891548341,0.0,140.0,0.23761241908689926,6000,0.1461
66,CA1-V1,expert,0.1689,0.0,0.0724374660646946,0.0,190.0,0.3429248075784488,6000,0.2312
66,CA1-V1,intermediate,0.31672,0.0,0.18391864277907155,0.0,140.0,0.16159383682748168,6000,0.2312
66,CA1-V1,naive,0.27864,0.0,0.08786854471250108,0.0,30.0,0.19979184610967557,6000,0.2312
66,RSC-SUB,expert,0.2092,0.0,0.1902691588322,50.0,220.0,0.28250478011472274,6000,0.2218
66,RSC-SUB,intermediate,0.28512,10.0,0.38111674069057133,50.0,60.0,0.0979236812570146,6000,0.2218
66,RSC-SUB,naive,0.25122,10.0,0.35798344158242557,20.0,110.0,0.2538810604251254,6000,0.2218
66,V1-RSC,expert,0.15778,0.0,-0.057553325519152064,70.0,100.0,0.6004563316009633,6000,0.2044
66,V1-RSC,intermediate,0.2047,0.0,-0.28454212351429525,80.0,130.0,0.686028334147533,6000,0.2044
66,V1-RSC,naive,0.25089,20.0,-0.07888987657960138,220.0,60.0,0.508509705448603,6000,0.2044
68,CA1-CA3,expert,0.44043,0.0,-0.0635506117651147,20.0,140.0,0.6974547601207911,6000,0.4403
68,CA1-CA3,intermediate,0.43,0.0,-0.06830870279146135,20.0,140.0,0.7213953488372092,6000,0.4403
68,CA1-CA3,naive,0.45119,0.0,-0.04484146816332424,20.0,130.0,0.6610075577916178,6000,0.4403
68,CA1-DG,expert,0.27672,0.0,0.009386803180364809,20.0,130.0,0.6247108991037872,6000,0.2809
68,CA1-DG,intermediate,0.27967,0.0,-0.04086359457891024,20.0,140.0,0.5476096828404906,6000,0.2809
68,CA1-DG,naive,0.28469,0.0,-0.024557468284786204,20.0,140.0,0.5464891636516913,6000,0.2809
68,CA1-RSC,expert,0.11727,0.0,-0.04556908224293389,30.0,140.0,0.37878400272874563,6000,0.1225
68,CA1-RSC,intermediate,0.11213,0.0,-0.04648875483574853,20.0,150.0,0.5509676268616784,6000,0.1225
68,CA1-RSC,naive,0.09559,0.0,-0.04665097834139549,20.0,80.0,0.45465006799874463,6000,0.1225
