animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
66,1,V1-RSC,4,4,2439,0.0917,0.0325,1,0.4266,0.4626
66,1,V1-RSC,7,7,3016,0.0748,0.3438,3,0.4504,0.4361
66,1,V1-RSC,10,10,2424,0.0591,0.029,2,0.3692,0.4891
68,1,CA1-RSC,1,1,3232,0.07,0.5117,2,0.6493,0.5745
68,1,CA1-RSC,2,2,2667,0.052,0.4471,1,0.6047,0.6335
68,1,CA1-RSC,4,4,2417,0.0764,0.1757,1,0.6411,0.6161
68,1,CA1-RSC,7,7,2075,0.1569,0.0358,0,0.6041,0.6061
68,1,CA1-RSC,10,10,2119,0.1,0.3284,0,0.627,0.6418
68,1,CA1-CA3,1,1,3232,0.412,0.1003,0,0.6672,0.645
68,1,CA1-CA3,2,2,2667,0.437,0.1107,0,0.6493,0.5526
68,1,CA1-CA3,4,4,2417,0.4098,0.0651,0,0.6569,0.6068
68,1,CA1-CA3,7,7,2075,0.4435,0.1638,0,0.6729,0.6125
68,1,CA1-CA3,10,10,2119,0.4165,0.0309,0,0.6676,0.6033
68,1,CA1-DG,1,1,3232,0.2847,0.2329,0,0.627,0.6191
68,1,CA1-DG,2,2,2667,0.2582,0.0277,0,0.6173,0.6381
68,1,CA1-DG,4,4,2417,0.2313,0.1827,0,0.6135,0.5805
68,1,CA1-DG,7,7,2075,0.2205,0.0776,0,0.6503,0.5693
68,1,CA1-DG,10,10,2119,0.2332,0.208,0,0.6904,0.6175
68,1,CA3-DG,1,1,3232,0.3206,-0.1876,0,0.6552,0.46
68,1,CA3-DG,2,2,2667,0.2747,-0.2524,0,0.5918,0.4671
68,1,CA3-DG,4,4,2417,0.2718,-0.4251,0,0.6057,0.449
68,1,CA3-DG,7,7,2075,0.3071,-0.2006,0,0.5793,0.5165
68,1,CA3-DG,10,10,2119,0.2641,-0.2177,0,0.6335,0.5236
70,0,CA1-RSC,1,1,5773,0.0672,0.398,0,0.4929,0.4802
70,0,CA1-RSC,2,2,5195,0.067,0.2973,0,0.5223,0.4771
70,0,CA1-RSC,4,4,5417,0.0602,-0.0211,0,0.4864,0.4824
70,0,CA1-RSC,7,7,5622,0.0577,0.2115,0,0.5162,0.4842
70,0,CA1-RSC,10,10,5747,0.071,0.227,2,0.5237,0.4961
70,0,CA1-DG,1,1,5773,-0.9643,-0.2214,-4,0.0708,0.0261
70,0,CA1-DG,2,2,5195,0.2414,-0.1472,0,0.5193,0.7159
70,0,CA1-DG,4,4,5417,0.2758,0.0327,0,0.5034,0.7067
70,0,CA1-DG,7,7,5622,0.2572,-0.0314,0,0.4904,0.6974
70,0,CA1-DG,10,10,5747,0.3082,0.0404,0,0.5153,0.7217
70,0,CA1-V1,1,1,5773,-0.9096,-0.6639,-3,0.0841,0.0545
70,0,CA1-V1,2,2,5195,0.2116,-0.0255,0,0.5609,0.4593
70,0,CA1-V1,4,4,5417,0.2286,0.0029,0,0.5972,0.4839
70,0,CA1-V1,7,7,5622,0.205,-0.0337,0,0.58,0.452
70,0,CA1-V1,10,10,5747,0.2159,-0.035,0,0.563,0.4633
70,0,CA1-SUB,1,1,5773,0.9963,-0.0018,0,0.0745,0.1019
70,0,CA1-SUB,2,2,5195,0.1757,-0.5792,0,0.5019,0.6495
70,0,CA1-SUB,4,4,5417,0.1483,-0.2651,0,0.4989,0.6652
70,0,CA1-SUB,7,7,5622,0.1567,-0.279,0,0.473,0.6808
70,0,CA1-SUB,10,10,5747,0.1431,-0.2714,0,0.4948,0.6622
70,0,RSC-SUB,1,1,5773,0.233,0.0744,0,0.5354,0.6167
70,0,RSC-SUB,2,2,5195,0.1897,0.1192,0,0.5492,0.6322
70,0,RSC-SUB,4,4,5417,0.233,0.1514,0,0.5348,0.6582
70,0,RSC-SUB,7,7,5622,0.1948,0.1124,0,0.5299,0.661
70,0,RSC-SUB,10,10,5747,0.227,0.0833,0,0.5426,0.6752
70,0,V1-RSC,1,1,5773,0.2183,-0.0646,0,0.4548,0.526
70,0,V1-RSC,2,2,5195,0.2427,-0.0102,0,0.4453,0.4923
70,0,V1-RSC,4,4,5417,0.2833,0.0122,0,0.4644,0.4841
70,0,V1-RSC,7,7,5622,0.2755,-0.0019,0,0.464,0.4959
70,0,V1-RSC,10,10,5747,0.2619,0.0166,0,0.4468,0.518
71,0,CA1-RSC,1,1,3561,0.07,-0.1975,0,0.5961,0.4736
71,0,CA1-RSC,2,2,2898,0.0261,-0.2621,-4,0.6098,0.4914
71,0,CA1-RSC,4,4,2619,0.0709,-0.5732,0,0.5971,0.4455
71,0,CA1-RSC,7,7,2459,0.0264,-0.1948,9,0.5718,0.4559
71,0,CA1-RSC,10,10,2665,0.0863,-0.0119,0,0.5726,0.4538
71,0,CA1-CA3,1,1,3561,0.2538,0.3131,0,0.6693,0.4527
71,0,CA1-CA3,2,2,2898,0.2458,0.3427,0,0.6182,0.477
71,0,CA1-CA3,4,4,2619,0.2475,0.3421,0,0.6323,0.4649
71,0,CA1-CA3,7,7,2459,0.2539,0.4301,0,0.6368,0.4568
71,0,CA1-CA3,10,10,2665,0.2389,0.3257,0,0.6199,0.4533
71,0,CA1-DG,1,1,3561,0.2334,0.2119,0,0.6137,0.5533
71,0,CA1-DG,2,2,2898,0.2651,-0.0553,0,0.6238,0.5686
71,0,CA1-DG,4,4,2619,0.2289,-0.0574,0,0.6617,0.5706
71,0,CA1-DG,7,7,2459,0.2999,-0.0084,0,0.6556,0.5929
71,0,CA1-DG,10,10,2665,0.279,0.021,0,0.6406,0.5578
71,0,CA1-V1,1,1,3561,0.0142,-0.7843,-9,0.5365,0.5269
71,0,CA1-V1,2,2,2898,-0.0029,0.314,3,0.5419,0.53
71,0,CA1-V1,4,4,2619,-0.0509,1.0,5,0.5603,0.4868
71,0,CA1-V1,7,7,2459,0.0021,-0.2418,-7,0.5203,0.5113
71,0,CA1-V1,10,10,2665,-0.0151,-0.2445,-5,0.5497,0.5005
71,0,CA3-DG,1,1,3561,0.4006,0.0175,0,0.4792,0.6321
71,0,CA3-DG,2,2,2898,0.37,-0.0086,0,0.5203,0.6087
71,0,CA3-DG,4,4,2619,0.3754,-0.0298,0,0.5219,0.6142
71,0,CA3-DG,7,7,2459,0.4186,-0.0495,0,0.5654,0.6114
71,0,CA3-DG,10,10,2665,0.3657,0.0078,0,0.5446,0.6153
71,0,CA1-SUB,1,1,3561,0.0947,-0.4806,0,0.6028,0.392
71,0,CA1-SUB,2,2,2898,0.0689,-0.6096,-1,0.6075,0.3973
71,0,CA1-SUB,4,4,2619,0.1122,-0.1544,0,0.6242,0.4336
71,0,CA1-SUB,7,7,2459,0.0907,-0.4841,0,0.6423,0.4323
