animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-DG,68.0,0.4926,0.476,-1.0,6000,0.3411,6,0.261,0.0403,0,0.1776,0.098,0.3565,0.3074,68.87,75.46,11.61,13.48,0.7143,1.0,88.12,69.72,31.6,26.57
28,1,CA1-DG,73.0,0.5294,0.5182,4.0,6000,0.3534,4,0.1354,0.0471,0,0.1516,0.1185,0.3806,0.3437,49.29,30.94,21.55,10.08,0.3333,0.6,59.54,60.84,47.8,38.39
28,1,CA1-DG,78.0,0.5662,0.6613,9.0,6000,0.2667,3,0.1029,0.0366,0,0.218,0.1951,0.3409,0.2879,66.79,71.38,13.99,17.15,0.5,0.3333,43.93,29.92,36.77,40.51
28,1,CA1-DG,83.0,0.6029,0.7651,14.0,6000,0.2849,7,0.2034,0.0209,0,0.2231,0.2726,0.3534,0.2445,24.0,22.05,21.61,30.84,0.5,0.3333,37.57,26.16,39.5,52.38
28,1,CA1-DG,88.0,0.6397,0.9155,19.0,6000,0.2125,5,0.2217,0.0328,0,0.2748,0.3004,0.3432,0.2758,20.29,15.91,42.42,34.97,0.5,0.6,43.19,29.56,51.81,34.49
28,1,CA1-DG,93.0,0.6765,0.9833,24.0,6000,0.5184,3,0.2294,0.0377,0,0.3021,0.343,0.3539,0.3175,19.53,20.12,29.8,13.08,0.5,0.6,34.57,44.48,5.09,1.3
28,1,CA1-DG,98.0,0.7132,1.0,29.0,6000,0.5716,4,0.2783,0.0315,0,0.328,0.379,0.3382,0.3127,15.19,13.86,4.33,1.21,0.7143,1.0,38.99,32.77,3.72,1.02
28,1,CA1-DG,103.0,0.75,0.9333,34.0,6000,0.5573,4,0.2497,0.0357,0,0.3438,0.3513,0.3159,0.2917,16.67,11.53,3.41,0.95,0.7143,1.0,51.29,55.59,4.21,1.78
28,1,CA1-DG,108.0,0.7868,0.8565,39.0,6000,0.4295,4,0.1649,0.0322,0,0.246,0.3464,0.2917,0.2691,32.14,21.96,9.75,2.41,0.5,1.0,43.87,32.48,8.86,7.2
28,1,CA1-DG,113.0,0.8235,0.7989,44.0,6000,0.2811,3,0.08,0.0357,0,0.2235,0.3566,0.2451,0.2333,30.37,17.41,31.73,3.34,0.3333,1.0,50.85,41.29,52.33,15.01
28,1,CA1-DG,118.0,0.8603,0.7434,49.0,6000,0.4342,3,0.1453,0.0172,0,0.2966,0.3492,0.2966,0.3105,27.17,19.47,26.2,4.78,0.5,1.0,56.06,26.26,44.56,2.67
28,1,CA1-DG,123.0,0.8971,0.7314,54.0,6000,0.5698,3,0.2429,0.0268,0,0.3384,0.3572,0.3405,0.3292,46.47,21.4,23.1,1.42,1.0,0.6,47.73,41.84,19.0,3.34
28,1,CA1-DG,128.0,0.9338,0.6867,59.0,6000,0.4733,3,0.1634,0.0249,0,0.2823,0.3609,0.2939,0.2989,36.96,21.78,18.74,2.19,1.0,0.6,47.95,34.21,11.47,1.69
28,1,CA1-V1,8.0,0.0515,0.0162,-61.0,6000,0.3509,1,0.0657,-0.0014,-1,0.3689,0.375,0.2695,0.3018,nan,nan,nan,nan,,,88.76,89.59,89.95,48.03
28,1,CA1-V1,13.0,0.0882,0.0162,-56.0,6000,0.4012,1,0.0878,0.0004,-1,0.3318,0.3727,0.273,0.2905,87.78,74.92,32.66,30.36,0.7143,0.4167,78.1,61.89,82.71,32.91
28,1,CA1-V1,18.0,0.125,0.0833,-51.0,6000,0.4093,1,0.0917,0.0049,-1,0.339,0.3279,0.2966,0.2729,41.19,47.24,22.25,24.74,0.7143,0.5455,68.54,76.75,33.77,39.61
28,1,CA1-V1,23.0,0.1618,0.1389,-46.0,6000,0.4162,1,0.0951,0.0141,-3,0.3259,0.3263,0.3003,0.2811,76.86,73.35,20.7,18.93,1.0,0.5455,88.41,85.3,79.89,36.75
28,1,CA1-V1,28.0,0.1985,0.2667,-41.0,6000,0.3373,1,0.0604,0.0067,-1,0.2801,0.3219,0.2751,0.2736,65.69,67.95,21.65,25.34,0.7143,0.7,61.3,69.01,46.38,36.15
28,1,CA1-V1,33.0,0.2353,0.27,-36.0,6000,0.4575,2,0.1606,0.012,0,0.2405,0.3283,0.2414,0.2736,35.41,46.75,28.26,23.1,0.7143,0.4783,47.56,58.6,41.62,50.2
28,1,CA1-V1,38.0,0.2721,0.3182,-31.0,6000,0.3606,2,0.1121,0.0044,0,0.2262,0.307,0.2283,0.2688,52.6,45.68,19.76,25.91,0.7143,0.4783,47.5,57.67,51.2,70.69
28,1,CA1-V1,43.0,0.3088,0.3746,-26.0,6000,0.3366,2,0.0992,-0.0185,0,0.1963,0.2987,0.2337,0.2616,27.95,34.28,19.1,31.11,0.5,0.4783,37.02,51.5,28.24,37.1
28,1,CA1-V1,48.0,0.3456,0.3465,-21.0,6000,0.2364,1,0.0405,-0.0387,-10,0.2016,0.2845,0.2208,0.2409,31.57,34.81,34.36,37.99,0.5,0.4167,60.37,59.35,42.84,55.51
28,1,CA1-V1,53.0,0.3824,0.3593,-16.0,6000,0.2798,1,0.0408,-0.0371,-7,0.2412,0.2804,0.2161,0.2247,38.05,43.07,42.64,40.01,0.5,0.4783,58.81,59.18,50.93,50.99
28,1,CA1-V1,58.0,0.4191,0.3158,-11.0,6000,0.3024,1,0.0479,-0.0504,-7,0.202,0.2733,0.1991,0.2205,28.58,33.65,21.25,28.1,0.7143,0.36,73.96,88.79,40.53,42.81
28,1,CA1-V1,63.0,0.4559,0.3796,-6.0,6000,0.2852,1,0.0424,-0.0269,0,0.1907,0.2481,0.1837,0.2034,31.85,40.76,30.03,33.19,0.7143,0.4783,63.28,67.57,38.15,47.62
28,1,CA1-V1,68.0,0.4926,0.476,-1.0,6000,0.3706,1,0.0739,0.02,0,0.1813,0.2603,0.1957,0.2011,78.55,79.98,22.04,34.79,0.7143,0.619,76.38,69.86,73.12,57.38
