metric,pair,matched,window_bins,mean,sem,count
ifi_cc1,CA1-RSC,2,1,0.5337414943146158,0.17977110581640454,12
ifi_cc1,CA1-RSC,2,2,0.4893388334957596,0.18715045333577673,12
ifi_cc1,CA1-RSC,2,3,0.18923155951206616,0.2331981036545173,12
ifi_cc1,CA1-RSC,2,4,0.13618513960227882,0.13038243031349822,12
ifi_cc1,CA1-RSC,2,5,-0.009093511019078794,0.16111405750613345,12
ifi_cc1,CA1-RSC,2,6,-0.09397001525576197,0.14246791772539685,12
ifi_cc1,CA1-RSC,2,7,0.016698210257660495,0.08434995070789233,12
ifi_cc1,CA1-RSC,2,8,0.026848661756576738,0.08248704664459432,12
ifi_cc1,CA1-RSC,2,9,0.03207990655678223,0.07320027411731841,12
ifi_cc1,CA1-RSC,2,10,0.01183290356114583,0.07022981952551172,12
ifi_cc1,CA1-RSC,2,11,-0.0028528024786603212,0.0568744339705111,12
ifi_cc1,CA1-RSC,2,12,-0.009219920212290908,0.0515390154303364,12
ifi_cc1,CA1-RSC,2,13,-0.004542886603910436,0.05739931655129945,12
ifi_cc1,CA1-RSC,2,14,0.028399423996961357,0.059079955106341946,12
ifi_cc1,CA1-RSC,2,15,0.038577834451193505,0.07078600552810496,12
ifi_cc1,CA1-RSC,2,16,0.03205716491829457,0.06859600205649043,12
ifi_cc1,CA1-RSC,2,17,0.031066416483791368,0.06758604743876924,12
ifi_cc1,CA1-RSC,2,18,0.028214912117802773,0.07102274450920497,12
ifi_cc1,CA1-RSC,2,19,0.004326371011179701,0.0786894511059239,12
ifi_cc1,CA1-RSC,2,20,-0.00299661634480435,0.08106290142309301,12
ifi_cc1,CA1-RSC,2,21,-0.0075298554916584425,0.08214981385259149,12
ifi_cc1,CA1-RSC,2,22,-0.005041733110163209,0.08343024350714748,12
ifi_cc1,CA1-RSC,2,23,0.008970706118457919,0.07998329687564294,12
ifi_cc1,CA1-RSC,2,24,0.017142560332567548,0.08257945879036424,12
ifi_cc1,CA1-RSC,2,25,0.02031113637470798,0.08414191514276466,12
ifi_cc1,CA1-SUB,0,1,0.04262719020265904,0.24786630850916763,6
ifi_cc1,CA1-SUB,0,2,0.11043880244332148,0.11400975471272776,6
ifi_cc1,CA1-SUB,0,3,0.15471842095378227,0.1538910297190484,6
ifi_cc1,CA1-SUB,0,4,0.025623948579101597,0.12432680865616942,6
ifi_cc1,CA1-SUB,0,5,-0.05996261234865528,0.13275774540353572,6
ifi_cc1,CA1-SUB,0,6,-0.05513044661439894,0.13358993370787087,6
ifi_cc1,CA1-SUB,0,7,-0.07428307370664725,0.1361525131369059,6
ifi_cc1,CA1-SUB,0,8,-0.05529768528957668,0.1364241119973471,6
ifi_cc1,CA1-SUB,0,9,-0.07263295181337816,0.15564570222217522,6
ifi_cc1,CA1-SUB,0,10,-0.019138258699646405,0.14269742017788495,6
ifi_cc1,CA1-SUB,0,11,-0.03551765748533603,0.12536577419021308,6
ifi_cc1,CA1-SUB,0,12,-0.07272735955263486,0.11628248530917941,6
ifi_cc1,CA1-SUB,0,13,-0.11508410071410265,0.11018098003199549,6
ifi_cc1,CA1-SUB,0,14,-0.10443042658307022,0.09868411948420083,6
ifi_cc1,CA1-SUB,0,15,-0.11405845360842219,0.1056040176276753,6
ifi_cc1,CA1-SUB,0,16,-0.09819799046800005,0.10626838928965458,6
ifi_cc1,CA1-SUB,0,17,-0.08712074862973701,0.10008472752313119,6
ifi_cc1,CA1-SUB,0,18,-0.09739122199911511,0.08893444800610652,6
ifi_cc1,CA1-SUB,0,19,-0.052263089079718585,0.08481767250093973,6
ifi_cc1,CA1-SUB,0,20,-0.07175778536983617,0.08640856640971585,6
ifi_cc1,CA1-SUB,0,21,-0.07508150363588494,0.08342089538203902,6
ifi_cc1,CA1-SUB,0,22,-0.05288089616564847,0.07171941529765546,6
ifi_cc1,CA1-SUB,0,23,-0.055450935017458486,0.07614251518761772,6
ifi_cc1,CA1-SUB,0,24,-0.05006395470912459,0.06499451128991729,6
