animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-V1,naive,10,-1,-10,5990,0.0751,0.0351,0,66.89,60.04,24.41,28.72,88.27,88.99,84.52,0.3555,0.4587,75.68,67.17,36.5
28,1,CA1-V1,naive,10,2,20,5980,0.0728,0.0397,0,89.46,58.57,36.24,28.64,88.27,88.99,84.52,0.3412,0.4675,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-2,-20,5980,0.048,0.0489,0,87.31,77.86,25.46,31.96,88.27,88.99,84.52,0.3712,0.4836,75.68,67.17,36.5
28,1,CA1-V1,naive,10,3,30,5970,0.0811,0.0653,0,73.28,75.57,38.99,41.72,88.27,88.99,84.52,0.3337,0.47,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-3,-30,5970,0.0347,0.0543,0,81.91,67.62,39.91,37.93,88.27,88.99,84.52,0.3574,0.4848,75.68,67.17,36.5
28,1,CA1-V1,naive,10,4,40,5960,0.069,0.0568,0,82.72,83.07,45.29,38.8,88.27,88.99,84.52,0.3136,0.4667,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-4,-40,5960,0.0597,0.0591,0,75.28,68.42,40.48,36.1,88.27,88.99,84.52,0.4286,0.5008,75.68,67.17,36.5
28,1,CA1-V1,naive,10,5,50,5950,0.0524,0.0297,0,89.74,74.02,25.92,27.96,88.27,88.99,84.52,0.3862,0.4591,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-5,-50,5950,0.0616,0.0505,0,79.75,70.59,31.08,31.91,88.27,88.99,84.52,0.3679,0.4712,75.68,67.17,36.5
28,1,CA1-V1,naive,10,7,70,5930,0.0249,0.0306,0,83.2,81.89,32.51,36.22,88.27,88.99,84.52,0.4096,0.499,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-7,-70,5930,0.0685,0.0417,0,80.83,81.04,41.77,44.97,88.27,88.99,84.52,0.4648,0.4702,75.68,67.17,36.5
28,1,CA1-V1,naive,10,10,100,5900,0.0478,0.042,0,82.76,89.37,28.76,33.12,88.27,88.99,84.52,0.3684,0.5021,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-10,-100,5900,0.097,0.0333,0,57.7,76.48,33.22,33.74,88.27,88.99,84.52,0.3916,0.4675,75.68,67.17,36.5
28,1,CA1-V1,naive,10,15,150,5850,0.0593,0.0329,0,80.85,88.3,80.66,31.58,88.27,88.99,84.52,0.7591,0.4608,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-15,-150,5850,0.0892,0.0368,0,85.94,84.02,26.96,35.0,88.27,88.99,84.52,0.3641,0.4572,75.68,67.17,36.5
28,1,CA1-V1,naive,10,20,200,5800,0.0538,0.031,0,81.2,79.28,84.91,36.63,88.27,88.99,84.52,0.8201,0.4635,75.68,67.17,36.5
