animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-SUB,6,expert,24,240,-0.06953102242936209,0,FB,1
75,CA1-SUB,6,expert,25,250,-0.07296217617272562,0,FB,1
75,CA1-SUB,6,intermediate,1,10,-0.13369863013698627,0,FB,1
75,CA1-SUB,6,intermediate,2,20,-0.15059840425531912,0,FB,1
75,CA1-SUB,6,intermediate,3,30,-0.2534121929026387,0,FB,1
75,CA1-SUB,6,intermediate,4,40,-0.258315968202516,0,FB,1
75,CA1-SUB,6,intermediate,5,50,-0.2935009073190402,0,FB,1
75,CA1-SUB,6,intermediate,6,60,-0.21887270424319183,0,FB,1
75,CA1-SUB,6,intermediate,7,70,-0.18632382028821698,0,FB,1
75,CA1-SUB,6,intermediate,8,80,-0.1131686207417099,0,FB,1
75,CA1-SUB,6,intermediate,9,90,-0.10740013097576942,0,FB,1
75,CA1-SUB,6,intermediate,10,100,-0.12292980671414036,0,FB,1
75,CA1-SUB,6,intermediate,11,110,-0.1570936763906505,0,FB,1
75,CA1-SUB,6,intermediate,12,120,-0.18574867597496378,0,FB,1
75,CA1-SUB,6,intermediate,13,130,-0.15783241231532652,0,FB,1
75,CA1-SUB,6,intermediate,14,140,-0.14056656933558725,0,FB,1
75,CA1-SUB,6,intermediate,15,150,-0.1344184388737079,0,FB,1
75,CA1-SUB,6,intermediate,16,160,-0.13263536796821834,0,FB,1
75,CA1-SUB,6,intermediate,17,170,-0.15251096423497432,0,FB,1
75,CA1-SUB,6,intermediate,18,180,-0.16153219851172987,0,FB,1
75,CA1-SUB,6,intermediate,19,190,-0.1415228354286525,0,FB,1
75,CA1-SUB,6,intermediate,20,200,-0.13265133866774706,0,FB,1
75,CA1-SUB,6,intermediate,21,210,-0.13854639844256963,0,FB,1
75,CA1-SUB,6,intermediate,22,220,-0.1333323039389775,0,FB,1
75,CA1-SUB,6,intermediate,23,230,-0.1372006824733776,0,FB,1
75,CA1-SUB,6,intermediate,24,240,-0.13226016352165676,0,FB,1
75,CA1-SUB,6,intermediate,25,250,-0.12261739188025698,0,FB,1
75,CA1-SUB,6,naive,1,10,0.3695716395864106,0,FB,1
75,CA1-SUB,6,naive,2,20,0.08832807570977913,0,FB,1
75,CA1-SUB,6,naive,3,30,-0.028002731973851048,0,FB,1
75,CA1-SUB,6,naive,4,40,-0.057263411693791406,0,FB,1
75,CA1-SUB,6,naive,5,50,-0.05552528004844077,0,FB,1
75,CA1-SUB,6,naive,6,60,-0.11315015715299603,0,FB,1
75,CA1-SUB,6,naive,7,70,-0.1685190747972364,0,FB,1
75,CA1-SUB,6,naive,8,80,-0.19510346395815964,0,FB,1
75,CA1-SUB,6,naive,9,90,-0.21432666689150448,0,FB,1
75,CA1-SUB,6,naive,10,100,-0.2496818844852737,0,FB,1
75,CA1-SUB,6,naive,11,110,-0.28433950813513287,0,FB,1
75,CA1-SUB,6,naive,12,120,-0.2931840417436679,0,FB,1
75,CA1-SUB,6,naive,13,130,-0.3030021513788383,0,FB,1
75,CA1-SUB,6,naive,14,140,-0.33367415704226994,0,FB,1
75,CA1-SUB,6,naive,15,150,-0.35384279475982544,0,FB,1
75,CA1-SUB,6,naive,16,160,-0.391360884229347,0,FB,1
75,CA1-SUB,6,naive,17,170,-0.4008368831756323,0,FB,1
75,CA1-SUB,6,naive,18,180,-0.4057009680889207,0,FB,1
75,CA1-SUB,6,naive,19,190,-0.4042646884474027,0,FB,1
75,CA1-SUB,6,naive,20,200,-0.4348559584826235,0,FB,1
75,CA1-SUB,6,naive,21,210,-0.462541065016426,0,FB,1
75,CA1-SUB,6,naive,22,220,-0.4863759820098712,0,FB,1
75,CA1-SUB,6,naive,23,230,-0.5047798724428739,0,FB,1
75,CA1-SUB,6,naive,24,240,-0.5229636397839349,0,FB,1
75,CA1-SUB,6,naive,25,250,-0.5302018653711257,0,FB,1
75,CA1-SUB,7,expert,1,10,0.08387418871692458,0,FB,1
75,CA1-SUB,7,expert,2,20,0.057097957045573536,0,FB,1
75,CA1-SUB,7,expert,3,30,-0.004775728064425508,0,FB,1
75,CA1-SUB,7,expert,4,40,-0.024801050761029165,0,FB,1
75,CA1-SUB,7,expert,5,50,-0.011984021304926774,0,FB,1
75,CA1-SUB,7,expert,6,60,-0.007528905619790333,0,FB,1
75,CA1-SUB,7,expert,7,70,0.07800196850393694,0,FB,1
75,CA1-SUB,7,expert,8,80,0.04360189573459713,0,FB,1
75,CA1-SUB,7,expert,9,90,0.02320291173794352,0,FB,1
75,CA1-SUB,7,expert,10,100,0.06315224063842848,0,FB,1
75,CA1-SUB,7,expert,11,110,0.048296235229458674,0,FB,1
75,CA1-SUB,7,expert,12,120,0.03232985826402714,0,FB,1
75,CA1-SUB,7,expert,13,130,0.0324516503189692,0,FB,1
75,CA1-SUB,7,expert,14,140,0.032061498078185056,0,FB,1
75,CA1-SUB,7,expert,15,150,0.04558410757414215,0,FB,1
75,CA1-SUB,7,expert,16,160,0.02896938228870492,0,FB,1
75,CA1-SUB,7,expert,17,170,0.017997120460726462,0,FB,1
75,CA1-SUB,7,expert,18,180,0.018594280174503337,0,FB,1
75,CA1-SUB,7,expert,19,190,0.033898305084745985,0,FB,1
