animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
52,V1-RSC,expert,RSC,7,-0.6429,-0.3685,-0.6071,-0.2513,0.9286,-0.6429,-0.3589,-0.7857,-0.7455,0.8929,-0.75,-0.593,0.7857,0.9286
52,V1-RSC,expert,V1,102,0.3321,0.0934,0.4745,0.3155,0.5542,0.1761,-0.2873,0.1735,-0.2265,0.7318,0.233,0.0469,0.4105,0.9167
52,V1-RSC,intermediate,RSC,7,0.6071,0.6585,-0.25,-0.2338,0.1071,0.6786,0.7741,-0.2857,-0.2513,0.2143,0.6429,0.7524,0.25,0.9643
52,V1-RSC,intermediate,V1,103,0.389,0.2203,0.1731,0.049,0.5275,0.2704,-0.0615,0.1837,-0.0385,0.7251,0.3321,0.2319,0.3189,0.8942
52,V1-RSC,naive,RSC,7,-0.2143,-0.0586,-0.1786,-0.2637,0.3571,-0.0357,0.1354,-0.1429,-0.2149,0.3214,0.1786,0.2016,0.0,0.75
52,V1-RSC,naive,V1,103,0.1909,0.1701,0.2615,0.1686,0.5189,0.0591,-0.0393,0.1498,-0.0691,0.7292,0.1516,0.1363,0.2146,0.8791
61,CA1-CA3,expert,CA1,57,0.1774,-0.0724,0.126,-0.0819,0.426,0.386,0.0722,0.3863,0.1279,0.6315,0.2268,-0.0308,0.447,0.8444
61,CA1-CA3,expert,CA3,28,0.3667,0.2964,0.2441,0.1097,0.237,0.4715,0.1748,0.3026,-0.0689,0.4961,0.4423,0.1772,0.4444,0.7734
61,CA1-CA3,intermediate,CA1,58,0.1952,-0.0475,0.1798,-0.0682,0.4088,0.2065,-0.2364,0.2225,-0.2141,0.6998,0.2345,0.0031,0.4108,0.9089
61,CA1-CA3,intermediate,CA3,25,0.1369,-0.1154,0.3592,0.1612,0.4262,0.0562,-0.2109,0.1677,-0.0845,0.4138,0.2186,-0.1258,0.5641,0.8262
61,CA1-CA3,naive,CA1,57,0.3084,0.2303,0.3175,0.2223,0.4465,0.2039,-0.0186,0.2496,0.0072,0.7652,0.1011,-0.0121,0.4589,0.732
61,CA1-CA3,naive,CA3,27,0.0116,-0.1155,0.0891,-0.0432,0.3291,0.1691,-0.0972,0.2601,-0.0035,0.6813,0.0201,-0.1395,0.4042,0.5415
61,CA1-DG,expert,CA1,57,0.153,-0.1108,0.1169,-0.0939,0.426,0.3804,0.052,0.3788,0.119,0.6315,0.2124,-0.0539,0.447,0.8444
61,CA1-DG,expert,DG,24,0.3435,0.1706,0.0435,-0.0078,0.3296,0.6917,0.4226,0.002,-0.0494,0.7125,0.6038,0.3664,0.5454,0.6713
61,CA1-DG,intermediate,CA1,58,0.1225,-0.1715,0.1824,-0.0657,0.4088,0.231,-0.2543,0.2379,-0.1915,0.6998,0.1857,-0.0862,0.4108,0.9089
61,CA1-DG,intermediate,DG,22,0.0762,-0.2712,-0.3134,-0.2681,0.5065,0.4677,0.0431,0.2211,0.2193,0.6571,0.5323,0.1552,0.7362,0.799
61,CA1-DG,naive,CA1,57,0.2643,0.2073,0.3218,0.2207,0.4465,0.1365,-0.057,0.2573,0.0025,0.7652,0.0921,0.009,0.4589,0.732
61,CA1-DG,naive,DG,21,0.0143,-0.0744,0.1584,0.0028,0.4117,0.1234,-0.0619,0.1468,-0.2962,0.8104,0.2302,-0.0309,0.6502,0.6494
61,CA1-RSC,expert,CA1,57,0.2471,0.0532,0.118,-0.0932,0.426,0.4078,0.1591,0.3824,0.1197,0.6315,0.3074,0.1091,0.447,0.8444
