animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-DG,naive,CA1,14,0.866681,0.03432
28,CA1-DG,naive,CA1,15,0.739503,0.045138
28,CA1-DG,naive,CA1,16,0.21411,0.008068
28,CA1-DG,naive,CA1,17,0.003622,0.000515
28,CA1-DG,naive,CA1,18,0.591154,0.018023
28,CA1-DG,naive,CA1,19,0.618333,0.030231
28,CA1-DG,naive,CA1,20,0.033277,0.007589
28,CA1-DG,naive,CA1,21,0.486816,0.037498
28,CA1-DG,naive,CA1,22,0.478399,0.019821
28,CA1-DG,naive,CA1,23,0.013449,0.000659
28,CA1-DG,naive,CA1,24,0.596105,0.018522
28,CA1-DG,naive,CA1,25,0.0071,0.000202
28,CA1-DG,naive,CA1,26,0.890441,0.04033
28,CA1-DG,naive,CA1,27,0.782153,0.181685
28,CA1-DG,naive,CA1,28,0.644381,0.0432
28,CA1-DG,naive,CA1,29,0.537061,0.029585
28,CA1-DG,naive,DG,0,1.61592,0.032315
28,CA1-DG,naive,DG,1,1.154571,0.153899
28,CA1-DG,naive,DG,2,1.305284,0.191479
28,CA1-DG,naive,DG,3,1.059805,0.144687
28,CA1-DG,naive,DG,4,0.958251,0.099
28,CA1-DG,naive,DG,5,0.943005,0.040011
28,CA1-DG,naive,DG,6,1.107029,0.091161
28,CA1-DG,naive,DG,7,1.141043,0.038928
28,CA1-DG,naive,DG,8,0.937612,0.029863
28,CA1-DG,naive,DG,9,1.340802,0.131243
28,CA1-DG,naive,DG,10,0.981312,0.021339
28,CA1-DG,naive,DG,11,0.629505,0.022129
28,CA1-DG,naive,DG,12,0.0,0.0
28,CA1-DG,intermediate,CA1,0,0.969543,0.098525
28,CA1-DG,intermediate,CA1,1,0.888737,0.06133
28,CA1-DG,intermediate,CA1,2,0.920318,0.087464
28,CA1-DG,intermediate,CA1,3,0.178135,0.025024
28,CA1-DG,intermediate,CA1,4,0.016802,0.001328
28,CA1-DG,intermediate,CA1,5,0.746232,0.074504
28,CA1-DG,intermediate,CA1,6,0.035872,0.003773
28,CA1-DG,intermediate,CA1,7,0.754502,0.035966
28,CA1-DG,intermediate,CA1,8,0.600657,0.037267
28,CA1-DG,intermediate,CA1,9,0.558254,0.100871
28,CA1-DG,intermediate,CA1,10,0.743138,0.049999
28,CA1-DG,intermediate,CA1,11,0.797268,0.034651
28,CA1-DG,intermediate,CA1,12,0.734601,0.038428
28,CA1-DG,intermediate,CA1,13,0.505531,0.025648
28,CA1-DG,intermediate,CA1,14,0.09515,0.004733
28,CA1-DG,intermediate,CA1,15,0.571256,0.030777
28,CA1-DG,intermediate,CA1,16,0.852668,0.044453
28,CA1-DG,intermediate,CA1,17,0.02781,0.001895
28,CA1-DG,intermediate,CA1,18,0.641647,0.041423
28,CA1-DG,intermediate,CA1,19,0.713718,0.065903
28,CA1-DG,intermediate,CA1,20,0.954165,0.06992
28,CA1-DG,intermediate,CA1,21,0.749283,0.055704
28,CA1-DG,intermediate,CA1,22,0.054238,0.007546
28,CA1-DG,intermediate,CA1,23,0.480297,0.032841
28,CA1-DG,intermediate,CA1,24,0.500585,0.032724
28,CA1-DG,intermediate,CA1,25,0.022799,0.002459
28,CA1-DG,intermediate,CA1,26,0.730559,0.09656
28,CA1-DG,intermediate,CA1,27,0.503979,0.086613
28,CA1-DG,intermediate,CA1,28,0.670633,0.073912
28,CA1-DG,intermediate,CA1,29,0.57867,0.035985
28,CA1-DG,intermediate,DG,0,0.850289,0.064326
28,CA1-DG,intermediate,DG,1,1.171616,0.124358
28,CA1-DG,intermediate,DG,2,1.079748,0.148907
28,CA1-DG,intermediate,DG,3,1.054316,0.112455
28,CA1-DG,intermediate,DG,4,1.057278,0.082121
28,CA1-DG,intermediate,DG,5,1.012244,0.058962
28,CA1-DG,intermediate,DG,6,1.226618,0.103803
28,CA1-DG,intermediate,DG,7,1.209657,0.081925
28,CA1-DG,intermediate,DG,8,0.859757,0.038703
28,CA1-DG,intermediate,DG,9,1.308678,0.096925
28,CA1-DG,intermediate,DG,10,0.99138,0.063501
28,CA1-DG,intermediate,DG,11,1.079432,0.063303
28,CA1-DG,intermediate,DG,12,0.89211,0.040642
28,CA1-DG,expert,CA1,0,0.987191,0.11045
28,CA1-DG,expert,CA1,1,0.917608,0.133357
28,CA1-DG,expert,CA1,2,0.907311,0.191057
28,CA1-DG,expert,CA1,3,0.494412,0.072665
28,CA1-DG,expert,CA1,4,0.090177,0.009318
28,CA1-DG,expert,CA1,5,0.676135,0.096905
28,CA1-DG,expert,CA1,6,0.045,0.005663
28,CA1-DG,expert,CA1,7,0.628309,0.066901
28,CA1-DG,expert,CA1,8,0.108005,0.009908
28,CA1-DG,expert,CA1,9,0.937185,0.115782
28,CA1-DG,expert,CA1,10,0.649025,0.089004
28,CA1-DG,expert,CA1,11,0.733565,0.097128
28,CA1-DG,expert,CA1,12,0.692965,0.097773
28,CA1-DG,expert,CA1,13,0.593396,0.075839
28,CA1-DG,expert,CA1,14,0.961564,0.11338
28,CA1-DG,expert,CA1,15,0.66738,0.08985
28,CA1-DG,expert,CA1,16,0.731764,0.074713
28,CA1-DG,expert,CA1,17,0.014002,0.001869
28,CA1-DG,expert,CA1,18,0.700862,0.069275
28,CA1-DG,expert,CA1,19,0.502063,0.057719
28,CA1-DG,expert,CA1,20,0.628353,0.068265
28,CA1-DG,expert,CA1,21,0.592673,0.099407
28,CA1-DG,expert,CA1,22,0.022721,0.003608
28,CA1-DG,expert,CA1,23,0.535039,0.08663
28,CA1-DG,expert,CA1,24,0.021439,0.002347
28,CA1-DG,expert,CA1,25,0.047003,0.006263
28,CA1-DG,expert,CA1,26,0.126232,0.013951
28,CA1-DG,expert,CA1,27,1.052816,0.135907
28,CA1-DG,expert,CA1,28,0.885879,0.078591
28,CA1-DG,expert,CA1,29,0.678929,0.08537
28,CA1-DG,expert,DG,0,0.944563,0.069905
28,CA1-DG,expert,DG,1,1.201347,0.140238
28,CA1-DG,expert,DG,2,1.089193,0.158729
28,CA1-DG,expert,DG,3,1.027489,0.198288
28,CA1-DG,expert,DG,4,1.033537,0.142553
28,CA1-DG,expert,DG,5,1.046094,0.112707
28,CA1-DG,expert,DG,6,1.216023,0.120437
28,CA1-DG,expert,DG,7,1.213497,0.171039
28,CA1-DG,expert,DG,8,2.763697,0.315532
28,CA1-DG,expert,DG,9,1.290866,0.202543
28,CA1-DG,expert,DG,10,1.467806,0.177199
28,CA1-DG,expert,DG,11,0.982309,0.13376
28,CA1-DG,expert,DG,12,1.741075,0.199478
