animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
36,1,CA1-V1,45.5,0.5779,0.7102,17.5,6000,0.0776,0,0.0,-0.017,-9,0.2029,0.1068,0.1924,0.1439,88.62,74.26,0.3333,0.4,86.28,88.1
36,1,CA1-V1,60.5,0.7727,0.8614,32.5,6000,0.0854,0,0.0,-0.0075,-10,0.2584,0.0699,0.1384,0.1038,88.46,84.53,0.1429,0.1667,84.97,79.56
41,1,CA1-CA3,30.5,0.2783,0.5581,1.5,8000,0.8008,3,0.5634,-0.0179,0,0.8053,0.9251,0.5609,0.5095,nan,nan,,,32.34,55.89
41,1,CA1-CA3,45.5,0.4198,0.7719,16.5,6000,0.3224,2,0.0881,-0.0243,0,0.2533,0.9356,0.4182,0.36,49.19,30.48,0.3333,1.0,59.95,57.25
41,1,CA1-CA3,60.5,0.5613,0.7507,31.5,8000,0.3642,2,0.0932,-0.032,0,0.3145,0.1428,0.5104,0.3885,42.27,76.04,0.6,0.3333,72.24,75.75
41,1,CA1-CA3,75.5,0.7028,0.7212,46.5,8000,0.2596,2,0.0505,0.0001,0,0.1784,0.1193,0.5252,0.3966,62.61,43.6,0.3333,0.6,82.18,48.52
41,1,CA1-CA3,90.5,0.8443,0.7906,61.5,6000,0.4195,3,0.1632,-0.0016,0,0.0944,0.9249,0.4664,0.3223,34.7,85.38,0.3333,0.6,64.79,62.72
41,1,CA1-V1,15.5,0.1368,0.264,-13.5,8000,0.0962,0,0.0,-0.0408,-1,0.2709,0.3568,0.2089,0.1945,nan,nan,,,57.54,88.67
41,1,CA1-V1,30.5,0.2783,0.5581,1.5,8000,-0.1091,0,0.0,-0.0138,1,0.3685,0.2787,0.2406,0.1845,64.5,74.08,0.3333,0.4444,67.62,75.83
41,1,CA1-V1,45.5,0.4198,0.7719,16.5,6000,0.0876,0,0.0,-0.002,-9,0.2475,0.2605,0.1177,0.1952,89.55,88.85,0.3333,0.3448,85.72,87.67
41,1,CA1-V1,60.5,0.5613,0.7507,31.5,8000,0.2854,1,0.0425,-0.0276,-10,0.3126,0.2356,0.1519,0.191,86.02,85.72,0.6,0.2581,88.87,81.97
41,1,CA1-V1,75.5,0.7028,0.7212,46.5,8000,-0.1329,4,0.1367,-0.0161,-10,0.1799,0.2556,0.1966,0.2005,74.88,89.74,0.3333,0.2,89.43,87.49
41,1,CA1-V1,90.5,0.8443,0.7906,61.5,6000,0.1958,0,0.0,0.0152,0,0.098,0.2963,0.1758,0.2139,80.62,88.5,0.3333,0.4182,75.17,80.44
52,1,CA1-RSC,15.5,0.1629,0.1583,-20.5,8000,0.0345,2,0.0163,0.0509,1,0.4236,0.1446,0.201,0.054,nan,nan,,,88.05,83.11
52,1,CA1-RSC,30.5,0.3315,0.3941,-5.5,8000,0.0102,4,0.077,0.0123,0,0.3875,0.0903,0.2445,0.1202,85.67,64.18,0.1667,0.3333,89.98,77.55
52,1,CA1-RSC,45.5,0.5,0.7402,9.5,8000,-0.0375,1,0.0471,-0.0239,0,0.294,0.0553,0.1953,0.1269,73.81,89.87,0.2727,0.3333,82.38,84.08
52,1,CA1-RSC,60.5,0.6685,0.7918,24.5,6000,0.1913,2,0.0293,0.0236,5,0.3263,0.05,0.1975,0.0507,89.99,86.67,0.1667,0.3333,89.03,79.31
52,1,CA1-RSC,75.5,0.8371,0.609,39.5,6000,0.4334,3,0.3274,-0.0161,3,0.288,0.0604,0.1694,0.1042,87.61,88.04,0.1667,0.3333,81.12,87.82
52,1,CA1-CA3,15.5,0.1629,0.1583,-20.5,8000,0.2436,2,0.0493,-0.0617,-5,0.352,0.3318,0.2715,0.292,nan,nan,,,87.82,81.63
52,1,CA1-CA3,30.5,0.3315,0.3941,-5.5,8000,0.3172,10,0.2547,0.019,0,0.3338,0.3467,0.3201,0.3586,82.49,87.35,0.3333,0.3333,77.58,88.41
52,1,CA1-CA3,45.5,0.5,0.7402,9.5,8000,0.2383,6,0.1447,0.0366,0,0.2632,0.2671,0.1777,0.1502,65.67,57.4,0.2727,0.2174,75.82,89.3
52,1,CA1-CA3,60.5,0.6685,0.7918,24.5,6000,0.2061,1,0.0217,0.0208,0,0.2706,0.2745,0.1502,0.1578,75.55,83.13,0.2174,0.1667,82.94,79.36
52,1,CA1-CA3,75.5,0.8371,0.609,39.5,6000,0.0428,5,0.2245,-0.0018,0,0.2657,0.2701,0.1942,0.1869,86.29,86.66,0.2174,0.3333,87.62,89.03
52,1,CA1-DG,15.5,0.1629,0.1583,-20.5,8000,0.294,4,0.0789,-0.0032,0,0.3508,0.187,0.229,0.1841,nan,nan,,,80.42,75.01
52,1,CA1-DG,30.5,0.3315,0.3941,-5.5,8000,0.1033,1,0.0121,0.0132,0,0.3338,0.1336,0.2219,0.169,79.62,79.4,0.3333,0.3846,73.35,81.25
52,1,CA1-DG,45.5,0.5,0.7402,9.5,8000,0.5228,12,0.6639,0.0016,0,0.26,0.1056,0.2249,0.1544,81.35,80.0,0.2727,0.125,78.64,80.02
52,1,CA1-DG,60.5,0.6685,0.7918,24.5,6000,0.3642,12,0.3061,-0.0172,0,0.2684,0.1167,0.1897,0.1484,88.76,81.27,0.2727,0.2,86.81,85.36
52,1,CA1-DG,75.5,0.8371,0.609,39.5,6000,0.6587,6,0.7786,0.0168,0,0.2663,0.1415,0.2189,0.1672,88.78,83.54,0.2727,0.3846,83.09,75.64
52,1,CA1-V1,15.5,0.1629,0.1583,-20.5,8000,0.1835,1,0.0197,-0.024,-4,0.3516,0.2907,0.1525,0.1306,nan,nan,,,66.66,64.95
52,1,CA1-V1,30.5,0.3315,0.3941,-5.5,8000,-0.095,0,0.0,-0.046,-9,0.3355,0.2938,0.2224,0.1605,87.37,78.84,0.3333,0.2381,75.85,69.96
52,1,CA1-V1,45.5,0.5,0.7402,9.5,8000,0.2322,5,0.3276,-0.0352,0,0.26,0.2526,0.1998,0.1587,75.83,68.19,0.2727,0.3,79.25,64.55
52,1,CA1-V1,60.5,0.6685,0.7918,24.5,6000,0.1257,1,0.0398,-0.0314,-10,0.2657,0.254,0.1941,0.1553,83.38,75.43,0.3333,0.1818,54.48,68.56
52,1,CA1-V1,75.5,0.8371,0.609,39.5,6000,-0.2777,3,0.1645,0.0168,0,0.2636,0.2773,0.1498,0.129,59.58,49.06,0.2174,0.3684,87.41,77.9
52,1,CA3-DG,15.5,0.1629,0.1583,-20.5,8000,0.6446,18,1.0884,0.0187,0,0.3352,0.1848,0.3932,0.3205,nan,nan,,,64.66,69.85
52,1,CA3-DG,30.5,0.3315,0.3941,-5.5,8000,0.5745,8,0.5402,0.034,0,0.3537,0.1354,0.4467,0.358,61.97,54.02,0.3333,0.3846,51.88,52.29
52,1,CA3-DG,45.5,0.5,0.7402,9.5,8000,0.5818,6,0.5198,0.0098,0,0.2667,0.1182,0.389,0.3173,85.07,76.04,0.2727,0.2,50.13,41.32
52,1,CA3-DG,60.5,0.6685,0.7918,24.5,6000,0.294,16,0.7618,0.0331,0,0.2754,0.1194,0.412,0.3172,80.66,83.9,0.1667,0.2,76.48,76.3
52,1,CA3-DG,75.5,0.8371,0.609,39.5,6000,0.5816,9,0.4995,0.0312,0,0.2761,0.1458,0.3707,0.3277,61.95,60.09,0.3333,0.3846,30.1,30.53
52,1,V1-RSC,15.5,0.1629,0.1583,-20.5,8000,0.3023,3,0.094,0.0121,-3,0.2903,0.1464,0.2409,0.1982,nan,nan,,,76.69,73.48
52,1,V1-RSC,30.5,0.3315,0.3941,-5.5,8000,0.1358,2,0.0212,0.0608,0,0.2862,0.0922,0.2283,0.1415,88.52,78.53,0.2381,0.3333,85.71,68.31
52,1,V1-RSC,45.5,0.5,0.7402,9.5,8000,0.0548,3,0.283,0.0365,0,0.254,0.0554,0.2296,0.0953,83.03,37.55,0.2381,0.3333,73.81,64.04
52,1,V1-RSC,60.5,0.6685,0.7918,24.5,6000,0.0633,4,0.2719,0.0411,0,0.2956,0.0502,0.2345,0.1275,67.74,63.91,0.2683,0.3333,75.22,65.55
52,1,V1-RSC,75.5,0.8371,0.609,39.5,6000,-0.0118,3,0.1081,0.0485,8,0.3063,0.0606,0.2256,0.1268,80.61,53.21,0.2381,0.3333,85.62,86.59
61,1,CA1-RSC,15.5,0.1368,0.0759,-72.5,6000,0.0755,0,0.0,0.0111,3,0.4359,0.3078,0.0954,0.0842,nan,nan,,,80.29,82.76
61,1,CA1-RSC,30.5,0.2783,0.1884,-57.5,8000,0.1727,1,0.0151,0.0221,0,0.3541,0.2638,0.1208,0.0929,88.06,87.24,0.0714,0.2683,77.08,77.74
61,1,CA1-RSC,45.5,0.4198,0.3177,-42.5,8000,0.2062,2,0.043,0.0238,0,0.343,0.2244,0.1262,0.117,83.9,87.95,0.3636,0.4054,83.69,60.6
61,1,CA1-RSC,60.5,0.5613,0.4384,-27.5,6000,0.2226,2,0.0521,0.0212,0,0.3192,0.2186,0.1271,0.1171,86.88,85.65,0.4286,0.3,88.8,89.71
61,1,CA1-RSC,75.5,0.7028,0.4938,-12.5,6000,0.2364,1,0.0288,0.0023,0,0.3209,0.2393,0.1187,0.1166,73.88,72.74,0.25,0.1556,66.52,78.05
61,1,CA1-RSC,90.5,0.8443,0.5493,2.5,8000,0.2986,2,0.0626,-0.007,0,0.38,0.2338,0.1312,0.1054,87.76,87.99,0.25,0.1556,86.31,79.35
61,1,CA1-CA3,15.5,0.1368,0.0759,-72.5,6000,0.2183,1,0.0244,-0.0778,0,0.4351,0.2954,0.1966,0.2497,nan,nan,,,78.75,85.53
61,1,CA1-CA3,30.5,0.2783,0.1884,-57.5,8000,0.1476,0,0.0,-0.0251,-1,0.3508,0.2733,0.1806,0.2525,77.52,80.68,0.1111,0.4545,86.85,82.01
61,1,CA1-CA3,45.5,0.4198,0.3177,-42.5,8000,0.1596,1,0.0129,0.0011,-1,0.3433,0.235,0.2125,0.233,87.79,85.33,0.3636,0.4545,74.64,81.27
61,1,CA1-CA3,60.5,0.5613,0.4384,-27.5,6000,0.2069,1,0.0219,-0.0195,0,0.3217,0.2487,0.1907,0.2499,64.72,70.07,0.3636,0.3333,69.83,69.39
61,1,CA1-CA3,75.5,0.7028,0.4938,-12.5,6000,0.211,1,0.0228,-0.0076,0,0.3178,0.2909,0.1802,0.2504,76.13,57.66,0.1538,0.1429,89.93,86.57
61,1,CA1-CA3,90.5,0.8443,0.5493,2.5,8000,0.5181,9,0.7621,-0.0108,0,0.3801,0.9841,0.3742,0.4491,85.58,89.76,0.2,0.1429,88.69,36.38
61,1,CA1-DG,15.5,0.1368,0.0759,-72.5,6000,0.2203,1,0.0249,0.014,0,0.4365,0.2168,0.2389,0.2895,nan,nan,,,85.92,81.21
61,1,CA1-DG,30.5,0.2783,0.1884,-57.5,8000,0.21,1,0.0226,-0.0275,0,0.3605,0.1779,0.2273,0.3036,86.51,87.06,0.2,0.4,87.46,88.84
61,1,CA1-DG,45.5,0.4198,0.3177,-42.5,8000,0.2167,1,0.024,-0.0198,0,0.3454,0.1664,0.235,0.2771,82.57,77.45,0.3043,0.4,88.95,85.18
61,1,CA1-DG,60.5,0.5613,0.4384,-27.5,6000,0.2407,1,0.0298,-0.0119,0,0.3341,0.1782,0.1903,0.2391,81.82,75.35,0.2,0.2727,84.74,85.47
61,1,CA1-DG,75.5,0.7028,0.4938,-12.5,6000,0.1686,1,0.0144,-0.013,0,0.3306,0.2849,0.1958,0.3189,84.44,84.8,0.1538,0.2727,76.77,81.14
61,1,CA1-DG,90.5,0.8443,0.5493,2.5,8000,0.2592,1,0.0348,0.073,6,0.3945,0.1424,0.2319,0.2451,87.4,81.91,0.0345,0.4,77.93,89.36
61,1,CA1-V1,15.5,0.1368,0.0759,-72.5,6000,0.1963,0,0.0,-0.0362,0,0.4373,0.4019,0.1151,0.1089,nan,nan,,,85.47,70.86
61,1,CA1-V1,30.5,0.2783,0.1884,-57.5,8000,0.2571,1,0.0342,-0.0524,0,0.3476,0.3005,0.1723,0.1658,89.38,80.17,0.1111,0.3125,83.7,85.07
61,1,CA1-V1,45.5,0.4198,0.3177,-42.5,8000,0.3729,8,0.3294,-0.0084,0,0.344,0.3506,0.1551,0.1622,77.74,83.46,0.3043,0.2353,84.01,89.65
61,1,CA1-V1,60.5,0.5613,0.4384,-27.5,6000,0.3128,3,0.1371,0.0268,0,0.3199,0.3213,0.0923,0.1253,88.23,89.18,0.3043,0.2353,85.72,80.44
61,1,CA1-V1,75.5,0.7028,0.4938,-12.5,6000,0.1459,0,0.0,-0.0074,0,0.3213,0.3269,0.1313,0.1461,77.72,85.41,0.25,0.2,82.27,75.91
61,1,CA1-V1,90.5,0.8443,0.5493,2.5,8000,0.3757,3,0.1395,0.0033,0,0.3793,0.3277,0.148,0.1293,79.0,75.71,0.25,0.3548,75.08,84.0
61,1,CA3-DG,15.5,0.1368,0.0759,-72.5,6000,0.2755,4,0.2034,0.0301,0,0.2971,0.2088,0.4095,0.4418,nan,nan,,,84.7,67.36
61,1,CA3-DG,30.5,0.2783,0.1884,-57.5,8000,0.8002,3,0.8204,-0.0251,0,0.9932,0.9598,0.4899,0.5659,90.0,90.0,0.3333,0.1667,39.42,40.63
61,1,CA3-DG,45.5,0.4198,0.3177,-42.5,8000,0.3166,4,0.1479,-0.015,0,0.2315,0.1631,0.3749,0.3942,89.48,90.0,0.4545,0.1667,89.07,87.85
61,1,CA3-DG,60.5,0.5613,0.4384,-27.5,6000,0.3267,3,0.1911,-0.0011,0,0.2223,0.1768,0.3822,0.4299,68.04,56.91,0.3333,0.4,61.7,48.89
61,1,CA3-DG,75.5,0.7028,0.4938,-12.5,6000,0.4645,5,0.3689,-0.0031,0,0.2745,0.2887,0.4573,0.5015,30.49,29.11,0.1429,0.2727,44.81,38.85
61,1,CA3-DG,90.5,0.8443,0.5493,2.5,8000,0.5238,5,0.3436,0.0612,0,0.1954,0.1437,0.4048,0.4152,83.6,81.52,0.1429,0.4,85.97,88.93
61,1,V1-RSC,15.5,0.1368,0.0759,-72.5,6000,0.1641,0,0.0,0.0336,0,0.3991,0.3085,0.1665,0.1294,nan,nan,,,59.9,58.53
61,1,V1-RSC,30.5,0.2783,0.1884,-57.5,8000,0.3717,4,0.2607,0.0063,0,0.2963,0.262,0.2048,0.1622,80.66,81.68,0.3125,0.2381,57.81,57.82
61,1,V1-RSC,45.5,0.4198,0.3177,-42.5,8000,0.1061,4,0.2984,-0.0172,0,0.3484,0.2229,0.2069,0.1658,85.79,72.73,0.2353,0.3684,44.89,50.35
61,1,V1-RSC,60.5,0.5613,0.4384,-27.5,6000,0.19,1,0.0896,-0.0015,0,0.3172,0.2188,0.2028,0.1681,72.26,75.9,0.2,0.3,88.29,87.37
61,1,V1-RSC,75.5,0.7028,0.4938,-12.5,6000,0.5313,3,0.3103,0.0066,0,0.3277,0.2343,0.1982,0.1864,42.74,40.03,0.2353,0.1556,43.28,40.04
61,1,V1-RSC,90.5,0.8443,0.5493,2.5,8000,0.3254,4,0.1981,0.0216,0,0.3265,0.2281,0.1837,0.1708,77.58,72.37,0.3125,0.1818,88.87,87.84
63,1,CA1-RSC,15.5,0.0457,0.0929,-91.5,8000,0.1063,0,0.0,0.0365,1,0.1161,0.3273,0.1897,0.1865,nan,nan,,,72.18,86.79
63,1,CA1-RSC,30.5,0.0931,0.1029,-76.5,6000,0.1432,1,0.0104,0.0224,0,0.1166,0.2511,0.1895,0.182,55.84,77.29,0.2,0.2381,74.65,75.84
63,1,CA1-RSC,45.5,0.1404,0.1555,-61.5,6000,0.1244,0,0.0,0.0166,2,0.2044,0.2481,0.1519,0.1675,70.08,87.06,0.5,0.1304,83.45,88.43
63,1,CA1-RSC,60.5,0.1877,0.2093,-46.5,6000,0.1459,1,0.0108,0.0465,0,0.1813,0.2322,0.1891,0.1781,87.07,71.14,0.2,0.5294,64.99,72.03
63,1,CA1-RSC,75.5,0.235,0.2606,-31.5,6000,0.1482,1,0.0111,0.0174,2,0.1245,0.299,0.199,0.181,64.69,79.73,0.5,0.4444,68.15,85.74
63,1,CA1-RSC,90.5,0.2823,0.3915,-16.5,6000,0.1187,0,0.0,0.0064,2,0.1805,0.239,0.1611,0.1803,65.77,74.79,0.5,0.2381,84.42,83.06
