animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
34,CA1-CA3,19,190,-0.13677192955951037,7,-0.03388568087702555
34,CA1-CA3,20,200,-0.1378279179624139,7,-0.033046012072489216
34,CA1-CA3,21,210,-0.09711712419982914,7,-0.021250968233699916
34,CA1-CA3,22,220,-0.0896857015740993,7,-0.01847902459333751
34,CA1-CA3,23,230,-0.08991057458863329,7,-0.018238290492642553
34,CA1-CA3,24,240,-0.0819366817040156,7,-0.016622235237903047
34,CA1-CA3,25,250,-0.05771453184185778,7,-0.00966357941218751
34,CA1-V1,1,10,1.0,1,1.0
34,CA1-V1,2,20,-0.2711111111111111,1,-0.2711111111111111
34,CA1-V1,3,30,-0.4496644295302014,1,-0.4496644295302014
34,CA1-V1,4,40,-0.6123348017621144,1,-0.6123348017621144
34,CA1-V1,5,50,-0.7384843982169391,1,-0.7384843982169391
34,CA1-V1,6,60,-0.4252631578947369,1,-0.4252631578947369
34,CA1-V1,7,70,-0.23185840707964608,1,-0.23185840707964608
34,CA1-V1,8,80,-0.20985691573926868,1,-0.20985691573926868
34,CA1-V1,9,90,-0.17352185089974304,1,-0.17352185089974304
34,CA1-V1,10,100,-0.10599636583888554,1,-0.10599636583888554
34,CA1-V1,11,110,-0.025842696629213555,1,-0.025842696629213555
34,CA1-V1,12,120,-0.026389668725435283,1,-0.026389668725435283
34,CA1-V1,13,130,-0.06109324758842458,1,-0.06109324758842459
34,CA1-V1,14,140,-0.0599571734475375,1,-0.0599571734475375
34,CA1-V1,15,150,-0.07920792079207929,1,-0.07920792079207929
34,CA1-V1,16,160,-0.10498687664041992,1,-0.10498687664041992
34,CA1-V1,17,170,-0.1802884615384616,1,-0.1802884615384616
34,CA1-V1,18,180,-0.2005803409503083,1,-0.2005803409503083
34,CA1-V1,19,190,-0.2549019607843137,1,-0.2549019607843137
34,CA1-V1,20,200,-0.21069797782126545,1,-0.21069797782126545
34,CA1-V1,21,210,-0.2033293697978597,1,-0.2033293697978597
34,CA1-V1,22,220,-0.22988505747126425,1,-0.22988505747126425
34,CA1-V1,23,230,-0.2594639403150041,1,-0.2594639403150041
34,CA1-V1,24,240,-0.28303905831995724,1,-0.28303905831995724
34,CA1-V1,25,250,-0.29695697796432324,1,-0.29695697796432324
36,CA1-CA3,1,10,0.17055093747025643,5,0.07571459979626893
36,CA1-CA3,2,20,-0.1184670661360756,5,-0.0017211847888981076
36,CA1-CA3,3,30,-0.12246887860348463,5,-0.001113022515771533
36,CA1-CA3,4,40,-0.1001185777083684,5,-0.015012208627334888
36,CA1-CA3,5,50,-0.08807726312574618,5,-0.02192462139506506
36,CA1-CA3,6,60,-0.1288724044533202,5,-0.05394796203775662
36,CA1-CA3,7,70,-0.13701880069807437,5,-0.06811059253234551
36,CA1-CA3,8,80,-0.09838858492098489,5,-0.05632155463318765
36,CA1-CA3,9,90,-0.10715179105546091,5,-0.0475684242318691
36,CA1-CA3,10,100,-0.11882957005163428,5,-0.050871728719446195
36,CA1-CA3,11,110,-0.12859706306348448,5,-0.05960338405966525
36,CA1-CA3,12,120,-0.13073508282564225,5,-0.06442098466387478
36,CA1-CA3,13,130,-0.15165363403712787,5,-0.07853706229597622
36,CA1-CA3,14,140,-0.16743248963362461,5,-0.08704557761465284
36,CA1-CA3,15,150,-0.1378901478894503,5,-0.07485908966547636
36,CA1-CA3,16,160,-0.13474819704921628,5,-0.07406149451057224
36,CA1-CA3,17,170,-0.1386117812389138,5,-0.0745541198498715
36,CA1-CA3,18,180,-0.13405035387990566,5,-0.07376401007879622
36,CA1-CA3,19,190,-0.13481193762170607,5,-0.0735082375990005
36,CA1-CA3,20,200,-0.11938994648772058,5,-0.06810777704153657
36,CA1-CA3,21,210,-0.10485752503920354,5,-0.062239414828225904
36,CA1-CA3,22,220,-0.09684623740880609,5,-0.05855473721337205
36,CA1-CA3,23,230,-0.09397475576638248,5,-0.057603422723195255
36,CA1-CA3,24,240,-0.09354325970947029,5,-0.05675374916988483
36,CA1-CA3,25,250,-0.09190428900571695,5,-0.055592057263085956
41,CA1-CA3,1,10,-0.2507194641283286,5,-0.03875780421254508
41,CA1-CA3,2,20,-0.14845603914971497,5,0.00011622960583042107
41,CA1-CA3,3,30,-0.04642224532845442,5,0.004001315541353031
41,CA1-CA3,4,40,-0.02808199899209806,5,0.015785439864511853
41,CA1-CA3,5,50,-0.018480002577147693,5,0.016656458351603592
41,CA1-CA3,6,60,-0.004300813530759962,5,0.01819722460902468
41,CA1-CA3,7,70,0.035101309118611965,5,0.02971802197746206
41,CA1-CA3,8,80,0.09892633584161839,5,0.04028111146678776
41,CA1-CA3,9,90,0.08872157511965459,5,0.033443073280747006
41,CA1-CA3,10,100,0.08783757893357738,5,0.03463964960822466
41,CA1-CA3,11,110,0.081079757295096,5,0.030572983241267986
41,CA1-CA3,12,120,0.0722382689806764,5,0.02175120569395119
41,CA1-CA3,13,130,0.06216602069057089,5,0.012969779687315542
41,CA1-CA3,14,140,0.06844761935745422,5,0.018132350860990888
41,CA1-CA3,15,150,0.07650103340228516,5,0.024169513617950007
41,CA1-CA3,16,160,0.08239941632122871,5,0.026447044744823737
41,CA1-CA3,17,170,0.08856876933019517,5,0.025122760011442005
41,CA1-CA3,18,180,0.09505980563028849,5,0.02764838673418124
41,CA1-CA3,19,190,0.09506178430209755,5,0.02939215495081149
41,CA1-CA3,20,200,0.10245534785634665,5,0.031234290288354685
41,CA1-CA3,21,210,0.09850776890015671,5,0.028847446487455745
41,CA1-CA3,22,220,0.09777368896538488,5,0.027108010962899744
41,CA1-CA3,23,230,0.09321837455500133,5,0.025277558231643658
41,CA1-CA3,24,240,0.0945813393145514,5,0.026425686751062334
41,CA1-CA3,25,250,0.08650684206162321,5,0.023310397893126153
52,CA1-CA3,1,10,0.09119394102141759,9,0.05627399645709533
52,CA1-CA3,2,20,0.003789763128411986,9,0.009511533856586851
52,CA1-CA3,3,30,0.026588603585903745,9,0.027890865528365453
52,CA1-CA3,4,40,0.030672488063749646,9,0.022164719878779264
52,CA1-CA3,5,50,0.09267255071295276,9,0.04864090039050505
52,CA1-CA3,6,60,0.09556300523960069,9,0.049946305284587406
52,CA1-CA3,7,70,0.06808843160574861,9,0.030251872130423293
52,CA1-CA3,8,80,0.07294613758482854,9,0.04126581146823159
52,CA1-CA3,9,90,0.06137851723397671,9,0.039857656917557646
52,CA1-CA3,10,100,0.038749162452753484,9,0.02252547808670327
52,CA1-CA3,11,110,0.042360087178145406,9,0.021483475587647672
52,CA1-CA3,12,120,0.04303351469069519,9,0.022482261486824133
52,CA1-CA3,13,130,0.035235680278751874,9,0.013759666513469769
52,CA1-CA3,14,140,0.0468547665927489,9,0.021878266686361548
52,CA1-CA3,15,150,0.04510190748338958,9,0.021107569550553294
52,CA1-CA3,16,160,0.04124426659132223,9,0.019465973070181268
52,CA1-CA3,17,170,0.04874906025535864,9,0.029489784330308504
52,CA1-CA3,18,180,0.0474706404930435,9,0.025651136200458276
52,CA1-CA3,19,190,0.04687736838694913,9,0.02975375277490795
52,CA1-CA3,20,200,0.06341784530094301,9,0.03803862767725117
52,CA1-CA3,21,210,0.08153384985930173,9,0.0489059635948962
52,CA1-CA3,22,220,0.09001614600787453,9,0.060484469169028936
52,CA1-CA3,23,230,0.08594402505026905,9,0.06045167122287569
52,CA1-CA3,24,240,0.0912846849422265,9,0.06241876037231876
52,CA1-CA3,25,250,0.0957266890143716,9,0.061269826504832384
52,CA1-DG,1,10,-0.14653759270151764,7,-0.15584957749382897
52,CA1-DG,2,20,-0.2106784632587657,7,-0.14294710238393787
52,CA1-DG,3,30,0.08101054814547314,7,0.05816600506273325
52,CA1-DG,4,40,0.11277842599559627,7,0.07081325757083598
52,CA1-DG,5,50,0.06541041858368096,7,0.025924986959652358
52,CA1-DG,6,60,0.1144635584967765,7,0.08539208042138502
52,CA1-DG,7,70,0.13820667448086943,7,0.11471095470172887
52,CA1-DG,8,80,0.08428292454307663,7,0.07316693728357421
52,CA1-DG,9,90,0.05578832339866418,7,0.031115522477080153
52,CA1-DG,10,100,0.014345916966651098,7,-0.015416128912806054
52,CA1-DG,11,110,0.002581882243406521,7,-0.02222015219090688
52,CA1-DG,12,120,-0.027929760763946616,7,-0.0446032934942562
52,CA1-DG,13,130,-0.011085543666655493,7,-0.03885523377454001
52,CA1-DG,14,140,-0.0019914572750466225,7,-0.022304687964625237
52,CA1-DG,15,150,0.00187246375743688,7,-0.018279949986322482
52,CA1-DG,16,160,0.023224525251735663,7,0.0016964942964265402
52,CA1-DG,17,170,0.05646990903461815,7,0.02154985897754843
52,CA1-DG,18,180,0.07470818946438319,7,0.027816963124708473
52,CA1-DG,19,190,0.06606259791793226,7,0.012711942882175954
52,CA1-DG,20,200,0.04550497769496161,7,-0.0014318082310436097
52,CA1-DG,21,210,0.03541192449216306,7,-0.014116445479145121
52,CA1-DG,22,220,0.021289740180689926,7,-0.021196387083960183
52,CA1-DG,23,230,0.028768799549769658,7,-0.009838199288930509
52,CA1-DG,24,240,0.016999582273135697,7,-0.007820356186928222
52,CA1-DG,25,250,0.025543635314835722,7,-0.0021761771087563855
52,CA1-RSC,1,10,0.19261822376009227,1,0.1926182237600923
52,CA1-RSC,2,20,0.5017158544955388,1,0.5017158544955388
52,CA1-RSC,3,30,0.4334004024144868,1,0.43340040241448685
52,CA1-RSC,4,40,0.5123081378511439,1,0.5123081378511439
52,CA1-RSC,5,50,0.5105641978175063,1,0.5105641978175063
52,CA1-RSC,6,60,0.5426724137931034,1,0.5426724137931034
52,CA1-RSC,7,70,0.5314656922452292,1,0.5314656922452292
52,CA1-RSC,8,80,0.5236191860465117,1,0.5236191860465117
52,CA1-RSC,9,90,0.5379735682819383,1,0.5379735682819383
52,CA1-RSC,10,100,0.5445848992142125,1,0.5445848992142125
52,CA1-RSC,11,110,0.5445848992142125,1,0.5445848992142125
52,CA1-RSC,12,120,0.4885755955274671,1,0.4885755955274671
52,CA1-RSC,13,130,0.5134135060129509,1,0.5134135060129509
52,CA1-RSC,14,140,0.5004582951420715,1,0.5004582951420715
