animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
70,0,CA1-RSC,1,1,1155,0.2044,-0.1034,0,0.4428,0.4316
70,0,CA1-RSC,4,4,1083,0.1398,-0.2025,0,0.4895,0.4455
70,0,CA1-RSC,7,7,1124,0.1517,-0.3195,0,0.4862,0.4599
70,0,CA1-RSC,10,10,1152,0.1221,0.1525,0,0.4456,0.4661
70,0,CA1-DG,1,1,1155,0.9826,-0.6727,0,0.064,0.026
70,0,CA1-DG,4,4,1083,0.4111,-0.0248,0,0.4958,0.6694
70,0,CA1-DG,7,7,1124,0.3757,0.0706,0,0.5168,0.6863
70,0,CA1-DG,10,10,1152,0.4341,-0.171,0,0.5259,0.7132
70,0,CA1-V1,1,1,1155,0.7127,-0.298,0,0.0778,0.0519
70,0,CA1-V1,4,4,1083,0.3798,0.0101,0,0.5244,0.4727
70,0,CA1-V1,7,7,1124,0.3802,-0.0026,0,0.5283,0.452
70,0,CA1-V1,10,10,1152,0.3489,-0.0115,0,0.5301,0.4528
70,0,CA1-SUB,1,1,1155,0.9977,0.2684,0,0.0693,0.101
70,0,CA1-SUB,4,4,1083,0.2191,0.3197,0,0.4589,0.6026
70,0,CA1-SUB,7,7,1124,0.2906,-0.0318,0,0.4504,0.635
70,0,CA1-SUB,10,10,1152,0.303,0.0413,0,0.4561,0.6427
70,0,RSC-SUB,1,1,1155,0.476,0.0663,0,0.4833,0.6616
70,0,RSC-SUB,4,4,1083,0.3418,0.0928,0,0.4729,0.6632
70,0,RSC-SUB,7,7,1124,0.3823,-0.0544,0,0.4882,0.6235
70,0,RSC-SUB,10,10,1152,0.4266,0.0571,0,0.4929,0.621
70,0,V1-RSC,1,1,1155,0.5265,0.0963,0,0.4554,0.5549
70,0,V1-RSC,4,4,1083,0.4933,0.1514,0,0.4555,0.4652
70,0,V1-RSC,7,7,1124,0.4875,0.0551,0,0.453,0.4965
70,0,V1-RSC,10,10,1152,0.4716,0.1742,0,0.4689,0.5388
71,0,CA1-RSC,1,1,712,0.129,0.2046,0,0.5551,0.4457
71,0,CA1-RSC,4,4,523,0.0977,-0.6055,0,0.5764,0.4343
71,0,CA1-RSC,7,7,492,-0.0511,0.6893,2,0.5676,0.4793
71,0,CA1-RSC,10,10,533,0.0683,-0.373,7,0.5552,0.4779
71,0,CA1-CA3,1,1,712,0.3361,-0.0953,0,0.6508,0.4501
71,0,CA1-CA3,4,4,523,0.3205,-0.305,0,0.5901,0.4627
71,0,CA1-CA3,7,7,492,0.3639,0.2222,0,0.583,0.4415
71,0,CA1-CA3,10,10,533,0.2955,-0.2867,0,0.5204,0.4276
71,0,CA1-DG,1,1,712,0.292,-0.1119,0,0.6267,0.4634
71,0,CA1-DG,4,4,523,0.3971,0.092,0,0.5659,0.4155
71,0,CA1-DG,7,7,492,0.392,-0.1148,0,0.6152,0.458
71,0,CA1-DG,10,10,533,0.3868,-0.1958,0,0.6228,0.396
71,0,CA1-V1,1,1,712,0.0505,-0.9937,-10,0.6131,0.519
71,0,CA1-V1,4,4,523,-0.0346,0.6881,7,0.5107,0.4994
71,0,CA1-V1,7,7,492,0.0803,0.6577,0,0.5528,0.5448
71,0,CA1-V1,10,10,533,0.0912,0.2639,10,0.5815,0.5208
71,0,CA3-DG,1,1,712,0.5331,-0.1063,0,0.5586,0.5773
71,0,CA3-DG,4,4,523,0.6121,0.0091,0,0.5543,0.5119
71,0,CA3-DG,7,7,492,0.6944,0.0203,0,0.5587,0.503
71,0,CA3-DG,10,10,533,0.5677,0.1063,0,0.5725,0.5277
71,0,CA1-SUB,1,1,712,0.1187,0.1681,0,0.6134,0.3861
71,0,CA1-SUB,4,4,523,0.2063,-0.3083,0,0.5075,0.3977
71,0,CA1-SUB,7,7,492,0.1897,-0.3332,0,0.5,0.417
71,0,CA1-SUB,10,10,533,0.125,0.0626,0,0.6158,0.3932
71,0,RSC-SUB,1,1,712,0.2373,0.3254,0,0.4849,0.5356
71,0,RSC-SUB,4,4,523,0.2505,0.5372,0,0.4687,0.5428
71,0,RSC-SUB,7,7,492,0.2747,0.0031,0,0.4611,0.5578
71,0,RSC-SUB,10,10,533,0.1699,0.6539,0,0.4624,0.481
71,0,V1-RSC,1,1,712,0.4831,-0.0543,0,0.4604,0.4862
71,0,V1-RSC,4,4,523,0.383,0.1265,0,0.4597,0.4715
71,0,V1-RSC,7,7,492,0.5484,0.1637,0,0.4156,0.4999
71,0,V1-RSC,10,10,533,0.4009,0.0138,0,0.4299,0.4707
73,1,CA1-RSC,1,1,1130,0.1315,-0.0077,0,0.5278,0.4443
73,1,CA1-RSC,4,4,885,0.122,0.1787,1,0.4862,0.4491
73,1,CA1-RSC,7,7,830,0.0726,0.1452,3,0.5514,0.5001
73,1,CA1-RSC,10,10,825,0.0577,-0.091,1,0.5553,0.4559
73,1,CA1-DG,1,1,1130,0.1419,0.3949,0,0.6164,0.6882
73,1,CA1-DG,4,4,885,0.2965,0.1405,0,0.6832,0.6013
73,1,CA1-DG,7,7,830,0.1712,0.0658,0,0.656,0.6694
