animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
77,1,CA1-V1,4907,86.57,78.14,1.0,0.5,-0.1601,0.0563,0.2164,1.0,2.0,1.0,0.0098,0.026,0.0163,-0.0557,-0.041,0.0148,-8.0,0.0,8.0,0.2667,0.1757,-0.091,0.5364,0.1588,-0.3776
77,1,CA1-SUB,4907,67.68,73.37,0.3333,0.3333,0.0321,0.1037,0.0715,0.0,2.0,2.0,0.0,0.0214,0.0214,0.0208,-0.0077,-0.0285,0.0,-7.0,-7.0,0.2812,0.1303,-0.1509,0.3821,0.3667,-0.0154
77,1,RSC-SUB,4907,86.18,63.83,0.3077,0.3333,0.0921,0.0673,-0.0248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0221,0.011,0.033,0.0,-2.0,-2.0,0.5837,0.5591,-0.0246,0.38,0.359,-0.0209
77,1,V1-RSC,4907,89.58,87.25,0.5,0.3784,0.5249,0.297,-0.2279,8.0,1.0,-7.0,0.3981,0.0462,-0.352,0.0958,0.0362,-0.0597,0.0,0.0,0.0,0.4838,0.1781,-0.3056,0.5621,0.5415,-0.0206
98,0,CA1-RSC,6000,80.87,87.91,0.4286,0.6,0.0907,0.081,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0543,0.074,0.0197,1.0,2.0,1.0,0.3485,0.3328,-0.0157,0.4174,0.4391,0.0217
100,0,CA1-RSC,4331,89.35,87.08,0.4783,0.52,0.0703,0.1307,0.0604,0.0,1.0,1.0,0.0,0.0086,0.0086,0.0018,0.0506,0.0488,0.0,0.0,0.0,0.5298,0.5438,0.014,0.5598,0.557,-0.0028
100,0,CA1-DG,4331,80.6,83.52,0.619,0.5152,0.3509,0.4377,0.0868,1.0,1.0,0.0,0.0657,0.1063,0.0406,-0.0683,-0.0529,0.0154,0.0,0.0,0.0,0.5174,0.5328,0.0154,0.5059,0.4953,-0.0106
100,0,CA1-V1,4331,86.39,88.34,0.4783,0.2759,0.2777,0.695,0.4173,2.0,6.0,4.0,0.1051,0.849,0.7438,-0.0256,-0.0777,-0.0521,7.0,0.0,-7.0,0.5333,0.5409,0.0076,0.572,0.4223,-0.1497
100,0,CA1-SUB,4331,86.7,81.8,0.4783,0.4,0.0709,-0.0147,-0.0856,0.0,0.0,0.0,0.0,0.0,0.0,-0.014,-0.0344,-0.0204,0.0,-5.0,-5.0,0.5307,0.5488,0.0182,0.4981,0.4858,-0.0123
100,0,RSC-SUB,4331,89.42,76.96,0.52,0.4,-0.0493,0.1119,0.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,-0.0054,-0.009,4.0,0.0,-4.0,0.5574,0.5513,-0.006,0.501,0.4864,-0.0147
100,0,V1-RSC,4331,78.7,89.32,0.2759,0.52,0.2415,-0.0296,-0.2711,4.0,2.0,-2.0,0.0987,0.6168,0.5181,0.071,0.0465,-0.0245,0.0,0.0,0.0,0.5629,0.4139,-0.149,0.5409,0.5401,-0.0008
