animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
52,RSC,naive,CA1-RSC,V1-RSC,10,0.19999999999999998,0.9878787878787878,0.15664259415384818,0.2,0.023529411764705882
52,V1,expert,CA1-V1,V1-RSC,109,0.7939393939393941,0.9568158650727459,0.06454939420860509,0.4358974358974359,0.2885290148448043
52,V1,intermediate,CA1-V1,V1-RSC,109,0.6117227319062182,0.9188212399221575,0.4021406476631797,0.2727272727272727,0.12535885167464111
52,V1,naive,CA1-V1,V1-RSC,109,0.694949494949495,0.8968492262070245,0.07204320605792827,0.6,0.4526315789473684
61,CA1,expert,CA1-CA3,CA1-DG,64,0.8975274725274723,0.9984890109890108,0.47115170482252966,0.5238095238095238,0.380952380952381
61,CA1,expert,CA1-CA3,CA1-RSC,64,0.9282967032967033,0.9986263736263734,0.4099298194184235,0.45454545454545453,0.3116883116883117
61,CA1,expert,CA1-CA3,CA1-V1,64,0.9197220664758529,0.9981227106227105,0.35650410584110115,0.45454545454545453,0.3116883116883117
61,CA1,expert,CA1-DG,CA1-RSC,64,0.9130952380952381,0.9993131868131866,0.5720418181369845,0.5238095238095238,0.380952380952381
61,CA1,expert,CA1-DG,CA1-V1,64,0.8839844779022136,0.9995421245421244,0.42006613343542853,0.3333333333333333,0.19047619047619047
61,CA1,expert,CA1-RSC,CA1-V1,64,0.9444476242333995,0.9992216117216116,0.5912937221131893,0.5238095238095238,0.380952380952381
61,CA1,intermediate,CA1-CA3,CA1-DG,64,0.866117216117216,0.999175824175824,0.41276408853008845,0.45454545454545453,0.3116883116883117
61,CA1,intermediate,CA1-CA3,CA1-RSC,64,0.8981558855428817,0.9978021978021977,0.06576150120975097,0.391304347826087,0.24844720496894412
61,CA1,intermediate,CA1-CA3,CA1-V1,64,0.8873168498168498,0.9983974358974358,0.20191507084946775,0.391304347826087,0.24844720496894412
61,CA1,intermediate,CA1-DG,CA1-RSC,64,0.840050824812647,0.9983974358974358,0.27673112353714263,0.28,0.13714285714285718
61,CA1,intermediate,CA1-DG,CA1-V1,64,0.8147435897435897,0.9992216117216116,0.23804808955208145,0.28,0.13714285714285718
61,CA1,intermediate,CA1-RSC,CA1-V1,64,0.9104957703866942,0.9989010989010987,0.41515444359813064,0.5238095238095238,0.380952380952381
61,CA1,naive,CA1-CA3,CA1-DG,64,0.8472985347985348,0.9986721611721611,-0.17382934127486627,0.5238095238095238,0.380952380952381
61,CA1,naive,CA1-CA3,CA1-RSC,64,0.7433608058608059,0.9990384615384613,-0.2465238386782303,0.391304347826087,0.24844720496894412
61,CA1,naive,CA1-CA3,CA1-V1,64,0.9362637362637362,0.9983058608058608,0.25523424544783857,0.7777777777777778,0.6349206349206349
61,CA1,naive,CA1-DG,CA1-RSC,64,0.9048992673992672,0.9986263736263734,0.64130441217972,0.6,0.45714285714285713
61,CA1,naive,CA1-DG,CA1-V1,64,0.8900641025641024,0.9979395604395603,-0.03423193618322067,0.5238095238095238,0.380952380952381
