animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
66,1,RSC-SUB,t1-5,5,14644,0.1029,8,0.0783,-0.0353,-8,0.3429,0.0551,75.95,68.19,82.0,85.85,,,
66,1,RSC-SUB,t1-7,7,20023,0.0919,1,0.0042,-0.0201,0,0.2555,0.0624,82.87,78.03,68.76,79.02,,,
66,1,RSC-SUB,t1-10,10,27751,0.0635,1,0.002,-0.003,2,0.243,0.0674,83.28,86.92,74.67,84.52,,,
66,1,RSC-SUB,late,10,23688,0.0536,0,0.0,0.0077,0,0.1353,0.0663,88.46,75.78,,,,,
66,1,V1-RSC,t1-5,5,14644,0.0636,4,0.0531,0.0244,3,0.0866,0.3264,81.49,87.43,83.52,85.71,,,
66,1,V1-RSC,t1-7,7,20023,0.1363,1,0.0094,0.0389,3,0.0686,0.2491,71.0,81.04,86.09,82.63,,,
66,1,V1-RSC,t1-10,10,27751,0.131,1,0.0087,0.0281,3,0.0952,0.2275,71.05,77.48,83.53,78.75,,,
66,1,V1-RSC,late,10,23688,0.0926,1,0.0043,-0.0257,0,0.1091,0.1203,63.52,72.26,,,,,
68,1,CA1-RSC,t1-5,5,13339,0.0838,0,0.0,0.073,1,0.3565,0.1001,71.15,72.0,74.84,73.59,,,
68,1,CA1-RSC,t1-7,7,17636,0.081,0,0.0,0.0521,1,0.3857,0.104,88.65,60.72,79.55,61.68,,,
68,1,CA1-RSC,t1-10,10,24389,0.0886,0,0.0,0.0552,3,0.2115,0.1124,73.06,77.87,73.71,65.95,,,
68,1,CA1-RSC,late,10,24728,0.0867,1,0.0038,-0.0018,0,0.0883,0.0922,81.5,85.27,,,,,
68,1,CA1-CA3,t1-5,5,13339,0.3617,4,0.1937,-0.0158,0,0.4266,0.6126,26.51,11.73,84.1,89.82,,,
68,1,CA1-CA3,t1-7,7,17636,0.3686,4,0.2049,-0.0134,0,0.4372,0.6073,22.99,10.65,84.52,89.81,,,
68,1,CA1-CA3,t1-10,10,24389,0.4267,4,0.1471,-0.0174,0,0.2363,0.601,27.73,13.46,74.69,89.68,,,
68,1,CA1-CA3,late,10,24728,0.3934,3,0.1047,-0.0216,0,0.1099,0.151,43.25,40.15,,,,,
68,1,CA1-DG,t1-5,5,13339,0.2713,2,0.0533,-0.0319,0,0.3566,0.1807,87.52,83.83,85.99,63.92,,,
68,1,CA1-DG,t1-7,7,17636,0.2677,2,0.0545,-0.0473,0,0.3858,0.176,87.16,72.5,87.71,68.95,,,
68,1,CA1-DG,t1-10,10,24389,0.2577,2,0.0516,-0.0532,0,0.2112,0.1781,42.79,58.76,84.1,64.45,,,
68,1,CA1-DG,late,10,24728,0.3211,2,0.0678,-0.0559,0,0.0888,0.1857,86.96,82.61,,,,,
68,1,CA3-DG,t1-5,5,13339,0.3686,4,0.1443,-0.0098,0,0.6122,0.2298,13.88,28.24,87.82,83.63,,,
68,1,CA3-DG,t1-7,7,17636,0.3478,3,0.1144,-0.0164,0,0.6048,0.2242,12.58,21.74,87.45,88.1,,,
68,1,CA3-DG,t1-10,10,24389,0.3147,4,0.1169,-0.0286,0,0.6069,0.2116,12.15,19.44,87.31,87.68,,,
68,1,CA3-DG,late,10,24728,0.3351,4,0.1116,0.0619,0,0.151,0.2343,39.23,55.26,,,,,
70,0,CA1-RSC,t1-5,5,29041,0.2374,12,0.5553,0.0192,-2,0.4367,0.5297,88.64,84.21,86.44,77.44,,,
70,0,CA1-RSC,t1-7,7,41862,0.7649,16,2.0094,0.0456,-2,0.4266,0.5174,81.68,89.5,88.31,89.98,,,
70,0,CA1-RSC,t1-10,10,60074,0.43,18,0.7906,0.0583,0,0.377,0.5016,78.26,76.83,88.14,87.51,,,
70,0,CA1-RSC,late,10,40721,-0.1176,10,0.4332,0.0207,0,0.4308,0.5049,73.06,71.89,,,,,
70,0,CA1-DG,t1-5,5,29041,-0.9203,9,1.4977,-0.0705,0,0.4367,0.3896,75.26,70.06,78.58,86.15,,,
70,0,CA1-DG,t1-7,7,41862,-0.4978,9,1.5507,-0.0909,0,0.4271,0.3342,85.27,69.17,78.24,80.87,,,
70,0,CA1-DG,t1-10,10,60074,0.167,10,0.5712,-0.0823,0,0.3758,0.2988,76.56,69.13,75.36,75.74,,,
70,0,CA1-DG,late,10,40721,0.1607,9,0.2409,-0.0635,0,0.4311,0.2626,74.02,87.64,,,,,
70,0,CA1-V1,t1-5,5,29041,0.3408,15,1.0488,-0.0162,0,0.434,0.3618,69.35,85.7,88.56,87.67,,,
70,0,CA1-V1,t1-7,7,41862,0.9336,18,3.4218,-0.0189,0,0.4244,0.3472,84.89,89.37,88.11,81.32,,,
70,0,CA1-V1,t1-10,10,60074,0.4671,15,0.6409,-0.0187,0,0.3716,0.3377,82.34,70.49,89.67,87.59,,,
70,0,CA1-V1,late,10,40721,0.5743,10,1.0873,0.0082,0,0.4257,0.3287,58.68,42.42,,,,,
70,0,CA1-SUB,t1-5,5,29041,0.3829,16,0.3705,-0.0222,0,0.4361,0.3159,79.18,68.05,80.07,53.27,,,
70,0,CA1-SUB,t1-7,7,41862,0.1897,11,0.4478,-0.0202,0,0.4269,0.3125,64.34,48.75,78.75,48.98,,,
70,0,CA1-SUB,t1-10,10,60074,0.2174,17,0.2241,-0.0066,0,0.3788,0.2555,57.13,40.36,78.29,51.2,,,
70,0,CA1-SUB,late,10,40721,0.312,11,0.2334,-0.0322,0,0.4308,0.238,65.61,67.93,,,,,
70,0,RSC-SUB,t1-5,5,29041,0.3651,13,0.3623,0.0135,0,0.5266,0.3157,56.81,43.4,86.19,89.03,,,
70,0,RSC-SUB,t1-7,7,41862,0.427,9,0.5475,0.0258,0,0.516,0.3126,57.8,38.14,84.73,89.08,,,
70,0,RSC-SUB,t1-10,10,60074,-0.2109,14,0.8434,0.0307,0,0.5001,0.2552,61.31,66.57,83.99,82.12,,,
70,0,RSC-SUB,late,10,40721,0.5048,7,0.4068,0.0429,0,0.5045,0.2381,82.25,67.41,,,,,
70,0,V1-RSC,t1-5,5,29041,0.0671,7,0.4276,0.076,1,0.3627,0.5244,61.32,58.91,77.54,88.19,,,
70,0,V1-RSC,t1-7,7,41862,-0.4778,11,0.4887,0.0683,1,0.3476,0.5122,76.22,71.03,79.24,88.24,,,
70,0,V1-RSC,t1-10,10,60074,-0.387,13,0.6586,0.0515,1,0.3361,0.4978,83.28,83.13,70.55,86.4,,,
70,0,V1-RSC,late,10,40721,-0.0585,10,0.6921,0.0013,0,0.3284,0.5016,85.75,82.71,,,,,
71,0,CA1-RSC,t1-5,5,14277,-0.2443,8,0.4805,-0.0031,0,0.2941,0.5469,78.58,89.55,88.37,84.76,,,
