pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA1-RSC,26,4,0.5557578434843617,2.8412461375531435,0.0655792916411589,0.0058000000000000005,False
CA1-RSC,27,3,0.03377393866345251,0.7333514638061762,0.5396553579159897,0.006566666666666668,False
CA1-RSC,28,3,-0.2489203567516821,-1.3834425620202286,0.30071287705381466,0.0059,False
CA1-RSC,29,3,0.05534322520623885,0.2823307125828456,0.8042252543882138,0.005999999999999999,False
CA1-RSC,30,3,0.13264893269572936,0.6175611937862461,0.5998106927703647,0.005166666666666667,False
CA1-SUB,1,7,-0.05206673068163264,-2.311478982161234,0.06014683701298448,0.10575714285714287,False
CA1-SUB,2,7,-0.03795468917956966,-1.5895911475919493,0.16302892384442882,0.0715,False
CA1-SUB,3,7,-0.0215327161044165,-0.48688757476580197,0.6436125403017028,0.05424285714285714,False
CA1-SUB,4,7,0.044182183423697736,0.6634604442276314,0.5316849109599954,0.036471428571428564,False
CA1-SUB,5,7,0.012307532371454905,0.1904031214541216,0.8552720651964283,0.030614285714285715,False
CA1-SUB,6,7,0.10145718833644336,0.7192655297092438,0.4990209326576637,0.02475714285714286,False
CA1-SUB,7,6,-0.06335804507984973,-0.7834221690378314,0.4688451723019537,0.024183333333333334,False
CA1-SUB,8,6,0.02420371313540404,0.40829686753054173,0.6999531179785852,0.02211666666666667,False
CA1-SUB,9,6,-0.03724560437614926,-0.7364532791837479,0.4945347402815753,0.018516666666666667,False
CA1-SUB,10,6,-0.03138952499526526,-1.7356568785683673,0.14314396940705937,0.015266666666666666,False
CA1-SUB,11,6,-0.06556375399026519,-1.0541018229435808,0.34008618116022354,0.013216666666666668,False
CA1-SUB,12,6,-0.06699853134783172,-1.852762397513306,0.12311075310425663,0.012366666666666666,False
CA1-SUB,13,6,0.029676858372905082,0.5244023235108768,0.6224076068586081,0.010066666666666666,False
CA1-SUB,14,5,0.07295747088838622,0.6545579997115419,0.5484798969295273,0.011199999999999998,False
CA1-SUB,15,5,0.002081240099013576,0.021924096617997886,0.9835585739175359,0.009240000000000002,False
CA1-SUB,16,5,-0.12926610954884385,-0.7769688213724361,0.4805642009425056,0.00884,False
