animal,learner,pair,dim,bin_ms,lag_bins,lag_ms,cos_same_x,cos_best_x,best_dim_x,cos_same_y,cos_best_y,best_dim_y,cos_split_x,cos_split_y,split_best_x,split_best_y,r_lag,sig,p_perdim,r_zero,n_pairs
28,1,CA1-CA3,2,10,-18,-180,0.60222,0.60222,2,0.22919,0.78646,11,0.03262,0.00265,0.59888,0.80765,0.14623,1,0.00498,0.17811,11640
28,1,CA1-CA3,3,10,-18,-180,0.32151,0.62933,7,0.08583,0.41235,11,0.05784,0.27461,0.53419,0.68534,0.08179,1,0.00498,0.10519,11640
28,1,CA1-CA3,4,10,-18,-180,0.06397,0.40857,9,0.04165,0.78211,1,0.0145,0.47559,0.41892,0.69918,0.06627,1,0.00995,0.08405,11640
28,1,CA1-CA3,5,10,-18,-180,0.21539,0.49581,7,0.05474,0.73624,11,0.17205,0.04965,0.23508,0.64965,0.0614,0,0.02985,0.06761,11640
28,1,CA1-CA3,6,10,-18,-180,0.05056,0.47103,4,0.25492,0.48813,1,0.05451,0.19851,0.44672,0.67803,0.05133,0,0.16915,0.05625,11640
28,1,CA1-CA3,7,10,-18,-180,0.36105,0.53205,11,0.05599,0.79767,11,0.03489,0.02877,0.55238,0.89743,0.04224,0,0.25373,0.04767,11640
28,1,CA1-CA3,8,10,-18,-180,0.04694,0.5831,6,0.17407,0.72836,1,0.06419,0.09676,0.55264,0.80048,0.03937,0,0.90547,0.03979,11640
28,1,CA1-CA3,9,10,-18,-180,0.30292,0.47429,7,0.15713,0.85707,1,0.24696,0.48809,0.30223,0.80812,0.03396,0,0.73134,0.03401,11640
28,1,CA1-CA3,10,10,-18,-180,0.3237,0.51193,12,0.33893,0.91689,11,0.14665,0.76802,0.38055,0.76802,0.02958,0,0.86567,0.02964,11640
28,1,CA1-CA3,1,10,-17,-170,0.0925,0.46596,11,0.01874,0.41454,12,0.00552,0.50033,0.26424,0.90656,0.12284,1,0.01493,0.26442,11660
28,1,CA1-CA3,2,10,-17,-170,0.12466,0.54656,1,0.11072,0.77024,12,0.11716,0.27888,0.63805,0.57004,0.10713,1,0.00498,0.17811,11660
28,1,CA1-CA3,3,10,-17,-170,0.10532,0.67825,8,0.36109,0.46483,12,0.02002,0.34365,0.55658,0.39662,0.09046,1,0.00498,0.10519,11660
28,1,CA1-CA3,4,10,-17,-170,0.03721,0.50724,6,0.6118,0.6118,4,0.03359,0.04875,0.33401,0.89213,0.07908,1,0.00995,0.08405,11660
28,1,CA1-CA3,5,10,-17,-170,0.25863,0.42205,8,0.04743,0.74112,12,0.00561,0.02512,0.23225,0.79678,0.07023,0,0.02985,0.06761,11660
28,1,CA1-CA3,6,10,-17,-170,0.14771,0.4301,4,0.08404,0.8338,3,0.02914,0.13666,0.34426,0.84002,0.05752,0,0.16915,0.05625,11660
28,1,CA1-CA3,7,10,-17,-170,0.05277,0.3469,4,0.21478,0.7755,12,0.00721,0.44877,0.60091,0.85507,0.0535,0,0.25373,0.04767,11660
28,1,CA1-CA3,8,10,-17,-170,0.06528,0.37279,11,0.14333,0.6554,4,0.04921,0.04854,0.59104,0.59016,0.048,0,0.90547,0.03979,11660
28,1,CA1-CA3,9,10,-17,-170,0.69835,0.7774,7,0.06463,0.55833,4,0.18003,0.16987,0.30803,0.82553,0.04202,0,0.73134,0.03401,11660
28,1,CA1-CA3,10,10,-17,-170,0.25922,0.58545,8,0.24684,0.8776,12,0.21479,0.35736,0.34293,0.78964,0.03555,0,0.86567,0.02964,11660
28,1,CA1-CA3,1,10,-16,-160,0.24704,0.46355,3,0.04633,0.41707,13,0.00459,0.54971,0.11071,0.90345,0.10215,1,0.01493,0.26442,11680
28,1,CA1-CA3,2,10,-16,-160,0.00647,0.48345,1,0.06368,0.7668,13,0.12455,0.03387,0.38133,0.65582,0.08397,1,0.00498,0.17811,11680
28,1,CA1-CA3,3,10,-16,-160,0.33019,0.62213,8,0.01848,0.49348,13,0.00295,0.29707,0.26062,0.58993,0.08101,1,0.00498,0.10519,11680
28,1,CA1-CA3,4,10,-16,-160,0.22296,0.50328,13,0.05255,0.90781,10,0.01598,0.10132,0.60198,0.8957,0.069,1,0.00995,0.08405,11680
28,1,CA1-CA3,5,10,-16,-160,0.53086,0.63354,3,0.08073,0.69461,13,0.00477,0.0996,0.51228,0.82721,0.06133,0,0.02985,0.06761,11680
28,1,CA1-CA3,6,10,-16,-160,0.28899,0.39968,1,0.1598,0.50558,12,0.01715,0.08259,0.61278,0.85448,0.0532,0,0.16915,0.05625,11680
28,1,CA1-CA3,7,10,-16,-160,0.31898,0.61371,1,0.05474,0.84736,13,0.26917,0.0626,0.26917,0.82441,0.04429,0,0.25373,0.04767,11680
28,1,CA1-CA3,8,10,-16,-160,0.06681,0.51356,2,0.18881,0.804,10,0.03755,0.33671,0.54144,0.54192,0.03929,0,0.90547,0.03979,11680
28,1,CA1-CA3,9,10,-16,-160,0.36284,0.55668,8,0.28682,0.85211,10,0.30635,0.04168,0.41214,0.87622,0.03504,0,0.73134,0.03401,11680
28,1,CA1-CA3,10,10,-16,-160,0.33526,0.6511,3,0.21487,0.90457,13,0.14571,0.19081,0.21922,0.94849,0.02549,0,0.86567,0.02964,11680
28,1,CA1-CA3,1,10,-15,-150,0.03368,0.46037,13,0.16314,0.45858,13,0.02949,0.48304,0.05955,0.64016,0.11538,1,0.01493,0.26442,11700
28,1,CA1-CA3,2,10,-15,-150,0.20308,0.45355,1,0.05219,0.79101,13,0.04903,0.02738,0.15221,0.61962,0.09852,1,0.00498,0.17811,11700
28,1,CA1-CA3,3,10,-15,-150,0.38508,0.76087,9,0.09601,0.43564,13,0.06677,0.38655,0.14706,0.77357,0.07852,1,0.00498,0.10519,11700
28,1,CA1-CA3,4,10,-15,-150,0.08436,0.4756,5,0.27784,0.56963,5,0.103,0.10124,0.103,0.87819,0.07268,1,0.00995,0.08405,11700
28,1,CA1-CA3,5,10,-15,-150,0.51559,0.69094,11,0.12927,0.78793,13,0.00918,0.34909,0.10339,0.77292,0.06609,0,0.02985,0.06761,11700
28,1,CA1-CA3,6,10,-15,-150,0.42535,0.47768,9,0.4604,0.4604,6,0.0451,0.09151,0.13131,0.81641,0.05291,0,0.16915,0.05625,11700
28,1,CA1-CA3,7,10,-15,-150,0.24238,0.59406,8,0.07514,0.82612,13,0.03831,0.11145,0.14808,0.94163,0.05062,0,0.25373,0.04767,11700
28,1,CA1-CA3,8,10,-15,-150,0.25594,0.35995,3,0.05001,0.5634,10,0.02666,0.35961,0.14485,0.66047,0.03988,0,0.90547,0.03979,11700
28,1,CA1-CA3,9,10,-15,-150,0.2706,0.62345,5,0.01687,0.5252,5,0.20619,0.15189,0.35788,0.94994,0.03719,0,0.73134,0.03401,11700
28,1,CA1-CA3,10,10,-15,-150,0.14872,0.77851,5,0.06972,0.94608,13,0.22932,0.25519,0.27914,0.9167,0.03225,0,0.86567,0.02964,11700
28,1,CA1-CA3,1,10,-14,-140,0.02239,0.46505,4,0.17265,0.3789,10,0.12304,0.60714,0.17254,0.70272,0.14767,1,0.01493,0.26442,11720
28,1,CA1-CA3,2,10,-14,-140,0.13979,0.50245,1,0.0841,0.63677,12,0.05542,0.01645,0.46049,0.64648,0.10853,1,0.00498,0.17811,11720
28,1,CA1-CA3,3,10,-14,-140,0.3934,0.69007,4,0.35013,0.43972,9,0.40221,0.07806,0.40221,0.59841,0.09195,1,0.00498,0.10519,11720
28,1,CA1-CA3,4,10,-14,-140,0.42316,0.55354,10,0.07804,0.6148,13,0.02072,0.05153,0.30701,0.91731,0.07533,1,0.00995,0.08405,11720
28,1,CA1-CA3,5,10,-14,-140,0.47956,0.60182,6,0.27206,0.80155,10,0.09539,0.05554,0.12719,0.82505,0.07351,0,0.02985,0.06761,11720
28,1,CA1-CA3,6,10,-14,-140,0.3169,0.50326,9,0.01466,0.58362,9,0.06217,0.03668,0.3062,0.87021,0.06692,0,0.16915,0.05625,11720
28,1,CA1-CA3,7,10,-14,-140,0.46102,0.46102,7,0.0705,0.72065,12,0.06328,0.62909,0.41542,0.89344,0.06101,0,0.25373,0.04767,11720
28,1,CA1-CA3,8,10,-14,-140,0.28288,0.36375,3,0.14651,0.70125,9,0.14643,0.02652,0.32852,0.58565,0.0544,0,0.90547,0.03979,11720
28,1,CA1-CA3,9,10,-14,-140,0.1253,0.6677,5,0.67388,0.67388,9,0.26882,0.29574,0.38756,0.86971,0.05,0,0.73134,0.03401,11720
28,1,CA1-CA3,10,10,-14,-140,0.44814,0.63946,4,0.69954,0.86065,12,0.0479,0.83221,0.36619,0.86293,0.03944,0,0.86567,0.02964,11720
28,1,CA1-CA3,1,10,-13,-130,0.00044,0.4817,2,0.53448,0.53448,1,0.10159,0.72483,0.33246,0.81077,0.15552,1,0.01493,0.26442,11740
28,1,CA1-CA3,2,10,-13,-130,0.43876,0.53212,1,0.01083,0.716,13,0.12482,0.02631,0.25694,0.46865,0.09439,1,0.00498,0.17811,11740
