pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA1-V1,20,9,-0.14039641864346397,-1.194768265949719,0.2663940920577326,0.023211111111111113,False
CA1-V1,21,7,-0.3086227474892236,-2.025881483516281,0.08917099508925747,0.025114285714285717,False
CA1-V1,22,7,0.1955430069479097,0.7870321537095969,0.4612104159371355,0.030071428571428575,False
CA1-V1,23,6,0.03851672492002347,0.18978434318461485,0.8569422379001929,0.025599999999999998,False
CA1-V1,24,6,-0.21850330702056345,-1.415134900676981,0.21618245453598048,0.02538333333333333,False
CA1-V1,25,5,-0.44101488567190134,-1.1667399791254147,0.3081299255472105,0.0253,False
CA1-V1,26,5,-0.13568556491526299,-0.6249168740043903,0.565905361533743,0.028699999999999996,False
CA1-V1,27,4,0.07487196130635428,0.19513410167387898,0.8577559790536895,0.021,False
CA1-V1,28,4,-0.03328496587104904,-0.32133146144338814,0.7690449770349074,0.0208,False
CA1-V1,29,4,-0.017696480798654574,-0.0612085261537324,0.9550427128890207,0.02005,False
CA1-V1,30,4,0.08193649796706431,0.5164826686834932,0.6411765147284576,0.024575,False
CA3-DG,1,5,-0.03759614439006504,-1.1031891014715791,0.33185039124449733,0.29786,False
CA3-DG,2,5,0.018074223923697154,0.11388930219388844,0.9148130577289666,0.22731999999999997,False
CA3-DG,3,5,-0.23544732314572117,-2.9356120110357278,0.04257487378701272,0.15408,False
CA3-DG,4,5,-0.1051006729920921,-0.7854222151284304,0.47611863378809827,0.09512,False
CA3-DG,5,5,-0.10042303132208559,-0.7924587914164232,0.4724424483894821,0.06989999999999999,False
CA3-DG,6,5,-0.20931019487622451,-1.8207034212408075,0.14276039225655587,0.059640000000000006,False
CA3-DG,7,5,0.10948318669199689,0.4073700597468163,0.7045948963945148,0.049640000000000004,False
CA3-DG,8,5,-0.00820955331619288,-0.07074390625569575,0.946997318361267,0.04644,False
CA3-DG,9,5,-0.3259223056324743,-1.5006962642195318,0.20782895757288591,0.03376,False
CA3-DG,10,5,0.03585373012239068,0.2598418655082708,0.8078121219094627,0.03354,False
CA3-DG,11,3,-0.11165250025341955,-0.4084930353056034,0.7224964312333544,0.027566666666666666,False
CA3-DG,12,3,0.035850323647861206,0.080953291501637,0.94285093272511,0.029166666666666664,False
CA3-DG,13,3,-0.07397971585458087,-0.22910193165706005,0.8400852697389294,0.04026666666666667,False
CA3-DG,14,3,-0.35752945175836864,-1.152068078522396,0.36841076681364027,0.029233333333333333,False
CA3-DG,15,3,0.13149067121917798,0.6367557576639589,0.5894424898365361,0.03516666666666667,False
CA3-DG,16,3,0.2443067173393392,1.3453157493494219,0.31076250804113437,0.033933333333333336,False
CA3-DG,17,3,0.22023724840626246,0.649275077096479,0.5827644705327564,0.026399999999999996,False
CA3-DG,18,3,0.13231664591261239,0.3239614771816131,0.7767084073946939,0.027800000000000002,False
CA3-DG,19,3,-0.31649369442701536,-4.424789520261116,0.0474684896143713,0.024866666666666665,False
CA3-DG,20,3,0.13168610932530692,0.4160525454420438,0.7177666339318977,0.02356666666666667,False
CA3-DG,21,3,0.1617597940451714,0.617142155302065,0.6000387853386182,0.027166666666666662,False
