animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,7,-0.1257,-0.028,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,8,0.0362,-0.0108,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,9,0.0089,-0.0116,5,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,0,0.3689,0.0524,0,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,1,-0.0325,0.0588,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,2,0.1734,0.0026,0,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,3,-0.1387,0.0108,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,4,0.1322,0.0161,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,5,-0.1055,0.021,-2,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,6,0.1722,-0.0012,-2,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,7,0.1018,-0.0158,-2,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,8,-0.192,0.0059,5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,0,0.2358,0.0231,0,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,1,0.1185,0.0065,-7,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,2,-0.0782,0.0037,-5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,3,0.0093,0.0102,0,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,4,-0.1495,0.0244,4,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,5,-0.0191,0.0392,4,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,6,0.0429,0.0696,4,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,7,0.1642,0.0574,4,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,8,0.0384,0.0605,2,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,0,0.1281,0.0168,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,1,0.3071,-0.0159,0,1
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,2,-0.0772,-0.035,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,3,0.1794,-0.0269,-2,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,4,-0.1132,-0.06,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,5,0.1868,-0.0569,-6,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,6,0.1636,-0.0581,-7,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,7,0.1077,-0.0656,-7,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,8,0.1948,-0.0492,-7,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,9,-0.1527,-0.0484,-7,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,0,0.3628,-0.0052,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,1,0.2805,-0.0351,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,2,0.2489,-0.0324,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,3,-0.0815,-0.0224,-1,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,4,-0.1469,0.0001,-6,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,5,-0.1726,-0.0313,-6,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,6,-0.1698,-0.0229,-6,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,7,0.0458,-0.0377,-6,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,8,-0.194,-0.0417,-6,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,9,-0.1852,-0.0021,-6,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,0,0.216,0.0065,0,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,1,-0.1003,0.0433,9,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,2,0.2019,0.0238,9,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,3,-0.1365,0.0071,-3,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,4,-0.0089,0.0071,-3,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,5,-0.0001,0.0211,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,6,0.2047,-0.0014,-2,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,7,0.191,-0.0065,-5,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,8,-0.1162,0.0033,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,9,-0.2216,0.0293,1,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,10,-0.1131,0.0385,1,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,11,0.1516,0.0453,6,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,0,0.1731,0.072,2,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,1,0.0387,0.0218,2,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,2,0.0583,0.0128,-6,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,3,0.0002,0.0267,-6,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,4,0.0074,0.0163,-6,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,5,0.0316,0.0092,-6,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,6,0.0256,0.0163,0,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,7,0.0009,0.0164,-5,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,8,-0.0057,0.0104,-5,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,9,-0.0112,0.051,10,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,10,0.0051,0.0448,10,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,0,0.0359,0.0065,1,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,1,0.3642,0.026,-6,1
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,2,0.2668,0.042,9,1
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,3,0.1993,0.0159,9,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,4,0.2641,0.0267,0,1
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,5,0.028,0.0432,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,6,-0.1469,0.0345,1,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,7,-0.0219,0.0183,-7,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,8,-0.0959,0.017,-7,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,9,0.1197,0.0185,9,0
