pair,dims,lag_ms,n_animals,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA1-CA3,1,150,9,9.488333333333332,1.827406727206281,0.10505366202878581,1.0,44.88166666666667,35.39333333333333,True
CA1-CA3,1,200,9,15.180555555555555,1.648342436350202,0.13789462074767167,1.0,50.57388888888889,35.39333333333333,True
CA1-CA3,1,250,9,24.546111111111106,3.72971839686432,0.0057900836115601095,0.057900836115601095,59.93944444444444,35.39333333333333,True
CA1-DG,1,-250,11,18.575,2.5312880252661563,0.0298050169056689,0.298050169056689,66.39545454545456,47.82045454545455,True
CA1-DG,1,-200,11,12.241363636363634,1.9025940607741445,0.08625263263066282,0.8625263263066283,60.06181818181818,47.82045454545455,True
CA1-DG,1,-150,11,6.821363636363637,1.3454353526300369,0.20819768390835036,1.0,54.64181818181818,47.82045454545455,True
CA1-DG,1,-100,11,17.048636363636366,2.506996043293892,0.0310721382392296,0.310721382392296,64.86909090909091,47.82045454545455,True
CA1-DG,1,-70,11,9.98727272727273,1.9228326499236892,0.08341743115544177,0.8341743115544177,57.80772727272728,47.82045454545455,True
CA1-DG,1,-50,11,14.554090909090906,2.843618005917907,0.01743987249881657,0.1743987249881657,62.374545454545455,47.82045454545455,True
CA1-DG,1,-40,11,11.994999999999997,1.3671006394885898,0.20153656671731343,1.0,59.815454545454536,47.82045454545455,True
CA1-DG,1,-30,11,4.997727272727274,0.5704822281792598,0.5809419563722402,1.0,52.81818181818183,47.82045454545455,True
CA1-DG,1,-20,11,-1.768636363636363,-0.21990231150390369,0.8303713102586248,1.0,46.05181818181818,47.82045454545455,True
CA1-DG,1,-10,11,-13.665,-1.9570761320560046,0.07881776509207282,0.7881776509207282,34.155454545454546,47.82045454545455,True
CA1-DG,1,10,11,-11.471363636363636,-1.9922523877683274,0.0743412900160519,0.743412900160519,36.349090909090904,47.82045454545455,True
CA1-DG,1,20,11,3.6831818181818203,0.6418606439802613,0.535399081602864,1.0,51.503636363636375,47.82045454545455,True
CA1-DG,1,30,11,12.831818181818182,2.181507031527792,0.05410746843235907,0.5410746843235907,60.65227272727273,47.82045454545455,True
CA1-DG,1,40,11,15.936363636363636,2.6111442645398135,0.02598970886646209,0.2598970886646209,63.75681818181819,47.82045454545455,True
CA1-DG,1,50,11,13.669545454545453,2.7543973416721155,0.02032428116365519,0.2032428116365519,61.489999999999995,47.82045454545455,True
CA1-DG,1,70,11,11.268636363636363,2.170128350872023,0.05515798954129043,0.5515798954129043,59.089090909090906,47.82045454545455,True
CA1-DG,1,100,11,20.330000000000002,3.9866642287295644,0.0025731194852158623,0.025731194852158624,68.15045454545454,47.82045454545455,True
CA1-DG,1,150,11,7.586363636363637,1.0800223895728258,0.3054914104800972,1.0,55.40681818181818,47.82045454545455,True
CA1-DG,1,200,11,16.16,2.7796923866850536,0.019460926889646873,0.19460926889646873,63.98045454545455,47.82045454545455,True
CA1-DG,1,250,11,14.650454545454544,2.635446517582204,0.024928035082048054,0.24928035082048053,62.470909090909096,47.82045454545455,True
CA1-V1,1,-250,13,-14.446538461538463,-2.361948678430392,0.03592378795792128,0.3592378795792128,52.735769230769236,67.18230769230769,True
CA1-V1,1,-200,13,-15.853846153846156,-1.9308294646382038,0.07746978915952027,0.7746978915952027,51.32846153846154,67.18230769230769,True
CA1-V1,1,-150,13,-15.49,-2.090529952674757,0.058520265796408844,0.5852026579640884,51.69230769230769,67.18230769230769,True
CA1-V1,1,-100,13,-14.244615384615384,-2.011012465356925,0.06734038941458548,0.6734038941458548,52.937692307692316,67.18230769230769,True
CA1-V1,1,-70,13,-16.369615384615386,-2.1115474613577385,0.05637626541293285,0.5637626541293285,50.8126923076923,67.18230769230769,True
CA1-V1,1,-50,13,-14.617307692307692,-1.9072669896353402,0.08070258988220655,0.8070258988220655,52.565000000000005,67.18230769230769,True
CA1-V1,1,-40,13,-21.14038461538462,-2.6817015348663626,0.019974002189492256,0.19974002189492257,46.04192307692308,67.18230769230769,True
CA1-V1,1,-30,13,-13.255384615384612,-1.6701218006157488,0.12075137342246069,1.0,53.92692307692308,67.18230769230769,True
CA1-V1,1,-20,13,-17.184230769230773,-1.9378069836750573,0.07653552798143537,0.7653552798143537,49.99807692307692,67.18230769230769,True
CA1-V1,1,-10,13,-22.211923076923078,-2.332270980411366,0.037913858207128795,0.3791385820712879,44.97038461538461,67.18230769230769,True
CA1-V1,1,10,13,-28.779230769230768,-3.784402591849348,0.0026026353584130387,0.026026353584130385,38.403076923076924,67.18230769230769,True
CA1-V1,1,20,13,-20.188846153846153,-2.39192189451596,0.034015923278538175,0.34015923278538174,46.993461538461546,67.18230769230769,True
CA1-V1,1,30,13,-17.011538461538457,-2.3533877603605418,0.03648732258057825,0.36487322580578246,50.17076923076923,67.18230769230769,True
CA1-V1,1,40,13,-17.331538461538464,-2.3779193555844227,0.03489476421557366,0.3489476421557366,49.85076923076923,67.18230769230769,True
CA1-V1,1,50,13,-17.188846153846157,-2.5429147589684873,0.0257996688460242,0.257996688460242,49.993461538461546,67.18230769230769,True
CA1-V1,1,70,13,-19.673846153846153,-2.3473176090738286,0.03689202947718054,0.3689202947718054,47.50846153846153,67.18230769230769,True
CA1-V1,1,100,13,-14.596153846153843,-1.8088560531961246,0.09557900565342273,0.9557900565342272,52.58615384615385,67.18230769230769,True
CA1-V1,1,150,13,-16.77153846153846,-2.08731913631091,0.05885444783885362,0.5885444783885362,50.41076923076923,67.18230769230769,True
CA1-V1,1,200,13,-10.62153846153846,-1.39867719318861,0.18721999355375538,1.0,56.560769230769225,67.18230769230769,True
CA1-V1,1,250,13,-13.214615384615383,-1.7495631114525845,0.10569747959585603,1.0,53.9676923076923,67.18230769230769,True
CA3-DG,1,-250,5,29.178999999999995,3.0841290120360916,0.03678358639904368,0.3678358639904368,62.248999999999995,33.06999999999999,True
CA3-DG,1,-200,5,13.812000000000001,1.4801094357031572,0.21294703621940778,1.0,46.882000000000005,33.06999999999999,True
CA3-DG,1,-150,5,13.062999999999999,1.0186792756959002,0.3659561941885182,1.0,46.133,33.06999999999999,True
CA3-DG,1,-100,5,37.928000000000004,3.983700631809842,0.01635056222959787,0.1635056222959787,70.99799999999999,33.06999999999999,True
CA3-DG,1,-70,5,10.719,1.1869142769802483,0.3009343326842726,1.0,43.788999999999994,33.06999999999999,True
CA3-DG,1,-50,5,17.199,1.7584913494518186,0.15348685413351276,1.0,50.269,33.06999999999999,True
CA3-DG,1,-40,5,27.541000000000004,2.5880786318670514,0.06080695271291703,0.6080695271291703,60.611000000000004,33.06999999999999,True
CA3-DG,1,-30,5,25.478,2.0026088452445054,0.11577119960252352,1.0,58.548,33.06999999999999,True
CA3-DG,1,-20,5,16.860999999999997,1.1955541516866364,0.2979010419231728,1.0,49.931,33.06999999999999,True
CA3-DG,1,-10,5,2.9909999999999997,0.30043934180108833,0.7788097758647016,1.0,36.06100000000001,33.06999999999999,True
CA3-DG,1,10,5,-1.6769999999999996,-0.1497964647167018,0.8881747763953924,1.0,31.392999999999997,33.06999999999999,True
CA3-DG,1,20,5,14.531,1.0269168298129188,0.36249984965091914,1.0,47.601,33.06999999999999,True
CA3-DG,1,30,5,27.028000000000002,2.2440550155905163,0.08822439924614736,0.8822439924614736,60.09799999999999,33.06999999999999,True
CA3-DG,1,40,5,26.093,2.065051434880913,0.10783315254626445,1.0,59.16300000000001,33.06999999999999,True
CA3-DG,1,50,5,20.378000000000004,2.254902372719433,0.08717074140673353,0.8717074140673353,53.44800000000001,33.06999999999999,True
CA3-DG,1,70,5,22.789,1.8121101942709554,0.14419311270793805,1.0,55.858999999999995,33.06999999999999,True
CA3-DG,1,100,5,39.42,4.133907737638847,0.014447896070403586,0.14447896070403585,72.49000000000001,33.06999999999999,True
CA3-DG,1,150,5,19.95799999999999,1.7068425732187003,0.16304258880733472,1.0,53.028,33.06999999999999,True
CA3-DG,1,200,5,19.341,2.3518232786518425,0.07835913974160583,0.7835913974160582,52.411,33.06999999999999,True
CA3-DG,1,250,5,25.388,3.155632715088763,0.034327703035429084,0.34327703035429086,58.458000000000006,33.06999999999999,True
CA1-SUB,1,-250,7,10.620714285714286,1.1994489327706606,0.2755659046774621,1.0,71.24142857142857,60.62071428571429,True
CA1-SUB,1,-200,7,12.760000000000003,1.2583269531302144,0.2550220346050805,1.0,73.38071428571428,60.62071428571429,True
CA1-SUB,1,-150,7,5.548571428571426,0.6704312037258668,0.5275306118900662,1.0,66.1692857142857,60.62071428571429,True
CA1-SUB,1,-100,7,12.526428571428571,1.285899296268922,0.2458715814691118,1.0,73.14714285714287,60.62071428571429,True
CA1-SUB,1,-70,7,13.859999999999998,1.684483959644304,0.14307070215441164,1.0,74.4807142857143,60.62071428571429,True
CA1-SUB,1,-50,7,14.431428571428569,1.5788155381499145,0.16545665062445208,1.0,75.05214285714285,60.62071428571429,True
CA1-SUB,1,-40,7,12.506428571428568,1.6771914463674602,0.1445171243943515,1.0,73.12714285714284,60.62071428571429,True
CA1-SUB,1,-30,7,5.066428571428572,0.5217312713461565,0.6205487133573162,1.0,65.68714285714287,60.62071428571429,True
CA1-SUB,1,-20,7,6.1864285714285705,1.0118110307046753,0.3506776956237531,1.0,66.80714285714286,60.62071428571429,True
CA1-SUB,1,-10,7,-0.6435714285714289,-0.06614513007064986,0.9494112135853259,1.0,59.977142857142866,60.62071428571429,True
CA1-SUB,1,10,7,4.143571428571429,0.4839264144375184,0.6455933287539709,1.0,64.76428571428572,60.62071428571429,True
CA1-SUB,1,20,7,7.839285714285714,0.9568089958090035,0.3756110175430306,1.0,68.46000000000001,60.62071428571429,True
CA1-SUB,1,30,7,13.21142857142857,1.5913857179334692,0.1626279133530511,1.0,73.83214285714286,60.62071428571429,True
CA1-SUB,1,40,7,14.849285714285713,1.699220551397673,0.14019042392264633,1.0,75.47,60.62071428571429,True
CA1-SUB,1,50,7,13.547142857142859,1.288865504376977,0.2449046819337226,1.0,74.16785714285714,60.62071428571429,True
CA1-SUB,1,70,7,1.682857142857141,0.14361309619536083,0.8905079490906751,1.0,62.30357142857143,60.62071428571429,True
CA1-SUB,1,100,7,9.579285714285714,1.0341186307181605,0.34094993104556404,1.0,70.2,60.62071428571429,True
CA1-SUB,1,150,7,8.674285714285714,0.9195587090861358,0.3932708765386423,1.0,69.29500000000002,60.62071428571429,True
CA1-SUB,1,200,7,14.780714285714286,1.5617587023849726,0.16936976227477044,1.0,75.40142857142857,60.62071428571429,True
CA1-SUB,1,250,7,15.844285714285714,1.6003313241983694,0.1606429123515527,1.0,76.465,60.62071428571429,True
RSC-SUB,1,-250,7,7.774285714285715,0.8518305806332591,0.42699379692115125,1.0,61.89,54.11571428571429,True
RSC-SUB,1,-200,7,3.4607142857142845,0.34516781059826807,0.7417468705081016,1.0,57.57642857142857,54.11571428571429,True
RSC-SUB,1,-150,7,1.6614285714285724,0.17361864265771274,0.8678746138294482,1.0,55.77714285714286,54.11571428571429,True
RSC-SUB,1,-100,7,3.526428571428571,0.34455679239872705,0.7421835320701105,1.0,57.64214285714286,54.11571428571429,True
RSC-SUB,1,-70,7,3.173571428571427,0.32005804059348775,0.7597764468758041,1.0,57.28928571428571,54.11571428571429,True
RSC-SUB,1,-50,7,2.2657142857142865,0.25436770561020955,0.8077047871823295,1.0,56.38142857142858,54.11571428571429,True
RSC-SUB,1,-40,7,5.085714285714283,0.5647024066783429,0.5927448664704984,1.0,59.201428571428565,54.11571428571429,True
RSC-SUB,1,-30,7,3.1557142857142844,0.3190798504362866,0.7604822679435748,1.0,57.27142857142857,54.11571428571429,True
RSC-SUB,1,-20,7,-8.339285714285717,-0.9666299107765743,0.3710594696895989,1.0,45.77642857142857,54.11571428571429,True
RSC-SUB,1,-10,7,-17.915714285714287,-2.1654763570509608,0.07351927869981284,0.7351927869981284,36.2,54.11571428571429,True
RSC-SUB,1,10,7,-15.512142857142859,-1.8374043608229933,0.11579392840398199,1.0,38.60357142857143,54.11571428571429,True
RSC-SUB,1,20,7,-4.400714285714287,-0.6290666410051963,0.5524870453590162,1.0,49.714999999999996,54.11571428571429,True
RSC-SUB,1,30,7,-3.5542857142857147,-0.46552348376253033,0.6579744733937392,1.0,50.56142857142858,54.11571428571429,True
RSC-SUB,1,40,7,-5.332857142857144,-0.7013383776922246,0.5093654200878247,1.0,48.78285714285714,54.11571428571429,True
RSC-SUB,1,50,7,2.6057142857142854,0.299567527165319,0.7746134784532793,1.0,56.721428571428575,54.11571428571429,True
RSC-SUB,1,70,7,3.439285714285713,0.3167376467462027,0.7621733300702196,1.0,57.55500000000001,54.11571428571429,True
RSC-SUB,1,100,7,5.2700000000000005,0.5134269075723343,0.6260042340445537,1.0,59.385714285714286,54.11571428571429,True
RSC-SUB,1,150,7,6.3814285714285734,0.6655250715392932,0.5304522882244331,1.0,60.49714285714286,54.11571428571429,True
RSC-SUB,1,200,7,8.020714285714286,0.8963781093417517,0.4045780335749265,1.0,62.13642857142857,54.11571428571429,True
RSC-SUB,1,250,7,7.5178571428571415,0.8827192757371107,0.41135498389190317,1.0,61.63357142857143,54.11571428571429,True
V1-RSC,1,-250,9,15.876666666666665,1.692958205169907,0.12891907077576475,1.0,55.84444444444445,39.967777777777776,True
V1-RSC,1,-200,9,13.429999999999998,1.5092070386482361,0.16968302991153125,1.0,53.397777777777776,39.967777777777776,True
V1-RSC,1,-150,9,10.552222222222222,1.102204467725443,0.3024242522244257,1.0,50.519999999999996,39.967777777777776,True
V1-RSC,1,-100,9,9.011111111111111,0.859351978706828,0.4151531029873511,1.0,48.97888888888889,39.967777777777776,True
V1-RSC,1,-70,9,1.8888888888888888,0.2096320326271382,0.8391949004003716,1.0,41.85666666666667,39.967777777777776,True
