animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
66,1,CA1-V1,2,6,10,8000,0.1266,0,0.0,0.0032,0,0.7176,0.0714
66,1,CA1-V1,3,11,15,8000,0.1578,2,0.0276,-0.0016,1,0.2632,0.0604
66,1,CA1-V1,4,16,20,8000,0.1095,0,0.0,-0.0135,0,0.18,0.0543
66,1,CA1-V1,5,21,25,8000,0.2278,1,0.0266,0.049,0,0.6698,0.0623
66,1,CA1-V1,6,26,30,8000,0.0898,0,0.0,-0.0108,0,0.2935,0.0647
66,1,CA1-SUB,1,1,5,8000,0.1379,6,0.0761,-0.0366,0,0.3815,0.0584
66,1,CA1-SUB,2,6,10,8000,0.1222,1,0.0075,-0.0492,0,0.7694,0.0746
66,1,CA1-SUB,3,11,15,8000,0.1319,5,0.0577,-0.0672,0,0.2237,0.0489
66,1,CA1-SUB,4,16,20,8000,0.1468,1,0.0109,-0.0461,0,0.2229,0.0455
66,1,CA1-SUB,5,21,25,8000,0.1692,2,0.0242,-0.0638,0,0.7087,0.0369
66,1,CA1-SUB,6,26,30,8000,0.1208,0,0.0,-0.0048,0,0.2611,0.0491
66,1,RSC-SUB,1,1,5,8000,0.0329,4,0.0718,-0.0057,5,0.3208,0.0591
66,1,RSC-SUB,2,6,10,8000,0.1006,2,0.0219,0.0418,0,0.2017,0.0751
66,1,RSC-SUB,3,11,15,8000,-0.0127,3,0.0171,-0.0042,1,0.1132,0.0492
66,1,RSC-SUB,4,16,20,8000,0.0403,0,0.0,-0.0102,0,0.1293,0.0459
66,1,RSC-SUB,5,21,25,8000,0.0758,0,0.0,-0.0033,-1,0.1432,0.0366
66,1,RSC-SUB,6,26,30,8000,-0.0558,1,0.0075,0.0836,2,0.2202,0.0489
66,1,V1-RSC,1,1,5,8000,0.044,3,0.0546,0.0233,2,0.0997,0.3144
66,1,V1-RSC,2,6,10,8000,-0.0325,0,0.0,0.0607,1,0.0791,0.2079
66,1,V1-RSC,3,11,15,8000,0.024,2,0.0237,-0.008,2,0.0664,0.1012
66,1,V1-RSC,4,16,20,8000,0.1394,0,0.0,0.0223,0,0.0792,0.1104
66,1,V1-RSC,5,21,25,8000,0.0617,0,0.0,-0.0222,-2,0.0821,0.1162
66,1,V1-RSC,6,26,30,8000,-0.0629,5,0.0927,-0.0479,0,0.0843,0.176
68,1,CA1-RSC,1,1,5,8000,0.0728,0,0.0,0.0404,3,0.903,0.1134
68,1,CA1-RSC,2,6,10,8000,0.0751,0,0.0,0.004,0,0.1632,0.1157
68,1,CA1-RSC,3,11,15,8000,0.0398,0,0.0,0.02,3,0.155,0.1052
68,1,CA1-RSC,4,16,20,8000,0.0462,0,0.0,-0.0051,-2,0.1246,0.1187
68,1,CA1-RSC,5,21,25,8000,0.0847,0,0.0,0.0137,2,0.1358,0.0824
68,1,CA1-RSC,6,26,30,8000,0.0879,0,0.0,0.0733,3,0.1355,0.0797
68,1,CA1-CA3,1,1,5,8000,0.9846,3,1.8573,-0.0118,0,0.7272,0.6112
68,1,CA1-CA3,2,6,10,8000,0.4345,3,0.1382,-0.0132,0,0.1781,0.6085
68,1,CA1-CA3,3,11,15,8000,0.3929,2,0.1044,-0.0499,0,0.1404,0.0987
68,1,CA1-CA3,4,16,20,8000,0.4146,2,0.1098,0.01,0,0.153,0.0785
68,1,CA1-CA3,5,21,25,8000,0.4204,2,0.1174,-0.0268,0,0.1454,0.0413
68,1,CA1-CA3,6,26,30,8000,0.4293,2,0.1231,-0.0082,0,0.1823,0.1065
68,1,CA1-DG,1,1,5,8000,0.2611,2,0.0508,-0.0235,0,0.903,0.1681
68,1,CA1-DG,2,6,10,8000,0.2299,2,0.0409,-0.0872,0,0.1629,0.171
68,1,CA1-DG,3,11,15,8000,0.2865,2,0.0559,-0.0332,0,0.1544,0.1475
68,1,CA1-DG,4,16,20,8000,0.2865,2,0.0508,-0.0899,0,0.1239,0.1569
68,1,CA1-DG,5,21,25,8000,0.2634,2,0.0475,-0.057,0,0.134,0.1715
68,1,CA1-DG,6,26,30,8000,0.2625,2,0.0521,-0.1097,0,0.1346,0.1369
68,1,CA3-DG,1,1,5,8000,0.2915,2,0.0742,-0.003,0,0.8853,0.2167
68,1,CA3-DG,2,6,10,8000,0.2996,3,0.1063,-0.0337,0,0.6148,0.1947
68,1,CA3-DG,3,11,15,8000,0.325,2,0.0865,0.0047,0,0.1016,0.1755
68,1,CA3-DG,4,16,20,8000,0.3389,2,0.0932,0.0323,0,0.0814,0.1761
68,1,CA3-DG,5,21,25,8000,0.3328,3,0.1015,0.0223,0,0.044,0.1462
