animal,learner,pair,dim,ordinal,trial_id,matched,r0,sig,p_perdim,r_frozen,n_bins,n_gaps,vel_mean,vel_median,n_fit_trials
28,1,CA1-CA3,1,4,4,2,-0.08022,1,0.00498,0.12582,2612,4,16.376,16.689,127
28,1,CA1-CA3,2,4,4,2,0.06097,1,0.00498,0.07903,2612,4,16.376,16.689,127
28,1,CA1-CA3,3,4,4,2,0.04842,1,0.00498,0.04697,2612,4,16.376,16.689,127
28,1,CA1-CA3,4,4,4,2,0.00142,1,0.00498,0.03794,2612,4,16.376,16.689,127
28,1,CA1-CA3,5,4,4,2,0.07681,1,0.00498,0.03739,2612,4,16.376,16.689,127
28,1,CA1-CA3,6,4,4,2,-0.03202,1,0.00498,0.03389,2612,4,16.376,16.689,127
28,1,CA1-CA3,7,4,4,2,-0.00915,1,0.00498,0.02226,2612,4,16.376,16.689,127
28,1,CA1-CA3,8,4,4,2,0.01241,1,0.00498,0.018,2612,4,16.376,16.689,127
28,1,CA1-CA3,9,4,4,2,-0.01308,1,0.00498,0.01572,2612,4,16.376,16.689,127
28,1,CA1-CA3,10,4,4,2,0.0167,1,0.00498,0.0109,2612,4,16.376,16.689,127
28,1,CA1-CA3,1,5,5,0,0.01999,1,0.00498,0.12582,2921,2,20.195,21.446,127
28,1,CA1-CA3,2,5,5,0,0.06568,1,0.00498,0.07903,2921,2,20.195,21.446,127
28,1,CA1-CA3,3,5,5,0,0.01306,1,0.00498,0.04697,2921,2,20.195,21.446,127
28,1,CA1-CA3,4,5,5,0,0.01178,1,0.00498,0.03794,2921,2,20.195,21.446,127
28,1,CA1-CA3,5,5,5,0,0.0303,1,0.00498,0.03739,2921,2,20.195,21.446,127
28,1,CA1-CA3,6,5,5,0,0.05428,1,0.00498,0.03389,2921,2,20.195,21.446,127
28,1,CA1-CA3,7,5,5,0,0.01457,1,0.00498,0.02226,2921,2,20.195,21.446,127
28,1,CA1-CA3,8,5,5,0,0.03539,1,0.00498,0.018,2921,2,20.195,21.446,127
28,1,CA1-CA3,9,5,5,0,0.0152,1,0.00498,0.01572,2921,2,20.195,21.446,127
28,1,CA1-CA3,10,5,5,0,0.00337,1,0.00498,0.0109,2921,2,20.195,21.446,127
28,1,CA1-CA3,1,5,5,2,0.01996,1,0.00498,0.12582,2612,2,19.855,20.99,127
28,1,CA1-CA3,2,5,5,2,0.076,1,0.00498,0.07903,2612,2,19.855,20.99,127
28,1,CA1-CA3,3,5,5,2,0.02076,1,0.00498,0.04697,2612,2,19.855,20.99,127
28,1,CA1-CA3,4,5,5,2,0.02252,1,0.00498,0.03794,2612,2,19.855,20.99,127
28,1,CA1-CA3,5,5,5,2,0.0361,1,0.00498,0.03739,2612,2,19.855,20.99,127
28,1,CA1-CA3,6,5,5,2,0.0557,1,0.00498,0.03389,2612,2,19.855,20.99,127
28,1,CA1-CA3,7,5,5,2,0.01731,1,0.00498,0.02226,2612,2,19.855,20.99,127
28,1,CA1-CA3,8,5,5,2,0.03225,1,0.00498,0.018,2612,2,19.855,20.99,127
28,1,CA1-CA3,9,5,5,2,0.00909,1,0.00498,0.01572,2612,2,19.855,20.99,127
28,1,CA1-CA3,10,5,5,2,-0.00312,1,0.00498,0.0109,2612,2,19.855,20.99,127
28,1,CA1-CA3,1,6,6,0,0.04025,1,0.00498,0.12582,2892,2,20.451,21.406,127
28,1,CA1-CA3,2,6,6,0,0.04436,1,0.00498,0.07903,2892,2,20.451,21.406,127
28,1,CA1-CA3,3,6,6,0,0.02953,1,0.00498,0.04697,2892,2,20.451,21.406,127
28,1,CA1-CA3,4,6,6,0,0.02713,1,0.00498,0.03794,2892,2,20.451,21.406,127
28,1,CA1-CA3,5,6,6,0,0.04327,1,0.00498,0.03739,2892,2,20.451,21.406,127
28,1,CA1-CA3,6,6,6,0,0.03256,1,0.00498,0.03389,2892,2,20.451,21.406,127
28,1,CA1-CA3,7,6,6,0,-0.01115,1,0.00498,0.02226,2892,2,20.451,21.406,127
28,1,CA1-CA3,8,6,6,0,0.01564,1,0.00498,0.018,2892,2,20.451,21.406,127
28,1,CA1-CA3,9,6,6,0,-0.02544,1,0.00498,0.01572,2892,2,20.451,21.406,127
28,1,CA1-CA3,10,6,6,0,-0.0195,1,0.00498,0.0109,2892,2,20.451,21.406,127
28,1,CA1-CA3,1,6,6,2,0.0134,1,0.00498,0.12582,2612,1,20.622,21.495,127
28,1,CA1-CA3,2,6,6,2,0.04382,1,0.00498,0.07903,2612,1,20.622,21.495,127
28,1,CA1-CA3,3,6,6,2,0.03947,1,0.00498,0.04697,2612,1,20.622,21.495,127
28,1,CA1-CA3,4,6,6,2,0.0225,1,0.00498,0.03794,2612,1,20.622,21.495,127
28,1,CA1-CA3,5,6,6,2,0.03952,1,0.00498,0.03739,2612,1,20.622,21.495,127
28,1,CA1-CA3,6,6,6,2,0.02909,1,0.00498,0.03389,2612,1,20.622,21.495,127
28,1,CA1-CA3,7,6,6,2,0.00084,1,0.00498,0.02226,2612,1,20.622,21.495,127
28,1,CA1-CA3,8,6,6,2,0.01617,1,0.00498,0.018,2612,1,20.622,21.495,127
28,1,CA1-CA3,9,6,6,2,-0.02769,1,0.00498,0.01572,2612,1,20.622,21.495,127
28,1,CA1-CA3,10,6,6,2,-0.02448,1,0.00498,0.0109,2612,1,20.622,21.495,127
28,1,CA1-CA3,1,7,7,0,0.07582,1,0.00498,0.12582,2785,1,21.995,22.643,127
28,1,CA1-CA3,2,7,7,0,0.0084,1,0.00498,0.07903,2785,1,21.995,22.643,127
28,1,CA1-CA3,3,7,7,0,0.01993,1,0.00498,0.04697,2785,1,21.995,22.643,127
28,1,CA1-CA3,4,7,7,0,-0.0122,1,0.00498,0.03794,2785,1,21.995,22.643,127
28,1,CA1-CA3,5,7,7,0,0.03205,1,0.00498,0.03739,2785,1,21.995,22.643,127
28,1,CA1-CA3,6,7,7,0,-0.01684,1,0.00498,0.03389,2785,1,21.995,22.643,127
28,1,CA1-CA3,7,7,7,0,0.00544,1,0.00498,0.02226,2785,1,21.995,22.643,127
28,1,CA1-CA3,8,7,7,0,0.03001,1,0.00498,0.018,2785,1,21.995,22.643,127
28,1,CA1-CA3,9,7,7,0,-0.01348,1,0.00498,0.01572,2785,1,21.995,22.643,127
28,1,CA1-CA3,10,7,7,0,-0.00746,1,0.00498,0.0109,2785,1,21.995,22.643,127
28,1,CA1-CA3,1,7,7,2,0.07626,1,0.00498,0.12582,2612,1,22.222,22.773,127
28,1,CA1-CA3,2,7,7,2,0.00646,1,0.00498,0.07903,2612,1,22.222,22.773,127
28,1,CA1-CA3,3,7,7,2,0.01052,1,0.00498,0.04697,2612,1,22.222,22.773,127
28,1,CA1-CA3,4,7,7,2,-0.01351,1,0.00498,0.03794,2612,1,22.222,22.773,127
28,1,CA1-CA3,5,7,7,2,0.0404,1,0.00498,0.03739,2612,1,22.222,22.773,127
28,1,CA1-CA3,6,7,7,2,-0.01718,1,0.00498,0.03389,2612,1,22.222,22.773,127
28,1,CA1-CA3,7,7,7,2,0.00797,1,0.00498,0.02226,2612,1,22.222,22.773,127
28,1,CA1-CA3,8,7,7,2,0.02901,1,0.00498,0.018,2612,1,22.222,22.773,127
28,1,CA1-CA3,9,7,7,2,-0.00778,1,0.00498,0.01572,2612,1,22.222,22.773,127
28,1,CA1-CA3,10,7,7,2,-0.00655,1,0.00498,0.0109,2612,1,22.222,22.773,127
28,1,CA1-CA3,1,8,8,0,0.02181,1,0.00498,0.12582,2726,2,22.788,24.245,127
28,1,CA1-CA3,2,8,8,0,0.05533,1,0.00498,0.07903,2726,2,22.788,24.245,127
28,1,CA1-CA3,3,8,8,0,0.0454,1,0.00498,0.04697,2726,2,22.788,24.245,127
28,1,CA1-CA3,4,8,8,0,-0.02458,1,0.00498,0.03794,2726,2,22.788,24.245,127
28,1,CA1-CA3,5,8,8,0,0.02807,1,0.00498,0.03739,2726,2,22.788,24.245,127
28,1,CA1-CA3,6,8,8,0,-0.00266,1,0.00498,0.03389,2726,2,22.788,24.245,127
28,1,CA1-CA3,7,8,8,0,-0.00968,1,0.00498,0.02226,2726,2,22.788,24.245,127
28,1,CA1-CA3,8,8,8,0,-0.00695,1,0.00498,0.018,2726,2,22.788,24.245,127
28,1,CA1-CA3,9,8,8,0,0.01872,1,0.00498,0.01572,2726,2,22.788,24.245,127
28,1,CA1-CA3,10,8,8,0,-0.02522,1,0.00498,0.0109,2726,2,22.788,24.245,127
28,1,CA1-CA3,1,8,8,2,0.02147,1,0.00498,0.12582,2612,2,22.701,24.162,127
28,1,CA1-CA3,2,8,8,2,0.05511,1,0.00498,0.07903,2612,2,22.701,24.162,127
28,1,CA1-CA3,3,8,8,2,0.05115,1,0.00498,0.04697,2612,2,22.701,24.162,127
28,1,CA1-CA3,4,8,8,2,-0.02699,1,0.00498,0.03794,2612,2,22.701,24.162,127
28,1,CA1-CA3,5,8,8,2,0.02811,1,0.00498,0.03739,2612,2,22.701,24.162,127
28,1,CA1-CA3,6,8,8,2,-0.00331,1,0.00498,0.03389,2612,2,22.701,24.162,127
28,1,CA1-CA3,7,8,8,2,-0.01242,1,0.00498,0.02226,2612,2,22.701,24.162,127
28,1,CA1-CA3,8,8,8,2,-0.00551,1,0.00498,0.018,2612,2,22.701,24.162,127
28,1,CA1-CA3,9,8,8,2,0.02059,1,0.00498,0.01572,2612,2,22.701,24.162,127
28,1,CA1-CA3,10,8,8,2,-0.0257,1,0.00498,0.0109,2612,2,22.701,24.162,127
28,1,CA1-CA3,1,9,9,0,0.02181,1,0.00498,0.12582,2612,1,23.327,24.396,127
28,1,CA1-CA3,2,9,9,0,0.02363,1,0.00498,0.07903,2612,1,23.327,24.396,127
28,1,CA1-CA3,3,9,9,0,-0.02554,1,0.00498,0.04697,2612,1,23.327,24.396,127
28,1,CA1-CA3,4,9,9,0,0.01686,1,0.00498,0.03794,2612,1,23.327,24.396,127
28,1,CA1-CA3,5,9,9,0,-0.00535,1,0.00498,0.03739,2612,1,23.327,24.396,127
28,1,CA1-CA3,6,9,9,0,0.02675,1,0.00498,0.03389,2612,1,23.327,24.396,127
28,1,CA1-CA3,7,9,9,0,-0.00587,1,0.00498,0.02226,2612,1,23.327,24.396,127
28,1,CA1-CA3,8,9,9,0,0.04189,1,0.00498,0.018,2612,1,23.327,24.396,127
28,1,CA1-CA3,9,9,9,0,-0.01225,1,0.00498,0.01572,2612,1,23.327,24.396,127
28,1,CA1-CA3,10,9,9,0,-0.02769,1,0.00498,0.0109,2612,1,23.327,24.396,127
28,1,CA1-CA3,1,9,9,2,0.02181,1,0.00498,0.12582,2612,1,23.327,24.396,127
28,1,CA1-CA3,2,9,9,2,0.02363,1,0.00498,0.07903,2612,1,23.327,24.396,127
28,1,CA1-CA3,3,9,9,2,-0.02554,1,0.00498,0.04697,2612,1,23.327,24.396,127
28,1,CA1-CA3,4,9,9,2,0.01686,1,0.00498,0.03794,2612,1,23.327,24.396,127
28,1,CA1-CA3,5,9,9,2,-0.00535,1,0.00498,0.03739,2612,1,23.327,24.396,127
28,1,CA1-CA3,6,9,9,2,0.02675,1,0.00498,0.03389,2612,1,23.327,24.396,127
28,1,CA1-CA3,7,9,9,2,-0.00587,1,0.00498,0.02226,2612,1,23.327,24.396,127
28,1,CA1-CA3,8,9,9,2,0.04189,1,0.00498,0.018,2612,1,23.327,24.396,127
28,1,CA1-CA3,9,9,9,2,-0.01225,1,0.00498,0.01572,2612,1,23.327,24.396,127
28,1,CA1-CA3,10,9,9,2,-0.02769,1,0.00498,0.0109,2612,1,23.327,24.396,127
28,1,CA1-CA3,1,10,10,0,0.02893,1,0.00498,0.12582,3121,5,20.047,20.052,127
28,1,CA1-CA3,2,10,10,0,0.04455,1,0.00498,0.07903,3121,5,20.047,20.052,127
28,1,CA1-CA3,3,10,10,0,0.0595,1,0.00498,0.04697,3121,5,20.047,20.052,127
28,1,CA1-CA3,4,10,10,0,-0.00992,1,0.00498,0.03794,3121,5,20.047,20.052,127
28,1,CA1-CA3,5,10,10,0,-0.00983,1,0.00498,0.03739,3121,5,20.047,20.052,127
28,1,CA1-CA3,6,10,10,0,0.01822,1,0.00498,0.03389,3121,5,20.047,20.052,127
28,1,CA1-CA3,7,10,10,0,0.0168,1,0.00498,0.02226,3121,5,20.047,20.052,127
28,1,CA1-CA3,8,10,10,0,0.01303,1,0.00498,0.018,3121,5,20.047,20.052,127
28,1,CA1-CA3,9,10,10,0,0.03734,1,0.00498,0.01572,3121,5,20.047,20.052,127
28,1,CA1-CA3,10,10,10,0,0.02135,1,0.00498,0.0109,3121,5,20.047,20.052,127
28,1,CA1-CA3,1,10,10,2,0.04377,1,0.00498,0.12582,2612,5,21.246,21.762,127
28,1,CA1-CA3,2,10,10,2,0.05372,1,0.00498,0.07903,2612,5,21.246,21.762,127
28,1,CA1-CA3,3,10,10,2,0.06895,1,0.00498,0.04697,2612,5,21.246,21.762,127
28,1,CA1-CA3,4,10,10,2,-0.01105,1,0.00498,0.03794,2612,5,21.246,21.762,127
28,1,CA1-CA3,5,10,10,2,-0.01408,1,0.00498,0.03739,2612,5,21.246,21.762,127
28,1,CA1-CA3,6,10,10,2,0.02758,1,0.00498,0.03389,2612,5,21.246,21.762,127
28,1,CA1-CA3,7,10,10,2,0.02143,1,0.00498,0.02226,2612,5,21.246,21.762,127
28,1,CA1-CA3,8,10,10,2,0.01502,1,0.00498,0.018,2612,5,21.246,21.762,127
28,1,CA1-CA3,9,10,10,2,0.03821,1,0.00498,0.01572,2612,5,21.246,21.762,127
28,1,CA1-CA3,10,10,10,2,0.0265,1,0.00498,0.0109,2612,5,21.246,21.762,127
28,1,CA1-DG,1,1,1,0,0.19246,1,0.00498,0.19743,2626,3,19.131,19.779,127
28,1,CA1-DG,2,1,1,0,0.10098,1,0.00498,0.12473,2626,3,19.131,19.779,127
28,1,CA1-DG,3,1,1,0,0.02398,1,0.00498,0.05848,2626,3,19.131,19.779,127
28,1,CA1-DG,4,1,1,0,-0.01372,1,0.00498,0.04447,2626,3,19.131,19.779,127
28,1,CA1-DG,5,1,1,0,-0.00049,1,0.00498,0.03646,2626,3,19.131,19.779,127
