pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
CA3-DG,5,7,70,5,0.11144950009041543,1.3300443331670146,0.25427378928721023
CA3-DG,5,8,80,5,0.11898424725544146,1.5360023048034737,0.19934088270064512
CA3-DG,5,9,90,5,0.08994191999523707,1.5127551477164056,0.2048891818034385
CA3-DG,5,10,100,5,0.08094865063846848,1.1501093507417697,0.31418158350486447
CA3-DG,5,11,110,5,0.055655493893643646,1.3539192966342193,0.24720372933131848
CA3-DG,5,12,120,5,0.04556267561709168,1.2153633700810635,0.29105452913792085
CA3-DG,5,13,130,5,-0.014122010257014723,-0.2896504896182715,0.78647736822349
CA3-DG,5,14,140,5,0.00043448472824014485,0.006828272458730855,0.9948788454007
CA3-DG,5,15,150,5,0.011718794370569075,0.16956088371585853,0.873585355290146
CA3-DG,5,16,160,5,-0.005963141891441251,-0.0973136243589918,0.927158417554199
CA3-DG,5,17,170,5,0.011707591649404245,0.22348171311263776,0.8341101507145137
CA3-DG,5,18,180,5,0.02020848889449173,0.3434719443429656,0.7485372941450436
CA3-DG,5,19,190,5,0.018531743288873623,0.3102829993533969,0.771840358544956
CA3-DG,5,20,200,5,0.02032305181824352,0.31365350903755856,0.7694599264775663
CA3-DG,5,21,210,5,0.009060027265444939,0.19171928663571358,0.8573010911998811
CA3-DG,5,22,220,5,0.00976138925514399,0.1853492918457946,0.861974071294846
CA3-DG,5,23,230,5,0.024482771038593122,0.6051506468275103,0.5777324091124734
CA3-DG,5,24,240,5,0.01702531849783502,0.34368244049461966,0.7483904936211683
CA3-DG,5,25,250,5,-0.0027850856255523552,-0.041081713059314795,0.9691995438302226
CA3-DG,6,1,10,5,-0.04965355121079442,-0.3454199685269325,0.7471792304436042
CA3-DG,6,2,20,5,-0.16811906787742695,-1.9322452044259453,0.12549096112536534
CA3-DG,6,3,30,5,-0.109266573863356,-1.5256302637379116,0.201797134668113
CA3-DG,6,4,40,5,-0.11479954660238625,-0.9654895328111083,0.38897396434911924
CA3-DG,6,5,50,5,-0.12175118966710108,-1.0667993134271587,0.3461710994316881
CA3-DG,6,6,60,5,-0.08005099000687123,-0.694439814588539,0.525630741324175
CA3-DG,6,7,70,5,-0.054606183369728736,-0.49246643669833773,0.6481962502898456
CA3-DG,6,8,80,5,-0.0010185781950903029,-0.008240683174731608,0.9938195750572978
CA3-DG,6,9,90,5,0.019547754313521466,0.15506521987622832,0.8842800216566594
CA3-DG,6,10,100,5,0.05930441958042417,0.4924862122359423,0.6481834483292654
CA3-DG,6,11,110,5,0.031534707863960405,0.278167202805334,0.7946707604399686
CA3-DG,6,12,120,5,0.009032747673631002,0.0980952499231038,0.9265756814316257
CA3-DG,6,13,130,5,0.012299761977547823,0.13519463952141836,0.89898827572481
CA3-DG,6,14,140,5,-0.006523271303624267,-0.06533522151861743,0.9510421125686244
CA3-DG,6,15,150,5,0.023790687663564132,0.24216488157884322,0.8205616887506078
CA3-DG,6,16,160,5,0.0232266673303856,0.26161070543946663,0.8065402213074669
CA3-DG,6,17,170,5,-0.005443679711278631,-0.0643597591235727,0.9517717900431203
CA3-DG,6,18,180,5,-0.009644069864532454,-0.10809352964648526,0.9191265912017154
CA3-DG,6,19,190,5,-0.015631645750676444,-0.14715771527610252,0.8901268303239525
CA3-DG,6,20,200,5,-0.008499309397914248,-0.08177168935728213,0.9387565169391395
CA3-DG,6,21,210,5,-0.010718700849760846,-0.10138358580470157,0.9241246982316134
CA3-DG,6,22,220,5,-0.0008136352526746909,-0.008075015246184244,0.9939438208355793
CA3-DG,6,23,230,5,0.00301201367589915,0.03254132844924763,0.9755993864248086
CA3-DG,6,24,240,5,-0.019214389132116188,-0.21423021954492316,0.8408453035416883
CA3-DG,6,25,250,5,-0.006242229319111855,-0.07082369055704739,0.9469376671066879
RSC-SUB,1,1,10,7,-0.10617605912747725,-1.0382621209937304,0.3391673048996393
RSC-SUB,1,2,20,7,-0.0114763180876182,-0.09768696665733188,0.925362444955886
RSC-SUB,1,3,30,7,0.02300840637296422,0.19479133589135716,0.8519847240345897
RSC-SUB,1,4,40,7,0.040081934980841186,0.3316419327747177,0.7514374460281759
RSC-SUB,1,5,50,7,0.07498368344347887,0.7839771207363678,0.46287058721936647
RSC-SUB,1,6,60,7,0.08440947019358278,1.0024684053920998,0.3548174317720794
RSC-SUB,1,7,70,7,0.07885144439093968,1.134224733517168,0.2999737027876349
RSC-SUB,1,8,80,7,0.0461942693275759,0.7397331092376189,0.48738454074707394
RSC-SUB,1,9,90,7,0.023580690594141418,0.399843094129401,0.7031177726317924
RSC-SUB,1,10,100,7,0.03443164539004076,0.7304707422675054,0.49262738966875663
RSC-SUB,1,11,110,7,0.020740817159951203,0.4112239483156568,0.6951928349493255
RSC-SUB,1,12,120,7,0.0226086749272138,0.47064281589840873,0.6545180962329984
RSC-SUB,1,13,130,7,0.02027120057943216,0.45827813224415953,0.6628821145980883
RSC-SUB,1,14,140,7,0.020327835115085405,0.4289311506482272,0.6829463849623447
RSC-SUB,1,15,150,7,0.016955824530529802,0.3506968509807975,0.7378003732515772
RSC-SUB,1,16,160,7,0.017164257198190758,0.3436697539374163,0.7428176374887483
RSC-SUB,1,17,170,7,0.027018440507843983,0.6078572802739661,0.5655641545852653
RSC-SUB,1,18,180,7,0.026702197827556663,0.6124160123404103,0.5627375172941594
RSC-SUB,1,19,190,7,0.031616622993252415,0.7620288349016802,0.4749214539138811
RSC-SUB,1,20,200,7,0.03086293112348968,0.7587060828136645,0.47676471863514147
RSC-SUB,1,21,210,7,0.03389044480022284,0.8405918474097366,0.43279166415855097
RSC-SUB,1,22,220,7,0.0478292481899284,1.256549965532367,0.25562191733054734
