family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tune,CA1-V1 V1,intermediate-naive,10,0.1457,0.30158,0.23242
pair,rho_contrib_conn_tune,CA1-V1 V1,expert-intermediate,10,0.0199,0.49467,1.0
pair,rho_contrib_conn_tune,CA3-DG CA3,expert-naive,4,-0.035,0.92691,0.875
pair,rho_contrib_conn_tune,CA3-DG CA3,intermediate-naive,4,0.0436,0.54489,0.875
pair,rho_contrib_conn_tune,CA3-DG CA3,expert-intermediate,4,0.0754,0.47452,0.875
pair,rho_contrib_conn_tune,CA3-DG DG,expert-naive,4,-0.0395,0.68182,1.0
pair,rho_contrib_conn_tune,CA3-DG DG,intermediate-naive,4,-0.1638,0.71998,0.875
pair,rho_contrib_conn_tune,CA3-DG DG,expert-intermediate,4,0.1889,0.15411,0.25
pair,rho_contrib_conn_tune,RSC-SUB RSC,expert-naive,4,-0.0423,0.61359,0.625
pair,rho_contrib_conn_tune,RSC-SUB RSC,intermediate-naive,4,-0.2378,0.08858,0.125
pair,rho_contrib_conn_tune,RSC-SUB RSC,expert-intermediate,4,0.1206,0.21376,0.25
pair,rho_contrib_conn_tune,RSC-SUB SUB,expert-naive,4,0.3712,0.57589,0.625
pair,rho_contrib_conn_tune,RSC-SUB SUB,intermediate-naive,4,0.1811,0.52556,0.625
pair,rho_contrib_conn_tune,RSC-SUB SUB,expert-intermediate,4,0.1091,0.74344,0.875
pair,rho_contrib_conn_tune,V1-RSC V1,expert-naive,6,0.1261,0.90134,0.84375
pair,rho_contrib_conn_tune,V1-RSC V1,intermediate-naive,6,0.2186,0.02145,0.03125
pair,rho_contrib_conn_tune,V1-RSC V1,expert-intermediate,6,-0.0735,0.39531,0.6875
pair,rho_contrib_conn_tune,V1-RSC RSC,expert-naive,6,-0.1375,0.59093,0.6875
pair,rho_contrib_conn_tune,V1-RSC RSC,intermediate-naive,6,-0.0616,0.95761,1.0
pair,rho_contrib_conn_tune,V1-RSC RSC,expert-intermediate,6,-0.0725,0.55866,0.84375
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,expert-naive,7,0.03,0.70879,0.6875
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,intermediate-naive,7,-0.0595,0.62292,0.6875
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,expert-intermediate,7,0.0853,0.40156,0.46875
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,expert-naive,7,-0.0336,0.58753,0.9375
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,intermediate-naive,7,-0.2076,0.22268,0.21875
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,expert-intermediate,7,0.174,0.85528,0.57812
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,expert-naive,8,0.084,0.36362,0.46094
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,intermediate-naive,8,0.0066,0.3816,0.54688
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,expert-intermediate,8,0.016,0.96753,0.94531
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,expert-naive,8,-0.1713,0.1475,0.3125
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,intermediate-naive,8,-0.0497,0.23582,0.38281
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,expert-intermediate,8,-0.2027,0.14109,0.19531
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,expert-naive,8,0.0721,0.3642,0.74219
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,intermediate-naive,8,-0.1695,0.137,0.10938
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,expert-intermediate,8,0.0147,0.76119,1.0
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,expert-naive,8,-0.1288,0.6775,0.54688
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,intermediate-naive,8,0.0406,0.36468,0.74219
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,expert-intermediate,8,-0.0646,0.28909,0.25
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,expert-naive,4,0.0001,0.77282,0.875
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,intermediate-naive,4,0.0171,0.95387,1.0
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,expert-intermediate,4,0.053,0.52067,0.875
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,expert-naive,4,0.1236,0.15939,0.25
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,intermediate-naive,4,0.256,0.38585,0.375
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,expert-intermediate,4,-0.1324,0.82493,0.875
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,expert-naive,10,0.0229,0.36693,0.43164
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,intermediate-naive,10,0.1194,0.04101,0.04883
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,expert-intermediate,10,-0.0307,0.74641,0.76953
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,expert-naive,10,0.0396,0.83065,0.375
