animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-V1,43.0,0.3088,0.3746,-26.0,14000,0.1734,0,0.0,-0.0134,-3,0.2281,0.3753,0.2706,0.4271,nan,nan,0.1658,0.1861,62.21,69.15,35.44,30.11,0.3333,0.44,83.2,62.93,85.55,62.03
28,1,CA1-V1,48.0,0.3456,0.3465,-21.0,14000,0.1516,0,0.0,0.0007,0,0.1826,0.3355,0.2475,0.3498,nan,nan,0.1574,0.1838,63.41,61.0,35.33,27.67,0.4545,0.44,66.99,60.87,77.94,39.56
28,1,CA1-V1,53.0,0.3824,0.3593,-16.0,14000,0.1341,0,0.0,-0.0212,-3,0.1912,0.3564,0.3408,0.4076,nan,nan,0.1836,0.1757,60.19,63.41,52.36,47.51,0.3333,0.44,89.79,84.3,87.9,51.95
28,1,CA1-V1,58.0,0.4191,0.3158,-11.0,14000,0.0922,0,0.0,0.0253,1,0.1796,0.3616,0.1939,0.3707,nan,nan,0.1359,0.1584,73.19,63.26,45.42,37.29,0.4545,0.5652,77.13,85.4,56.42,61.23
28,1,CA1-V1,63.0,0.4559,0.3796,-6.0,14000,0.141,0,0.0,-0.0172,-4,0.2042,0.3529,0.2588,0.3725,nan,nan,0.1547,0.1483,83.97,71.44,50.25,41.1,0.6,0.3333,85.79,82.83,71.9,40.83
28,1,CA1-V1,68.0,0.4926,0.476,-1.0,14000,0.1059,0,0.0,0.0224,3,0.1448,0.3321,0.2501,0.3742,nan,nan,0.118,0.1561,71.52,68.44,30.1,36.23,0.4545,0.2,75.21,87.2,58.17,59.56
28,1,CA1-V1,73.0,0.5294,0.5182,4.0,14000,0.2138,1,0.0234,-0.0287,-3,0.1977,0.3547,0.2914,0.4213,0.4251,0.5315,0.1328,0.1323,63.94,66.18,51.99,46.21,0.4545,0.2857,82.03,87.6,37.44,38.41
28,1,CA1-V1,78.0,0.5662,0.6613,9.0,14000,0.1796,0,0.0,0.0071,0,0.1848,0.3114,0.1959,0.3211,nan,nan,0.1587,0.1701,82.8,84.02,69.42,50.47,0.7778,0.6364,85.19,87.48,80.8,74.12
28,1,CA1-V1,83.0,0.6029,0.7651,14.0,16000,0.2809,4,0.0971,0.0014,2,0.7163,0.3316,0.6287,0.3484,0.5654,0.3788,0.1645,0.1466,84.85,67.05,55.2,39.01,0.6,0.3846,76.34,86.98,56.91,43.84
28,1,CA1-V1,88.0,0.6397,0.9155,19.0,14000,0.1449,0,0.0,0.0159,2,0.1539,0.2879,0.2783,0.337,nan,nan,0.1544,0.1744,89.42,57.72,49.71,25.11,0.2308,0.5,86.04,82.01,40.12,56.69
28,1,CA1-V1,93.0,0.6765,0.9833,24.0,14000,0.1517,0,0.0,-0.0004,3,0.1874,0.3078,0.2753,0.3422,nan,nan,0.1459,0.1593,86.52,83.64,30.98,34.84,0.6,0.44,80.9,89.0,49.54,49.57
28,1,CA1-V1,98.0,0.7132,1.0,29.0,14000,0.1626,0,0.0,-0.001,-3,0.207,0.3311,0.3183,0.3753,nan,nan,0.1378,0.1494,76.81,88.14,34.94,34.06,0.6,0.3846,73.02,80.95,42.02,47.28
28,1,CA1-V1,103.0,0.75,0.9333,34.0,14000,0.297,6,0.1532,-0.029,-5,0.2673,0.3192,0.3013,0.3421,0.3117,0.379,0.1375,0.1526,75.35,81.65,30.91,34.86,0.7778,0.3333,72.16,80.69,75.77,84.08
28,1,CA1-V1,108.0,0.7868,0.8565,39.0,14000,0.2083,1,0.0222,0.0138,0,0.274,0.2925,0.4091,0.3676,0.4928,0.5167,0.161,0.1567,81.59,80.8,40.92,31.32,0.7778,0.44,84.65,86.77,44.05,44.28
28,1,CA1-V1,113.0,0.8235,0.7989,44.0,18000,0.0904,0,0.0,-0.0055,0,0.2434,0.3498,0.349,0.3356,nan,nan,0.1227,0.1444,87.84,87.13,86.83,46.46,0.4545,0.2,76.56,80.05,60.22,56.5
28,1,CA1-V1,118.0,0.8603,0.7434,49.0,16000,0.0539,0,0.0,-0.008,-4,0.2406,0.3499,0.278,0.333,nan,nan,0.1044,0.1336,79.5,89.92,46.93,48.66,0.4545,0.3846,88.23,87.96,57.38,61.3
28,1,CA1-V1,123.0,0.8971,0.7314,54.0,14000,0.1067,2,0.0625,-0.0147,-4,0.33,0.3127,0.3833,0.3226,0.4697,0.4062,0.1806,0.1505,80.71,83.17,53.9,57.07,0.7778,0.2414,62.22,77.46,46.38,46.58
28,1,CA1-V1,128.0,0.9338,0.6867,59.0,14000,0.1987,7,0.1313,0.0395,0,0.2945,0.3267,0.2821,0.3134,0.2958,0.337,0.1288,0.1398,70.36,65.99,61.37,49.82,0.7778,0.2,82.57,73.38,84.53,61.93
28,1,CA3-DG,8.0,0.0515,0.0162,-61.0,16000,0.507,3,0.1763,-0.0167,0,0.6526,0.2409,0.5581,0.4779,0.5139,0.3655,0.7327,0.4887,nan,nan,nan,nan,,,89.71,46.11,65.83,10.24
28,1,CA3-DG,13.0,0.0882,0.0162,-56.0,16000,0.5287,3,0.1823,-0.0096,0,0.6558,0.2338,0.6455,0.5275,0.6077,0.4611,0.7618,0.5646,71.49,32.71,9.64,13.1,0.0,0.6,79.73,52.29,22.66,6.3
