animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
73,1,CA1-V1,naive,17532,0.1709,1,0.0148,-0.0199,0,0.2745,0.3863
73,1,CA1-V1,intermediate,10760,0.1318,1,0.0088,-0.007,0,0.2091,0.1263
73,1,CA1-V1,expert,9584,0.1071,0,0.0,-0.0034,0,0.1929,0.1616
73,1,CA1-SUB,naive,17532,0.0815,1,0.0033,-0.0129,0,0.2922,0.2184
73,1,CA1-SUB,intermediate,10760,0.1114,3,0.0209,-0.025,0,0.2104,0.1473
73,1,CA1-SUB,expert,9584,0.0906,0,0.0,-0.0125,0,0.1986,0.1369
73,1,RSC-SUB,naive,17532,0.1408,2,0.0195,-0.0203,0,0.5302,0.2182
73,1,RSC-SUB,intermediate,10760,0.1208,1,0.0073,0.0029,0,0.4213,0.1474
73,1,RSC-SUB,expert,9584,0.1502,1,0.0114,-0.0137,0,0.4175,0.1367
73,1,V1-RSC,naive,17532,0.1079,3,0.0144,0.0541,2,0.3877,0.5286
73,1,V1-RSC,intermediate,10760,0.2378,1,0.0291,0.0292,2,0.1264,0.4145
73,1,V1-RSC,expert,9584,0.2826,1,0.0416,-0.0135,0,0.1628,0.4155
75,1,CA1-RSC,naive,10238,0.0938,0,0.0,0.0587,2,0.2119,0.6137
75,1,CA1-RSC,intermediate,10850,0.1636,1,0.0136,0.04,0,0.2261,0.5167
75,1,CA1-RSC,expert,10269,0.1988,1,0.0202,0.0304,0,0.177,0.4925
75,1,CA1-DG,naive,10238,0.2654,1,0.0365,-0.0385,0,0.2126,0.5026
75,1,CA1-DG,intermediate,10850,0.2351,1,0.0284,0.0062,0,0.2299,0.5322
75,1,CA1-DG,expert,10269,0.2106,1,0.0227,0.0213,0,0.1756,0.5678
75,1,CA1-V1,naive,10238,0.0652,0,0.0,-0.0337,0,0.2121,0.2973
75,1,CA1-V1,intermediate,10850,0.0979,0,0.0,0.0059,0,0.2245,0.2484
75,1,CA1-V1,expert,10269,0.0731,0,0.0,-0.0064,0,0.1759,0.2642
75,1,CA1-SUB,naive,10238,0.1562,2,0.0185,-0.0017,0,0.2125,0.1716
75,1,CA1-SUB,intermediate,10850,0.1283,1,0.0083,-0.0195,0,0.2209,0.1722
75,1,CA1-SUB,expert,10269,0.161,1,0.0131,0.031,0,0.1763,0.1956
75,1,RSC-SUB,naive,10238,0.149,3,0.0274,-0.003,0,0.6082,0.172
75,1,RSC-SUB,intermediate,10850,0.3161,4,0.0997,0.0091,0,0.5117,0.1735
75,1,RSC-SUB,expert,10269,0.3192,4,0.1008,0.0167,0,0.4923,0.1914
75,1,V1-RSC,naive,10238,0.3432,2,0.0804,-0.0045,0,0.2915,0.6029
