animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
68,CA3,naive,CA1-CA3,CA3-DG,10,0.7696969696969697,0.9878787878787878,0.57728855754807,1.0,0.8235294117647058
68,DG,expert,CA1-DG,CA3-DG,24,0.8739130434782607,0.7121739130434783,0.8086851670128127,0.7142857142857143,0.5714285714285714
68,DG,intermediate,CA1-DG,CA3-DG,24,0.7739130434782608,0.5330434782608695,0.5546061068477844,0.7142857142857143,0.5714285714285714
68,DG,naive,CA1-DG,CA3-DG,24,0.7721739130434783,0.8130434782608694,0.69625127491001,0.7142857142857143,0.5714285714285714
73,CA1,expert,CA1-DG,CA1-RSC,22,0.6103896103896105,1.0,-0.13933744910179993,0.3333333333333333,0.17543859649122803
73,CA1,expert,CA1-DG,CA1-SUB,22,0.6928289102202146,1.0,0.2613577588147049,0.5,0.3421052631578947
73,CA1,expert,CA1-DG,CA1-V1,22,0.40271111461848036,0.9830604178430267,0.15484249881033088,0.2,0.04210526315789473
73,CA1,expert,CA1-RSC,CA1-SUB,22,0.7131564088085828,1.0,0.21698270568656158,0.7142857142857143,0.556390977443609
73,CA1,expert,CA1-RSC,CA1-V1,22,0.5026828779950175,0.9830604178430267,0.30410374175055865,0.5,0.3421052631578947
73,CA1,expert,CA1-SUB,CA1-V1,22,0.5591641002416488,0.9830604178430267,0.4234235826941449,0.5,0.3421052631578947
73,CA1,intermediate,CA1-DG,CA1-RSC,22,0.2930547713156409,1.0,0.14913495947765398,0.09090909090909091,-0.06698564593301437
73,CA1,intermediate,CA1-DG,CA1-SUB,22,0.37323546019198195,1.0,0.32956290173404523,0.2,0.04210526315789473
73,CA1,intermediate,CA1-DG,CA1-V1,22,0.25804630152456237,0.9864483342744214,0.014564808135767259,0.09090909090909091,-0.06698564593301437
73,CA1,intermediate,CA1-RSC,CA1-SUB,22,0.7120271033314512,1.0,0.7114346688762121,0.7142857142857143,0.556390977443609
73,CA1,intermediate,CA1-RSC,CA1-V1,22,0.575381140598532,0.9864483342744214,0.43771912380620126,0.3333333333333333,0.17543859649122803
73,CA1,intermediate,CA1-SUB,CA1-V1,22,0.5155279503105591,0.9864483342744214,0.5303234931484501,0.3333333333333333,0.17543859649122803
73,CA1,naive,CA1-DG,CA1-RSC,22,0.7447769621682666,1.0,0.5401180298060134,0.3333333333333333,0.17543859649122803
73,CA1,naive,CA1-DG,CA1-SUB,22,0.7549407114624508,1.0,0.6230786421268342,0.3333333333333333,0.17543859649122803
73,CA1,naive,CA1-DG,CA1-V1,22,0.7278373800112932,0.9774138904573689,0.4434191963789546,0.7142857142857143,0.556390977443609
73,CA1,naive,CA1-RSC,CA1-SUB,22,0.6860530773574253,1.0,0.5223327011457483,0.5,0.3421052631578947
73,CA1,naive,CA1-RSC,CA1-V1,22,0.6352343308865049,0.9774138904573689,0.328129924894357,0.5,0.3421052631578947
73,CA1,naive,CA1-SUB,CA1-V1,22,0.6024844720496896,0.9774138904573689,0.32255346633977483,0.5,0.3421052631578947
73,RSC,expert,CA1-RSC,RSC-SUB,56,0.9596035543403965,0.9995215311004786,0.3391883655560432,0.6470588235294118,0.5042016806722689
73,RSC,expert,CA1-RSC,V1-RSC,56,0.8762132604237868,0.9846889952153113,0.08361245112994721,0.47368421052631576,0.3308270676691729
73,RSC,expert,RSC-SUB,V1-RSC,56,0.8595352016404649,0.9844839371155162,0.11662776935338731,0.4,0.2571428571428572
73,RSC,intermediate,CA1-RSC,RSC-SUB,56,0.8395222065854351,0.9996582365003419,0.028765371047099662,0.3333333333333333,0.19047619047619047
73,RSC,intermediate,CA1-RSC,V1-RSC,56,0.7991797676008203,0.9884483937115517,0.071569362325033,0.2727272727272727,0.12987012987012986
73,RSC,intermediate,RSC-SUB,V1-RSC,56,0.9142671612264686,0.9899521531100479,0.5340060058720014,0.6470588235294118,0.5042016806722689
73,RSC,naive,CA1-RSC,RSC-SUB,56,0.9503759398496241,0.9990430622009571,0.6657525682842039,0.6470588235294118,0.5042016806722689
73,RSC,naive,CA1-RSC,V1-RSC,56,0.9196828331698362,0.9922077922077923,0.4846065006956059,0.6470588235294118,0.5042016806722689
73,RSC,naive,RSC-SUB,V1-RSC,56,0.9264158042254108,0.9919343814080654,0.46599424265698697,0.5555555555555556,0.41269841269841273
73,SUB,expert,CA1-SUB,RSC-SUB,27,0.742979242979243,0.9963369963369964,0.12490550495799263,0.4,0.25106382978723407
73,SUB,intermediate,CA1-SUB,RSC-SUB,27,0.3076923076923077,0.9987789987789988,0.21467665856433654,0.16666666666666666,0.017730496453900707
73,SUB,naive,CA1-SUB,RSC-SUB,27,0.788156288156288,0.9987789987789988,0.6251279969007395,0.5555555555555556,0.40661938534278963
73,V1,expert,CA1-V1,V1-RSC,18,0.5892672858617131,1.0,0.586105785683543,0.42857142857142855,0.26728110599078336
73,V1,intermediate,CA1-V1,V1-RSC,18,0.5025799793601652,1.0,0.5929088536756967,0.42857142857142855,0.26728110599078336
73,V1,naive,CA1-V1,V1-RSC,18,0.6594427244582043,1.0,0.5420862427718746,0.6666666666666666,0.5053763440860215
75,CA1,expert,CA1-DG,CA1-RSC,21,0.007792207792207793,0.9974025974025975,0.008312676479859612,0.09090909090909091,-0.07575757575757575
75,CA1,expert,CA1-DG,CA1-SUB,21,0.6519480519480519,0.9987012987012988,0.603549846771264,0.3333333333333333,0.16666666666666666
75,CA1,expert,CA1-DG,CA1-V1,21,0.21688311688311687,0.9974025974025975,0.1931593703223157,0.2,0.033333333333333354
75,CA1,expert,CA1-RSC,CA1-SUB,21,-0.08311688311688312,0.9987012987012988,-0.08858808952233949,0.2,0.033333333333333354
75,CA1,expert,CA1-RSC,CA1-V1,21,0.512987012987013,1.0,0.5155076308673031,0.2,0.033333333333333354
