metric,pair,matched,window_bins,mean,sem,count
ifi_cc1,CA1-CA3,2,2,0.0003784591330116025,0.047571045541045215,9
ifi_cc1,CA1-CA3,2,3,-0.01457954454604984,0.05390007940274209,9
ifi_cc1,CA1-CA3,2,4,-0.02089182084589269,0.0569390899603834,9
ifi_cc1,CA1-CA3,2,5,-0.024843860821053346,0.05855462053046369,9
ifi_cc1,CA1-CA3,2,6,-0.02524766866230182,0.05875790579565934,9
ifi_cc1,CA1-CA3,2,7,-0.025247668662301836,0.05875790579565937,9
ifi_cc1,CA1-CA3,2,8,-0.025247668662301808,0.058757905795659364,9
ifi_cc1,CA1-CA3,2,9,-0.046405820530379116,0.0557005750456598,9
ifi_cc1,CA1-CA3,2,10,-0.045757558362662494,0.05495632953591082,9
ifi_cc1,CA1-CA3,2,11,-0.0562784878518476,0.05865387434566005,9
ifi_cc1,CA1-CA3,2,12,-0.05453431705656006,0.04368492336593643,9
ifi_cc1,CA1-CA3,2,13,-0.05753797460670418,0.03411520313390842,9
ifi_cc1,CA1-CA3,2,14,-0.058600860657302224,0.02973813210590452,9
ifi_cc1,CA1-CA3,2,15,-0.04900901323721188,0.027210734665542764,9
ifi_cc1,CA1-CA3,2,16,-0.04741135004709808,0.03195907871821555,9
ifi_cc1,CA1-CA3,2,17,-0.0455405696340849,0.03752188548426263,9
ifi_cc1,CA1-CA3,2,18,-0.0430991933225582,0.03977574657307336,9
ifi_cc1,CA1-CA3,2,19,-0.04388103090750868,0.043206819992103435,9
ifi_cc1,CA1-CA3,2,20,-0.04472128604900086,0.0453622004868833,9
ifi_cc1,CA1-CA3,2,21,-0.04575683375090425,0.04604727228169186,9
ifi_cc1,CA1-CA3,2,22,-0.04654919070398225,0.045656035744202905,9
ifi_cc1,CA1-CA3,2,23,-0.04893273743669686,0.043717169971640484,9
ifi_cc1,CA1-CA3,2,24,-0.042015921352446015,0.041503996273603364,9
ifi_cc1,CA1-CA3,2,25,-0.03406029681693788,0.04518739576835185,9
ifi_cc1,CA1-DG,0,1,0.02637434393856709,0.0807078302852993,10
ifi_cc1,CA1-DG,0,2,0.09056262566635195,0.0635955414594724,10
ifi_cc1,CA1-DG,0,3,0.09800377442978181,0.06586789770838418,10
ifi_cc1,CA1-DG,0,4,0.11542124024977274,0.06901530190075611,10
ifi_cc1,CA1-DG,0,5,0.11461758279896055,0.0704626930646058,10
ifi_cc1,CA1-DG,0,6,0.11461758279896055,0.0704626930646058,10
ifi_cc1,CA1-DG,0,7,0.12005808431021096,0.0680910423976657,10
ifi_cc1,CA1-DG,0,8,0.14060877222627333,0.06268400985004102,10
ifi_cc1,CA1-DG,0,9,0.16183696976348022,0.05883843323860912,10
ifi_cc1,CA1-DG,0,10,0.17418307723066573,0.04748788576161783,10
ifi_cc1,CA1-DG,0,11,0.14345223466442922,0.05098430725195777,10
ifi_cc1,CA1-DG,0,12,0.10246502194035038,0.044985881074955575,10
ifi_cc1,CA1-DG,0,13,0.0610059222664142,0.03167240468374256,10
ifi_cc1,CA1-DG,0,14,0.030183612550050688,0.02383424657574304,10
ifi_cc1,CA1-DG,0,15,0.023867833159960643,0.022262346639698206,10
ifi_cc1,CA1-DG,0,16,0.02261808042516871,0.020836335371486703,10
ifi_cc1,CA1-DG,0,17,0.03024459652655508,0.022557038596717142,10
ifi_cc1,CA1-DG,0,18,0.04142691149148615,0.025246311552880433,10
ifi_cc1,CA1-DG,0,19,0.04651090843498506,0.027884134579362813,10
ifi_cc1,CA1-DG,0,20,0.049330333114863026,0.029024434723816384,10
ifi_cc1,CA1-DG,0,21,0.05618073891381174,0.03099254451667383,10
ifi_cc1,CA1-DG,0,22,0.0634979646003466,0.03450180933549101,10
ifi_cc1,CA1-DG,0,23,0.069471451184996,0.03921841127425948,10
