animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
61,1,V1-RSC,10,10,2675,0.2267,0.0085,0,0.5172,0.4968
63,1,CA1-RSC,1,1,3566,0.0592,-0.5325,-1,0.632,0.4688
63,1,CA1-RSC,2,2,2965,0.0698,-0.5699,-2,0.7041,0.4464
63,1,CA1-RSC,4,4,3147,0.0522,-0.7091,-2,0.6365,0.4792
63,1,CA1-RSC,7,7,3022,0.0516,-0.4704,-1,0.6382,0.4782
63,1,CA1-RSC,10,10,3051,0.0293,-0.4456,-2,0.6337,0.5058
66,1,CA1-RSC,1,1,4025,0.0393,-0.0468,0,0.5982,0.535
66,1,CA1-RSC,2,2,2880,0.0485,0.1276,-10,0.5687,0.4572
66,1,CA1-RSC,4,4,2439,0.0578,0.0223,-3,0.5571,0.4002
66,1,CA1-RSC,7,7,3016,0.0572,-0.0441,10,0.4963,0.4237
66,1,CA1-RSC,10,10,2424,0.0711,-0.0079,10,0.5809,0.4689
66,1,CA1-DG,1,1,4025,0.2385,0.4786,0,0.6392,0.4952
66,1,CA1-DG,2,2,2880,0.2747,0.0257,0,0.6268,0.5061
66,1,CA1-DG,4,4,2439,0.2453,0.1204,0,0.6157,0.505
66,1,CA1-DG,7,7,3016,0.2485,0.1305,0,0.5333,0.4998
66,1,CA1-DG,10,10,2424,0.3303,-0.2123,0,0.5774,0.5017
66,1,CA1-V1,1,1,4025,0.073,0.2829,8,0.5127,0.4765
66,1,CA1-V1,2,2,2880,0.0675,-0.3313,-2,0.5118,0.4484
66,1,CA1-V1,4,4,2439,0.0613,0.1734,1,0.5049,0.5056
66,1,CA1-V1,7,7,3016,0.0433,-0.0461,-6,0.4863,0.4555
66,1,CA1-V1,10,10,2424,0.0476,-0.3847,-7,0.5328,0.4813
66,1,CA1-SUB,1,1,4025,0.0706,0.2577,0,0.5248,0.5623
66,1,CA1-SUB,2,2,2880,0.0671,-0.003,-4,0.5058,0.5446
66,1,CA1-SUB,4,4,2439,0.0366,-0.285,-4,0.5412,0.5667
66,1,CA1-SUB,7,7,3016,0.1091,0.1413,0,0.5322,0.4861
66,1,CA1-SUB,10,10,2424,0.0962,-0.1617,0,0.5125,0.4857
66,1,RSC-SUB,1,1,4025,0.056,-0.3923,-2,0.4515,0.3953
66,1,RSC-SUB,2,2,2880,0.0342,-0.0329,-2,0.3983,0.4329
66,1,RSC-SUB,4,4,2439,0.0518,0.0691,-1,0.4275,0.377
66,1,RSC-SUB,7,7,3016,0.0331,0.0431,4,0.4601,0.3763
66,1,RSC-SUB,10,10,2424,0.0526,0.141,-1,0.518,0.3743
66,1,V1-RSC,1,1,4025,0.1522,0.0411,4,0.354,0.6312
66,1,V1-RSC,2,2,2880,0.1032,-0.0234,0,0.3967,0.5715
66,1,V1-RSC,4,4,2439,0.1007,-0.0942,-2,0.3852,0.5605
66,1,V1-RSC,7,7,3016,0.0519,-0.0367,3,0.4229,0.5294
66,1,V1-RSC,10,10,2424,0.0698,-0.1976,2,0.323,0.5357
68,1,CA1-RSC,1,1,3232,0.0375,0.0915,-3,0.344,0.4787
68,1,CA1-RSC,2,2,2667,-0.0012,-0.0995,-9,0.3247,0.5236
68,1,CA1-RSC,4,4,2417,0.0139,-0.1044,7,0.3402,0.5224
68,1,CA1-RSC,7,7,2075,0.0203,-0.3179,4,0.3555,0.4855
68,1,CA1-RSC,10,10,2119,0.0338,-0.2633,-6,0.3474,0.5201
68,1,CA1-CA3,1,1,3232,0.3801,0.4055,0,0.7043,0.6957
68,1,CA1-CA3,2,2,2667,0.4103,0.3148,0,0.6752,0.5854
68,1,CA1-CA3,4,4,2417,0.3728,0.2865,0,0.6861,0.6588
68,1,CA1-CA3,7,7,2075,0.4198,0.2588,0,0.7056,0.7171
68,1,CA1-CA3,10,10,2119,0.3888,0.2175,0,0.7079,0.6697
68,1,CA1-DG,1,1,3232,0.323,0.0574,0,0.6552,0.6158
68,1,CA1-DG,2,2,2667,0.2719,-0.1653,0,0.669,0.5767
68,1,CA1-DG,4,4,2417,0.247,-0.1829,0,0.653,0.5404
68,1,CA1-DG,7,7,2075,0.2295,-0.1174,0,0.6724,0.5363
68,1,CA1-DG,10,10,2119,0.2362,-0.1062,0,0.6948,0.6067
68,1,CA3-DG,1,1,3232,0.2436,0.1559,0,0.705,0.5342
68,1,CA3-DG,2,2,2667,0.1851,0.0926,0,0.6599,0.5548
68,1,CA3-DG,4,4,2417,0.1941,0.1448,0,0.6213,0.5351
68,1,CA3-DG,7,7,2075,0.21,-0.0117,0,0.6883,0.5932
68,1,CA3-DG,10,10,2119,0.1839,-0.1412,0,0.6423,0.5734
70,0,CA1-RSC,1,1,5773,0.0586,0.2322,0,0.4501,0.4705
70,0,CA1-RSC,2,2,5195,0.0637,0.1658,0,0.4791,0.4968
70,0,CA1-RSC,4,4,5417,0.0607,-0.0199,0,0.4696,0.4893
70,0,CA1-RSC,7,7,5622,0.0589,0.1078,0,0.4479,0.4847
70,0,CA1-RSC,10,10,5747,0.0682,0.1405,3,0.4837,0.4943
70,0,CA1-DG,1,1,5773,-0.9921,-0.2551,-4,0.0877,0.0199
70,0,CA1-DG,2,2,5195,0.2106,-0.3733,0,0.5135,0.723
70,0,CA1-DG,4,4,5417,0.2569,-0.135,0,0.5004,0.7169
70,0,CA1-DG,7,7,5622,0.2361,-0.1298,0,0.501,0.6966
70,0,CA1-DG,10,10,5747,0.279,-0.1275,0,0.5056,0.7259
70,0,CA1-V1,1,1,5773,-0.9365,-0.6454,-3,0.0972,0.0488
70,0,CA1-V1,2,2,5195,0.2009,-0.0285,0,0.5652,0.4571
70,0,CA1-V1,4,4,5417,0.2186,0.0038,0,0.6025,0.4782
70,0,CA1-V1,7,7,5622,0.1867,-0.0343,0,0.5837,0.4585
70,0,CA1-V1,10,10,5747,0.2066,-0.0386,0,0.5678,0.4616
70,0,CA1-SUB,1,1,5773,0.9979,-0.0034,0,0.1059,0.1067
70,0,CA1-SUB,2,2,5195,0.1641,-0.518,0,0.5024,0.6339
70,0,CA1-SUB,4,4,5417,0.133,-0.1814,0,0.4938,0.6544
70,0,CA1-SUB,7,7,5622,0.1334,-0.2051,0,0.4788,0.6741
70,0,CA1-SUB,10,10,5747,0.1312,-0.2448,0,0.4979,0.6688
70,0,RSC-SUB,1,1,5773,0.2473,0.0521,0,0.5328,0.6295
70,0,RSC-SUB,2,2,5195,0.1903,0.0416,0,0.5323,0.6283
70,0,RSC-SUB,4,4,5417,0.193,0.1294,0,0.5326,0.6635
70,0,RSC-SUB,7,7,5622,0.1718,0.0344,0,0.5156,0.6428
70,0,RSC-SUB,10,10,5747,0.2214,0.0447,0,0.5306,0.6392
70,0,V1-RSC,1,1,5773,0.1955,-0.0716,0,0.4127,0.5109
70,0,V1-RSC,2,2,5195,0.2023,0.0156,0,0.4132,0.4994
70,0,V1-RSC,4,4,5417,0.2505,0.0188,0,0.4296,0.4727
70,0,V1-RSC,7,7,5622,0.238,0.0049,0,0.4356,0.4869
70,0,V1-RSC,10,10,5747,0.2264,0.0264,0,0.4136,0.5171
71,0,CA1-RSC,1,1,3561,0.0407,0.2798,1,0.622,0.4624
71,0,CA1-RSC,2,2,2898,0.0505,-0.6027,-1,0.5758,0.4379
71,0,CA1-RSC,4,4,2619,0.0415,-0.8325,-2,0.623,0.4467
71,0,CA1-RSC,7,7,2459,0.0575,-0.2695,0,0.5891,0.4377
71,0,CA1-RSC,10,10,2665,0.0717,-0.5425,0,0.5945,0.4544
71,0,CA1-CA3,1,1,3561,0.2496,0.302,0,0.7359,0.459
71,0,CA1-CA3,2,2,2898,0.2489,0.3576,0,0.6843,0.4847
71,0,CA1-CA3,4,4,2619,0.2406,0.3116,0,0.6735,0.4652
71,0,CA1-CA3,7,7,2459,0.2521,0.4045,0,0.6886,0.4685
71,0,CA1-CA3,10,10,2665,0.2424,0.2534,0,0.6845,0.4593
71,0,CA1-DG,1,1,3561,0.1706,0.6715,0,0.652,0.4942
71,0,CA1-DG,2,2,2898,0.2304,0.3189,0,0.6416,0.4808
71,0,CA1-DG,4,4,2619,0.2275,0.62,0,0.6735,0.4932
71,0,CA1-DG,7,7,2459,0.2529,0.6681,0,0.6411,0.5171
71,0,CA1-DG,10,10,2665,0.2282,0.5889,0,0.6304,0.5199
71,0,CA1-V1,1,1,3561,0.0063,-0.9323,-9,0.535,0.5326
71,0,CA1-V1,2,2,2898,-0.0173,0.6604,3,0.5517,0.5151
71,0,CA1-V1,4,4,2619,-0.0514,0.0,-6,0.553,0.5253
71,0,CA1-V1,7,7,2459,-0.0089,-0.2961,-1,0.5507,0.5514
71,0,CA1-V1,10,10,2665,-0.0126,-0.4071,-5,0.5588,0.5259
71,0,CA3-DG,1,1,3561,0.3861,0.0413,0,0.5017,0.6207
71,0,CA3-DG,2,2,2898,0.3596,0.0041,0,0.5511,0.6009
71,0,CA3-DG,4,4,2619,0.3731,-0.0332,0,0.539,0.6066
71,0,CA3-DG,7,7,2459,0.4124,-0.0289,0,0.595,0.6062
71,0,CA3-DG,10,10,2665,0.363,-0.0343,0,0.5746,0.6053
71,0,CA1-SUB,1,1,3561,0.0988,-0.4517,0,0.6574,0.3958
71,0,CA1-SUB,2,2,2898,0.0799,-0.6318,-1,0.6526,0.3987
71,0,CA1-SUB,4,4,2619,0.1228,-0.1685,0,0.6922,0.4329
71,0,CA1-SUB,7,7,2459,0.0992,-0.4664,0,0.6899,0.4302
71,0,CA1-SUB,10,10,2665,0.1264,-0.2244,0,0.6913,0.4148
71,0,RSC-SUB,1,1,3561,0.1347,0.1445,0,0.4984,0.6032
71,0,RSC-SUB,2,2,2898,0.1607,0.0832,0,0.5052,0.6108
71,0,RSC-SUB,4,4,2619,0.1751,0.1047,0,0.5041,0.5946
71,0,RSC-SUB,7,7,2459,0.1363,0.1235,5,0.51,0.6439
71,0,RSC-SUB,10,10,2665,0.0532,0.3163,0,0.4714,0.604
71,0,V1-RSC,1,1,3561,0.234,0.007,0,0.403,0.5138
