animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
66,1,V1-RSC,expert,8577,0.2192,1,0.0246,-0.0763,-2,0.0918,0.1
68,1,CA1-RSC,naive,9753,0.1043,0,0.0,0.0031,0,0.2217,0.119
68,1,CA1-RSC,intermediate,10031,0.1201,0,0.0,0.039,2,0.0864,0.1103
68,1,CA1-RSC,expert,8583,0.1076,0,0.0,0.0019,2,0.1142,0.1438
68,1,CA1-CA3,naive,9753,0.5043,3,0.2207,-0.0278,0,0.2498,0.5473
68,1,CA1-CA3,intermediate,10031,0.4781,3,0.1728,-0.0515,0,0.1322,0.0702
68,1,CA1-CA3,expert,8583,0.5032,3,0.1833,-0.0273,0,0.1422,0.087
68,1,CA1-DG,naive,9753,0.3025,2,0.0652,-0.0341,0,0.2205,0.187
68,1,CA1-DG,intermediate,10031,0.3031,3,0.0735,-0.0457,0,0.0839,0.1781
68,1,CA1-DG,expert,8583,0.3394,2,0.0827,-0.0599,0,0.1121,0.1407
68,1,CA3-DG,naive,9753,0.382,3,0.1682,-0.0233,0,0.5485,0.2183
68,1,CA3-DG,intermediate,10031,0.4356,4,0.1867,0.0267,0,0.0726,0.2338
68,1,CA3-DG,expert,8583,0.457,3,0.1877,0.0111,0,0.0892,0.2141
73,1,CA1-RSC,naive,17532,0.1882,1,0.018,0.0719,0,0.3054,0.5371
73,1,CA1-RSC,intermediate,10760,0.1718,1,0.015,0.0024,0,0.2453,0.4222
73,1,CA1-RSC,expert,9584,0.1077,10,0.1473,0.0364,0,0.272,0.4066
73,1,CA1-DG,naive,17532,0.2345,2,0.0356,0.0056,0,0.3033,0.3974
73,1,CA1-DG,intermediate,10760,0.1896,1,0.0183,-0.0434,0,0.2432,0.2461
73,1,CA1-DG,expert,9584,0.3004,6,0.117,-0.0101,0,0.2723,0.2476
73,1,CA1-V1,naive,17532,0.245,2,0.0355,-0.0247,0,0.3046,0.3756
73,1,CA1-V1,intermediate,10760,0.1367,1,0.0094,-0.0149,0,0.2465,0.1209
73,1,CA1-V1,expert,9584,0.1245,1,0.0078,-0.0017,0,0.2748,0.1558
73,1,CA1-SUB,naive,17532,0.1711,2,0.0188,-0.0055,0,0.3061,0.2183
73,1,CA1-SUB,intermediate,10760,0.1192,4,0.031,-0.0167,0,0.2421,0.1478
73,1,CA1-SUB,expert,9584,0.0168,7,0.0823,0.0378,0,0.2725,0.1369
73,1,RSC-SUB,naive,17532,0.2358,2,0.0387,0.0026,0,0.5368,0.2184
73,1,RSC-SUB,intermediate,10760,0.1227,2,0.0202,0.021,0,0.4223,0.1483
73,1,RSC-SUB,expert,9584,0.1972,10,0.176,0.0138,0,0.4032,0.1386
73,1,V1-RSC,naive,17532,0.1922,2,0.0265,0.0587,0,0.3773,0.5342
73,1,V1-RSC,intermediate,10760,0.2712,2,0.0563,0.0163,0,0.1214,0.4168
73,1,V1-RSC,expert,9584,0.2805,1,0.041,-0.0064,0,0.1573,0.4006
75,1,CA1-RSC,naive,10238,0.4327,13,0.5375,0.0558,0,0.2586,0.5897
75,1,CA1-RSC,intermediate,10850,0.6528,8,0.6474,0.0527,0,0.2507,0.4946
75,1,CA1-RSC,expert,10269,0.2929,4,0.115,0.0281,0,0.2448,0.4718
75,1,CA1-DG,naive,10238,0.8152,5,0.7542,-0.0378,0,0.2597,0.5039
75,1,CA1-DG,intermediate,10850,0.5203,5,0.2873,0.0041,0,0.2503,0.5362
75,1,CA1-DG,expert,10269,0.2087,10,0.2423,0.0095,0,0.2445,0.5677
75,1,CA1-V1,naive,10238,-0.237,12,0.5573,0.004,0,0.2579,0.3007
75,1,CA1-V1,intermediate,10850,-0.505,5,0.121,0.0286,0,0.2511,0.2586
75,1,CA1-V1,expert,10269,-0.2179,8,0.0838,-0.0042,0,0.2441,0.2706
75,1,CA1-SUB,naive,10238,0.8778,7,1.6924,0.0039,0,0.259,0.1765
75,1,CA1-SUB,intermediate,10850,0.239,8,0.3282,-0.0198,0,0.2509,0.1754
75,1,CA1-SUB,expert,10269,0.0593,6,0.139,0.015,0,0.2446,0.2007
75,1,RSC-SUB,naive,10238,0.5558,9,0.9979,0.0114,0,0.5809,0.1752
75,1,RSC-SUB,intermediate,10850,-0.2397,12,2.1001,0.0061,0,0.4883,0.1745
75,1,RSC-SUB,expert,10269,0.4076,7,0.217,0.0133,0,0.4705,0.192
75,1,V1-RSC,naive,10238,0.7019,9,1.1705,0.0191,0,0.2951,0.5701
75,1,V1-RSC,intermediate,10850,-0.2309,5,0.9872,0.0333,0,0.2396,0.489
75,1,V1-RSC,expert,10269,0.5171,3,0.3422,0.0184,0,0.2632,0.4671
77,1,CA1-RSC,naive,13879,0.169,1,0.0145,-0.0161,0,0.1673,0.4789
77,1,CA1-RSC,intermediate,10550,0.0973,0,0.0,0.0008,2,0.0727,0.3698
77,1,CA1-RSC,expert,10350,0.3549,6,0.1879,-0.0119,0,0.0521,0.3481
77,1,CA1-DG,naive,13879,-0.0289,2,0.0439,-0.0633,0,0.2259,0.6579
77,1,CA1-DG,intermediate,10550,0.1104,1,0.0061,0.0174,-4,0.1634,0.1015
77,1,CA1-DG,expert,10350,0.1797,4,0.0606,-0.0135,0,0.1835,0.1084
77,1,CA1-V1,naive,13879,0.1555,5,0.0977,0.0119,0,0.1684,0.1148
77,1,CA1-V1,intermediate,10550,0.0417,0,0.0,0.0315,0,0.0716,0.1109
77,1,CA1-V1,expert,10350,-0.0622,4,0.0534,0.0262,0,0.0504,0.0947
77,1,CA1-SUB,naive,13879,-0.2163,1,0.0202,-0.0361,-1,0.1602,0.2361
77,1,CA1-SUB,intermediate,10550,0.0173,0,0.0,0.0254,3,0.0807,0.1082
77,1,CA1-SUB,expert,10350,0.1486,3,0.0173,0.0237,6,0.0788,0.1798
77,1,RSC-SUB,naive,13879,0.0978,3,0.0143,0.0086,-1,0.4762,0.2345
77,1,RSC-SUB,intermediate,10550,0.1541,2,0.0216,0.1255,4,0.3842,0.1068
77,1,RSC-SUB,expert,10350,0.1613,3,0.023,0.0104,0,0.3616,0.1824
77,1,V1-RSC,naive,13879,0.3605,2,0.113,0.0142,0,0.1291,0.4843
77,1,V1-RSC,intermediate,10550,0.4186,2,0.1535,0.0195,0,0.068,0.3691
77,1,V1-RSC,expert,10350,0.1474,0,0.0,0.0423,0,0.0556,0.3364
