animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA1-V1,1,10,-0.0004,0,0.0005
28,1,CA1-V1,1,11,0.0056,0,-0.0061
28,1,CA1-V1,1,12,0.0281,0,-0.0009
28,1,CA1-V1,1,13,0.0126,0,0.001
28,1,CA1-V1,1,14,-0.0014,0,0.0002
28,1,CA1-V1,1,15,0.0189,0,-0.0051
28,1,CA1-V1,1,16,0.0658,0,-0.002
28,1,CA1-V1,1,17,0.0138,0,0.0026
28,1,CA1-V1,1,18,-0.0416,0,0.0103
28,1,CA1-V1,1,19,0.0037,0,0.0316
28,1,CA1-V1,1,20,-0.0153,0,0.0226
28,1,CA1-V1,1,21,0.0011,0,0.0255
28,1,CA1-V1,1,22,0.0206,0,0.0512
28,1,CA1-V1,1,23,-0.0091,0,0.0276
28,1,CA1-V1,1,24,0.0084,0,0.0599
28,1,CA1-V1,1,25,-0.0027,0,0.0528
28,1,CA1-V1,1,26,0.0146,0,0.091
28,1,CA1-V1,1,27,-0.0063,0,0.1139
28,1,CA1-V1,1,28,-0.0136,0,0.1033
28,1,CA1-V1,1,29,-0.0162,0,0.2712
28,1,CA1-V1,2,1,0.2087,0,-0.0185
28,1,CA1-V1,2,2,0.1123,0,0.0122
28,1,CA1-V1,2,3,0.0576,0,-0.0021
28,1,CA1-V1,2,4,0.008,0,-0.0084
28,1,CA1-V1,2,5,0.0426,0,0.0037
28,1,CA1-V1,2,6,0.0061,0,-0.0052
28,1,CA1-V1,2,7,0.0162,0,-0.0085
28,1,CA1-V1,2,8,-0.0133,0,-0.008
28,1,CA1-V1,2,9,-0.0177,0,0.0007
28,1,CA1-V1,2,10,0.0392,0,-0.0063
28,1,CA1-V1,2,11,0.0201,0,-0.0002
28,1,CA1-V1,2,12,0.0262,0,0.0046
28,1,CA1-V1,2,13,0.0033,0,-0.0041
28,1,CA1-V1,2,14,-0.0069,0,0.0129
28,1,CA1-V1,2,15,-0.0124,0,-0.0016
28,1,CA1-V1,2,16,-0.0396,0,0.0234
28,1,CA1-V1,2,17,-0.0115,0,-0.0067
28,1,CA1-V1,2,18,0.0232,0,-0.0011
28,1,CA1-V1,2,19,-0.0352,0,0.0011
28,1,CA1-V1,2,20,0.0153,0,0.0042
28,1,CA1-V1,2,21,-0.0749,0,0.0082
28,1,CA1-V1,2,22,0.0511,0,-0.0057
28,1,CA1-V1,2,23,0.006,0,0.0413
28,1,CA1-V1,2,24,0.0091,0,-0.0053
28,1,CA1-V1,2,25,-0.0206,0,-0.0089
28,1,CA1-V1,2,26,0.0346,0,-0.0291
28,1,CA1-V1,2,27,0.075,0,-0.0242
28,1,CA1-V1,2,28,0.0242,0,-0.0591
28,1,CA1-V1,2,29,-0.0624,0,0.0009
28,1,CA1-V1,3,1,0.182,0,-0.0118
28,1,CA1-V1,3,2,0.0121,0,0.0034
28,1,CA1-V1,3,3,0.032,0,-0.0231
28,1,CA1-V1,3,4,0.0304,0,-0.0251
28,1,CA1-V1,3,5,0.0338,0,-0.0154
28,1,CA1-V1,3,6,0.0059,0,-0.0083
28,1,CA1-V1,3,7,0.0083,0,-0.0043
28,1,CA1-V1,3,8,-0.0068,0,-0.0028
28,1,CA1-V1,3,9,0.0033,0,-0.0167
28,1,CA1-V1,3,10,0.0078,0,0.0068
28,1,CA1-V1,3,11,0.0182,0,-0.0085
28,1,CA1-V1,3,12,-0.0056,0,-0.0174
28,1,CA1-V1,3,13,0.0036,0,-0.0097
28,1,CA1-V1,3,14,0.0254,0,-0.0078
28,1,CA1-V1,3,15,-0.0314,0,-0.0012
28,1,CA1-V1,3,16,0.0014,0,-0.0078
28,1,CA1-V1,3,17,0.0021,0,-0.0093
28,1,CA1-V1,3,18,-0.0144,0,-0.0101
28,1,CA1-V1,3,19,-0.0321,0,-0.0141
28,1,CA1-V1,3,20,-0.0328,0,-0.0133
28,1,CA1-V1,3,21,-0.0027,0,-0.0183
28,1,CA1-V1,3,22,-0.003,0,-0.0137
28,1,CA1-V1,3,23,-0.0009,0,-0.0003
28,1,CA1-V1,3,24,-0.0066,0,0.0101
28,1,CA1-V1,3,25,0.001,0,0.0058
28,1,CA1-V1,3,26,0.0125,0,0.0234
28,1,CA1-V1,3,27,0.0211,0,0.0113
28,1,CA1-V1,3,28,0.0216,0,-0.0618
28,1,CA1-V1,3,29,0.0025,0,0.0232
28,1,CA1-V1,4,1,0.2046,0,-0.0098
28,1,CA1-V1,4,2,0.0821,0,-0.0317
28,1,CA1-V1,4,3,0.0554,0,-0.0364
28,1,CA1-V1,4,4,0.0481,0,-0.0106
28,1,CA1-V1,4,5,0.0393,0,-0.0155
28,1,CA1-V1,4,6,-0.0007,0,-0.0147
28,1,CA1-V1,4,7,0.0066,0,0.0054
28,1,CA1-V1,4,8,-0.0071,0,0.0021
28,1,CA1-V1,4,9,0.0078,0,0.0068
28,1,CA1-V1,4,10,0.0004,0,0.0092
28,1,CA1-V1,4,11,0.0375,0,-0.0089
28,1,CA1-V1,4,12,-0.0076,0,-0.018
28,1,CA1-V1,4,13,0.0198,0,-0.0091
28,1,CA1-V1,4,14,0.0101,0,0.0004
28,1,CA1-V1,4,15,0.0202,0,-0.0046
28,1,CA1-V1,4,16,-0.0301,0,-0.0147
28,1,CA1-V1,4,17,0.0089,0,-0.0165
28,1,CA1-V1,4,18,-0.0092,0,-0.0005
28,1,CA1-V1,4,19,0.0077,0,-0.013
28,1,CA1-V1,4,20,-0.0018,0,0.0122
28,1,CA1-V1,4,21,-0.0009,0,0.0126
28,1,CA1-V1,4,22,-0.0297,0,0.0511
28,1,CA1-V1,4,23,0.0081,0,0.0299
28,1,CA1-V1,4,24,-0.0178,0,0.0192
28,1,CA1-V1,4,25,0.0107,0,0.0196
28,1,CA1-V1,4,26,-0.0327,0,-0.0197
28,1,CA1-V1,4,27,-0.0148,0,-0.0382
28,1,CA1-V1,4,28,0.0227,0,0.0326
28,1,CA1-V1,4,29,-0.0086,0,0.0298
28,1,CA1-V1,5,1,0.1515,0,0.0105
28,1,CA1-V1,5,2,0.0493,0,-0.0024
28,1,CA1-V1,5,3,0.044,0,0.0062
28,1,CA1-V1,5,4,0.0028,0,-0.0222
28,1,CA1-V1,5,5,0.0063,0,-0.0379
28,1,CA1-V1,5,6,-0.0217,0,-0.028
28,1,CA1-V1,5,7,-0.0042,0,-0.0074
28,1,CA1-V1,5,8,0.0242,0,-0.0282
28,1,CA1-V1,5,9,-0.0095,0,-0.0145
28,1,CA1-V1,5,10,-0.0287,0,-0.0059
28,1,CA1-V1,5,11,-0.0225,0,0.006
28,1,CA1-V1,5,12,-0.0003,0,0.0056
28,1,CA1-V1,5,13,-0.006,0,-0.0024
28,1,CA1-V1,5,14,-0.0018,0,0.0025
28,1,CA1-V1,5,15,0.0179,0,-0.0023
28,1,CA1-V1,5,16,-0.0252,0,-0.0095
28,1,CA1-V1,5,17,0.0121,0,-0.0188
28,1,CA1-V1,5,18,0.0001,0,-0.0359
28,1,CA1-V1,5,19,0.0073,0,-0.0415
28,1,CA1-V1,5,20,0.0148,0,-0.0064
28,1,CA1-V1,5,21,0.0373,0,0.0113
28,1,CA1-V1,5,22,0.0184,0,-0.007
28,1,CA1-V1,5,23,0.0096,0,-0.0162
28,1,CA1-V1,5,24,0.0119,0,0.0036
28,1,CA1-V1,5,25,-0.011,0,0.0039
28,1,CA1-V1,5,26,-0.0036,0,0.0197
28,1,CA1-V1,5,27,0.0128,0,-0.0003
28,1,CA1-V1,5,28,-0.0083,0,-0.0507
28,1,CA1-V1,5,29,0.0046,0,0.1471
28,1,CA1-V1,6,1,0.0962,0,-0.0189
28,1,CA1-V1,6,2,0.0939,0,-0.0123
28,1,CA1-V1,6,3,0.0237,0,-0.0296
28,1,CA1-V1,6,4,-0.0689,0,-0.0213
28,1,CA1-V1,6,5,0.0076,0,-0.0318
28,1,CA1-V1,6,6,0.0329,0,-0.0019
28,1,CA1-V1,6,7,-0.0301,0,0.01
28,1,CA1-V1,6,8,-0.0126,0,0.0046
28,1,CA1-V1,6,9,0.0515,0,-0.0163
28,1,CA1-V1,6,10,-0.1504,0,-0.0152
28,1,CA1-V1,6,11,-0.0489,0,0.0003
28,1,CA1-V1,6,12,0.0781,0,-0.0004
28,1,CA1-V1,6,13,0.0844,0,0.0232
28,1,CA1-V1,6,14,0.0646,0,0.0032
28,1,CA1-V1,6,15,-0.0167,0,0.0273
28,1,CA1-V1,6,16,0.0617,0,0.0106
28,1,CA1-V1,6,17,0.0151,0,0.0149
28,1,CA1-V1,6,18,-0.033,0,0.0055
28,1,CA1-V1,6,19,-0.0033,0,0.0156
28,1,CA1-V1,6,20,-0.0285,0,-0.0095
28,1,CA1-V1,6,21,0.0076,0,0.0058
28,1,CA1-V1,6,22,0.025,0,0.0123
28,1,CA1-V1,6,23,-0.0904,0,-0.0038
28,1,CA1-V1,6,24,-0.0415,0,-0.0343
28,1,CA1-V1,6,25,-0.0359,0,-0.0248
28,1,CA1-V1,6,26,0.0737,0,-0.059
28,1,CA1-V1,6,27,-0.0032,0,-0.0151
28,1,CA1-V1,6,28,0.0104,0,0.0949
28,1,CA1-V1,6,29,0.1393,0,0.1372
28,1,CA3-DG,1,1,0.4704,1,0.0204
28,1,CA3-DG,1,2,0.1386,1,-0.015
28,1,CA3-DG,1,3,0.037,0,-0.1148
