animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
36,1,CA1-CA3,2,-0.09691317001627052,-20.0,0.1604,0.1449,1,2
36,1,CA1-CA3,3,0.1455961653684841,0.0,0.0625,0.0625,0,2
36,1,CA1-CA3,4,0.0389463248831611,0.0,0.0608,0.0608,0,2
36,1,CA1-CA3,5,-0.3034504998387618,60.0,0.052,-0.0031,0,2
36,1,CA1-CA3,6,-0.34291221307166636,-60.0,0.0458,0.002,0,2
36,1,CA1-CA3,7,-0.07541191381495561,-30.0,0.0298,-0.0094,0,2
36,1,CA1-CA3,8,-0.505962521294719,-90.0,0.0366,0.0233,0,2
36,1,CA1-CA3,9,0.2511192511192511,80.0,0.0293,0.0126,0,2
36,1,CA1-CA3,10,-0.14512711864406788,-80.0,0.0206,0.0064,0,2
36,1,CA1-CA3,11,0.17943262411347527,80.0,0.0312,0.0097,0,2
36,1,CA1-CA3,12,-0.03707929264118651,80.0,0.0247,0.011,0,2
36,1,CA1-V1,1,-0.009948096885813064,-140.0,0.0693,0.0377,0,0
36,1,CA1-V1,2,0.04058002380694734,30.0,0.0534,0.032,0,0
36,1,CA1-V1,3,-0.06844571195762891,60.0,0.0532,0.0356,0,0
36,1,CA1-V1,4,-0.264514173108989,0.0,0.0427,0.0427,0,0
36,1,CA1-V1,5,-0.2623151038132718,-150.0,0.0397,0.0152,0,0
36,1,CA1-V1,6,-0.1842381052190316,-90.0,0.0333,-0.0016,0,0
36,1,CA1-V1,7,-0.038652482269503456,-60.0,0.0277,-0.0038,0,0
36,1,CA1-V1,8,-0.10260676650027731,-170.0,0.039,-0.0033,0,0
36,1,CA1-V1,9,0.04216388225934756,-50.0,0.0382,0.012,0,0
36,1,CA1-V1,10,0.08464508464508468,130.0,0.0262,0.0173,0,0
36,1,CA1-V1,11,-0.13147845062738675,-10.0,0.0375,-0.005,0,0
36,1,CA1-V1,12,-0.2623341272541681,-40.0,0.0261,-0.0057,0,0
36,1,CA1-V1,13,0.005982716596498933,-140.0,0.0352,-0.0176,0,0
36,1,CA1-V1,14,-0.07523696682464465,110.0,0.029,0.007,0,0
36,1,CA1-V1,15,0.041025641025641005,-200.0,0.0255,-0.0002,0,0
36,1,CA1-V1,16,0.04746450304259622,-110.0,0.0225,0.0009,0,0
36,1,CA1-V1,17,0.17172330097087374,140.0,0.0298,-0.0158,0,0
36,1,CA1-V1,18,-0.4547973675095255,-100.0,0.0287,0.0141,0,0
36,1,CA1-V1,19,0.014864172219374708,-70.0,0.0215,-0.0035,0,0
36,1,CA1-V1,20,-0.15342960288808666,-240.0,0.0361,-0.0032,0,0
36,1,CA1-V1,21,-0.14605902129249163,-240.0,0.0325,0.0076,0,0
36,1,CA1-V1,22,-0.3923404255319149,170.0,0.0164,0.0106,0,0
36,1,CA1-V1,23,-0.0895883777239709,250.0,0.0291,-0.0032,0,0
36,1,CA1-V1,24,-0.05528255528255536,-50.0,0.0176,0.0075,0,0
36,1,CA1-V1,25,-0.028181041844577225,250.0,0.0302,-0.0088,0,0
36,1,CA1-V1,26,0.40841248303934874,250.0,0.0226,0.008,0,0
36,1,CA1-V1,27,-0.12206572769953056,-230.0,0.028,0.021,0,0
36,1,CA1-V1,28,0.10385523210070806,-30.0,0.0328,-0.0156,0,0
36,1,CA1-V1,29,0.23169107856191742,100.0,0.0187,0.0082,0,0
41,1,CA1-CA3,1,0.011036503840821757,10.0,0.5737,0.5331,1,2
41,1,CA1-CA3,2,-0.011852848587542448,50.0,0.3556,0.3458,1,2
41,1,CA1-CA3,3,0.020990922844175575,0.0,0.117,0.117,0,2
41,1,CA1-CA3,4,0.17476476939688412,80.0,0.0618,0.0616,0,2
41,1,CA1-CA3,5,0.237594862813777,80.0,0.0488,0.0253,0,2
41,1,CA1-CA3,6,0.21295279912184417,40.0,0.0419,0.0187,0,2
41,1,CA1-CA3,7,-0.1995325737657025,130.0,0.0353,-0.0138,0,2
41,1,CA1-CA3,8,-0.12836767036450078,-10.0,0.0256,0.0085,0,2
41,1,CA1-CA3,9,0.05676328502415453,130.0,0.0398,-0.0039,0,2
41,1,CA1-CA3,10,0.08342857142857149,180.0,0.0213,0.0007,0,2
41,1,CA1-CA3,11,0.023419203747072577,-20.0,0.0218,0.0012,0,2
41,1,CA1-CA3,12,0.2496538994000922,40.0,0.0264,-0.0016,0,2
41,1,CA1-CA3,13,-0.03524672708962743,-130.0,0.0169,-0.0056,0,2
41,1,CA1-CA3,14,-0.07931034482758621,-20.0,0.0274,-0.0022,0,2
41,1,CA1-CA3,15,-0.10484581497797354,100.0,0.0177,0.0145,0,2
41,1,CA1-CA3,16,0.03911074516261829,250.0,0.0213,0.0105,0,2
41,1,CA1-CA3,17,0.13227513227513235,110.0,0.0234,0.0045,0,2
41,1,CA1-CA3,18,0.27429062768701634,240.0,0.0416,0.0028,0,2
41,1,CA1-CA3,19,0.029541169076052767,-230.0,0.016,-0.0053,0,2
41,1,CA1-CA3,20,-0.3405172413793103,-140.0,0.0182,0.0012,0,2
41,1,CA1-CA3,21,-0.046865489957394965,-70.0,0.0358,-0.0066,0,2
41,1,CA1-CA3,22,,,,,0,2
41,1,CA1-V1,1,0.08423326133909287,0.0,0.0993,0.0993,0,0
41,1,CA1-V1,2,0.5071256709235609,220.0,0.0557,-0.0089,0,0
41,1,CA1-V1,3,-0.04980708523325171,-100.0,0.0405,0.0128,0,0
41,1,CA1-V1,4,0.2878942014242117,60.0,0.0318,0.0106,0,0
41,1,CA1-V1,5,-0.12738160043549263,-50.0,0.0362,0.0204,0,0
41,1,CA1-V1,6,-0.11014851485148515,-10.0,0.025,0.0243,0,0
41,1,CA1-V1,7,0.2296769613063543,-160.0,0.0281,0.0175,0,0
41,1,CA1-V1,8,0.18972332015810292,240.0,0.0242,0.0214,0,0
41,1,CA1-V1,9,0.22037283621837547,150.0,0.0231,0.0018,0,0
41,1,CA1-V1,10,0.2113851992409867,60.0,0.0214,0.0094,0,0
41,1,CA1-V1,11,-0.11512415349887133,20.0,0.023,0.0181,0,0
41,1,CA1-V1,12,-0.24532119372787053,210.0,0.0373,0.0053,0,0
41,1,CA1-V1,13,0.2557193695983731,190.0,0.0205,-0.0059,0,0
41,1,CA1-V1,14,-0.27322404371584696,-40.0,0.0338,0.0058,0,0
41,1,CA1-V1,15,0.04634655532359089,190.0,0.0179,0.0173,0,0
41,1,CA1-V1,16,-0.0924939467312348,-20.0,0.0243,0.014,0,0
41,1,CA1-V1,17,-0.16852966466036112,0.0,0.0246,0.0246,0,0
41,1,CA1-V1,18,0.11100959342165365,160.0,0.0219,0.0061,0,0
41,1,CA1-V1,19,-0.1342234715390021,30.0,0.0181,0.0038,0,0
41,1,CA1-V1,20,0.1886453467481135,60.0,0.0253,-0.001,0,0
41,1,CA1-V1,21,-0.45178764897074764,-230.0,0.0164,0.0063,0,0
41,1,CA1-V1,22,,,,,0,0
52,1,CA1-CA3,1,-0.05840435538579935,0.0,0.1625,0.1625,1,12
52,1,CA1-CA3,2,0.020858577116150162,0.0,0.1464,0.1464,0,12
52,1,CA1-CA3,3,0.04151744263164875,0.0,0.1172,0.1172,1,12
52,1,CA1-CA3,4,0.11433973529704448,-10.0,0.0631,0.0389,0,12
52,1,CA1-CA3,5,0.1430026741372723,0.0,0.0755,0.0755,1,12
52,1,CA1-CA3,6,0.2625869262865091,180.0,0.0459,0.0116,0,12
52,1,CA1-CA3,7,0.336997595328066,140.0,0.0435,0.0291,1,12
52,1,CA1-CA3,8,0.24994700021199923,0.0,0.0494,0.0494,1,12
52,1,CA1-CA3,9,-0.058382180539273076,200.0,0.0298,0.0277,0,12
52,1,CA1-CA3,10,0.07166371233223591,50.0,0.0394,0.0228,1,12
52,1,CA1-CA3,11,0.3526533684606699,110.0,0.0269,0.0087,1,12
52,1,CA1-CA3,12,0.6101515685583362,130.0,0.0369,-0.0012,1,12
52,1,CA1-CA3,13,0.196681007990166,-160.0,0.0289,0.0253,0,12
52,1,CA1-CA3,14,0.1551925320886815,-190.0,0.0232,0.0217,1,12
52,1,CA1-CA3,15,-0.07432432432432429,-220.0,0.0246,0.0113,1,12
52,1,CA1-CA3,16,0.13665943600867678,100.0,0.0279,0.0068,0,12
52,1,CA1-CA3,17,0.2559726962457338,-220.0,0.0259,0.0147,0,12
52,1,CA1-CA3,18,-0.053703053703053755,-70.0,0.0325,0.0066,0,12
52,1,CA1-CA3,19,0.048940269749518366,0.0,0.0184,0.0184,0,12
52,1,CA1-CA3,20,-0.3103448275862068,-210.0,0.0223,-0.0022,0,12
52,1,CA1-CA3,21,-0.17541979278313682,-130.0,0.0276,0.0014,1,12
52,1,CA1-CA3,22,-0.12692589875275134,250.0,0.0264,-0.0111,0,12
52,1,CA1-CA3,23,0.20989108036502802,60.0,0.028,0.0037,1,12
52,1,CA1-CA3,24,-0.13941639647985168,-20.0,0.0202,0.0059,0,12
52,1,CA1-CA3,25,-0.07565217391304344,-230.0,0.0205,0.0134,0,12
52,1,CA1-CA3,26,-0.3662420382165605,-150.0,0.0268,-0.0023,0,12
52,1,CA1-CA3,27,-0.1802864363942713,-20.0,0.0302,-0.0213,0,12
52,1,CA1-CA3,28,0.2810916179337231,110.0,0.0372,-0.0033,0,12
52,1,CA1-CA3,29,-0.07852965747702582,-150.0,0.0285,0.0074,0,12
52,1,CA1-CA3,30,-0.16126656848306334,-120.0,0.0266,0.0147,0,12
52,1,CA1-DG,1,-0.07376533501100986,0.0,0.2013,0.2013,1,6
52,1,CA1-DG,2,0.165030814882447,60.0,0.0516,0.0466,0,6
52,1,CA1-DG,3,0.0019103270030341073,0.0,0.0924,0.0924,1,6
52,1,CA1-DG,4,0.1567510268981051,70.0,0.051,0.0264,0,6
52,1,CA1-DG,5,0.07975113122171937,30.0,0.0473,0.0413,0,6
52,1,CA1-DG,6,-0.041081643265730744,0.0,0.0484,0.0484,0,6
52,1,CA1-DG,7,-0.20780613339052115,-40.0,0.0315,0.0,0,6
52,1,CA1-DG,8,-0.06981649441046195,-110.0,0.0359,0.0,0,6
52,1,CA1-DG,9,-0.10979087452471492,0.0,0.0436,0.0436,0,6
52,1,CA1-DG,10,0.027306273062730625,250.0,0.0326,0.0102,0,6
52,1,CA1-DG,11,-0.2588662384808713,180.0,0.0234,0.0076,1,6
52,1,CA1-DG,12,0.18705281090289622,190.0,0.0383,-0.002,0,6
52,1,CA1-DG,13,0.15143516991092063,-20.0,0.0443,0.0142,0,6
52,1,CA1-DG,14,0.2271805273833672,100.0,0.0337,-0.0064,0,6
52,1,CA1-DG,15,0.14296379245987295,110.0,0.0206,-0.0009,1,6
52,1,CA1-DG,16,0.0032733224222587314,60.0,0.032,0.0059,0,6
52,1,CA1-DG,17,0.045809297590770175,190.0,0.0224,0.0031,0,6
52,1,CA1-DG,18,-0.12239583333333334,30.0,0.0241,0.0038,0,6
52,1,CA1-DG,19,0.170272333927208,110.0,0.0248,0.0021,0,6
52,1,CA1-DG,20,-0.10599937830276661,-230.0,0.0182,0.0038,0,6
52,1,CA1-DG,21,0.12241379310344822,-200.0,0.026,0.0095,0,6
52,1,CA1-DG,22,-0.26468689477082,-10.0,0.0231,-0.0082,1,6
52,1,CA1-DG,23,0.044387899349731474,-60.0,0.0329,-0.0213,0,6
52,1,CA1-DG,24,0.01992882562277582,-80.0,0.0258,-0.0032,0,6
52,1,CA1-DG,25,0.035557060616322404,180.0,0.0292,-0.0129,0,6
52,1,CA1-DG,26,-0.0564334085778781,-100.0,0.0252,0.0009,0,6
52,1,CA1-DG,27,0.21252302025782696,120.0,0.0278,-0.0034,1,6
52,1,CA1-DG,28,0.34039334341906213,100.0,0.0288,-0.0099,0,6
52,1,CA1-DG,29,-0.01891397193410616,0.0,0.0185,0.0185,0,6
52,1,CA1-DG,30,-0.4707692307692307,-60.0,0.0188,0.0083,0,6
52,1,CA1-RSC,1,0.16393273496337565,0.0,0.0946,0.0946,1,2
52,1,CA1-RSC,2,-0.002865329512894077,-50.0,0.0388,-0.0158,0,2
52,1,CA1-RSC,3,0.1725810006612299,40.0,0.034,0.0188,1,2
52,1,CA1-RSC,4,0.2568334192882929,20.0,0.0447,0.0329,0,2
52,1,CA1-RSC,5,0.033205994710549525,-120.0,0.025,-0.0005,0,2
52,1,CA1-RSC,6,-0.0787136294027566,-30.0,0.0286,-0.0048,0,2
52,1,CA1-RSC,7,0.02919346857991105,50.0,0.028,0.0192,0,2
52,1,CA1-RSC,8,0.179144385026738,120.0,0.0316,-0.0141,0,2
52,1,CA1-RSC,9,-0.3567406425968863,-210.0,0.0277,0.0074,0,2
52,1,CA1-RSC,10,-0.16099651754620956,130.0,0.033,-0.0029,0,2
52,1,CA1-V1,1,-0.27866551324530336,0.0,0.2182,0.2182,1,8
52,1,CA1-V1,2,0.32947576656775474,200.0,0.0793,0.0371,1,8
52,1,CA1-V1,3,0.08397485698142536,230.0,0.0901,0.0599,1,8
52,1,CA1-V1,4,-0.07030583648105268,140.0,0.0498,0.0326,1,8
52,1,CA1-V1,5,-0.1440436023877497,-180.0,0.0502,0.0214,0,8
52,1,CA1-V1,6,0.03498134328358208,210.0,0.0402,0.0146,0,8
52,1,CA1-V1,7,0.11386399578281495,0.0,0.0361,0.0361,1,8
52,1,CA1-V1,8,-0.057856272838002584,-50.0,0.0337,0.0029,0,8
52,1,CA1-V1,9,0.0,-160.0,0.0357,-0.0003,0,8
52,1,CA1-V1,10,-0.031273836765827574,-130.0,0.0299,0.0191,0,8
52,1,CA1-V1,11,-0.09116541353383466,110.0,0.0325,-0.0235,1,8
52,1,CA1-V1,12,-0.2765072765072765,-110.0,0.0325,-0.0,1,8
52,1,CA1-V1,13,-0.09707410445720539,-110.0,0.0297,-0.0132,0,8
52,1,CA1-V1,14,-0.06871609403254963,-180.0,0.0359,-0.0168,0,8
52,1,CA1-V1,15,0.14649681528662425,-40.0,0.0288,0.0207,0,8
52,1,CA1-V1,16,-0.11394891944990176,40.0,0.0293,0.0092,0,8
52,1,CA1-V1,17,-0.024761904761904742,40.0,0.0237,0.0119,0,8
52,1,CA1-V1,18,0.30172635918577684,200.0,0.0353,0.0165,0,8
52,1,CA1-V1,19,0.20608475190148498,220.0,0.0284,-0.0152,0,8
52,1,CA1-V1,20,-0.09401137504182007,-120.0,0.0451,0.0031,0,8
52,1,CA1-V1,21,0.027429300446523537,100.0,0.0342,0.021,1,8
52,1,CA1-V1,22,0.1265903307888041,-230.0,0.0249,0.0081,0,8
52,1,CA1-V1,23,-0.21353846153846157,-190.0,0.0296,0.0037,0,8
52,1,CA1-V1,24,-0.08230769230769228,-20.0,0.027,0.0208,0,8
52,1,CA1-V1,25,0.08305866842452202,-140.0,0.0276,-0.0098,0,8
52,1,CA1-V1,26,-0.31506849315068497,-90.0,0.031,-0.0086,0,8
52,1,CA1-V1,27,0.020946470131885192,-150.0,0.031,0.0113,0,8
52,1,CA1-V1,28,0.04191616766467073,200.0,0.0185,0.0038,0,8
52,1,CA1-V1,29,-0.054529067147363684,-120.0,0.0216,0.0025,0,8
52,1,CA1-V1,30,-0.19189873417721523,-190.0,0.0211,-0.0111,0,8
52,1,CA3-DG,1,0.03580137012811085,0.0,0.5263,0.5263,1,6
52,1,CA3-DG,2,0.011578368721225881,0.0,0.4481,0.4481,1,6
52,1,CA3-DG,3,0.0781037144673508,0.0,0.3397,0.3397,1,6
52,1,CA3-DG,4,0.07785065924600813,0.0,0.2387,0.2387,1,6
52,1,CA3-DG,5,-0.00202354672553343,0.0,0.1448,0.1448,1,6
52,1,CA3-DG,6,-0.14106331819396212,0.0,0.0963,0.0963,1,6
52,1,CA3-DG,7,-0.24468627784390412,-10.0,0.0536,0.0363,0,6
52,1,CA3-DG,8,-0.08369135590307607,0.0,0.0626,0.0626,0,6
52,1,CA3-DG,9,0.03375527426160338,0.0,0.0449,0.0449,0,6
52,1,CA3-DG,10,-0.12291933418693984,10.0,0.0478,0.0444,0,6
52,1,CA3-DG,11,-0.20243188471065074,-200.0,0.0328,0.0218,0,6
52,1,CA3-DG,12,0.15380217267009721,0.0,0.0462,0.0462,0,6
52,1,CA3-DG,13,-0.07679500520291353,10.0,0.0352,0.0226,0,6
52,1,CA3-DG,14,-0.12954950369050652,0.0,0.0692,0.0692,0,6
52,1,CA3-DG,15,0.05951383067896057,-70.0,0.0275,0.0273,0,6
52,1,CA3-DG,16,0.258527827648115,40.0,0.0316,0.0085,0,6
52,1,CA3-DG,17,0.06520031421838184,80.0,0.0201,-0.0223,0,6
52,1,CA3-DG,18,0.1776527331189711,-40.0,0.0232,0.0067,0,6
52,1,CA3-DG,19,-0.18459495351925634,0.0,0.0278,0.0278,0,6
52,1,CA3-DG,20,0.10798593671521849,240.0,0.0288,0.0028,0,6
52,1,CA3-DG,21,0.06303501945525293,-30.0,0.0338,0.0112,0,6
