animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
52,CA3-DG,9,2,0.061228000000000005,0
52,CA3-DG,10,0,0.062439999999999996,0
52,CA3-DG,10,2,0.06270200000000001,0
52,V1-RSC,1,0,0.029891999999999995,0
52,V1-RSC,1,1,0.032174,0
52,V1-RSC,1,2,0.0355,0
52,V1-RSC,2,0,0.018012,0
52,V1-RSC,2,1,0.018012,0
52,V1-RSC,2,2,0.019819999999999997,0
52,V1-RSC,3,0,0.027063999999999998,0
52,V1-RSC,3,2,0.032007999999999995,0
52,V1-RSC,4,0,0.022446,0
52,V1-RSC,4,2,0.02037,0
52,V1-RSC,5,0,0.026194000000000002,0
52,V1-RSC,5,2,0.026278000000000003,0
52,V1-RSC,6,0,0.024866,0
52,V1-RSC,6,2,0.024768000000000002,0
52,V1-RSC,7,0,0.012276,0
52,V1-RSC,7,2,0.014473999999999997,0
52,V1-RSC,8,0,0.032118,0
52,V1-RSC,8,2,0.031895999999999994,0
52,V1-RSC,9,0,0.036446,0
52,V1-RSC,9,2,0.036446,0
52,V1-RSC,10,0,0.023389999999999998,0
52,V1-RSC,10,2,0.023374,0
61,CA1-CA3,1,0,0.006896000000000001,0
61,CA1-CA3,1,1,0.012072,0
61,CA1-CA3,1,2,0.011062,0
61,CA1-CA3,2,0,0.013141999999999997,0
61,CA1-CA3,2,1,0.013141999999999997,0
61,CA1-CA3,2,2,0.015812,0
61,CA1-CA3,3,0,0.022022000000000003,0
61,CA1-CA3,3,2,0.020928,0
61,CA1-CA3,4,0,0.025377999999999994,0
61,CA1-CA3,4,2,0.022112,0
61,CA1-CA3,5,0,0.021766,0
61,CA1-CA3,5,2,0.019642,0
61,CA1-CA3,6,0,0.014278000000000002,0
61,CA1-CA3,6,2,0.013516,0
61,CA1-CA3,7,0,0.024442,0
61,CA1-CA3,7,2,0.025183999999999995,0
61,CA1-CA3,8,0,0.0059359999999999994,0
61,CA1-CA3,8,2,0.0067,0
61,CA1-CA3,9,0,0.020592000000000003,0
61,CA1-CA3,9,2,0.020592000000000003,0
61,CA1-CA3,10,0,0.03816599999999999,0
61,CA1-CA3,10,2,0.039264,0
61,CA1-DG,1,0,0.012368,0
61,CA1-DG,1,1,0.011842,0
61,CA1-DG,1,2,0.013340000000000001,0
61,CA1-DG,2,0,0.025284,0
61,CA1-DG,2,1,0.025284,0
61,CA1-DG,2,2,0.027367999999999996,0
61,CA1-DG,3,0,0.014158,0
61,CA1-DG,3,2,0.018554,0
61,CA1-DG,4,0,0.023607999999999997,0
61,CA1-DG,4,2,0.02449,0
61,CA1-DG,5,0,0.025835999999999998,0
61,CA1-DG,5,2,0.025822,0
61,CA1-DG,6,0,0.013862,0
61,CA1-DG,6,2,0.014206,0
61,CA1-DG,7,0,0.015966,0
61,CA1-DG,7,2,0.021138,0
61,CA1-DG,8,0,0.015746,0
61,CA1-DG,8,2,0.017252,0
61,CA1-DG,9,0,0.013104,0
61,CA1-DG,9,2,0.013104,0
61,CA1-DG,10,0,0.033624,0
61,CA1-DG,10,2,0.032022,0
61,CA1-RSC,1,0,0.01985,0
61,CA1-RSC,1,1,0.023444,0
61,CA1-RSC,1,2,0.024436000000000003,0
61,CA1-RSC,2,0,0.024829999999999998,0
61,CA1-RSC,2,1,0.024829999999999998,0
61,CA1-RSC,2,2,0.025156,0
61,CA1-RSC,3,0,0.025491999999999997,0
61,CA1-RSC,3,2,0.029503999999999996,0
61,CA1-RSC,4,0,0.023846,0
61,CA1-RSC,4,2,0.023434,0
61,CA1-RSC,5,0,0.028098,0
61,CA1-RSC,5,2,0.0267,0
61,CA1-RSC,6,0,0.051942,0
61,CA1-RSC,6,2,0.0518,0
61,CA1-RSC,7,0,0.021632,0
61,CA1-RSC,7,2,0.018498000000000004,0
61,CA1-RSC,8,0,0.040304,0
61,CA1-RSC,8,2,0.045512,0
61,CA1-RSC,9,0,0.028953999999999997,0
61,CA1-RSC,9,2,0.028953999999999997,0
61,CA1-RSC,10,0,0.028949999999999997,0
61,CA1-RSC,10,2,0.02949,0
61,CA1-V1,1,0,0.04022,0
61,CA1-V1,1,1,0.047664,0
61,CA1-V1,1,2,0.046242,0
61,CA1-V1,2,0,0.026064000000000004,0
61,CA1-V1,2,1,0.026064000000000004,0
61,CA1-V1,2,2,0.028778000000000005,0
61,CA1-V1,3,0,0.022626,0
61,CA1-V1,3,2,0.022581999999999998,0
61,CA1-V1,4,0,0.021424,0
61,CA1-V1,4,2,0.02223,0
61,CA1-V1,5,0,0.019166000000000002,0
61,CA1-V1,5,2,0.018134,0
61,CA1-V1,6,0,0.029912,0
61,CA1-V1,6,2,0.031063999999999998,0
61,CA1-V1,7,0,0.019358,0
61,CA1-V1,7,2,0.018104000000000002,0
61,CA1-V1,8,0,0.021088000000000003,0
61,CA1-V1,8,2,0.026362000000000003,0
61,CA1-V1,9,0,0.038273999999999996,0
61,CA1-V1,9,2,0.038273999999999996,0
61,CA1-V1,10,0,0.031494,0
61,CA1-V1,10,2,0.030164000000000003,0
61,CA3-DG,1,0,0.038626,0
61,CA3-DG,1,1,0.038748000000000005,0
61,CA3-DG,1,2,0.035426,0
61,CA3-DG,2,0,0.03751,0
61,CA3-DG,2,1,0.03751,0
61,CA3-DG,2,2,0.029221999999999998,0
61,CA3-DG,3,0,0.043746,0
61,CA3-DG,3,2,0.044908,0
61,CA3-DG,4,0,0.069776,0
61,CA3-DG,4,2,0.06808600000000001,0
61,CA3-DG,5,0,0.040896,0
61,CA3-DG,5,2,0.042044000000000005,0
61,CA3-DG,6,0,0.049034,0
61,CA3-DG,6,2,0.04879599999999999,0
61,CA3-DG,7,0,0.03218,0
61,CA3-DG,7,2,0.032234,0
61,CA3-DG,8,0,0.04467,0
61,CA3-DG,8,2,0.046306,0
61,CA3-DG,9,0,0.043948,0
61,CA3-DG,9,2,0.043948,0
61,CA3-DG,10,0,0.04219200000000001,0
61,CA3-DG,10,2,0.042325999999999996,0
61,V1-RSC,1,0,0.067312,0
61,V1-RSC,1,1,0.06977199999999999,0
61,V1-RSC,1,2,0.07010400000000001,0
61,V1-RSC,2,0,0.036262,0
61,V1-RSC,2,1,0.036262,0
61,V1-RSC,2,2,0.039616,0
61,V1-RSC,3,0,0.03292199999999999,0
61,V1-RSC,3,2,0.031675999999999996,0
61,V1-RSC,4,0,0.043728,0
61,V1-RSC,4,2,0.04542999999999999,0
61,V1-RSC,5,0,0.057578,0
61,V1-RSC,5,2,0.056524,0
61,V1-RSC,6,0,0.03132,0
61,V1-RSC,6,2,0.03005,0
61,V1-RSC,7,0,0.065006,0
61,V1-RSC,7,2,0.066688,0
61,V1-RSC,8,0,0.06698799999999999,0
61,V1-RSC,8,2,0.067482,0
61,V1-RSC,9,0,0.051492,0
61,V1-RSC,9,2,0.051492,0
61,V1-RSC,10,0,0.07564,0
61,V1-RSC,10,2,0.07740000000000001,0
63,CA1-RSC,1,0,0.010666,0
63,CA1-RSC,1,1,0.01089,0
63,CA1-RSC,1,2,0.01136,0
63,CA1-RSC,2,0,0.022386,0
63,CA1-RSC,2,1,0.022386,0
63,CA1-RSC,2,2,0.026683999999999996,0
63,CA1-RSC,3,0,0.022741999999999995,0
63,CA1-RSC,3,2,0.022741999999999995,0
63,CA1-RSC,4,0,0.016607999999999998,0
63,CA1-RSC,4,2,0.019638,0
63,CA1-RSC,5,0,0.01217,0
63,CA1-RSC,5,2,0.010367999999999999,0
63,CA1-RSC,6,0,0.010918,0
63,CA1-RSC,6,2,0.015414,0
63,CA1-RSC,7,0,0.024720000000000002,0
63,CA1-RSC,7,2,0.024592,0
63,CA1-RSC,8,0,0.01648,0
63,CA1-RSC,8,2,0.015786,0
63,CA1-RSC,9,0,0.017732,0
63,CA1-RSC,9,2,0.015002000000000001,0
63,CA1-RSC,10,0,0.01584,0
63,CA1-RSC,10,2,0.02078,0
66,CA1-DG,1,0,0.040138,0
66,CA1-DG,1,1,0.044219999999999995,0
66,CA1-DG,1,2,0.043868000000000004,0
66,CA1-DG,2,0,0.024428,0
66,CA1-DG,2,1,0.024428,0
