animal,pair,dim,epoch,label,label_loo,ifi_fit,cc_heldout,peak_r,ifi,peak_lag_ms
28,CA1-V1,4,intermediate,FB,FB,-0.03827,0.05974,0.06691,-0.11301214029595376,-10.0
28,CA1-V1,4,naive,FB,FB,-0.03827,0.05974,0.05747,-0.020858085808580878,-100.0
28,CA1-V1,5,expert,FB,FF,-0.00374,0.05425,0.07552,-0.047156484611843956,0.0
28,CA1-V1,5,intermediate,FB,FB,-0.00374,0.05425,0.07021,-0.0035620649127564557,0.0
28,CA1-V1,5,naive,FB,FB,-0.00374,0.05425,0.04193,-0.022378420594154548,50.0
28,CA1-V1,6,expert,FF,FF,0.00728,0.0515,0.09269,0.0011503856819365813,-60.0
28,CA1-V1,6,intermediate,FF,FF,0.00728,0.0515,0.07888,-0.016046362630322174,-170.0
28,CA1-V1,6,naive,FF,FF,0.00728,0.0515,0.0113,-0.23634914308489435,0.0
28,CA1-V1,7,expert,FB,FB,-0.00184,0.03747,0.05857,0.055536335700767325,30.0
28,CA1-V1,7,intermediate,FB,FB,-0.00184,0.03747,0.04305,0.10807575864254029,-220.0
28,CA1-V1,7,naive,FB,FB,-0.00184,0.03747,0.0344,-0.016565278427702394,-250.0
28,CA1-V1,8,expert,FB,FB,-0.05158,0.03371,0.02942,0.09580059322474896,-120.0
28,CA1-V1,8,intermediate,FB,FB,-0.05158,0.03371,0.03043,0.06618047240666158,160.0
28,CA1-V1,8,naive,FB,FB,-0.05158,0.03371,0.02378,-0.3303800832816514,-60.0
28,CA1-V1,9,expert,FB,FB,-0.02249,0.03085,0.03893,-0.017713122785859715,10.0
28,CA1-V1,9,intermediate,FB,FB,-0.02249,0.03085,0.03004,0.0071541748691603,-10.0
28,CA1-V1,9,naive,FB,FB,-0.02249,0.03085,0.03055,0.08264016420006472,160.0
28,CA1-V1,10,expert,FB,FB,-0.00324,0.02642,0.01701,0.1297044096268777,-140.0
28,CA1-V1,10,intermediate,FB,FF,-0.00324,0.02642,0.03009,-0.0687468432571973,80.0
28,CA1-V1,10,naive,FB,FB,-0.00324,0.02642,0.01994,0.1610882405584392,10.0
28,CA3-DG,1,expert,FF,FF,0.055,0.52526,0.51909,0.0468096606264045,0.0
28,CA3-DG,1,intermediate,FF,FF,0.055,0.52526,0.53907,0.020854545066180615,0.0
28,CA3-DG,1,naive,FF,FF,0.055,0.52526,0.51903,0.0485979392013124,0.0
28,CA3-DG,2,expert,FB,FB,-0.42103,0.18512,0.19395,-0.25004504053648285,0.0
28,CA3-DG,2,intermediate,FB,FB,-0.42103,0.18512,0.19216,-0.26431297709923673,0.0
28,CA3-DG,2,naive,FB,FB,-0.42103,0.18512,0.13618,-0.5872256852531809,0.0
28,CA3-DG,3,expert,FF,FF,0.16824,0.09513,0.07812,0.48429192846785873,0.0
28,CA3-DG,3,intermediate,FF,FF,0.16824,0.09513,0.07042,0.12523883967344102,0.0
28,CA3-DG,3,naive,FF,FF,0.16824,0.09513,0.07611,-0.2787157486853031,0.0
28,CA3-DG,4,expert,FB,FB,-0.01478,0.05609,0.08146,0.15319358546330264,0.0
28,CA3-DG,4,intermediate,FB,FB,-0.01478,0.05609,0.04032,-0.37993645029505213,0.0
28,CA3-DG,4,naive,FB,FB,-0.01478,0.05609,0.03422,-0.30234973386992076,0.0
28,CA3-DG,5,expert,FB,FB,-0.36402,0.03242,0.03801,-0.32884580865194757,0.0
28,CA3-DG,5,intermediate,FB,FB,-0.36402,0.03242,0.01577,0.0,-70.0
28,CA3-DG,5,naive,FB,FB,-0.36402,0.03242,0.02184,0.09155015197568392,0.0
28,CA3-DG,6,expert,FB,FB,-0.05848,0.02478,0.03632,0.05907942744877911,0.0
28,CA3-DG,6,intermediate,FB,FB,-0.05848,0.02478,0.02397,0.4318381706244503,30.0
28,CA3-DG,6,naive,FB,FB,-0.05848,0.02478,0.02442,-0.3889500330178297,-160.0
28,CA3-DG,7,expert,FB,FB,-0.62368,0.01679,0.00655,1.0,-160.0
28,CA3-DG,7,intermediate,FB,FB,-0.62368,0.01679,0.01505,-0.6497948016415869,-190.0
28,CA3-DG,7,naive,FB,FB,-0.62368,0.01679,0.02202,-0.5596219585763121,-10.0
28,CA3-DG,8,expert,FB,FB,-0.11742,0.01432,0.01635,-0.7654320987654322,-10.0
