animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-DG,expert,DG,9,1.232842,0.181204
28,CA1-DG,expert,DG,10,1.467679,0.164317
28,CA1-DG,expert,DG,11,0.98224,0.039113
28,CA1-DG,expert,DG,12,1.740861,0.19639
28,CA1-V1,naive,CA1,0,0.729526,0.027945
28,CA1-V1,naive,CA1,1,0.698699,0.051182
28,CA1-V1,naive,CA1,2,0.988312,0.017911
28,CA1-V1,naive,CA1,3,1.149078,0.037979
28,CA1-V1,naive,CA1,4,0.848174,0.030082
28,CA1-V1,naive,CA1,5,0.848601,0.021125
28,CA1-V1,naive,CA1,6,1.274695,0.0218
28,CA1-V1,naive,CA1,7,1.005838,0.017693
28,CA1-V1,naive,CA1,8,1.289235,0.058287
28,CA1-V1,naive,CA1,9,0.032034,0.001128
28,CA1-V1,naive,CA1,10,1.068192,0.133383
28,CA1-V1,naive,CA1,11,1.137088,0.03914
28,CA1-V1,naive,CA1,12,1.165633,0.027408
28,CA1-V1,naive,CA1,13,0.001405,3.3e-05
28,CA1-V1,naive,CA1,14,0.933117,0.021768
28,CA1-V1,naive,CA1,15,0.856224,0.022803
28,CA1-V1,naive,CA1,16,1.456692,0.02783
28,CA1-V1,naive,CA1,17,0.807913,0.020648
28,CA1-V1,naive,CA1,18,0.769643,0.028401
28,CA1-V1,naive,CA1,19,0.027674,0.00192
28,CA1-V1,naive,CA1,20,0.756371,0.019569
28,CA1-V1,naive,CA1,21,0.007932,0.000549
28,CA1-V1,naive,CA1,22,0.822907,0.041418
28,CA1-V1,naive,CA1,23,0.693387,0.063962
28,CA1-V1,naive,V1,0,0.120792,0.009088
28,CA1-V1,naive,V1,1,0.853091,0.016457
28,CA1-V1,naive,V1,2,0.109092,0.007481
28,CA1-V1,naive,V1,3,0.015692,0.001502
28,CA1-V1,naive,V1,4,0.021884,0.000971
28,CA1-V1,naive,V1,5,0.065454,0.002793
28,CA1-V1,naive,V1,6,0.818734,0.024401
28,CA1-V1,naive,V1,7,0.009531,0.000369
28,CA1-V1,naive,V1,8,0.822333,0.015007
28,CA1-V1,naive,V1,9,0.176743,0.00847
28,CA1-V1,naive,V1,10,0.729936,0.036509
28,CA1-V1,naive,V1,11,0.379825,0.043546
28,CA1-V1,naive,V1,12,0.108938,0.012333
28,CA1-V1,naive,V1,13,0.855666,0.01081
28,CA1-V1,naive,V1,14,0.550428,0.029102
28,CA1-V1,naive,V1,15,0.35956,0.021804
28,CA1-V1,naive,V1,16,0.130951,0.003326
28,CA1-V1,naive,V1,17,0.588496,0.027382
28,CA1-V1,naive,V1,18,0.394536,0.023377
28,CA1-V1,naive,V1,19,0.341836,0.007785
28,CA1-V1,naive,V1,20,0.14388,0.010855
28,CA1-V1,naive,V1,21,0.480653,0.05703
28,CA1-V1,naive,V1,22,0.069637,0.006505
28,CA1-V1,naive,V1,23,0.0,0.0
28,CA1-V1,naive,V1,24,0.006713,0.000508
28,CA1-V1,naive,V1,25,0.030878,0.002267
28,CA1-V1,naive,V1,26,0.750536,0.01639
28,CA1-V1,naive,V1,27,0.012693,0.001004
28,CA1-V1,naive,V1,28,0.487201,0.006105
28,CA1-V1,naive,V1,29,0.715769,0.031714
28,CA1-V1,naive,V1,30,0.01047,0.000652
28,CA1-V1,naive,V1,31,0.055114,0.002315
28,CA1-V1,naive,V1,32,0.237249,0.021214
28,CA1-V1,naive,V1,33,0.720356,0.026507
28,CA1-V1,naive,V1,34,0.390333,0.006806
28,CA1-V1,naive,V1,35,0.654534,0.014184
28,CA1-V1,naive,V1,36,0.152847,0.013985
28,CA1-V1,naive,V1,37,0.30838,0.034594
28,CA1-V1,naive,V1,38,0.003484,0.000319
28,CA1-V1,naive,V1,39,0.011908,0.000673
28,CA1-V1,naive,V1,40,0.798637,0.020252
28,CA1-V1,naive,V1,41,0.056731,0.00244
28,CA1-V1,naive,V1,42,0.02122,0.002107
28,CA1-V1,naive,V1,43,0.115908,0.013093
28,CA1-V1,naive,V1,44,0.061478,0.003413
28,CA1-V1,naive,V1,45,0.756502,0.013747
28,CA1-V1,naive,V1,46,0.066036,0.003612
28,CA1-V1,naive,V1,47,0.042033,0.003794
28,CA1-V1,naive,V1,48,0.111117,0.006568
28,CA1-V1,naive,V1,49,0.013702,0.00046
28,CA1-V1,naive,V1,50,0.81027,0.017821
28,CA1-V1,naive,V1,51,0.448074,0.023099
28,CA1-V1,naive,V1,52,0.318124,0.021414
28,CA1-V1,naive,V1,53,0.187231,0.015767
28,CA1-V1,naive,V1,54,0.246955,0.034195
28,CA1-V1,naive,V1,55,0.030871,0.002893
28,CA1-V1,naive,V1,56,0.531208,0.054758
28,CA1-V1,naive,V1,57,0.126831,0.005177
28,CA1-V1,naive,V1,58,0.796736,0.04897
28,CA1-V1,naive,V1,59,0.224741,0.014276
28,CA1-V1,naive,V1,60,0.724327,0.022981
28,CA1-V1,naive,V1,61,0.741005,0.016742
28,CA1-V1,naive,V1,62,0.692395,0.026656
28,CA1-V1,naive,V1,63,0.130226,0.002692
28,CA1-V1,naive,V1,64,0.056567,0.001588
28,CA1-V1,naive,V1,65,0.002699,7.9e-05
28,CA1-V1,naive,V1,66,0.832712,0.008482
28,CA1-V1,intermediate,CA1,0,1.002059,0.054936
28,CA1-V1,intermediate,CA1,1,1.158304,0.078165
28,CA1-V1,intermediate,CA1,2,0.028666,0.001554
28,CA1-V1,intermediate,CA1,3,0.912075,0.020069
28,CA1-V1,intermediate,CA1,4,0.905177,0.022414
28,CA1-V1,intermediate,CA1,5,0.980826,0.023181
28,CA1-V1,intermediate,CA1,6,0.957447,0.039068
28,CA1-V1,intermediate,CA1,7,1.03903,0.027581
28,CA1-V1,intermediate,CA1,8,1.016494,0.060366
28,CA1-V1,intermediate,CA1,9,1.04708,0.041322
28,CA1-V1,intermediate,CA1,10,1.198717,0.060281
28,CA1-V1,intermediate,CA1,11,1.027897,0.048641
28,CA1-V1,intermediate,CA1,12,1.068145,0.033735
28,CA1-V1,intermediate,CA1,13,0.078287,0.003852
28,CA1-V1,intermediate,CA1,14,0.872213,0.025257
28,CA1-V1,intermediate,CA1,15,0.980506,0.019626
28,CA1-V1,intermediate,CA1,16,1.057147,0.031806
28,CA1-V1,intermediate,CA1,17,0.855832,0.037917
28,CA1-V1,intermediate,CA1,18,1.245103,0.036225
28,CA1-V1,intermediate,CA1,19,0.681968,0.014835
28,CA1-V1,intermediate,CA1,20,0.867975,0.016961
28,CA1-V1,intermediate,CA1,21,0.023998,0.000876
28,CA1-V1,intermediate,CA1,22,1.001515,0.046348
28,CA1-V1,intermediate,CA1,23,0.761539,0.031413
28,CA1-V1,intermediate,V1,0,0.518675,0.023448
28,CA1-V1,intermediate,V1,1,0.107382,0.004914
