animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
75,1,CA1-RSC,t1-5,5,2497,-0.502,8,0.9096,0.0211,0,0.3475,0.5025,87.28,89.86,80.2,87.24,0.1572,0.3643,0.4271
75,1,CA1-RSC,t1-7,7,3424,0.3796,11,0.967,0.0007,6,0.3773,0.521,79.87,81.6,78.13,88.36,0.1949,0.4826,0.4271
75,1,CA1-RSC,t1-10,10,5124,0.6261,7,0.6628,-0.0212,0,0.2767,0.5074,68.95,78.83,82.08,80.01,0.1506,0.4692,0.4021
75,1,CA1-RSC,late,10,5571,0.3598,5,0.3033,-0.0052,-8,0.1452,0.4393,77.53,87.96,,,0.0615,0.3249,0.415
75,1,CA1-DG,t1-5,5,2497,0.8639,3,0.7907,0.0016,10,0.3508,0.4282,83.34,83.83,88.94,85.52,0.251,0.3567,0.5458
75,1,CA1-DG,t1-7,7,3424,0.715,2,0.4703,0.0212,10,0.3797,0.3999,74.68,88.26,88.2,77.35,0.2227,0.4351,0.5428
75,1,CA1-DG,t1-10,10,5124,0.8296,8,1.4162,0.017,0,0.2753,0.3948,70.61,77.37,88.46,79.65,0.2567,0.4358,0.5495
75,1,CA1-DG,late,10,5571,-0.6258,8,0.7142,0.0106,0,0.1453,0.3676,78.45,80.54,,,0.0443,0.2715,0.4621
75,1,CA1-V1,t1-5,5,2497,-0.6201,0,0.0,0.0218,9,0.3505,0.2113,56.97,89.19,89.56,83.95,0.0116,0.3826,0.2467
75,1,CA1-V1,t1-7,7,3424,-0.455,4,0.1828,0.0299,9,0.3788,0.2086,84.17,78.13,82.09,83.87,0.0972,0.397,0.2144
75,1,CA1-V1,t1-10,10,5124,0.3034,6,0.4933,0.0308,2,0.2748,0.2179,88.41,88.86,83.9,89.71,-0.0454,0.358,0.2244
75,1,CA1-V1,late,10,5571,0.1504,5,0.1493,0.0122,0,0.1465,0.2392,86.79,87.44,,,-0.026,0.282,0.2576
75,1,CA1-SUB,t1-5,5,2497,0.2771,4,0.5324,0.0187,0,0.3514,0.1238,85.08,88.14,85.18,88.41,0.0579,0.4496,0.1876
75,1,CA1-SUB,t1-7,7,3424,0.3614,8,0.7335,-0.0025,0,0.3796,0.1253,81.88,70.5,80.67,86.75,0.0755,0.4741,0.2803
75,1,CA1-SUB,t1-10,10,5124,-0.0566,9,1.9689,0.0178,0,0.2754,0.101,81.66,71.1,77.09,87.54,0.0628,0.3853,0.2623
75,1,CA1-SUB,late,10,5571,-0.0915,7,0.6506,0.0436,0,0.1457,0.1142,77.68,74.74,,,0.084,0.2572,0.2499
75,1,RSC-SUB,t1-5,5,2497,0.2381,5,0.5396,0.0143,0,0.4993,0.1145,69.92,62.47,81.42,74.29,0.2394,0.4371,0.2842
75,1,RSC-SUB,t1-7,7,3424,0.1802,3,0.3294,0.0331,0,0.5192,0.1243,84.54,85.59,84.18,79.69,0.2328,0.4142,0.2362
75,1,RSC-SUB,t1-10,10,5124,0.6953,9,0.8001,0.0163,0,0.5093,0.1074,62.85,48.83,75.93,65.51,0.298,0.4125,0.234
75,1,RSC-SUB,late,10,5571,0.8429,7,1.0105,0.0394,0,0.4399,0.0958,73.41,74.66,,,0.2084,0.4052,0.2537
75,1,V1-RSC,t1-5,5,2497,0.4358,7,0.7209,0.0432,0,0.1993,0.4978,68.45,78.57,87.83,86.33,0.4717,0.2632,0.4487
75,1,V1-RSC,t1-7,7,3424,0.5366,5,0.5455,0.0602,0,0.2051,0.5184,50.21,55.28,79.91,83.55,0.4274,0.2541,0.4182
75,1,V1-RSC,t1-10,10,5124,0.6579,7,1.1887,0.0351,0,0.2075,0.5055,72.92,82.28,87.5,87.83,0.4523,0.2238,0.4231
75,1,V1-RSC,late,10,5571,0.8855,6,1.5327,0.0289,0,0.2281,0.4307,63.43,59.16,,,0.4047,0.3126,0.4075
77,1,CA1-RSC,t1-5,5,3313,0.2055,1,0.0216,0.0141,0,0.1564,0.3827,63.25,79.72,64.24,87.65,0.063,0.371,0.3278
77,1,CA1-RSC,t1-7,7,4802,0.1791,1,0.0163,-0.0038,0,0.1676,0.4059,26.5,75.13,66.45,86.25,0.1285,0.3125,0.3304
77,1,CA1-RSC,t1-10,10,6927,0.2492,1,0.0321,-0.0005,0,0.1831,0.4092,70.6,86.13,71.07,89.75,0.1414,0.2958,0.3079
77,1,CA1-RSC,late,10,5113,0.506,3,0.2771,-0.0104,0,0.1124,0.3543,72.79,89.08,,,0.3123,0.3372,0.3204
77,1,CA1-DG,t1-5,5,3313,-0.197,2,0.0224,0.0057,-2,0.1495,0.6247,84.77,49.53,82.26,89.34,0.072,0.1927,0.4452
