pair,dims,lag_ms,n_animals,n_areas_used,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA3-DG,1,10,5,9,-13.196000000000002,-1.789735644990056,0.14799618166041767,1.0,23.66111111111111,37.85333333333333,True
CA3-DG,1,20,5,9,9.370999999999999,0.7394613134904793,0.5006724584775928,1.0,45.56777777777778,37.85333333333333,True
CA3-DG,1,30,5,9,19.500999999999998,1.858204056220745,0.136684375443478,1.0,53.922222222222224,37.85333333333333,True
CA3-DG,1,40,5,9,24.799,2.0563459649032807,0.1089030304516883,1.0,58.537777777777784,37.85333333333333,True
CA3-DG,1,50,5,9,14.941999999999998,1.7946611338839396,0.14714987903376842,1.0,51.01222222222222,37.85333333333333,True
CA3-DG,1,70,5,9,9.530000000000001,0.871749758694045,0.43254437603614326,1.0,48.651111111111106,37.85333333333333,True
CA3-DG,1,100,5,9,31.188000000000006,4.180625442088415,0.01391128336750765,0.13911283367507649,67.04,37.85333333333333,True
CA3-DG,1,150,5,9,1.402999999999998,0.14737266579190994,0.8899677820155989,1.0,39.54333333333333,37.85333333333333,True
CA3-DG,1,200,5,9,19.479999999999997,1.5144842371292848,0.20447113793844576,1.0,57.160000000000004,37.85333333333333,True
CA3-DG,1,250,5,9,25.351999999999997,2.9648676516435484,0.041354198817412265,0.41354198817412263,61.61555555555555,37.85333333333333,True
CA1-SUB,1,-250,4,7,24.867499999999996,3.052444612842534,0.05532128236136757,0.5532128236136756,66.95142857142858,42.902857142857144,True
CA1-SUB,1,-200,4,7,31.9,7.6362868650665705,0.004662747043831343,0.04662747043831343,75.62428571428573,42.902857142857144,True
CA1-SUB,1,-150,4,7,16.200000000000003,2.9840350291277185,0.05840827309455607,0.5840827309455607,58.24857142857143,42.902857142857144,True
CA1-SUB,1,-100,4,7,25.323750000000004,2.7670221013398195,0.06974171525819912,0.6974171525819912,70.18857142857142,42.902857142857144,True
