scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-RSC,5,mi_sig,intermediate-naive,8,0.028079418301205528,8.0,0.6001794871405538,False
per_landmark,CA1-RSC,6,mi_sig,intermediate-naive,8,0.0009168166200374805,10.0,0.49896229860376107,False
per_landmark,CA1-SUB,1,mi_sig,intermediate-naive,4,-0.003656936545819424,3.0,1.0,False
per_landmark,CA1-SUB,2,mi_sig,intermediate-naive,4,0.0,1.0,0.6547208460185769,False
per_landmark,CA1-SUB,3,mi_sig,intermediate-naive,4,-0.002945724842989751,5.0,1.0,False
per_landmark,CA1-SUB,4,mi_sig,intermediate-naive,4,0.07319900390489364,3.0,0.625,False
per_landmark,CA1-SUB,5,mi_sig,intermediate-naive,4,0.07186090610934553,1.0,0.25,False
per_landmark,CA1-SUB,6,mi_sig,intermediate-naive,4,0.045532515066354556,0.0,0.17971249487899976,False
per_landmark,V1-RSC,1,mi_sig,intermediate-naive,6,-0.01850883010188356,5.0,0.5001842570707944,False
per_landmark,V1-RSC,2,mi_sig,intermediate-naive,6,0.023420521116333415,6.0,0.6858304344516057,False
per_landmark,V1-RSC,3,mi_sig,intermediate-naive,6,0.012288982897266265,7.0,0.892738400944348,False
per_landmark,V1-RSC,4,mi_sig,intermediate-naive,6,-0.018968680886758904,7.0,0.892738400944348,False
per_landmark,V1-RSC,5,mi_sig,intermediate-naive,6,0.014837982443510332,4.0,0.34523107177184,False
per_landmark,V1-RSC,6,mi_sig,intermediate-naive,6,0.0,1.0,0.28504940740261275,False
per_landmark,RSC-SUB,1,mi_sig,intermediate-naive,4,0.0,1.0,0.6547208460185769,False
per_landmark,RSC-SUB,2,mi_sig,intermediate-naive,4,-0.040551527552578265,0.0,0.17971249487899976,False
per_landmark,RSC-SUB,3,mi_sig,intermediate-naive,4,0.019554028008189187,2.0,0.5929800980174267,False
per_landmark,RSC-SUB,4,mi_sig,intermediate-naive,4,0.20225644479603833,0.0,0.10880943004054568,False
per_landmark,RSC-SUB,5,mi_sig,intermediate-naive,4,-0.06443127849074291,0.0,0.10880943004054568,False
per_landmark,RSC-SUB,6,mi_sig,intermediate-naive,4,0.16582000168987876,0.0,0.10880943004054568,False
per_landmark,CA3-DG,1,mi_sig,intermediate-naive,4,0.05188421729761442,0.0,0.10880943004054568,False
per_landmark,CA3-DG,2,mi_sig,intermediate-naive,4,0.08901236711294419,0.0,0.125,False
per_landmark,CA3-DG,3,mi_sig,intermediate-naive,4,0.04978811639899405,3.0,1.0,False
per_landmark,CA3-DG,4,mi_sig,intermediate-naive,4,0.03599450222751264,5.0,1.0,False
per_landmark,CA3-DG,5,mi_sig,intermediate-naive,4,0.14302106147817367,0.0,0.10880943004054568,False
per_landmark,CA3-DG,6,mi_sig,intermediate-naive,4,-0.016580861614414848,1.0,0.28504940740261275,False
per_landmark,CA1-V1,1,ifi_weighted,expert-naive,10,0.034694808068446804,15.0,0.232421875,False
per_landmark,CA1-V1,2,ifi_weighted,expert-naive,10,0.007889178090761893,26.0,0.921875,False
per_landmark,CA1-V1,3,ifi_weighted,expert-naive,10,0.027044590251322366,13.0,0.16015625,False
