animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
52,CA1,intermediate,54,4,0.4252539912917272,0.3208961035543824,0.30785357200451546,0.10027500181044702,0.4252715837621498,0.3236233045165268
52,CA1,naive,54,4,0.46097403644573454,0.1387698094874386,0.41859472381115004,0.07365159390918205,0.43968714723431707,0.11952382493230679
52,CA3,expert,54,2,0.11226498339939807,-0.12005397615230054,0.27768128528006947,0.006257283487650506,0.2739470173432437,-0.026658905952372847
52,CA3,intermediate,54,2,0.4014409343424616,0.1007956441572745,0.510408163265306,-0.15062176612442157,0.445092433771679,0.09094806915581953
52,CA3,naive,54,2,0.3246250604741171,-0.02955273493390976,0.42542474173994704,-0.11409032626527527,0.36260720411663805,-0.03228474517568911
52,DG,expert,33,2,0.43014705882352944,0.1447754902710214,0.45857771260997054,0.08012628041415215,0.4331550802139038,0.05131925667884153
52,DG,intermediate,33,2,0.4230205278592375,-0.004700009541315192,0.42778592375366564,-0.06011822414180967,0.4491978609625669,-0.054908387047728505
52,DG,naive,33,2,0.40942513368983957,0.22011685199856265,0.4719251336898396,0.2900492949379977,0.38770053475935834,0.17454728086432303
52,RSC,expert,7,2,-0.5357142857142858,-0.5886810475844638,-0.5,-0.4305878106322196,-0.7142857142857144,-0.7505683356701915
52,RSC,intermediate,7,2,0.6785714285714287,0.6765308285303979,0.8571428571428573,0.864063848822313,0.7142857142857144,0.7211102550927979
52,RSC,naive,7,2,0.10714285714285716,0.08762027699380348,0.3214285714285715,0.31600277291399126,0.42857142857142866,0.42966892442365984
52,V1,expert,103,2,0.37052094701189137,0.13665195706227984,0.22523480217810476,-0.22386803092930785,0.28689122481637086,0.10805109771950158
52,V1,intermediate,103,2,0.5075231735711462,0.38287576572281856,0.3092603377984857,0.033688665631262486,0.4629332689012872,0.3868593725257242
52,V1,naive,103,2,0.1743728858234855,0.10904086914474491,0.058699130906808554,-0.11978616487079205,0.0884439660853139,0.056397524599041904
61,CA1,expert,58,4,0.20184080891884887,-0.04050495056806489,0.4130741376024394,0.11029789538420229,0.2692485157956258,0.02605442054215017
61,CA1,intermediate,58,4,0.21000338367836602,-0.056004509264729184,0.24559884559884562,-0.24381511431135497,0.23793411055400046,-0.018977183087558802
61,CA1,naive,58,4,0.29627949183303093,0.21022995780944873,0.21381771201821037,-0.01831362745358579,0.1386440238527353,0.024455833061782707
61,CA3,expert,30,2,0.1724137931034483,-0.017440961767087617,0.3846153846153845,0.03041760676934248,0.27203065134099613,-0.1257047434186376
61,CA3,intermediate,30,2,0.3161538461538462,-0.008581052805739911,0.2053846153846154,-0.17820402399939422,0.3089133089133089,-0.20023250853373606
61,CA3,naive,30,2,0.014041514041514042,-0.20123408146447969,0.2094017094017094,-0.2466224122923373,-0.09829059829059829,-0.4043038347874819
61,DG,expert,25,2,0.26347826086956516,-0.026698806236309644,0.6561264822134387,0.1801568922651064,0.5653846153846154,0.2260893770803083
61,DG,intermediate,25,2,0.1485036702428007,-0.3488741005574721,0.5082706766917292,-0.050347265157756914,0.53,-0.020979183998420928
61,DG,naive,25,2,0.41298701298701296,0.19843948965233185,0.5896103896103897,0.08649717963981086,0.608695652173913,0.2347361977064484
61,RSC,expert,101,2,0.11644729178800231,0.1057621599182905,0.02299359347699476,0.0007428812048411657,0.11111240535818287,0.09995817648181612
61,RSC,intermediate,101,2,0.3303086779266161,0.29343074068973635,0.24252766453115898,0.19494965660288377,0.32235294117647056,0.2918003716198651
61,RSC,naive,101,2,0.34613861386138617,0.27151183115642386,0.22914385556202677,0.1002786201325358,0.1699009900990099,0.1267314169269464
61,V1,expert,84,2,0.3509567682494685,0.10473571970179649,0.319696906091264,-0.011385272014544964,0.2739090817049712,0.06169203409318681
61,V1,intermediate,84,2,0.2350758045733068,0.1960544080951964,0.22916754124511984,0.18294508516620617,0.3068543079882555,0.2589446648719575
61,V1,naive,84,2,0.3896115627822945,0.17610800368447363,0.18067935699437315,-0.2576063580208144,0.20752697199949624,-0.058089679931935714
63,CA1,expert,10,1,-0.3939393939393939,-0.7270516384510068,-0.07878787878787878,-0.8616886409736308,-0.13939393939393938,-0.6565420385383269
63,CA1,intermediate,10,1,0.17575757575757575,-0.014914539038951227,0.16363636363636364,0.08852275443819525,0.43030303030303024,0.19803377464918284
63,CA1,naive,10,1,0.12727272727272726,-0.06212240859704851,0.4545454545454545,0.24148443457675925,0.34545454545454546,0.18056586777138317
63,RSC,expert,51,1,0.12725395571388737,-0.10857654438316641,0.2435801715594356,-0.15195207014016396,0.1429896604361539,-0.1761850472623396
63,RSC,intermediate,51,1,0.11502262443438914,-0.11412702561178872,0.42895927601809947,0.06526537703572718,0.2388235294117647,-0.06536585842069124
