pair,group,metric,contrast,unit,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-V1,all,peak_minus_far,expert-naive,animals,10,0.010869833333333332,0.011454716666666668,0.0005848833333333338,0.5240098044085952,0.6129301040571621,False
CA3-DG,all,peak_minus_far,expert-naive,animals,4,0.12670595833333334,0.14103733333333335,0.01433137500000001,8.42289219992124,0.0035113737946192536,True
CA1-SUB,all,peak_minus_far,expert-naive,animals,4,0.025914729166666668,0.02922484722222222,0.0033101180555555557,1.1168101684806797,0.3454633108480731,False
RSC-SUB,all,peak_minus_far,expert-naive,animals,4,0.03324691666666667,0.03577382638888889,0.0025269097222222143,1.129568359222683,0.3408155131069644,False
V1-RSC,all,peak_minus_far,expert-naive,animals,6,0.030724430555555553,0.03270676388888888,0.001982333333333326,2.3403995822970893,0.06634719898335188,False
CA1-RSC,all,peak_minus_far,expert-naive,ccs,79,0.025286044303797467,0.028038765822784816,0.0027527215189873423,2.06164913687236,0.042572284877808585,False
CA1-CA3,all,peak_minus_far,expert-naive,ccs,70,0.09419660714285712,0.0971134642857143,0.0029168571428571455,0.7144958389973362,0.47733095660915126,False
CA1-DG,all,peak_minus_far,expert-naive,ccs,75,0.060903633333333346,0.05756636666666667,-0.0033372666666666656,-1.2220224565429942,0.22557752637204115,False
CA1-V1,all,peak_minus_far,expert-naive,ccs,98,0.016816981292517005,0.017858146258503398,0.0010411649659863944,1.5636044453626192,0.1211672335555733,False
CA3-DG,all,peak_minus_far,expert-naive,ccs,40,0.12879645833333334,0.14315183333333334,0.014355375000000004,4.333676976527722,9.972922027280827e-05,True
CA1-SUB,all,peak_minus_far,expert-naive,ccs,36,0.030935810185185177,0.035250740740740735,0.004314930555555554,2.2155324303650934,0.033323353594268613,False
RSC-SUB,all,peak_minus_far,expert-naive,ccs,36,0.03619560185185186,0.03960974537037037,0.003414143518518519,2.1256761852400445,0.04066135991452532,False
V1-RSC,all,peak_minus_far,expert-naive,ccs,60,0.03467909722222222,0.03798776388888889,0.0033086666666666664,3.1016669351318744,0.002950567665403238,True
CA1-RSC,all,peak_minus_far,intermediate-naive,animals,8,0.019286925925925926,0.022614356481481482,0.0033274305555555574,1.4143335769077396,0.20016625956359013,False
CA1-CA3,all,peak_minus_far,intermediate-naive,animals,7,0.09001703571428572,0.09606521428571427,0.006048178571428571,1.678142135678767,0.14432776344871193,False
CA1-DG,all,peak_minus_far,intermediate-naive,animals,8,0.05564253125,0.05676626041666667,0.0011237291666666713,0.49399993177387186,0.6364286883639443,False
CA1-V1,all,peak_minus_far,intermediate-naive,animals,10,0.010869833333333332,0.011876566666666666,0.001006733333333332,0.823014001048924,0.43176583835594085,False
CA3-DG,all,peak_minus_far,intermediate-naive,animals,4,0.12670595833333334,0.1445676041666667,0.01786164583333334,8.235728539644825,0.0037478426218593504,True
CA1-SUB,all,peak_minus_far,intermediate-naive,animals,4,0.025914729166666668,0.03047008333333333,0.004555354166666664,1.8234071968282162,0.16575599486017267,False
RSC-SUB,all,peak_minus_far,intermediate-naive,animals,4,0.03324691666666667,0.03370743749999999,0.0004605208333333258,0.295378773459096,0.7869682340514623,False
V1-RSC,all,peak_minus_far,intermediate-naive,animals,6,0.030724430555555553,0.03201006944444444,0.00128563888888889,1.1385391589625085,0.306489310213323,False
