animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
52,CA1-DG,9,2,0.025091999999999996,0
52,CA1-DG,10,0,0.014086000000000001,0
52,CA1-DG,10,2,0.014886,0
52,CA1-RSC,1,0,0.006914999999999999,0
52,CA1-RSC,1,1,0.009264999999999999,0
52,CA1-RSC,1,2,0.00936,0
52,CA1-RSC,2,0,0.048095,0
52,CA1-RSC,2,1,0.048095,0
52,CA1-RSC,2,2,0.052825,0
52,CA1-RSC,3,0,0.0271,0
52,CA1-RSC,3,2,0.033365,0
52,CA1-RSC,4,0,0.012575,0
52,CA1-RSC,4,2,0.01702,0
52,CA1-RSC,5,0,0.00404,0
52,CA1-RSC,5,2,0.010185000000000001,0
52,CA1-RSC,6,0,0.01464,0
52,CA1-RSC,6,2,0.019575,0
52,CA1-RSC,7,0,0.005365,0
52,CA1-RSC,7,2,0.00879,0
52,CA1-RSC,8,0,0.0037949999999999998,0
52,CA1-RSC,8,2,0.0033,0
52,CA1-RSC,9,0,0.017845,0
52,CA1-RSC,9,2,0.017845,0
52,CA1-RSC,10,0,0.00595,0
52,CA1-RSC,10,2,0.005415,0
52,CA1-V1,1,0,0.035396,0
52,CA1-V1,1,1,0.03599599999999999,0
52,CA1-V1,1,2,0.03575,0
52,CA1-V1,2,0,0.024782,0
52,CA1-V1,2,1,0.024782,0
52,CA1-V1,2,2,0.024585999999999997,0
52,CA1-V1,3,0,0.03551,0
52,CA1-V1,3,2,0.04154600000000001,0
52,CA1-V1,4,0,0.018946,0
52,CA1-V1,4,2,0.019048,0
52,CA1-V1,5,0,0.015872,0
52,CA1-V1,5,2,0.021164000000000002,0
52,CA1-V1,6,0,0.041428,0
52,CA1-V1,6,2,0.042881999999999997,0
52,CA1-V1,7,0,0.026068,0
52,CA1-V1,7,2,0.026898,0
52,CA1-V1,8,0,0.028724,0
52,CA1-V1,8,2,0.03125599999999999,0
52,CA1-V1,9,0,0.018038,0
52,CA1-V1,9,2,0.018038,0
52,CA1-V1,10,0,0.034456,0
52,CA1-V1,10,2,0.034942,0
52,CA3-DG,1,0,0.07026,0
52,CA3-DG,1,1,0.06919800000000001,0
52,CA3-DG,1,2,0.07433000000000001,0
52,CA3-DG,2,0,0.069994,0
52,CA3-DG,2,1,0.069994,0
52,CA3-DG,2,2,0.072034,0
52,CA3-DG,3,0,0.064932,0
52,CA3-DG,3,2,0.057225999999999985,0
52,CA3-DG,4,0,0.04625,0
52,CA3-DG,4,2,0.048212,0
52,CA3-DG,5,0,0.043758,0
52,CA3-DG,5,2,0.045,0
52,CA3-DG,6,0,0.03825,0
52,CA3-DG,6,2,0.034818,0
52,CA3-DG,7,0,0.057326,0
52,CA3-DG,7,2,0.055028,0
52,CA3-DG,8,0,0.04587200000000001,0
52,CA3-DG,8,2,0.047368,0
52,CA3-DG,9,0,0.048774,0
52,CA3-DG,9,2,0.048774,0
52,CA3-DG,10,0,0.059304,0
52,CA3-DG,10,2,0.059434,0
52,V1-RSC,1,0,0.035845,0
52,V1-RSC,1,1,0.040165,0
52,V1-RSC,1,2,0.045505000000000004,0
52,V1-RSC,2,0,0.034,0
52,V1-RSC,2,1,0.034,0
52,V1-RSC,2,2,0.039889999999999995,0
52,V1-RSC,3,0,0.049425,0
52,V1-RSC,3,2,0.061954999999999996,0
52,V1-RSC,4,0,0.04943,0
52,V1-RSC,4,2,0.041285,0
52,V1-RSC,5,0,0.025124999999999998,0
52,V1-RSC,5,2,0.02804,0
52,V1-RSC,6,0,0.02289,0
52,V1-RSC,6,2,0.020665000000000003,0
52,V1-RSC,7,0,0.024954999999999998,0
52,V1-RSC,7,2,0.028805,0
52,V1-RSC,8,0,0.044655,0
52,V1-RSC,8,2,0.043859999999999996,0
52,V1-RSC,9,0,0.052989999999999995,0
52,V1-RSC,9,2,0.052989999999999995,0
52,V1-RSC,10,0,0.03172,0
52,V1-RSC,10,2,0.032005,0
61,CA1-CA3,1,0,0.025542,0
61,CA1-CA3,1,1,0.023438,0
61,CA1-CA3,1,2,0.025872,0
61,CA1-CA3,2,0,0.012615999999999999,0
61,CA1-CA3,2,1,0.012615999999999999,0
61,CA1-CA3,2,2,0.018279999999999998,0
61,CA1-CA3,3,0,0.017238,0
61,CA1-CA3,3,2,0.015917999999999998,0
61,CA1-CA3,4,0,0.012708,0
61,CA1-CA3,4,2,0.016604,0
61,CA1-CA3,5,0,0.022958,0
61,CA1-CA3,5,2,0.022136,0
61,CA1-CA3,6,0,0.023412,0
61,CA1-CA3,6,2,0.023364000000000003,0
61,CA1-CA3,7,0,0.009038000000000001,0
61,CA1-CA3,7,2,0.009982,0
61,CA1-CA3,8,0,0.012012,0
61,CA1-CA3,8,2,0.019074,0
61,CA1-CA3,9,0,0.013932,0
61,CA1-CA3,9,2,0.013932,0
61,CA1-CA3,10,0,0.038444000000000006,0
61,CA1-CA3,10,2,0.039754,0
61,CA1-DG,1,0,0.00819,0
61,CA1-DG,1,1,0.00723,0
61,CA1-DG,1,2,0.00747,0
61,CA1-DG,2,0,0.023194000000000003,0
61,CA1-DG,2,1,0.023194000000000003,0
61,CA1-DG,2,2,0.025722000000000002,0
61,CA1-DG,3,0,0.008376,0
61,CA1-DG,3,2,0.013462000000000002,0
61,CA1-DG,4,0,0.01989,0
61,CA1-DG,4,2,0.020064,0
61,CA1-DG,5,0,0.023708,0
61,CA1-DG,5,2,0.022505999999999998,0
61,CA1-DG,6,0,0.01068,0
61,CA1-DG,6,2,0.010997999999999999,0
61,CA1-DG,7,0,0.016975999999999998,0
61,CA1-DG,7,2,0.020956000000000002,0
61,CA1-DG,8,0,0.015762,0
61,CA1-DG,8,2,0.015477999999999997,0
61,CA1-DG,9,0,0.023496,0
61,CA1-DG,9,2,0.023496,0
61,CA1-DG,10,0,0.038132,0
61,CA1-DG,10,2,0.037096,0
61,CA1-RSC,1,0,0.026192,0
61,CA1-RSC,1,1,0.029125999999999996,0
61,CA1-RSC,1,2,0.028027999999999997,0
61,CA1-RSC,2,0,0.032436,0
61,CA1-RSC,2,1,0.032436,0
61,CA1-RSC,2,2,0.031952,0
61,CA1-RSC,3,0,0.017816,0
61,CA1-RSC,3,2,0.02343,0
61,CA1-RSC,4,0,0.015048,0
61,CA1-RSC,4,2,0.013666000000000001,0
61,CA1-RSC,5,0,0.035004,0
61,CA1-RSC,5,2,0.04117,0
61,CA1-RSC,6,0,0.041271999999999996,0
61,CA1-RSC,6,2,0.04121999999999999,0
61,CA1-RSC,7,0,0.024446,0
61,CA1-RSC,7,2,0.025524,0
61,CA1-RSC,8,0,0.033782,0
61,CA1-RSC,8,2,0.036352,0
61,CA1-RSC,9,0,0.033493999999999996,0
61,CA1-RSC,9,2,0.033493999999999996,0
61,CA1-RSC,10,0,0.029033999999999997,0
61,CA1-RSC,10,2,0.028537999999999997,0
61,CA1-V1,1,0,0.030757999999999997,0
61,CA1-V1,1,1,0.036326000000000004,0
61,CA1-V1,1,2,0.034553999999999994,0
61,CA1-V1,2,0,0.01346,0
61,CA1-V1,2,1,0.01346,0
61,CA1-V1,2,2,0.016031999999999998,0
61,CA1-V1,3,0,0.01558,0
61,CA1-V1,3,2,0.017802000000000002,0
61,CA1-V1,4,0,0.012856000000000001,0
61,CA1-V1,4,2,0.013133999999999998,0
61,CA1-V1,5,0,0.018792,0
61,CA1-V1,5,2,0.020130000000000002,0
61,CA1-V1,6,0,0.014003999999999999,0
61,CA1-V1,6,2,0.01432,0
61,CA1-V1,7,0,0.0063820000000000005,0
61,CA1-V1,7,2,0.007844,0
61,CA1-V1,8,0,0.029759999999999998,0
61,CA1-V1,8,2,0.029226000000000002,0
61,CA1-V1,9,0,0.029052000000000005,0
61,CA1-V1,9,2,0.029052000000000005,0
61,CA1-V1,10,0,0.020326,0
61,CA1-V1,10,2,0.021082,0
61,CA3-DG,1,0,0.026754,0
61,CA3-DG,1,1,0.029330000000000002,0
61,CA3-DG,1,2,0.030689999999999995,0
61,CA3-DG,2,0,0.041894,0
61,CA3-DG,2,1,0.041894,0
61,CA3-DG,2,2,0.040576,0
61,CA3-DG,3,0,0.038439999999999995,0
61,CA3-DG,3,2,0.0381,0
61,CA3-DG,4,0,0.052382,0
61,CA3-DG,4,2,0.054580000000000004,0
61,CA3-DG,5,0,0.042408,0
61,CA3-DG,5,2,0.040881999999999995,0
61,CA3-DG,6,0,0.060962,0
61,CA3-DG,6,2,0.060184,0
61,CA3-DG,7,0,0.041058000000000004,0
61,CA3-DG,7,2,0.042825999999999996,0
61,CA3-DG,8,0,0.049622,0
61,CA3-DG,8,2,0.056448,0
61,CA3-DG,9,0,0.052022,0
61,CA3-DG,9,2,0.052022,0
61,CA3-DG,10,0,0.049867999999999996,0
61,CA3-DG,10,2,0.047608,0
61,V1-RSC,1,0,0.04504199999999999,0
61,V1-RSC,1,1,0.04799,0
61,V1-RSC,1,2,0.0524,0
61,V1-RSC,2,0,0.021177999999999995,0
61,V1-RSC,2,1,0.021177999999999995,0
61,V1-RSC,2,2,0.021536,0
61,V1-RSC,3,0,0.031338,0
61,V1-RSC,3,2,0.031287999999999996,0
61,V1-RSC,4,0,0.014174,0
61,V1-RSC,4,2,0.013018000000000002,0
61,V1-RSC,5,0,0.045312000000000005,0
61,V1-RSC,5,2,0.044989999999999995,0
61,V1-RSC,6,0,0.032246,0
61,V1-RSC,6,2,0.031654,0
61,V1-RSC,7,0,0.062341999999999995,0
61,V1-RSC,7,2,0.063946,0
61,V1-RSC,8,0,0.04035400000000001,0
61,V1-RSC,8,2,0.041178000000000006,0
61,V1-RSC,9,0,0.042794,0
61,V1-RSC,9,2,0.042794,0
61,V1-RSC,10,0,0.051498,0
61,V1-RSC,10,2,0.05355800000000001,0
63,CA1-RSC,1,0,0.0066960000000000006,0
63,CA1-RSC,1,1,0.0103,0
63,CA1-RSC,1,2,0.014485999999999999,0
63,CA1-RSC,2,0,0.020596,0
63,CA1-RSC,2,1,0.020596,0
63,CA1-RSC,2,2,0.024154,0
63,CA1-RSC,3,0,0.014687999999999998,0
63,CA1-RSC,3,2,0.014687999999999998,0
63,CA1-RSC,4,0,0.013396,0
63,CA1-RSC,4,2,0.01662,0
63,CA1-RSC,5,0,0.010752000000000001,0
63,CA1-RSC,5,2,0.01987,0
63,CA1-RSC,6,0,0.016506,0
63,CA1-RSC,6,2,0.018984,0
63,CA1-RSC,7,0,0.018288000000000002,0
63,CA1-RSC,7,2,0.01852,0
63,CA1-RSC,8,0,0.014724000000000001,0
63,CA1-RSC,8,2,0.016300000000000002,0
63,CA1-RSC,9,0,0.008058,0
63,CA1-RSC,9,2,0.005939999999999999,0
63,CA1-RSC,10,0,0.01675,0
63,CA1-RSC,10,2,0.019276,0
66,CA1-DG,1,0,0.030264000000000003,0
66,CA1-DG,1,1,0.024978,0
