animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,uncued,V1,33,0.040236
41,1,CA1-V1,uncued,V1,34,0.297772
41,1,CA1-V1,uncued,V1,35,0.04969
41,1,CA1-V1,uncued,V1,36,0.090925
41,1,CA1-V1,uncued,V1,37,0.094445
41,1,CA1-V1,uncued,V1,38,0.1913
41,1,CA1-V1,uncued,V1,39,0.132621
41,1,CA1-V1,uncued,V1,40,0.156346
41,1,CA1-V1,uncued,V1,41,0.160907
41,1,CA1-V1,uncued,V1,42,0.029581
41,1,CA1-V1,uncued,V1,43,0.15237
41,1,CA1-V1,uncued,V1,44,0.144509
41,1,CA1-V1,uncued,V1,45,0.032936
41,1,CA1-V1,uncued,V1,46,0.085449
41,1,CA1-V1,uncued,V1,47,0.043985
41,1,CA1-V1,uncued,V1,48,0.09468
41,1,CA1-V1,uncued,V1,49,0.142769
41,1,CA1-V1,uncued,V1,50,0.031112
41,1,CA1-V1,uncued,V1,51,0.079715
41,1,CA1-V1,uncued,V1,52,0.062642
41,1,CA1-V1,uncued,V1,53,0.022106
41,1,CA1-V1,uncued,V1,54,0.028114
41,1,CA1-V1,uncued,V1,55,0.054831
41,1,CA1-V1,uncued,V1,56,0.032767
41,1,CA1-V1,uncued,V1,57,0.010927
41,1,CA1-V1,uncued,V1,58,0.069351
41,1,CA1-V1,uncued,V1,59,0.114232
41,1,CA1-V1,uncued,V1,60,0.695217
41,1,CA1-V1,uncued,V1,61,0.069096
41,1,CA1-V1,uncued,V1,62,0.01868
41,1,CA1-V1,uncued,V1,63,0.090309
41,1,CA1-V1,uncued,V1,64,0.01686
41,1,CA1-V1,uncued,V1,65,0.103939
41,1,CA1-V1,uncued,V1,66,0.013369
41,1,CA1-V1,uncued,V1,67,0.027105
41,1,CA1-V1,uncued,V1,68,0.041017
41,1,CA1-V1,uncued,V1,69,0.034496
41,1,CA1-V1,uncued,V1,70,0.019049
41,1,CA1-V1,uncued,V1,71,0.20109
41,1,CA1-V1,uncued,V1,72,0.142815
41,1,CA1-V1,uncued,V1,73,0.008401
41,1,CA1-V1,uncued,V1,74,0.09887
41,1,CA1-V1,uncued,V1,75,0.05591
41,1,CA1-V1,uncued,V1,76,0.020924
41,1,CA1-V1,uncued,V1,77,0.071582
41,1,CA1-V1,uncued,V1,78,0.011787
41,1,CA1-V1,uncued,V1,79,0.061187
41,1,CA1-V1,uncued,V1,80,0.009111
41,1,CA1-V1,uncued,V1,81,0.014224
41,1,CA1-V1,uncued,V1,82,0.011063
41,1,CA1-V1,uncued,V1,83,0.027922
41,1,CA1-V1,uncued,V1,84,0.02009
41,1,CA1-V1,uncued,V1,85,0.013647
41,1,CA1-V1,uncued,V1,86,0.039526
41,1,CA1-V1,uncued,V1,87,0.010498
41,1,CA1-V1,uncued,V1,88,0.669659
41,1,CA1-V1,uncued,V1,89,0.182127
41,1,CA1-V1,uncued,V1,90,0.0296
41,1,CA1-V1,uncued,V1,91,0.020955
41,1,CA1-V1,uncued,V1,92,0.003531
41,1,CA1-V1,uncued,V1,93,0.033428
41,1,CA1-V1,uncued,V1,94,0.699823
41,1,CA1-V1,uncued,V1,95,0.298268
41,1,CA1-V1,uncued,V1,96,0.02477
41,1,CA1-V1,uncued,V1,97,0.10299
41,1,CA1-V1,uncued,V1,98,0.086947
41,1,CA1-V1,uncued,V1,99,0.01744
41,1,CA1-V1,uncued,V1,100,0.054454
41,1,CA1-V1,uncued,V1,101,0.029412
41,1,CA1-V1,uncued,V1,102,0.017953
41,1,CA1-V1,uncued,V1,103,0.251203
41,1,CA1-V1,uncued,V1,104,0.013579
41,1,CA1-V1,uncued,V1,105,0.061254
41,1,CA1-V1,uncued,V1,106,0.778115
41,1,CA1-V1,uncued,V1,107,0.112802
41,1,CA1-V1,uncued,V1,108,0.075703
41,1,CA1-V1,uncued,V1,109,0.014592
41,1,CA1-V1,uncued,V1,110,0.019038
41,1,CA1-V1,uncued,V1,111,0.047105
41,1,CA1-V1,uncued,V1,112,0.062299
41,1,CA1-V1,uncued,V1,113,0.685609
41,1,CA1-V1,uncued,V1,114,0.033029
41,1,CA1-V1,uncued,V1,115,0.042836
41,1,CA1-V1,uncued,V1,116,0.197773
41,1,CA1-V1,uncued,V1,117,0.273589
41,1,CA1-V1,uncued,V1,118,0.270203
41,1,CA1-V1,uncued,V1,119,0.031853
41,1,CA1-V1,uncued,V1,120,0.011691
41,1,CA1-V1,uncued,V1,121,0.638572
41,1,CA1-V1,uncued,V1,122,0.725299
41,1,CA1-V1,uncued,V1,123,0.355217
41,1,CA1-V1,uncued,V1,124,0.043092
41,1,CA1-V1,uncued,V1,125,0.030439
41,1,CA1-V1,uncued,V1,126,0.035737
41,1,CA1-V1,uncued,V1,127,0.170507
41,1,CA1-V1,uncued,V1,128,0.106942
41,1,CA1-V1,uncued,V1,129,0.083929
41,1,CA1-V1,uncued,V1,130,0.063755
41,1,CA1-V1,uncued,V1,131,0.038881
41,1,CA1-V1,uncued,V1,132,0.028666
41,1,CA1-V1,uncued,V1,133,0.555802
41,1,CA1-V1,uncued,V1,134,0.016293
41,1,CA1-V1,uncued,V1,135,0.010975
41,1,CA1-V1,uncued,V1,136,0.174965
41,1,CA1-V1,uncued,V1,137,0.005308
41,1,CA1-V1,uncued,V1,138,0.022092
41,1,CA1-V1,uncued,V1,139,0.064855
41,1,CA1-V1,uncued,V1,140,0.123057
41,1,CA1-V1,uncued,V1,141,0.707417
41,1,CA1-V1,uncued,V1,142,0.040634
41,1,CA1-V1,uncued,V1,143,0.004919
41,1,CA1-V1,uncued,V1,144,0.007853
41,1,CA1-V1,uncued,V1,145,0.016851
41,1,CA1-V1,uncued,V1,146,0.11842
41,1,CA1-V1,uncued,V1,147,0.057608
41,1,CA1-V1,uncued,V1,148,0.003056
41,1,CA1-V1,uncued,V1,149,0.015286
41,1,CA1-V1,uncued,V1,150,0.013896
41,1,CA1-V1,uncued,V1,151,0.081003
41,1,CA1-V1,uncued,V1,152,0.11784
41,1,CA1-V1,uncued,V1,153,0.166357
41,1,CA1-V1,uncued,V1,154,0.129946
41,1,CA1-V1,uncued,V1,155,0.019747
41,1,CA1-V1,uncued,V1,156,0.213245
41,1,CA1-V1,uncued,V1,157,0.020505
41,1,CA1-V1,uncued,V1,158,0.719263
41,1,CA1-V1,uncued,V1,159,0.017724
41,1,CA1-V1,uncued,V1,160,0.033706
41,1,CA1-V1,uncued,V1,161,0.025699
41,1,CA1-V1,uncued,V1,162,0.651845
41,1,CA1-V1,uncued,V1,163,0.015577
41,1,CA1-V1,uncued,V1,164,0.075343
41,1,CA1-V1,uncued,V1,165,0.066344
41,1,CA1-V1,uncued,V1,166,0.016289
41,1,CA1-V1,uncued,V1,167,0.013484
41,1,CA1-V1,uncued,V1,168,0.102996
41,1,CA1-V1,uncued,V1,169,0.649719
41,1,CA1-V1,uncued,V1,170,0.024671
41,1,CA1-V1,uncued,V1,171,0.0127
41,1,CA1-V1,uncued,V1,172,0.043295
41,1,CA1-V1,uncued,V1,173,0.014361
41,1,CA1-V1,uncued,V1,174,0.023103
41,1,CA1-V1,uncued,V1,175,0.033836
41,1,CA1-V1,cued,CA1,0,1.052843
41,1,CA1-V1,cued,CA1,1,0.862213
41,1,CA1-V1,cued,CA1,2,0.73333
41,1,CA1-V1,cued,CA1,3,1.031195
41,1,CA1-V1,cued,CA1,4,0.210916
41,1,CA1-V1,cued,CA1,5,1.05754
41,1,CA1-V1,cued,CA1,6,1.180258
