animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
66,1,CA1-RSC,session,900,0.0995,0.0988,2,0.0105,0.1679,0,0.3096,0.2205
66,1,CA1-RSC,naive,900,0.1752,0.3783,3,0.0249,-0.3053,-1,0.3175,0.2888
66,1,CA1-RSC,intermediate,900,0.0585,-0.0052,0,0.0,0.417,4,0.3849,0.271
66,1,CA1-RSC,expert,900,0.0491,-0.0116,0,0.0,0.5747,8,0.3709,0.3322
66,1,CA1-DG,session,900,0.3056,0.2475,3,0.0845,0.4839,0,0.4026,0.3564
66,1,CA1-DG,naive,900,0.3334,0.1954,2,0.0894,-0.0851,0,0.3809,0.3147
66,1,CA1-DG,intermediate,900,0.3454,0.2613,3,0.1343,0.4192,0,0.422,0.3579
66,1,CA1-DG,expert,900,0.2982,0.2649,2,0.0747,0.0285,0,0.3854,0.378
66,1,CA1-V1,session,900,0.066,0.0331,0,0.0,0.0223,7,0.3212,0.2365
66,1,CA1-V1,naive,900,0.0188,-0.0322,0,0.0,0.1742,3,0.3586,0.2416
66,1,CA1-V1,intermediate,900,0.0782,0.0059,1,0.0058,0.1761,3,0.3358,0.1375
66,1,CA1-V1,expert,900,-0.0511,0.1625,0,0.0,-0.8173,-3,0.2989,0.1902
66,1,CA1-SUB,session,900,0.0886,0.143,2,0.0226,-0.0867,5,0.336,0.1816
66,1,CA1-SUB,naive,900,0.1593,0.1634,1,0.0128,-0.4989,0,0.3604,0.2296
66,1,CA1-SUB,intermediate,900,0.1637,0.1655,3,0.0338,0.1735,0,0.3664,0.3008
66,1,CA1-SUB,expert,900,0.216,0.1616,1,0.0239,-0.0181,0,0.3114,0.2189
66,1,RSC-SUB,session,900,0.0051,-0.0058,0,0.0,0.4822,3,0.2417,0.2558
66,1,RSC-SUB,naive,900,-0.0093,0.001,0,0.0,0.402,5,0.2415,0.2473
66,1,RSC-SUB,intermediate,900,0.1019,-0.0435,1,0.0052,-0.279,0,0.2847,0.2756
66,1,RSC-SUB,expert,900,0.0827,-0.0875,0,0.0,-0.4445,-5,0.2547,0.2107
66,1,V1-RSC,session,900,0.1229,0.0785,1,0.0076,-0.9059,0,0.2277,0.2174
66,1,V1-RSC,naive,900,0.2766,0.2695,1,0.0398,-0.3453,0,0.272,0.3025
66,1,V1-RSC,intermediate,900,0.1974,0.2749,2,0.0369,0.0369,0,0.2205,0.2888
66,1,V1-RSC,expert,900,0.1084,-0.0561,1,0.0059,0.0523,3,0.3421,0.197
68,1,CA1-RSC,session,900,0.1231,0.063,1,0.0076,0.2161,0,0.2868,0.2183
68,1,CA1-RSC,naive,900,0.0556,0.0966,0,0.0,0.4457,4,0.3482,0.3747
68,1,CA1-RSC,intermediate,900,0.0743,0.2784,1,0.0126,0.2444,2,0.2881,0.3637
68,1,CA1-RSC,expert,900,0.0626,0.0303,1,0.0051,0.1682,1,0.2495,0.1927
68,1,CA1-CA3,session,900,0.4977,0.5231,2,0.1549,0.5166,0,0.3293,0.4785
68,1,CA1-CA3,naive,900,0.4895,0.3357,2,0.1459,0.1451,0,0.3508,0.4361
68,1,CA1-CA3,intermediate,900,0.4576,0.5687,1,0.1175,-0.8351,0,0.2982,0.4462
68,1,CA1-CA3,expert,900,0.467,0.5039,1,0.123,0.1252,0,0.332,0.3038
68,1,CA1-DG,session,900,0.3776,0.4066,3,0.0973,-0.4286,0,0.3793,0.3211
68,1,CA1-DG,naive,900,0.2067,0.2187,1,0.0218,0.5461,0,0.2915,0.2533
68,1,CA1-DG,intermediate,900,0.3044,0.3167,1,0.0486,-0.9976,0,0.4202,0.4289
68,1,CA1-DG,expert,900,0.3055,0.3338,2,0.0656,0.6259,0,0.4278,0.2941
68,1,CA3-DG,session,900,0.4531,0.4437,3,0.1741,0.1772,0,0.4091,0.3434
68,1,CA3-DG,naive,900,0.3422,0.4508,2,0.1058,0.3265,0,0.4583,0.3502
68,1,CA3-DG,intermediate,900,0.4675,0.4465,3,0.1894,0.2882,0,0.3423,0.4221
68,1,CA3-DG,expert,900,0.4868,0.463,2,0.1769,-0.1237,0,0.3637,0.3652
70,0,CA1-RSC,session,900,0.0693,-0.0123,0,0.0,-0.8721,-8,0.3137,0.2815
70,0,CA1-DG,session,900,0.2218,0.1006,2,0.028,0.4709,0,0.3145,0.4651
70,0,CA1-V1,session,900,0.1589,0.0561,1,0.0128,0.0981,0,0.3001,0.3293
70,0,CA1-SUB,session,900,0.0406,0.1484,0,0.0,0.8551,0,0.3055,0.4626
70,0,RSC-SUB,session,900,0.5658,0.6063,3,0.3048,0.5279,0,0.3143,0.4882
70,0,V1-RSC,session,900,0.2586,0.4382,3,0.0626,0.4433,0,0.344,0.3154
71,0,CA1-RSC,session,900,0.0325,0.4346,0,0.0,0.008,-1,0.3498,0.2499
71,0,CA1-CA3,session,900,0.2588,-0.0661,2,0.0457,0.4081,0,0.3389,0.2966
71,0,CA1-DG,session,900,0.1403,0.1281,2,0.0199,-0.2,0,0.396,0.2965
71,0,CA1-V1,session,900,0.0273,-0.1681,1,0.0021,0.4936,0,0.2342,0.2604
71,0,CA3-DG,session,900,0.5017,0.5712,3,0.1984,0.0295,0,0.3621,0.3747
71,0,CA1-SUB,session,900,0.1257,0.0388,2,0.0142,0.4934,0,0.2449,0.1734
71,0,RSC-SUB,session,900,0.1966,0.4108,1,0.0197,0.0285,0,0.2671,0.2509
71,0,V1-RSC,session,900,0.3692,0.7758,3,0.1144,0.092,0,0.2694,0.2614
73,1,CA1-RSC,session,900,0.0124,0.1537,0,0.0,-0.1357,5,0.3003,0.3046
73,1,CA1-RSC,naive,900,-0.0097,0.3835,0,0.0,-0.0641,-7,0.3994,0.419
73,1,CA1-RSC,intermediate,900,0.1198,0.0734,1,0.0072,0.5952,8,0.353,0.3092
73,1,CA1-RSC,expert,900,0.0186,0.0608,0,0.0,0.2593,3,0.3444,0.35
73,1,CA1-DG,session,900,0.0402,-0.0572,0,0.0,-0.0053,-4,0.2966,0.3285
73,1,CA1-DG,naive,900,-0.0184,-0.0163,0,0.0,-0.3249,-1,0.4724,0.4122
73,1,CA1-DG,intermediate,900,0.0648,0.2937,0,0.0,-0.0395,2,0.4099,0.3641
73,1,CA1-DG,expert,900,0.0055,-0.0291,0,0.0,0.2523,4,0.3722,0.3439
73,1,CA1-V1,session,900,0.0632,-0.1356,0,0.0,-0.0558,2,0.2546,0.2612
73,1,CA1-V1,naive,900,0.0621,0.1597,1,0.0065,0.5691,6,0.453,0.4153
73,1,CA1-V1,intermediate,900,0.0991,-0.1579,1,0.0049,-0.2999,-3,0.3341,0.2972
73,1,CA1-V1,expert,900,0.1917,0.1643,1,0.0187,0.1333,0,0.288,0.3171
73,1,CA1-SUB,session,900,0.0238,0.1152,2,0.0095,-0.0193,0,0.2554,0.194
73,1,CA1-SUB,naive,900,0.0569,0.0878,0,0.0,0.026,0,0.4741,0.2646
73,1,CA1-SUB,intermediate,900,0.1379,-0.2587,2,0.0207,0.1387,0,0.3776,0.2563
73,1,CA1-SUB,expert,900,0.0014,0.0258,0,0.0,-0.0822,6,0.3483,0.242
73,1,RSC-SUB,session,900,0.0944,-0.0209,1,0.0045,0.2436,3,0.2961,0.2807
73,1,RSC-SUB,naive,900,0.2025,0.1598,1,0.0209,-0.0211,2,0.3897,0.3183
73,1,RSC-SUB,intermediate,900,0.1186,0.1415,1,0.0071,-0.6268,0,0.2943,0.2932
73,1,RSC-SUB,expert,900,0.1063,0.1129,3,0.0245,0.4298,2,0.3543,0.2447
73,1,V1-RSC,session,900,0.2631,0.2468,2,0.04,-0.1066,0,0.3705,0.2768
