animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
61,1,V1-RSC,t1-5,5,14530,0.0335,0,0.0,0.0384,0,0.435,0.3721,80.85,75.64,84.19,86.36,,,
61,1,V1-RSC,t1-7,7,20000,0.005,0,0.0,0.0347,10,0.4478,0.3851,53.59,61.3,82.58,88.33,,,
61,1,V1-RSC,t1-10,10,28149,0.0536,1,0.0245,0.0282,0,0.4358,0.39,56.23,70.78,86.68,89.33,,,
61,1,V1-RSC,late,10,32475,0.2555,4,0.1119,-0.002,0,0.3679,0.3141,76.72,76.96,,,,,
63,1,CA1-RSC,t1-5,5,15266,0.0392,0,0.0,0.0341,4,0.1027,0.3539,61.25,82.2,80.88,85.86,,,
63,1,CA1-RSC,t1-7,7,21283,0.0526,0,0.0,0.0342,4,0.1063,0.3929,86.99,77.2,78.25,85.89,,,
63,1,CA1-RSC,t1-10,10,30004,0.079,1,0.0031,0.0459,1,0.1082,0.3499,74.28,83.06,83.2,86.4,,,
63,1,CA1-RSC,late,10,26446,0.0586,1,0.0017,0.0309,6,0.0944,0.373,89.03,89.1,,,,,
66,1,CA1-RSC,t1-5,5,14644,0.208,3,0.0429,0.0093,0,0.3735,0.3529,86.2,76.13,84.97,85.69,,,
66,1,CA1-RSC,t1-7,7,20023,0.1223,2,0.0128,-0.0044,0,0.3703,0.2704,89.82,69.85,87.58,84.33,,,
66,1,CA1-RSC,t1-10,10,27751,0.1532,2,0.0186,0.0292,0,0.3862,0.2459,66.49,89.12,85.35,81.74,,,
66,1,CA1-RSC,late,10,23688,0.0579,0,0.0,0.0613,5,0.2241,0.1246,63.71,81.07,,,,,
66,1,CA1-DG,t1-5,5,14644,0.2667,3,0.0729,0.0152,0,0.3865,0.1608,88.94,54.78,86.79,73.44,,,
66,1,CA1-DG,t1-7,7,20023,0.2741,3,0.071,0.0077,0,0.3786,0.1645,89.79,37.45,86.59,81.51,,,
66,1,CA1-DG,t1-10,10,27751,0.2682,3,0.0663,-0.006,0,0.3972,0.1655,51.44,28.38,87.1,74.64,,,
66,1,CA1-DG,late,10,23688,0.2521,3,0.0597,0.0634,0,0.2228,0.149,87.96,59.2,,,,,
66,1,CA1-V1,t1-5,5,14644,0.1967,4,0.0518,-0.0011,0,0.3882,0.0817,84.53,85.17,83.36,73.34,,,
66,1,CA1-V1,t1-7,7,20023,0.114,1,0.0065,0.0094,0,0.3881,0.0801,89.31,84.82,85.65,88.69,,,
66,1,CA1-V1,t1-10,10,27751,0.1094,1,0.006,0.0017,0,0.4114,0.0762,75.89,56.79,79.41,81.42,,,
66,1,CA1-V1,late,10,23688,0.057,0,0.0,-0.0365,0,0.205,0.0592,80.66,80.64,,,,,
66,1,CA1-SUB,t1-5,5,14644,0.2572,7,0.0879,0.0052,0,0.3865,0.0545,72.33,61.04,83.06,61.63,,,
66,1,CA1-SUB,t1-7,7,20023,0.1662,2,0.0184,-0.0148,0,0.3706,0.0618,80.24,42.81,87.92,57.46,,,
66,1,CA1-SUB,t1-10,10,27751,0.1386,2,0.0158,-0.0145,0,0.3938,0.0671,55.39,47.46,87.09,52.65,,,
66,1,CA1-SUB,late,10,23688,0.1073,1,0.0058,-0.0178,0,0.2178,0.0668,71.69,62.49,,,,,
66,1,RSC-SUB,t1-5,5,14644,0.0506,6,0.0731,-0.0332,-8,0.3614,0.0553,86.78,73.85,85.44,73.91,,,
66,1,RSC-SUB,t1-7,7,20023,0.0666,1,0.0022,-0.0163,-8,0.2824,0.0626,79.72,86.14,89.98,78.88,,,
66,1,RSC-SUB,t1-10,10,27751,0.0527,0,0.0,0.0039,2,0.2763,0.0677,89.13,85.9,85.5,57.05,,,
66,1,RSC-SUB,late,10,23688,0.0515,0,0.0,0.012,0,0.1335,0.0663,77.27,81.18,,,,,
66,1,V1-RSC,t1-5,5,14644,0.1059,8,0.074,0.013,3,0.0804,0.3546,88.68,86.17,86.67,82.16,,,
66,1,V1-RSC,t1-7,7,20023,0.0848,1,0.0036,0.0251,3,0.0862,0.2708,81.43,87.52,84.98,89.51,,,
66,1,V1-RSC,t1-10,10,27751,0.1033,1,0.0054,0.0251,2,0.1145,0.2463,86.68,79.38,87.32,86.9,,,
66,1,V1-RSC,late,10,23688,0.0783,1,0.0031,0.0074,0,0.0796,0.1247,77.74,83.88,,,,,
68,1,CA1-RSC,t1-5,5,13339,0.0505,0,0.0,0.0537,3,0.3824,0.0835,70.4,87.79,81.34,80.61,,,
68,1,CA1-RSC,t1-7,7,17636,0.034,0,0.0,0.0318,5,0.3975,0.0746,88.29,78.01,74.12,74.18,,,
68,1,CA1-RSC,t1-10,10,24389,0.0247,0,0.0,-0.0013,-8,0.1992,0.0861,89.49,87.5,70.74,88.88,,,
68,1,CA1-RSC,late,10,24728,0.0262,0,0.0,0.0058,-5,0.1216,0.089,80.17,74.38,,,,,
68,1,CA1-CA3,t1-5,5,13339,0.3383,3,0.1585,0.0158,0,0.476,0.6691,43.43,15.59,84.74,86.5,,,
68,1,CA1-CA3,t1-7,7,17636,0.3445,3,0.164,0.0178,0,0.4966,0.6652,24.16,14.47,84.58,86.48,,,
68,1,CA1-CA3,t1-10,10,24389,0.3989,3,0.1097,0.014,0,0.258,0.6556,23.92,17.95,84.83,86.48,,,
68,1,CA1-CA3,late,10,24728,0.3791,2,0.0844,-0.025,0,0.1317,0.1701,45.47,78.12,,,,,
68,1,CA1-DG,t1-5,5,13339,0.2933,2,0.0574,-0.0464,0,0.386,0.1801,79.44,89.07,44.35,87.58,,,
68,1,CA1-DG,t1-7,7,17636,0.2879,2,0.0566,-0.0537,0,0.4162,0.1898,89.38,89.58,49.65,87.51,,,
68,1,CA1-DG,t1-10,10,24389,0.2717,2,0.0507,-0.0575,0,0.2302,0.1816,87.33,77.63,47.44,87.18,,,
68,1,CA1-DG,late,10,24728,0.3484,2,0.0744,-0.0525,0,0.0908,0.1863,48.37,74.07,,,,,
68,1,CA3-DG,t1-5,5,13339,0.2687,3,0.0763,0.037,0,0.6629,0.2392,15.57,35.07,84.34,88.66,,,
68,1,CA3-DG,t1-7,7,17636,0.2031,3,0.0517,0.0304,0,0.6502,0.2439,14.05,31.89,83.8,87.02,,,
68,1,CA3-DG,t1-10,10,24389,0.2277,4,0.0715,0.0202,0,0.6766,0.2509,9.63,23.82,83.91,82.84,,,
68,1,CA3-DG,late,10,24728,0.2593,4,0.0717,0.0881,0,0.1716,0.2273,29.33,45.49,,,,,
70,0,CA1-RSC,t1-5,5,29041,-0.1031,12,0.4168,-0.0037,-2,0.4369,0.5432,80.42,81.94,88.91,85.96,,,
70,0,CA1-RSC,t1-7,7,41862,0.6048,17,1.2651,0.0067,-2,0.4239,0.5318,89.53,82.62,89.44,86.95,,,
70,0,CA1-RSC,t1-10,10,60074,0.4307,15,0.7172,0.0226,0,0.3784,0.5129,84.89,85.81,84.21,85.83,,,
70,0,CA1-RSC,late,10,40721,0.0787,14,0.6734,0.015,0,0.4358,0.5176,68.22,74.54,,,,,
70,0,CA1-DG,t1-5,5,29041,-0.9277,7,0.551,-0.0925,0,0.4347,0.3896,84.35,73.62,79.35,84.71,,,
70,0,CA1-DG,t1-7,7,41862,-0.6569,13,1.2173,-0.1024,0,0.4224,0.3345,62.62,72.73,82.99,80.65,,,
70,0,CA1-DG,t1-10,10,60074,0.1019,11,0.5553,-0.0951,0,0.3753,0.2995,88.31,87.57,77.57,73.97,,,
70,0,CA1-DG,late,10,40721,0.1733,6,0.2261,-0.0825,0,0.4351,0.2624,75.08,87.2,,,,,
70,0,CA1-V1,t1-5,5,29041,0.3319,14,0.8228,-0.0137,0,0.4327,0.3708,89.65,84.03,90.0,70.52,,,
70,0,CA1-V1,t1-7,7,41862,0.9173,19,2.6438,-0.0203,0,0.4213,0.3536,88.89,87.41,89.31,72.13,,,
70,0,CA1-V1,t1-10,10,60074,0.4647,14,0.6572,-0.0178,0,0.3731,0.3475,80.65,69.94,89.35,77.74,,,
70,0,CA1-V1,late,10,40721,0.5592,13,0.6195,0.0058,0,0.4297,0.333,63.04,46.72,,,,,
70,0,CA1-SUB,t1-5,5,29041,-0.0416,16,0.4098,-0.0253,-1,0.4367,0.3161,72.81,65.73,79.91,51.23,,,
70,0,CA1-SUB,t1-7,7,41862,0.3756,12,0.4806,-0.0229,0,0.4236,0.3126,53.05,42.99,78.07,46.38,,,
70,0,CA1-SUB,t1-10,10,60074,0.2497,14,0.2073,-0.0046,0,0.3783,0.2553,53.57,39.98,76.68,48.82,,,
