animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
68,1,CA3-DG,expert,900,0.4271,0.4147,2,0.1299,-0.3894,0,0.396,0.4028
70,0,CA1-RSC,session,900,0.1286,-0.0071,3,0.0112,-0.0441,-1,0.3031,0.324
70,0,CA1-DG,session,900,0.1175,0.1533,1,0.007,-0.8754,0,0.3169,0.533
70,0,CA1-V1,session,900,0.0662,0.0093,2,0.0054,0.1462,0,0.3408,0.3173
70,0,CA1-SUB,session,900,-0.0293,0.0824,2,0.0012,0.0361,0,0.3051,0.5453
70,0,RSC-SUB,session,900,0.1329,0.1755,3,0.0221,0.4841,0,0.2914,0.5407
70,0,V1-RSC,session,900,0.1913,0.1405,3,0.0516,-0.1529,0,0.344,0.2842
71,0,CA1-RSC,session,900,-0.0197,0.0205,0,0.0,-0.3394,-1,0.269,0.2753
71,0,CA1-CA3,session,900,0.2011,0.1664,2,0.0235,-1.0,0,0.3153,0.3118
71,0,CA1-DG,session,900,0.0408,0.0265,1,0.0008,1.0,4,0.3067,0.3193
71,0,CA1-V1,session,900,-0.0071,-0.1114,0,0.0,0.0578,-2,0.3366,0.2726
71,0,CA3-DG,session,900,0.4073,0.4516,3,0.1892,-0.1169,0,0.3774,0.392
71,0,CA1-SUB,session,900,-0.034,-0.0402,0,0.0,-1.0,-2,0.2517,0.2296
71,0,RSC-SUB,session,900,-0.0121,-0.0381,1,0.0028,0.6255,1,0.2786,0.2436
71,0,V1-RSC,session,900,0.2215,0.1488,3,0.0381,0.3423,0,0.2727,0.3083
73,1,CA1-RSC,session,900,-0.0199,-0.0645,0,0.0,1.0,2,0.3117,0.2909
73,1,CA1-RSC,naive,900,0.07,0.0567,2,0.0038,-0.0131,2,0.4957,0.384
73,1,CA1-RSC,intermediate,900,0.1336,-0.1507,1,0.009,0.4118,0,0.3504,0.3508
73,1,CA1-RSC,expert,900,0.0638,0.2223,0,0.0,0.0178,4,0.3365,0.4129
73,1,CA1-DG,session,900,0.1479,0.179,1,0.0111,-0.6409,0,0.3286,0.2399
73,1,CA1-DG,naive,900,0.1072,0.0323,2,0.0133,0.5187,0,0.4315,0.4693
73,1,CA1-DG,intermediate,900,0.1082,-0.145,2,0.0092,0.2082,0,0.3965,0.3623
73,1,CA1-DG,expert,900,0.1958,0.132,2,0.0265,-0.0312,0,0.3706,0.3476
73,1,CA1-V1,session,900,0.1121,-0.0181,1,0.0063,-0.8767,0,0.3339,0.2857
73,1,CA1-V1,naive,900,0.0985,0.0107,0,0.0,-1.0,0,0.434,0.3496
73,1,CA1-V1,intermediate,900,0.0903,0.2033,0,0.0,-0.8604,-2,0.3817,0.3118
73,1,CA1-V1,expert,900,0.0251,0.0146,0,0.0,-0.4433,-1,0.3189,0.2702
73,1,CA1-SUB,session,900,0.0132,-0.0913,1,0.0049,0.0535,-1,0.3059,0.2719
73,1,CA1-SUB,naive,900,0.0167,0.0286,0,0.0,0.7823,3,0.4849,0.2654
73,1,CA1-SUB,intermediate,900,0.0843,0.0695,2,0.0096,1.0,0,0.3588,0.2454
73,1,CA1-SUB,expert,900,0.0345,-0.1044,2,0.0069,0.2473,4,0.3545,0.3095
73,1,RSC-SUB,session,900,0.0806,0.2401,0,0.0,0.1335,0,0.3197,0.2467
73,1,RSC-SUB,naive,900,0.067,0.0332,1,0.0023,-0.3047,-4,0.4075,0.3113
73,1,RSC-SUB,intermediate,900,-0.0194,0.0284,0,0.0,0.0566,1,0.3567,0.2981
73,1,RSC-SUB,expert,900,-0.058,0.0388,0,0.0,0.3819,2,0.3505,0.2542
73,1,V1-RSC,session,900,0.1936,-0.0413,1,0.0191,-0.0482,0,0.2892,0.3358
73,1,V1-RSC,naive,900,0.0074,-0.0406,0,0.0,0.1377,0,0.3456,0.4065
73,1,V1-RSC,intermediate,900,0.1289,0.0975,3,0.0302,0.1037,0,0.3469,0.394
73,1,V1-RSC,expert,900,0.207,0.1291,1,0.0219,-0.3513,-3,0.4152,0.3442
75,1,CA1-RSC,session,900,0.0467,0.1864,1,0.0032,0.0866,4,0.338,0.3662
75,1,CA1-RSC,naive,900,0.0702,-0.2232,1,0.0048,-0.5838,-3,0.4971,0.4593
75,1,CA1-RSC,intermediate,900,0.1108,0.0856,0,0.0,0.099,0,0.4902,0.4171
75,1,CA1-RSC,expert,900,0.0302,0.0257,0,0.0,-0.5319,0,0.4913,0.3911
75,1,CA1-DG,session,900,0.2675,0.2564,1,0.0371,-0.3263,0,0.3552,0.5359
75,1,CA1-DG,naive,900,0.2333,0.211,3,0.0347,0.3324,0,0.4119,0.5402
75,1,CA1-DG,intermediate,900,0.1985,0.1778,2,0.0314,-0.6597,0,0.4452,0.6208
75,1,CA1-DG,expert,900,0.1894,0.0416,2,0.0211,0.3119,0,0.4004,0.5474
75,1,CA1-V1,session,900,0.0406,0.056,0,0.0,0.4607,1,0.3869,0.2868
75,1,CA1-V1,naive,900,0.1073,0.0419,0,0.0,0.5698,4,0.4593,0.2848
75,1,CA1-V1,intermediate,900,0.0858,0.1005,2,0.0106,0.3576,0,0.4059,0.2464
75,1,CA1-V1,expert,900,0.0349,-0.0321,1,0.0065,0.3258,0,0.3473,0.2914
75,1,CA1-SUB,session,900,0.0155,-0.0201,1,0.0064,-0.6967,0,0.3395,0.2487
75,1,CA1-SUB,naive,900,0.107,0.0666,0,0.0,-0.2322,0,0.4,0.2336
75,1,CA1-SUB,intermediate,900,0.0911,0.0096,2,0.0063,-0.996,0,0.3981,0.2517
75,1,CA1-SUB,expert,900,0.0785,0.0809,2,0.0106,0.851,2,0.4653,0.2856
75,1,RSC-SUB,session,900,0.2318,0.1664,3,0.0467,-0.2229,0,0.3825,0.2451
75,1,RSC-SUB,naive,900,0.207,-0.137,2,0.024,0.6363,0,0.4426,0.2193
75,1,RSC-SUB,intermediate,900,0.2936,0.2439,3,0.0735,-0.2836,0,0.4183,0.2456
75,1,RSC-SUB,expert,900,0.1799,0.208,3,0.0475,-0.0177,0,0.4153,0.2737
75,1,V1-RSC,session,900,0.4555,0.3893,3,0.2073,-0.6411,0,0.3168,0.4619
75,1,V1-RSC,naive,900,0.4196,0.4504,3,0.1757,-0.0239,0,0.2762,0.4651
75,1,V1-RSC,intermediate,900,0.5049,0.4704,3,0.2459,-0.0581,0,0.2717,0.4624
75,1,V1-RSC,expert,900,0.5757,0.5596,3,0.3569,-0.0355,0,0.3108,0.4242
77,1,CA1-RSC,session,900,0.0193,-0.2013,0,0.0,-0.4117,-2,0.2153,0.2627
77,1,CA1-RSC,naive,900,0.0067,0.0398,1,0.0056,-0.8508,-4,0.2416,0.367
77,1,CA1-RSC,intermediate,900,0.0905,0.0782,1,0.0041,0.8255,1,0.2802,0.3219
77,1,CA1-RSC,expert,900,0.101,0.0523,1,0.0051,0.0797,0,0.2345,0.2979
